This file was generated by Console at 2021:06:12-00:00:01



[2021:06:12-00:00:01]  (Local) -> (LOCAL)[1]NexoFX: lol
[2021:06:12-00:01:24]  (Global) -> SuddenGuard90: en convoy nea
[2021:06:12-00:01:24]  (Local) -> (LOCAL)[6]Alcapone: andres
[2021:06:12-00:01:27]  (Local) -> (LOCAL)[6]Andres_Ramires|2cb: Q
[2021:06:12-00:01:29]  (Local) -> (LOCAL)[6]Alcapone: a camellar
[2021:06:12-00:01:29]  (Local) -> (LOCAL)[12]laliendra: LISTOOOOO
[2021:06:12-00:01:29]  (Local) -> (LOCAL)[1]Buitrago[CDG]: todos corren sus 300 jsajsa
[2021:06:12-00:01:30]  (Local) -> (LOCAL)[6]Alcapone: ajajjaa{
[2021:06:12-00:01:32]  (Local) -> (LOCAL)[1]Buitrago[CDG]: pero por el vip
[2021:06:12-00:01:32]  (Local) -> (LOCAL)[12]laliendra: CUENTENN
[2021:06:12-00:01:33]  (Global) -> crixtian: que hacemos?
[2021:06:12-00:01:38]  (Local) -> (LOCAL)[12]Pinino'2cB: i
[2021:06:12-00:01:39]  (Global) -> alias_el_nene: SUBAAAAN
[2021:06:12-00:01:39]  (Local) -> (LOCAL)[12]Pinino'2cB: si
[2021:06:12-00:01:39]  (Global) -> kevin1991: como juego??
[2021:06:12-00:01:42]  (Local) -> (LOCAL)[12]33cmsdepolla: tu ta dura sin ir al gym ta con lui buti
[2021:06:12-00:01:42]  (Local) -> (LOCAL)[2]kazuzu: lleveme a el trabajo de militar
[2021:06:12-00:01:43]  (Local) -> (LOCAL)[5]Andres_Ramires|2cb: AJAJAJPREIME RO A TOMBEAR
[2021:06:12-00:01:43]  (Local) -> (LOCAL)[2]LondonFREE: espere ps
[2021:06:12-00:01:45]  (Global) -> SOFFIA<3: VENDO URANUS FULLTUNING
[2021:06:12-00:01:45]  (Global) -> NEABOY: me lo envias por fa:), por efecty, y me envias por favor si quieres que se te pague con objetos 
[2021:06:12-00:01:46]  (Local) -> (LOCAL)[1]YISUS_[CDG]: ya
[2021:06:12-00:01:47]  (Local) -> (LOCAL)[12]33cmsdepolla: makilla sefora panti suprin
[2021:06:12-00:01:49]  (Global) -> alias_el_nene: G
[2021:06:12-00:01:49]  (Global) -> IDavid: quien llega ha la playa puess
[2021:06:12-00:01:50]  (Local) -> (LOCAL)[9]Alcapone: 2 palos ya
[2021:06:12-00:01:51]  (Local) -> (LOCAL)[2]steven: seguime
[2021:06:12-00:01:52]  (Local) -> (LOCAL)[1]YISUS_[CDG]: a donde esta
[2021:06:12-00:01:53]  (Local) -> (LOCAL)[9]Andres_Ramires|2cb: ya se me acaba el vip
[2021:06:12-00:01:54]  (Global) -> crixtian: pero y los otros?
[2021:06:12-00:01:54]  (Local) -> (LOCAL)[9]Alcapone: rare
[2021:06:12-00:02:01]  (Global) -> NEABOY: andres
[2021:06:12-00:02:06]  (Local) -> (LOCAL)[1]Guarachero|AUC: mucho despecho pai
[2021:06:12-00:02:06]  (Global) -> kevin1991: como juego??
[2021:06:12-00:02:07]  (Global) -> Tyno04: marihuana
[2021:06:12-00:02:08]  (Local) -> (LOCAL)[12]felipe33[DARK]: droga
[2021:06:12-00:02:08]  (Local) -> (LOCAL)[1]kazuzu: crep que estan alli
[2021:06:12-00:02:09]  (Global) -> FrightenedLyre54: suba
[2021:06:12-00:02:12]  (Local) -> (LOCAL)[4]LondonFREE: ay vamos ps
[2021:06:12-00:02:13]  (Local) -> (LOCAL)[3]steven: paraaa
[2021:06:12-00:02:14]  (Global) -> Anderson_Chinchilla: fachero tu carro
[2021:06:12-00:02:14]  (Local) -> (LOCAL)[1]Buitrago[CDG]: ARRANCA MUCHO
[2021:06:12-00:02:15]  (Global) -> NEABOY: miwi como vas?
[2021:06:12-00:02:16]  (Local) -> (LOCAL)[1]NexoFX: uy pana
[2021:06:12-00:02:17]  (Global) -> SOFFIA<3: VENDO MAZDA RX-7 FULLTUNING
[2021:06:12-00:02:19]  (Global) -> crixtian: sii mire el mapa
[2021:06:12-00:02:19]  (Local) -> (LOCAL)[1]NexoFX: corren re arto
[2021:06:12-00:02:21]  (Global) -> NEABOY: london perfecto!
[2021:06:12-00:02:22]  (Local) -> (LOCAL)[1]NexoFX: que chimba
[2021:06:12-00:02:25]  (Local) -> (LOCAL)[3]OMAR25.ZETAS: VAMOS
[2021:06:12-00:02:27]  (Local) -> (LOCAL)[1]Buitrago[CDG]: sikas
[2021:06:12-00:02:28]  (Local) -> (LOCAL)[5]steven: paraaaa
[2021:06:12-00:02:28]  (Local) -> (LOCAL)[4]LondonFREE: manana nospi ps
[2021:06:12-00:02:28]  (Local) -> (LOCAL)[3]buho: sigame
[2021:06:12-00:02:30]  (Global) -> LopsidedVenom70: oee
[2021:06:12-00:02:30]  (Local) -> (LOCAL)[1]Buitrago[CDG]: ay maso
[2021:06:12-00:02:31]  (Global) -> alias_el_nene: NO ERA MIO LO HAVIA ROBADO XD
[2021:06:12-00:02:33]  (Global) -> NEABOY: en un plazo maximo de 24hrs recibira su beneficio
[2021:06:12-00:02:33]  (Local) -> (LOCAL)[4]LondonFREE: se cuida
[2021:06:12-00:02:34]  (Team - Unemployed) -> (TEAM)jessell01: que pajo
[2021:06:12-00:02:35]  (Global) -> crixtian: pero no se bien como llegar 
[2021:06:12-00:02:36]  (Local) -> (LOCAL)[1]Buitrago[CDG]: el q mas corre es el htr2
[2021:06:12-00:02:36]  (Local) -> (LOCAL)[4]LondonFREE: va
[2021:06:12-00:02:38]  (Local) -> (LOCAL)[1]javier2cb: oe
[2021:06:12-00:02:39]  (Global) -> Fluency{AK}: ALASIUDAD
[2021:06:12-00:02:39]  (Local) -> (LOCAL)[1]Buitrago[CDG]: pero no lo tengo
[2021:06:12-00:02:39]  (Global) -> NEABOY: ahora trabaja conmigo
[2021:06:12-00:02:41]  (Local) -> (LOCAL)[2]Bocato[CDG]: si?
[2021:06:12-00:02:42]  (Local) -> (LOCAL)[4]Andres_06: joa hey
[2021:06:12-00:02:43]  (Global) -> NEABOY: lo mismo
[2021:06:12-00:02:43]  (Local) -> (LOCAL)[1]IDavid: agt sortear unos 2 palos
[2021:06:12-00:02:43]  (Global) -> crixtian: pero hagamos el intento jaja
[2021:06:12-00:02:44]  (Local) -> (LOCAL)[1]NexoFX: ese cuanto corre?
[2021:06:12-00:02:45]  (Local) -> (LOCAL)[5]Lavi: agh pirobos tan lentos
[2021:06:12-00:02:45]  (Local) -> (LOCAL)[4]YISUS_[CDG]: ya
[2021:06:12-00:02:46]  (Local) -> (LOCAL)[1]Buitrago[CDG]: lo tenia antes
[2021:06:12-00:02:46]  (Local) -> (LOCAL)[1]Jose: Maneje bien
[2021:06:12-00:02:47]  (Local) -> (LOCAL)[6]Lavi: JDSJDSJSDJ
[2021:06:12-00:02:47]  (Local) -> (LOCAL)[2]elKRIS_LMB: cuidad
[2021:06:12-00:02:48]  (Local) -> (LOCAL)[1]Buitrago[CDG]: 650
[2021:06:12-00:02:48]  (Local) -> (LOCAL)[1]Guarachero|AUC: jajajaa
[2021:06:12-00:02:49]  (Local) -> (LOCAL)[1]IDavid: yo los pongo
[2021:06:12-00:02:51]  (Local) -> (LOCAL)[1]NexoFX: uy gonorrea
[2021:06:12-00:02:52]  (Local) -> (LOCAL)[4]YISUS_[CDG]: soltame o te reporto
[2021:06:12-00:02:52]  (Local) -> (LOCAL)[1]Jose: Si quiere manejo yo
[2021:06:12-00:02:54]  (Local) -> (LOCAL)[3]Andres_06: buena
[2021:06:12-00:02:54]  (Local) -> (LOCAL)[1]kazuzu: jajaja
[2021:06:12-00:02:54]  (Local) -> (LOCAL)[1]Guarachero|AUC: demelos a mi
[2021:06:12-00:02:55]  (Local) -> (LOCAL)[1]IDavid: si o k xd
[2021:06:12-00:02:57]  (Local) -> (LOCAL)[4]Jimenez: El primer reprote
[2021:06:12-00:02:58]  (Global) -> NEABOY: weed amigo
[2021:06:12-00:02:58]  (Local) -> (LOCAL)[1]IDavid: AJAJAJA
[2021:06:12-00:02:59]  (Local) -> (LOCAL)[1]NexoFX: re arto
[2021:06:12-00:02:59]  (Local) -> (LOCAL)[1]javier2cb: oe
[2021:06:12-00:03:00]  (Local) -> (LOCAL)[4]Jimenez: Que tenga que
[2021:06:12-00:03:02]  (Global) -> alias_el_nene: SUBAAAN
[2021:06:12-00:03:02]  (Global) -> Gustavo_Petro: ya perdio su platica el qe se la dio a NAEBOY
[2021:06:12-00:03:02]  (Local) -> (LOCAL)[3]Andres_06: sueltenme o reporto
[2021:06:12-00:03:02]  (Local) -> (LOCAL)[1]Buitrago[CDG]: sikas
[2021:06:12-00:03:03]  (Local) -> (LOCAL)[4]Jimenez: robaste gente
[2021:06:12-00:03:06]  (Global) -> CALDERON|#CBFF00âœ˜ : pq se cura bro
[2021:06:12-00:03:06]  (Global) -> miwi: NEABOY UNA PREGUNTA
[2021:06:12-00:03:07]  (Local) -> (LOCAL)[4]Jimenez: te baneo broder
[2021:06:12-00:03:07]  (Global) -> crixtian: vamos
[2021:06:12-00:03:08]  (Local) -> (LOCAL)[4]YISUS_[CDG]: soltame o te reporto
[2021:06:12-00:03:09]  (Local) -> (LOCAL)[1]NexoFX: como hizo para conseguir estos carros?
[2021:06:12-00:03:10]  (Local) -> (LOCAL)[1]Guarachero|AUC: o comprese una motico mela
[2021:06:12-00:03:10]  (Global) -> NEABOY: dime miwi
[2021:06:12-00:03:11]  (Global) -> Alvaro_Uribe2cb: raton
[2021:06:12-00:03:15]  (Global) -> crixtian: listo
[2021:06:12-00:03:17]  (Global) -> OMAR25.ZETAS: DEJAME M
[2021:06:12-00:03:17]  (Global) -> NEABOY: gustavo, deje de ser envidioso 
[2021:06:12-00:03:18]  (Local) -> (LOCAL)[3]Andres_06: caga
[2021:06:12-00:03:19]  (Local) -> (LOCAL)[4]Jimenez: Queda advertido
[2021:06:12-00:03:20]  (Local) -> (LOCAL)[1]Buitrago[CDG]: comprarlos antes , hay unoes en eventos
[2021:06:12-00:03:21]  (Local) -> (LOCAL)[1]IDavid: me falta la nrg
[2021:06:12-00:03:21]  (Global) -> alias_el_nene: CON G
[2021:06:12-00:03:22]  (Local) -> (LOCAL)[1]Buitrago[CDG]: q pocos tienen
[2021:06:12-00:03:24]  (Global) -> ALEXIS|2cB: muah
[2021:06:12-00:03:26]  (Global) -> OMAR25.ZETAS: DEJAME FUMAR MI MARIHUANA TRANQUILO CAUSA
[2021:06:12-00:03:26]  (Local) -> (LOCAL)[3]CALDERON: aaaaaaaaaaaaaaa
[2021:06:12-00:03:27]  (Global) -> miwi: COMO  HAGO PARA TRABAJAR COMO TU
[2021:06:12-00:03:27]  (Global) -> YISUS_[CDG]: admi admi
[2021:06:12-00:03:29]  (Global) -> YISUS_[CDG]: admi
[2021:06:12-00:03:29]  (Local) -> (LOCAL)[9]Andres_06: suelte men
[2021:06:12-00:03:30]  (Local) -> (LOCAL)[1]Guarachero|AUC: ajjaja
[2021:06:12-00:03:30]  (Local) -> (LOCAL)[3]CALDERON: hp zona de mierda
[2021:06:12-00:03:31]  (Local) -> (LOCAL)[4]Jimenez: Miwi
[2021:06:12-00:03:31]  (Local) -> (LOCAL)[1]Guarachero|AUC: sisas
[2021:06:12-00:03:33]  (Global) -> YISUS_[CDG]: haceme tp
[2021:06:12-00:03:33]  (Global) -> LopsidedVenom70: oee
[2021:06:12-00:03:33]  (Local) -> (LOCAL)[12]33cmsdepolla: con razon sara no le da cuca
[2021:06:12-00:03:34]  (Global) -> NEABOY: tiene que invertir
[2021:06:12-00:03:35]  (Local) -> (LOCAL)[4]Jimenez: No creas
[2021:06:12-00:03:35]  (Team - Law Enforcement) -> (TEAM)Pedrito: MI PRIMER ARRESTO BRO
[2021:06:12-00:03:35]  (Local) -> (LOCAL)[12]33cmsdepolla: JAJAJAJAJAJAJAJAJA
[2021:06:12-00:03:37]  (Global) -> ALEXIS|2cB: teamo xd
[2021:06:12-00:03:39]  (Global) -> Gotsse'2cb|#9E016Cà¶ž: ok
[2021:06:12-00:03:40]  (Local) -> (LOCAL)[4]Jimenez: Solo te va esstafar
[2021:06:12-00:03:41]  (Global) -> #7F7F7F|ADM||LG|#FF8C00CuriosoGaming|CAPU|#18AED9ã‚«ãƒ—ã‚¬ãƒ³: JAJAJ
[2021:06:12-00:03:41]  (Global) -> Gotsse'2cb|#9E016Cà¶ž: reportado
[2021:06:12-00:03:42]  (Local) -> (LOCAL)[1]NexoFX: Ahhh como asi, muy melo
[2021:06:12-00:03:44]  (Global) -> Anderson_Chinchilla: queria subirme arriba xd
[2021:06:12-00:03:45]  (Global) -> #7F7F7F|ADM||LG|#FF8C00CuriosoGaming|CAPU|#18AED9ã‚«ãƒ—ã‚¬ãƒ³: si
[2021:06:12-00:03:45]  (Local) -> (LOCAL)[4]Andres_06: suelte o reporto
[2021:06:12-00:03:45]  (Local) -> (LOCAL)[1]Guarachero|AUC: estoy buscando la otra cancion pai
[2021:06:12-00:03:46]  (Local) -> (LOCAL)[4]YISUS_[CDG]: soltame o lo reporto
[2021:06:12-00:03:46]  (Team - Unemployed) -> (TEAM)jessell01: vamos a comprar un avatar
[2021:06:12-00:03:47]  (Local) -> (LOCAL)[1]Buitrago[CDG]: szs nea
[2021:06:12-00:03:50]  (Global) -> #CBFF00Soltec|#CBFF00âœ˜ : a
[2021:06:12-00:03:52]  (Global) -> Alma.Marcela.Rico: NEABOY Ã±ro no se aproveche asi de los nuevos, que luego se aburren y no vuelven a jugar aca
[2021:06:12-00:03:52]  (Local) -> (LOCAL)[1]NexoFX: mano cual es la forma mas facil para conseguir plata?
[2021:06:12-00:03:53]  (Global) -> #CBFF00Oreo~|#CBFF00âœ˜ : a
[2021:06:12-00:03:53]  (Global) -> ANDERSON_R2: admin
[2021:06:12-00:03:54]  (Local) -> (LOCAL)[5]Andres_06: serio
[2021:06:12-00:03:54]  (Local) -> (LOCAL)[5]YISUS_[CDG]: ya le tome captura
[2021:06:12-00:03:55]  (Local) -> (LOCAL)[4]Jimenez: NEABOY[MP] un reporte tuyo que estafaste broder y te baneo
[2021:06:12-00:03:56]  (Global) -> #7F7F7F|ADM||LG|#FF5C00CuriosoGaming|CAPU|#18AED9ã‚«ãƒ—ã‚¬ãƒ³: q
[2021:06:12-00:03:56]  (Local) -> (LOCAL)[1]IDavid: creo que esta camioneta esta en el aeropuerto no?
[2021:06:12-00:03:57]  (Global) -> ALEXIS|2cB: teamo xd
[2021:06:12-00:03:58]  (Local) -> (LOCAL)[1]Buitrago[CDG]: trabajar
[2021:06:12-00:04:01]  (Local) -> (LOCAL)[1]Buitrago[CDG]: es la unica forma
[2021:06:12-00:04:01]  (Global) -> Gustavo_Petro: no papi, no es envidia... es que usted es un puuto rateron
[2021:06:12-00:04:04]  (Global) -> LopsidedVenom70: oeee
[2021:06:12-00:04:05]  (Local) -> (LOCAL)[5]YISUS_[CDG]: ahora lo reporto bro
[2021:06:12-00:04:06]  (Global) -> ANDERSON_R2: estoy bugeado
[2021:06:12-00:04:06]  (Team - Unemployed) -> (TEAM)jessell01: ajaja 
[2021:06:12-00:04:08]  (Local) -> (LOCAL)[1]Buitrago[CDG]: te recomiendo trabajar de piloto
[2021:06:12-00:04:08]  (Global) -> NEABOY: jimenez
[2021:06:12-00:04:09]  (Local) -> (LOCAL)[2]Gomez2cb$$: a
[2021:06:12-00:04:10]  (Local) -> (LOCAL)[12]33cmsdepolla: lina se le paro al lado
[2021:06:12-00:04:10]  (Global) -> alias_el_nene: CUANDO TE SUBAS ARRIBA LE DAS EN X PARA NO CAERTE
[2021:06:12-00:04:11]  (Local) -> (LOCAL)[4]YISUS_[CDG]: y se va pal ban
[2021:06:12-00:04:11]  (Local) -> (LOCAL)[4]Andres_06: sueltenos
[2021:06:12-00:04:11]  (Global) -> NEABOY: quiere negociar
[2021:06:12-00:04:14]  (Local) -> (LOCAL)[6]Andres_Ramires|2cb: q
[2021:06:12-00:04:14]  (Local) -> (LOCAL)[12]33cmsdepolla: y mutis se puso parolo
[2021:06:12-00:04:14]  (Local) -> (LOCAL)[12]Pinino'2cB: repita lo que dijo
[2021:06:12-00:04:15]  (Local) -> (LOCAL)[3]Jimenez: No
[2021:06:12-00:04:15]  (Local) -> (LOCAL)[1]Buitrago[CDG]: es el q mas da
[2021:06:12-00:04:16]  (Local) -> (LOCAL)[1]NexoFX: de piloto se gana bueno?
[2021:06:12-00:04:17]  (Global) -> Jimenez|#9800D1GDT!: No
[2021:06:12-00:04:17]  (Local) -> (LOCAL)[4]YISUS_[CDG]: a el no
[2021:06:12-00:04:18]  (Local) -> (LOCAL)[4]Andres_06: reprto
[2021:06:12-00:04:19]  (Local) -> (LOCAL)[1]Buitrago[CDG]: si
[2021:06:12-00:04:19]  (Local) -> (LOCAL)[4]YISUS_[CDG]: a mi
[2021:06:12-00:04:19]  (Global) -> FLOREZINHO|CDG||#9D12D1í ½í¸ˆ: Andres_Ramires|2cb
[2021:06:12-00:04:21]  (Local) -> (LOCAL)[1]NexoFX: antes era de pescador no?
[2021:06:12-00:04:22]  (Global) -> Jimenez|#9800D1GDT!: Al primer reporte que estafo gente 
[2021:06:12-00:04:23]  (Global) -> NEABOY: esta bien
[2021:06:12-00:04:24]  (Local) -> (LOCAL)[1]Buitrago[CDG]: pero en el ultimo rango
[2021:06:12-00:04:24]  (Global) -> Jimenez|#9800D1GDT!: Lo baneo
[2021:06:12-00:04:24]  (Global) -> FLOREZINHO|CDG||#9D12D1í ½í¸ˆ: Ud va re bug jajajjaj
[2021:06:12-00:04:24]  (Local) -> (LOCAL)[4]YISUS_[CDG]: que soy policia
[2021:06:12-00:04:25]  (Local) -> (LOCAL)[4]Andres_06: deje tomo captur
[2021:06:12-00:04:29]  (Local) -> (LOCAL)[1]NexoFX: yo trbajaba antes mucho de pescador
[2021:06:12-00:04:30]  (Local) -> (LOCAL)[5]Andres_06: ya
[2021:06:12-00:04:30]  (Global) -> FarKudu86: thola
[2021:06:12-00:04:30]  (Global) -> NEABOY: como que estafo pa
[2021:06:12-00:04:32]  (Global) -> NEABOY: mas respetoa
[2021:06:12-00:04:32]  (Global) -> Don_Rogelio: neaboy ratota
[2021:06:12-00:04:33]  (Global) -> Jose: Jimenez
[2021:06:12-00:04:33]  (Local) -> (LOCAL)[2]elKRIS_LMB: jajaa
[2021:06:12-00:04:33]  (Local) -> (LOCAL)[12]santimil: muti se cavreo
[2021:06:12-00:04:36]  (Local) -> (LOCAL)[5]Gotsse'2cb: mano
[2021:06:12-00:04:36]  (Global) -> FarKudu86: hola
[2021:06:12-00:04:37]  (Local) -> (LOCAL)[2]yeison[LMB]: sjjsj
[2021:06:12-00:04:37]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00Jimenez: Ya sabe
[2021:06:12-00:04:37]  (Team - Law Enforcement) -> (TEAM)Pedrito: LOS SEGUNDOS
[2021:06:12-00:04:39]  (Global) -> Fluency{AK}: DALEE
[2021:06:12-00:04:40]  (Local) -> (LOCAL)[1]Buitrago[CDG]: los q mas gana uno es, en camionero y piloto
[2021:06:12-00:04:40]  (Global) -> NEABOY: imposible que no sepa como son los negocios
[2021:06:12-00:04:41]  (Global) -> FarKudu86: holaaaa
[2021:06:12-00:04:41]  (Local) -> (LOCAL)[1]Guarachero|AUC: hay fue pai
[2021:06:12-00:04:43]  (Local) -> (LOCAL)[2]elKRIS_LMB: el yeison modo martin elias
[2021:06:12-00:04:46]  (Local) -> (LOCAL)[1]Buitrago[CDG]: szs pescador ganaba arto
[2021:06:12-00:04:48]  (Global) -> wilson: ey
[2021:06:12-00:04:49]  (Local) -> (LOCAL)[3]Andres_06: metame ya a la carcel ombe
[2021:06:12-00:04:49]  (Local) -> (LOCAL)[4]ANggEL(CDG): cuantos faltan
[2021:06:12-00:04:49]  (Local) -> (LOCAL)[5]#7F7F7F|ADM||LG|#FF5C00CuriosoGaming|CAPU: fino
[2021:06:12-00:04:50]  (Global) -> Tyno04: se nos fue
[2021:06:12-00:04:50]  (Global) -> YISUS_[CDG]: addmi admi haceme tp ay un tombo que me cojio sinedo policia yo tambien
[2021:06:12-00:04:52]  (Global) -> FrightenedLyre54: en linea
[2021:06:12-00:04:52]  (Global) -> #7F7F7F|ADM|#FF5C00Jimenez|#9800D1GDT!: Imposible que se quiera ganar un ban
