This file was generated by Console at 2021:04:12-00:00:00



[2021:04:12-00:00:00]  (Local) -> (LOCAL)[5]BUHODERMIA: 1
[2021:04:12-00:00:39]  (Local) -> (LOCAL)[9]ZeroTwo[CAPU]: no tu linda
[2021:04:12-00:00:39]  (Local) -> (LOCAL)[5]BUHODERMIA: a
[2021:04:12-00:00:43]  (Local) -> (LOCAL)[2]SilkyFrigate66: szs
[2021:04:12-00:00:43]  (Local) -> (LOCAL)[9]ZeroTwo[CAPU]: guapa mamasota
[2021:04:12-00:00:46]  (Local) -> (LOCAL)[5]Buitredermia|sad|2cB: JAJJAJAJAJAJAA
[2021:04:12-00:00:47]  (Local) -> (LOCAL)[10]ALCapone|EVG|: OE
[2021:04:12-00:00:47]  (Local) -> (LOCAL)[5]KiraOwO~Capu: q es eto jhasjdhajsdhj
[2021:04:12-00:00:49]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF5C00Orgalor: BAJEN
[2021:04:12-00:00:50]  (Local) -> (LOCAL)[1]kevin1033|EVG|: no esta tuneado
[2021:04:12-00:00:50]  (Global) -> Luis|CDG||#B41B1B������: XD
[2021:04:12-00:00:51]  (Local) -> (LOCAL)[2]COSCULLUELA"2cb: jajajajaja
[2021:04:12-00:00:52]  (Local) -> (LOCAL)[4]ChapoGuzman|ELN: ah
[2021:04:12-00:00:52]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Orgalor: xdd
[2021:04:12-00:00:53]  (Local) -> (LOCAL)[11]ALCapone|EVG|: TIEEN DISCORD?
[2021:04:12-00:00:53]  (Local) -> (LOCAL)[4]KiraOwO~Capu: JAHSDJAHSDJ q es eso
[2021:04:12-00:00:54]  (Global) -> ChapoGuzman|ELN: a
[2021:04:12-00:00:55]  (Local) -> (LOCAL)[1]kevin1033|EVG|: toca que lo tunee bien melo
[2021:04:12-00:00:55]  (Global) -> Ellkinghernan[CDG]: dale bro
[2021:04:12-00:00:59]  (Global) -> AlCapone|LEGEND|: si obvio el de siempre
[2021:04:12-00:00:59]  (Global) -> kamilo|2cb: ajjajajaja
[2021:04:12-00:01:00]  (Local) -> (LOCAL)[11]ZeroTwo[CAPU]: hay gracias te amo
[2021:04:12-00:01:01]  (Local) -> (LOCAL)[3]COSCULLUELA"2cb: pa los pattioos
[2021:04:12-00:01:01]  (Local) -> (LOCAL)[4]#7F7F7F|DJ|#FF5C00Henry: con el banshee
[2021:04:12-00:01:01]  (Global) -> Ellkinghernan[CDG]: gracias
[2021:04:12-00:01:04]  (Global) -> eJdexx|#9706BC 夜: SE ME ACABO EL VIP :U
[2021:04:12-00:01:04]  (Local) -> (LOCAL)[12]AlCapone|LEGEND|: pero ahora entro :P
[2021:04:12-00:01:05]  (Local) -> (LOCAL)[3]Satake: RISA
[2021:04:12-00:01:05]  (Local) -> (LOCAL)[12]ALCapone|EVG|: DEMELO POR EL WPP
[2021:04:12-00:01:06]  (Local) -> (LOCAL)[1]WolfUser'2cb: esta cagado de la risa por que me envalo
[2021:04:12-00:01:07]  (Local) -> (LOCAL)[1]kevin1033|EVG|: si lo tunea alcansa como 214km
[2021:04:12-00:01:07]  (Global) -> kamilo|2cb: por locas
[2021:04:12-00:01:08]  (Local) -> (LOCAL)[5]BUHODERMIA: ola si ola
[2021:04:12-00:01:09]  (Global) -> xxddxdxd'2cb|#012F7AＫＰ→延: :
[2021:04:12-00:01:09]  (Local) -> (LOCAL)[5]KiraOwO~Capu: saca el virgo un momento pa verlo
[2021:04:12-00:01:10]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF5C00Orgalor: BANSHE?
[2021:04:12-00:01:11]  (Local) -> (LOCAL)[1]JULIO_MOTOA: coja esta ps
[2021:04:12-00:01:11]  (Local) -> (LOCAL)[10]ZeroTwo[CAPU]: f
[2021:04:12-00:01:11]  (Local) -> (LOCAL)[10]AlCapone|LEGEND|: hagale
[2021:04:12-00:01:13]  (Local) -> (LOCAL)[1]kevin1033|EVG|: esa rapoido
[2021:04:12-00:01:14]  (Local) -> (LOCAL)[5]#7F7F7F|DJ|#FF5C00Henry: ola u si ola
[2021:04:12-00:01:14]  (Local) -> (LOCAL)[5]BUHODERMIA: sisas saquelo
[2021:04:12-00:01:14]  (Global) -> Turferin'2cb: SIN VIP NO SOS NADIE
[2021:04:12-00:01:14]  (Global) -> kamilo|2cb: jajaajajajja
[2021:04:12-00:01:16]  (Global) -> Ellkinghernan[CDG]: va
[2021:04:12-00:01:16]  (Global) -> Bellaqueohpta(LBC)|#83FF00ʍđท:        
[2021:04:12-00:01:16]  (Local) -> (LOCAL)[1]ChapoGuzman|ELN: por una estrellas
[2021:04:12-00:01:17]  (Global) -> Turferin'2cb: AAAAAAAAAAJJAJ
[2021:04:12-00:01:17]  (Global) -> Juanma-ELN|#5EF5F7������: '#ff0000 EJERCITO DE LIBERACION NACIONAL #00ff00 [ELN] Recluta Nuevos miembros'
[2021:04:12-00:01:17]  (Local) -> (LOCAL)[5]#7F7F7F|DJ|#FF5C00Henry: si
[2021:04:12-00:01:18]  (Local) -> (LOCAL)[11]Nobody: no entre a esa
[2021:04:12-00:01:18]  (Local) -> (LOCAL)[1]COSCULLUELA"2cb: que caj
[2021:04:12-00:01:19]  (Local) -> (LOCAL)[1]kevin1033|EVG|: breve
[2021:04:12-00:01:20]  (Global) -> Bellaqueohpta(LBC)|#83FF00ʍđท:  
[2021:04:12-00:01:20]  (Global) -> eJdexx|#9706BC 夜: XD
[2021:04:12-00:01:22]  (Global) -> RaspyJell-o44: TENGO LOS OIDOS COMO UNA CHOCHA FRESCA SIN ESCUCHAR ALETEO
[2021:04:12-00:01:24]  (Local) -> (LOCAL)[5]BUHODERMIA: saque el virgo
[2021:04:12-00:01:25]  (Local) -> (LOCAL)[14]AlCapone|LEGEND|: como asi
[2021:04:12-00:01:26]  (Local) -> (LOCAL)[0]kevin1033|EVG|: la buena pa si queire otro carro me avisa
[2021:04:12-00:01:26]  (Global) -> xxddxdxd'2cb|#012F7AＫＰ→延: WHEN ACES TUS MOMOS XDXDXDFXDXDDXDD 
[2021:04:12-00:01:32]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF5C00Orgalor: ya dijo q en ban she
[2021:04:12-00:01:33]  (Global) -> xxddxdxd'2cb|#012F7AＫＰ→延: BUT TE BANEAN :'U
[2021:04:12-00:01:34]  (Global) -> kamilo|2cb: me dicen el engancha todo
[2021:04:12-00:01:34]  (Local) -> (LOCAL)[17]ChapoGuzman|ELN: por una estrellas
[2021:04:12-00:01:34]  (Local) -> (LOCAL)[15]Nobody: a esa gang
[2021:04:12-00:01:35]  (Global) -> PeterJ|#FFFFFFঔৣ☬: hola
[2021:04:12-00:01:36]  (Local) -> (LOCAL)[14]Juanma-ELN: vea
[2021:04:12-00:01:37]  (Local) -> (LOCAL)[5]BUHODERMIA: a
[2021:04:12-00:01:38]  (Global) -> Turferin'2cb: When haces momos en turf
[2021:04:12-00:01:38]  (Local) -> (LOCAL)[14]Vlankillo: html
[2021:04:12-00:01:39]  (Local) -> (LOCAL)[14]AlCapone|LEGEND|: nono
[2021:04:12-00:01:39]  (Local) -> (LOCAL)[5]#7F7F7F|DJ|#FF5C00Henry: banshee
[2021:04:12-00:01:39]  (Global) -> Juanma-ELN|#5EF5F7������: u
[2021:04:12-00:01:40]  (Local) -> (LOCAL)[1]Lucho_portuano(CDG): como es
[2021:04:12-00:01:41]  (Global) -> xxddxdxd'2cb|#012F7AＫＰ→延: w
[2021:04:12-00:01:42]  (Local) -> (LOCAL)[1]COSCULLUELA"2cb: ah no
[2021:04:12-00:01:43]  (Local) -> (LOCAL)[13]AlCapone|LEGEND|: solo groove street
[2021:04:12-00:01:43]  (Local) -> (LOCAL)[5]BUHODERMIA: pero quiero ver una cosa en virgo
[2021:04:12-00:01:44]  (Local) -> (LOCAL)[5]#7F7F7F|DJ|#FF5C00Henry: se curvea feo xd
[2021:04:12-00:01:48]  (Local) -> (LOCAL)[3]COSCULLUELA"2cb: pa que respeten
[2021:04:12-00:01:49]  (Global) -> PeterJ|#FFFFFFঔৣ☬: que cosa el trabajo?
[2021:04:12-00:01:51]  (Local) -> (LOCAL)[1]Lucho_portuano(CDG): pa te gustaria unirte a mi gang?
[2021:04:12-00:01:53]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF5C00Orgalor: cual
[2021:04:12-00:01:55]  (Global) -> Juancho-ELN: Dominio
[2021:04:12-00:01:55]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF5C00Orgalor: entonces
[2021:04:12-00:01:55]  (Local) -> (LOCAL)[16]Juanma-ELN: # 00 ff 00
[2021:04:12-00:01:56]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF5C00Orgalor: este=
[2021:04:12-00:01:58]  (Local) -> (LOCAL)[13]Juanma-ELN: ese es uno
[2021:04:12-00:01:59]  (Local) -> (LOCAL)[3]COSCULLUELA"2cb: jajajajaaj
[2021:04:12-00:02:00]  (Global) -> PeterJ|#FFFFFFঔৣ☬:  a no gracais
[2021:04:12-00:02:01]  (Local) -> (LOCAL)[5]#7F7F7F|DJ|#FF5C00Henry: si{
[2021:04:12-00:02:02]  (Local) -> (LOCAL)[3]Satake: q risa
[2021:04:12-00:02:02]  (Local) -> (LOCAL)[5]#7F7F7F|DJ|#FF5C00Henry: ese
[2021:04:12-00:02:03]  (Local) -> (LOCAL)[13]ZeroTwo[CAPU]: hola fatidioso
[2021:04:12-00:02:07]  (Local) -> (LOCAL)[1]Lucho_portuano(CDG): listo pues
[2021:04:12-00:02:08]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF5C00Orgalor: acomoden
[2021:04:12-00:02:09]  (Local) -> (LOCAL)[2]ChapoGuzman|ELN: venga pa eln
[2021:04:12-00:02:09]  (Local) -> (LOCAL)[13]Juanma-ELN: #00ff00 melo
[2021:04:12-00:02:11]  (Global) -> DONOSO_LIDER/CDL: # 00 ff 00 Donoso
[2021:04:12-00:02:11]  (Global) -> PeterJ|#FFFFFFঔৣ☬: ok
[2021:04:12-00:02:12]  (Local) -> (LOCAL)[14]Juanma-ELN: verde
[2021:04:12-00:02:12]  (Local) -> (LOCAL)[1]ChapoGuzman|ELN: 2cb ya no es nada
[2021:04:12-00:02:13]  (Local) -> (LOCAL)[5]KiraOwO~Capu: #000000BUHODERMIA
[2021:04:12-00:02:16]  (Global) -> kamilo|2cb: ajajajjajaja
[2021:04:12-00:02:18]  (Local) -> (LOCAL)[5]BUHODERMIA: soi yo
[2021:04:12-00:02:24]  (Local) -> (LOCAL)[2]COSCULLUELA"2cb: jajajajaaj
[2021:04:12-00:02:25]  (Local) -> (LOCAL)[5]KiraOwO~Capu: ven estalla el heli
[2021:04:12-00:02:27]  (Global) -> eJdexx|#9706BC 夜: #00000 a
[2021:04:12-00:02:27]  (Local) -> (LOCAL)[13]peter_farid: BUENA LOCAS
[2021:04:12-00:02:30]  (Global) -> ZeroTwo[CAPU]: #00ff00 :3
[2021:04:12-00:02:30]  (Local) -> (LOCAL)[5]KiraOwO~Capu: q no estas en mp
[2021:04:12-00:02:32]  (Global) -> kamilo|2cb: locas
[2021:04:12-00:02:32]  (Global) -> R$Cali$!AUC|#FFA4CBツ: momos DONOS
[2021:04:12-00:02:33]  (Local) -> (LOCAL)[2]COSCULLUELA"2cb: a pagarrrrrrrr
[2021:04:12-00:02:34]  (Local) -> (LOCAL)[13]braiderandres: COMO NOS TOCA
[2021:04:12-00:02:39]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF5C00Orgalor: tan juntos no
[2021:04:12-00:02:40]  (Global) -> Juanma-ELN|#5EF5F7������:  # 00 ff 00 
[2021:04:12-00:02:41]  (Local) -> (LOCAL)[1]pulidusk'ocp: oe
[2021:04:12-00:02:42]  (Local) -> (LOCAL)[5]#7F7F7F|DJ|#FF5C00Henry: a
[2021:04:12-00:02:44]  (Local) -> (LOCAL)[5]BUHODERMIA: a
[2021:04:12-00:02:46]  (Global) -> peter_farid:  QUE ASCO ESE JUANMA ELN MERO CACORRO LA MAMA ES MERA PERRA HIJUEPUTA
[2021:04:12-00:02:47]  (Global) -> kamilo|2cb: dele lock
[2021:04:12-00:02:51]  (Global) -> Dominio|#CBCBCBЯN: jajajjajajaa
[2021:04:12-00:02:53]  (Global) -> ZeroTwo[CAPU]: #00ff00 :3
[2021:04:12-00:02:54]  (Global) -> R$Cali$!AUC|#FFA4CBツ: ASJASJAJSAJS
[2021:04:12-00:02:56]  (Global) -> xxddxdxd'2cb|#012F7AＫＰ→延: WHEN ACES TUS MOMOS XDXDXDFXDXDDXDD 
[2021:04:12-00:03:00]  (Global) -> xxddxdxd'2cb|#012F7AＫＰ→延: BUT TE BANEAN :'U
[2021:04:12-00:03:01]  (Global) -> #7F7F7F|DJ|#FF5C00Henry: quien me mató
[2021:04:12-00:03:03]  (Global) -> kamilo|2cb: jajaajja que visaje
[2021:04:12-00:03:05]  (Local) -> (LOCAL)[15]ZeroTwo[CAPU]: #00ff00 buenas
[2021:04:12-00:03:05]  (Global) -> #7F7F7F|DJ|#FF5C00Henry: ._:
[2021:04:12-00:03:06]  (Local) -> (LOCAL)[14]Juanma-ELN: #00000 ola
[2021:04:12-00:03:07]  (Local) -> (LOCAL)[4]Nobody: no cazumba
[2021:04:12-00:03:10]  (Local) -> (LOCAL)[13]Bellaqueohpta(LBC): arias
[2021:04:12-00:03:11]  (Global) -> R$Cali$!AUC|#FFA4CBツ: peter_farid:  QUE ASCO ESE JUANMA ELN MERO CACORRO LA MAMA ES MERA PERRA HIJUEPUTA
[2021:04:12-00:03:13]  (Global) -> Juanma-ELN|#5EF5F7������:  #000000 ola
[2021:04:12-00:03:15]  (Local) -> (LOCAL)[13]Bellaqueohpta(LBC): ARIAS
[2021:04:12-00:03:15]  (Global) -> #5EF5F7Hoka^|#5EF5F7������: Buenas
[2021:04:12-00:03:15]  (Team - Law Enforcement) -> (TEAM)[_gomez_]: /
[2021:04:12-00:03:19]  (Global) -> eJdexx|#9706BC 夜: Quien regala vip
[2021:04:12-00:03:21]  (Local) -> (LOCAL)[4]KiraOwO~Capu: wtf como moriste
[2021:04:12-00:03:22]  (Local) -> (LOCAL)[3]COSCULLUELA"2cb: eso jajajaajaj
[2021:04:12-00:03:23]  (Local) -> (LOCAL)[2]pulidusk'ocp: oe
[2021:04:12-00:03:27]  (Local) -> (LOCAL)[4]#7F7F7F|DJ|#FF5C00Henry: pero con ./crear evento xd
[2021:04:12-00:03:27]  (Global) -> Julian07: oe
[2021:04:12-00:03:27]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Orgalor: perdon
[2021:04:12-00:03:28]  (Local) -> (LOCAL)[15]Juanma-ELN: #000000 vea el negro
[2021:04:12-00:03:29]  (Local) -> (LOCAL)[16]Vlankillo: ay
[2021:04:12-00:03:31]  (Local) -> (LOCAL)[4]#7F7F7F|DJ|#FF5C00Henry: para todos
[2021:04:12-00:03:31]  (Global) -> ChapoGuzman|ELN: yo 
[2021:04:12-00:03:32]  (Local) -> (LOCAL)[16]ZeroTwo[CAPU]: #00000 :3
[2021:04:12-00:03:32]  (Local) -> (LOCAL)[5]#7F7F7F|DJ|#FF5C00Henry: xd
[2021:04:12-00:03:33]  (Local) -> (LOCAL)[1]pulidusk'ocp: se quiere unir a mi gantg?
[2021:04:12-00:03:34]  (Global) -> ChapoGuzman|ELN: no
[2021:04:12-00:03:35]  (Local) -> (LOCAL)[5]BUHODERMIA: joder mi car
[2021:04:12-00:03:35]  (Local) -> (LOCAL)[16]Hoka^: UUUUUUUUUUUUUUUUU
[2021:04:12-00:03:36]  (Global) -> ZeroTwo[CAPU]: #0000 :3
[2021:04:12-00:03:38]  (Local) -> (LOCAL)[1]xxddxdxd'2cb: aa
[2021:04:12-00:03:41]  (Local) -> (LOCAL)[1]Nobody: oe
[2021:04:12-00:03:43]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF5C00Orgalor: a nea
[2021:04:12-00:03:45]  (Local) -> (LOCAL)[16]snyder_david: nos damos a traques
[2021:04:12-00:03:46]  (Global) -> Julian07: no pana ya estoy en uno 
[2021:04:12-00:03:46]  (Local) -> (LOCAL)[1]XEROX: aaaaaaaaaaa
[2021:04:12-00:03:46]  (Local) -> (LOCAL)[3]pulidusk'ocp: se kieren unir a mi gang?
[2021:04:12-00:03:46]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF5C00Orgalor: espere acomodo
[2021:04:12-00:03:50]  (Global) -> Lamart(ELN): Que los hagamos respetar dice :3
[2021:04:12-00:03:50]  (Local) -> (LOCAL)[17]Vlankillo: xd
[2021:04:12-00:03:51]  (Local) -> (LOCAL)[5]BUHODERMIA: suabe con yo
[2021:04:12-00:03:54]  (Global) -> Juanma-ELN|#5EF5F7������:  (っ◠‿ ◠)っ Jugada ELN ❤ 
[2021:04:12-00:03:56]  (Local) -> (LOCAL)[17]eJdexx: Quien regala vip
[2021:04:12-00:03:56]  (Global) -> RaspyJell-o44: ALETEO SOCIO
[2021:04:12-00:03:56]  (Local) -> (LOCAL)[2]JULIO_MOTOA: oe
[2021:04:12-00:04:02]  (Local) -> (LOCAL)[2]JULIO_MOTOA: usted ve las motos reales ?
[2021:04:12-00:04:02]  (Global) -> CuriousAntelope32: decilo
[2021:04:12-00:04:03]  (Local) -> (LOCAL)[17]braiderandres: COMO NOS TOCA PIROBOSSSSSSSSS
[2021:04:12-00:04:06]  (Global) -> kamilo|2cb: me encanta este trabajo jaajajajja
[2021:04:12-00:04:08]  (Local) -> (LOCAL)[17]Juancho-ELN: este caremonda
[2021:04:12-00:04:11]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF5C00Orgalor: dejen un pequeño espacio
[2021:04:12-00:04:11]  ([Msg] de #00ff00ChapoGuzman|ELN para eJdexx: va a venir a eln alfin?) -> nil
[2021:04:12-00:04:11]  (Global) -> CuriousAntelope32: si
[2021:04:12-00:04:12]  (Local) -> (LOCAL)[1]xxddxdxd'2cb: q
[2021:04:12-00:04:14]  (Local) -> (LOCAL)[2]CuriousAntelope32: nas blancas
[2021:04:12-00:04:17]  (Local) -> (LOCAL)[1]COSCULLUELA"2cb: jaaajaa
[2021:04:12-00:04:18]  (Global) -> eJdexx|#9706BC 夜: AAAAAA SE ME ACABO EL VIPPPPPPPP
[2021:04:12-00:04:19]  (Local) -> (LOCAL)[1]xxddxdxd'2cb: cuanto son
[2021:04:12-00:04:20]  (Global) -> CuriousAntelope32:  y la kia azul
[2021:04:12-00:04:22]  (Local) -> (LOCAL)[1]Stivenv28~ELN: vaya a otra pa
[2021:04:12-00:04:22]  (Local) -> (LOCAL)[16]Dominio: VAMOS POR SEMALÑPARIDO
[2021:04:12-00:04:27]  (Local) -> (LOCAL)[2]Juancho-ELN: ya lo meti
[2021:04:12-00:04:27]  (Local) -> (LOCAL)[2]JULIO_MOTOA: weno
[2021:04:12-00:04:27]  ([Msg] de xxddxdxd'2cb para mata: turf) -> nil
[2021:04:12-00:04:27]  (Local) -> (LOCAL)[5]KiraOwO~Capu: orgalor prestame un virgo
[2021:04:12-00:04:28]  (Local) -> (LOCAL)[1]Stivenv28~ELN: vaya a otra pa
[2021:04:12-00:04:29]  (Local) -> (LOCAL)[2]Dominio: AAA MIRALOAQUI
[2021:04:12-00:04:30]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF5C00Orgalor: corra ese
[2021:04:12-00:04:31]  (Local) -> (LOCAL)[1]COSCULLUELA"2cb: pere
[2021:04:12-00:04:34]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF5C00Orgalor: epa
[2021:04:12-00:04:36]  (Local) -> (LOCAL)[2]JULIO_MOTOA: pere azul ?
[2021:04:12-00:04:38]  (Global) -> CuriousAntelope32:  esto es ocmo una pusar
[2021:04:12-00:04:38]  (Global) -> #7F7F7F|DJ|#FF5C00Henry: orgalor 
[2021:04:12-00:04:39]  (Global) -> eJdexx|#9706BC 夜: Turferin'2cb
[2021:04:12-00:04:39]  (Local) -> (LOCAL)[3]Dominio: Joa cule tema
[2021:04:12-00:04:40]  (Local) -> (LOCAL)[1]COSCULLUELA"2cb: graxx
[2021:04:12-00:04:41]  (Global) -> eJdexx|#9706BC 夜: me regala vip
[2021:04:12-00:04:43]  (Global) -> CuriousAntelope32: si esto 
[2021:04:12-00:04:43]  (Local) -> (LOCAL)[5]#7F7F7F|DJ|#FF5C00Henry: el evento es para todos xd
[2021:04:12-00:04:43]  (Team - Services) -> (TEAM)Naruto|CDG|: y q quiere q hagamos
[2021:04:12-00:04:48]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF5C00Orgalor: si yo se
[2021:04:12-00:04:49]  (Global) -> CuriousAntelope32:  es como una pulsar
[2021:04:12-00:04:53]  (Global) -> Eusulobo: Dani
[2021:04:12-00:04:54]  (Global) -> Eusulobo: Dani
[2021:04:12-00:04:56]  (Global) -> kamilo|2cb: ah mk mi barriga jajaajajajja
[2021:04:12-00:04:57]  (Global) -> Eusulobo: Dani hpta
[2021:04:12-00:04:57]  ([Msg] de #00ff00ChapoGuzman|ELN para eJdexx: va a venir a eln alfin?) -> nil
[2021:04:12-00:04:58]  (Local) -> (LOCAL)[1]JULIO_MOTOA: ucal?
[2021:04:12-00:04:58]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF5C00Orgalor: quiete se
[2021:04:12-00:05:00]  (Local) -> (LOCAL)[13]snyder_david: buena chuki
[2021:04:12-00:05:00]  (Global) -> Eusulobo: Donde anda?
[2021:04:12-00:05:03]  (Global) -> CuriousAntelope32:  la mia
[2021:04:12-00:05:03]  (Global) -> Django[CDG]: queeeeeeeeeeeeee
[2021:04:12-00:05:04]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Orgalor: acomode
[2021:04:12-00:05:04]  (Global) -> BUHODERMIA|#000000侍: #000000BUHODERMIA EN LA KASA
[2021:04:12-00:05:09]  (Local) -> (LOCAL)[12]ALCapone|EVG|: TAZIANDO DESDE ZONA DA BAN
[2021:04:12-00:05:09]  (Local) -> (LOCAL)[1]JULIO_MOTOA: es una xt 660 jajajaja
[2021:04:12-00:05:11]  (Global) -> Eusulobo: En que ciudad estan?
[2021:04:12-00:05:12]  (Local) -> (LOCAL)[1]JULIO_MOTOA: cagao
[2021:04:12-00:05:13]  (Global) -> Stivenv28~ELN|#5EF5F7������: aaaaaaaaaaaaaaa
[2021:04:12-00:05:13]  (Global) -> CuriousAntelope32:  la suya es mera destartalada
[2021:04:12-00:05:14]  (Local) -> (LOCAL)[9]eJdexx: momazo
[2021:04:12-00:05:14]  (Global) -> Django[CDG]: en los buses
[2021:04:12-00:05:15]  (Local) -> (LOCAL)[1]COSCULLUELA"2cb: no ha comido nea
[2021:04:12-00:05:16]  (Local) -> (LOCAL)[1]JULIO_MOTOA: no la ve ?
[2021:04:12-00:05:16]  (Local) -> (LOCAL)[2]ALCapone|EVG|: TAZIANDO DESDE ZONA DA BAN
[2021:04:12-00:05:18]  (Local) -> (LOCAL)[9]eJdexx: momazo
[2021:04:12-00:05:19]  (Local) -> (LOCAL)[3]Nobody: hola
[2021:04:12-00:05:20]  (Global) -> ALCapone|EVG|: ADMIN}
[2021:04:12-00:05:21]  (Global) -> Django[CDG]: santos
[2021:04:12-00:05:22]  (Local) -> (LOCAL)[1]JULIO_MOTOA: no ve una n maz ?
[2021:04:12-00:05:23]  (Local) -> (LOCAL)[8]eJdexx: ni lo tazee desde zona jasjasjasajsa
[2021:04:12-00:05:23]  (Local) -> (LOCAL)[2]Juancho-ELN: yo meti al otro caremonda
[2021:04:12-00:05:25]  (Local) -> (LOCAL)[2]Lucho_portuano(CDG): como es
[2021:04:12-00:05:26]  (Local) -> (LOCAL)[2]Juancho-ELN: rambo
