This file was generated by Console at 2021:05:03-00:00:00



[2021:05:03-00:00:00]  (Local) -> (LOCAL)[2]Dilan'CDG: a
[2021:05:03-00:00:22]  (Local) -> (LOCAL)[2]Klk.SEMEN: oye soy z
[2021:05:03-00:00:22]  (Local) -> (LOCAL)[2]Yesid_[CDG]: ok melo
[2021:05:03-00:00:22]  (Global) -> Verriondo: sñor
[2021:05:03-00:00:24]  (Local) -> (LOCAL)[2]Topo|Z|: Deme bala
[2021:05:03-00:00:25]  (Local) -> (LOCAL)[2]Yesid_[CDG]: oe
[2021:05:03-00:00:26]  (Local) -> (LOCAL)[1]Mr_KR_[AKT]: boff ke
[2021:05:03-00:00:26]  (Local) -> (LOCAL)[2]JUANDA-SEMEN: paaz
[2021:05:03-00:00:30]  (Global) -> PRO: dele
[2021:05:03-00:00:30]  (Local) -> (LOCAL)[2]Avalencia: eso
[2021:05:03-00:00:31]  (Global) -> Dilan'CDG|#F1F1F1ঔৣ☬: #00ff00 VENDO BLISTA COMPACT Y TORNADO LOS DOS POR 1 M
[2021:05:03-00:00:31]  (Local) -> (LOCAL)[1]Yesid_[CDG]: le vendo un infernus
[2021:05:03-00:00:32]  (Local) -> (LOCAL)[2]Avalencia: quietos xD
[2021:05:03-00:00:33]  (Local) -> (LOCAL)[3]JUANDA-SEMEN: dejalo
[2021:05:03-00:00:33]  (Local) -> (LOCAL)[1]Klk.SEMEN: oiga
[2021:05:03-00:00:34]  (Team - Services) -> (TEAM)Sebas_guaracho[CDG]: subase
[2021:05:03-00:00:34]  (Local) -> (LOCAL)[1]Topo|Z|: Deme bala
[2021:05:03-00:00:35]  (Local) -> (LOCAL)[3]JUANDA-SEMEN: paxz
[2021:05:03-00:00:35]  (Global) -> #7F7F7F|ADM|#FF0000#9800D1MenteMaestra|#9800D1GDT!: se cansó pa
[2021:05:03-00:00:37]  (Local) -> (LOCAL)[5]Tabares[Z]: eres nueva
[2021:05:03-00:00:40]  (Local) -> (LOCAL)[1]Topo|Z|: Con lo que sea
[2021:05:03-00:00:40]  (Global) -> Verriondo: como sele ocurre
[2021:05:03-00:00:41]  (Local) -> (LOCAL)[1]Klk.SEMEN: agame un favot antes de meterme pjs
[2021:05:03-00:00:41]  (Global) -> #7F7F7F|ADM|#FF5C00lauuu|#18AED9カプガン: MenteMaestra
[2021:05:03-00:00:43]  (Local) -> (LOCAL)[1]Topo|Z|: Demee
[2021:05:03-00:00:46]  (Local) -> (LOCAL)[1]Topo|Z|: Es pa ver algo
[2021:05:03-00:00:47]  (Global) -> Lucifer-.2cb: ACA NO =
[2021:05:03-00:00:48]  (Local) -> (LOCAL)[2]Avalencia: CAMBIEN
[2021:05:03-00:00:49]  (Global) -> Lucifer-.2cb: =
[2021:05:03-00:00:50]  (Local) -> (LOCAL)[3]#7F7F7F|LG|#FF5C00PsIcKo?'DeTemeer~: xdddddd
[2021:05:03-00:00:51]  (Local) -> (LOCAL)[1]Peyeta'2cb: na todo bn
[2021:05:03-00:00:52]  (Global) -> #7F7F7F|ADM|#FF5C00Francine98|#9800D1GDT!: JAAKAjakJJAja lautra
[2021:05:03-00:00:54]  (Global) -> #7F7F7F|ADM|#FF0000#9800D1MenteMaestra|#9800D1GDT!: lauuu
[2021:05:03-00:00:55]  (Local) -> (LOCAL)[1]Azrael: esa es
[2021:05:03-00:00:55]  (Local) -> (LOCAL)[2]Avalencia: CAMBIEN
[2021:05:03-00:00:56]  (Global) -> iguana_97: compa muchas fracias 
[2021:05:03-00:00:58]  (Team - Services) -> (TEAM)Julio_Motoa|4K|: ya caigo
[2021:05:03-00:00:58]  (Local) -> (LOCAL)[1]Tabares[Z]: escribe con la U
[2021:05:03-00:00:58]  (Global) -> #7F7F7F|ADM|#FF0000#9800D1MenteMaestra|#9800D1GDT!: ya almorzaste
[2021:05:03-00:00:59]  (Global) -> #7F7F7F|ADM|#FF5C00lauuu|#18AED9カプガン: de que se rie Francune
[2021:05:03-00:01:01]  (Team - Services) -> (TEAM)MONDA'2cb: OE JULIO
[2021:05:03-00:01:01]  (Global) -> iguana_97:  como arrestp a la gente 
[2021:05:03-00:01:03]  (Global) -> #7F7F7F|ADM|#FF5C00lauuu|#18AED9カプガン: si
[2021:05:03-00:01:04]  (Local) -> (LOCAL)[1]Azrael: compra tambien el chaleco
[2021:05:03-00:01:05]  (Local) -> (LOCAL)[2]Avalencia: OTRAA TOCOO
[2021:05:03-00:01:06]  (Local) -> (LOCAL)[6]FLOREZ_[CDG]: f
[2021:05:03-00:01:06]  (Local) -> (LOCAL)[2]JuliethVasquez: quieres ser mi novio?
[2021:05:03-00:01:06]  (Team - Services) -> (TEAM)MONDA'2cb: HAGALE PA
[2021:05:03-00:01:07]  (Global) -> #7F7F7F|LG|#FF5C00PsIcKo?'DeTemeer~|#18AED9カプガン: hola lau
[2021:05:03-00:01:08]  (Local) -> (LOCAL)[2]Avalencia: Cambie esa
[2021:05:03-00:01:09]  (Global) -> Dilan'CDG|#F1F1F1ঔৣ☬: #00ff00 VENDO BLISTA COMPACT Y TORNADO LOS DOS POR 1 M
[2021:05:03-00:01:12]  (Global) -> #7F7F7F|ADM|#FF5C00lauuu|#18AED9カプガン: hola
[2021:05:03-00:01:13]  (Global) -> #7F7F7F|ADM|#FF5C00lauuu|#18AED9カプガン: q mas
[2021:05:03-00:01:14]  (Global) -> #7F7F7F|ADM|#FF5C00Francine98|#9800D1GDT!: jakajsskka no nda me contaorno un chiste
[2021:05:03-00:01:16]  (Local) -> (LOCAL)[2]Avalencia: otra
[2021:05:03-00:01:16]  (Global) -> VirtuoXS[EVG]: hora de sacar el blade
[2021:05:03-00:01:16]  (Global) -> #7F7F7F|LG|#FF5C00PsIcKo?'DeTemeer~|#18AED9カプガン: bien
[2021:05:03-00:01:17]  (Local) -> (LOCAL)[3]Niche-[Capu]: oe oe
[2021:05:03-00:01:18]  (Local) -> (LOCAL)[2]Avalencia: que no se ve bien
[2021:05:03-00:01:19]  (Local) -> (LOCAL)[1]JuliethVasquez: venga hablamos
[2021:05:03-00:01:19]  (Local) -> (LOCAL)[5]Klk.SEMEN: uy nea
[2021:05:03-00:01:20]  (Global) -> #7F7F7F|LG|#FF5C00PsIcKo?'DeTemeer~|#18AED9カプガン: melo
[2021:05:03-00:01:20]  (Global) -> PRO: no tiene un rapido y que sea bonito y se lo compro a 2 palos
[2021:05:03-00:01:22]  (Local) -> (LOCAL)[1]Tabares[Z]: huy eso porque tan rapido
[2021:05:03-00:01:22]  (Local) -> (LOCAL)[5]Klk.SEMEN: soy z
[2021:05:03-00:01:24]  (Global) -> DosCoronas|CAPU|#18AED9カプガン: vendo dulces
[2021:05:03-00:01:24]  (Global) -> Topo|Z|: F
[2021:05:03-00:01:25]  (Global) -> Juanma'ELN'|#5EF5F7������: #ff00ff vendo monster 2
[2021:05:03-00:01:29]  (Local) -> (LOCAL)[2]Avalencia: eso
[2021:05:03-00:01:31]  (Team - Services) -> (TEAM)Sebas_guaracho[CDG]: este
[2021:05:03-00:01:32]  (Local) -> (LOCAL)[2]MONDA'2cb: buen pa
[2021:05:03-00:01:32]  (Global) -> Juanma'ELN'|#5EF5F7������: #ff00ff vendo monster 2 y bashee
[2021:05:03-00:01:35]  (Local) -> (LOCAL)[2]MONDA'2cb: subase
[2021:05:03-00:01:35]  (Global) -> GuanisFlow|2cb|: PI PIT
[2021:05:03-00:01:36]  (Local) -> (LOCAL)[3]#7F7F7F|LG|#FF0000tussy'2cb: qqq
[2021:05:03-00:01:37]  (Global) -> dani_ball: mayday
[2021:05:03-00:01:43]  (Team - Services) -> (TEAM)KAYKOR: y
[2021:05:03-00:01:43]  (Global) -> #7F7F7F|LG|#FF5C00PsIcKo?'DeTemeer~|#18AED9カプガン: vendo banshee
[2021:05:03-00:01:44]  (Global) -> JoaGalindo: como cambio skin?
[2021:05:03-00:01:44]  (Local) -> (LOCAL)[1]Ignacio_Viillamil: gracias
[2021:05:03-00:01:44]  (Local) -> (LOCAL)[3]TiroFijo420DjBass'2cB: xd
[2021:05:03-00:01:44]  (Local) -> (LOCAL)[1]Tabares[Z]: porque tan rapido
[2021:05:03-00:01:45]  (Local) -> (LOCAL)[4]Klk.SEMEN: suelteme too bien
[2021:05:03-00:01:45]  (Global) -> Verriondo: topo pedazo de ´´´´
[2021:05:03-00:01:45]  (Local) -> (LOCAL)[0]Azrael: ya sabes cuando les dispares con la taser ellos iran al piso y luego les pegas 2 veces con el es
[2021:05:03-00:01:47]  (Local) -> (LOCAL)[3]Klk.SEMEN: escribame
[2021:05:03-00:01:49]  (Global) -> iguana_97: precio 
[2021:05:03-00:01:49]  (Global) -> GuanisFlow|2cb|: GRAXX
[2021:05:03-00:01:50]  (Global) -> Dilan'CDG|#F1F1F1ঔৣ☬: #00ff00 VENDO BLISTA COMPACT Y TORNADO LOS DOS POR 1 M
[2021:05:03-00:01:51]  (Local) -> (LOCAL)[2]Andres_Ramires||2cb||: oe
[2021:05:03-00:01:52]  (Local) -> (LOCAL)[3]judas[Z]: ya
[2021:05:03-00:01:54]  (Local) -> (LOCAL)[2]Juanma'ELN': eo
[2021:05:03-00:01:55]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: CON G
[2021:05:03-00:01:55]  (Local) -> (LOCAL)[1]MONDA'2cb: pero vamos alli y se lo muestro
[2021:05:03-00:01:56]  (Local) -> (LOCAL)[2]Avalencia: listo
[2021:05:03-00:01:56]  (Global) -> PRO: muestreme mas
[2021:05:03-00:01:56]  (Global) -> iguana_97: lleveme al hospital 
[2021:05:03-00:01:58]  (Local) -> (LOCAL)[2]Avalencia: ya dejemos eso asi xD
[2021:05:03-00:01:59]  (Global) -> Lucifer-.2cb: si los z a mi me mataron arriba en en la bomba
[2021:05:03-00:02:00]  (Local) -> (LOCAL)[1]Julio_Motoa|4K|: ta weno
[2021:05:03-00:02:07]  (Local) -> (LOCAL)[1]Tabares[Z]: primero no es mejor que me conoscas
[2021:05:03-00:02:09]  (Local) -> (LOCAL)[2]Andres_Ramires||2cb||: usted y yo nos conocemos sierto
[2021:05:03-00:02:10]  (Global) -> Lucifer-.2cb: unmos tipos vestidos de blanco
[2021:05:03-00:02:11]  (Local) -> (LOCAL)[2]Avalencia: yA
[2021:05:03-00:02:13]  (Local) -> (LOCAL)[5]CALDERON|AUC|: no sr
[2021:05:03-00:02:14]  (Global) -> Lucifer-.2cb: decia z
[2021:05:03-00:02:15]  (Global) -> Peyeta'2cb|#E20280 ඞ: VENDO OCEANIC RARE
[2021:05:03-00:02:16]  (Global) -> ema{CDG: oeoeoeoeoeo
[2021:05:03-00:02:16]  (Local) -> (LOCAL)[3]Juanma'ELN': como asi
[2021:05:03-00:02:16]  (Team - Criminals) -> (TEAM)Dominic/CDG/: /graffitit
[2021:05:03-00:02:17]  (Local) -> (LOCAL)[2]Juanma'ELN': xd
[2021:05:03-00:02:18]  (Global) -> BenitoCampos: ey
[2021:05:03-00:02:19]  (Global) -> ema{CDG: jajaj bobo
[2021:05:03-00:02:22]  (Global) -> Lucifer-.2cb: ay q
[2021:05:03-00:02:22]  (Local) -> (LOCAL)[2]Avalencia: Algun tiene una skin de cuchito?
[2021:05:03-00:02:23]  (Team - Services) -> (TEAM)Sebas_guaracho[CDG]: tengo esos 5 y ya pa vender
[2021:05:03-00:02:24]  (Local) -> (LOCAL)[2]Juanma'ELN': usted me vendia drogas
[2021:05:03-00:02:25]  (Local) -> (LOCAL)[1]Tabares[Z]: como
[2021:05:03-00:02:26]  (Local) -> (LOCAL)[2]Roco: yo
[2021:05:03-00:02:27]  (Local) -> (LOCAL)[2]Beltrancho|EVG: yo
[2021:05:03-00:02:28]  (Local) -> (LOCAL)[2]Juanma'ELN': o me vende xd
[2021:05:03-00:02:28]  (Local) -> (LOCAL)[2]Avalencia: a ver
[2021:05:03-00:02:30]  (Global) -> Dilan'CDG|#F1F1F1ঔৣ☬: HAY 43 PALOS QUIEN ME VENDE UN H3
[2021:05:03-00:02:30]  (Global) -> BenitoCampos: alguien sabe poq ue mi radio no se escuha?:c 
[2021:05:03-00:02:31]  (Local) -> (LOCAL)[2]Beltrancho|EVG: la de vendedor de bonice
[2021:05:03-00:02:31]  (Local) -> (LOCAL)[3]RaspyPail58: oe
[2021:05:03-00:02:32]  (Global) -> JHON.P: khkh
[2021:05:03-00:02:32]  (Global) -> Lucifer-.2cb: ustedes nos pueden matar pero nosotros a ustedes no
[2021:05:03-00:02:36]  (Local) -> (LOCAL)[2]Avalencia: Esa esa
[2021:05:03-00:02:36]  (Local) -> (LOCAL)[1]Julio_Motoa|4K|: xd
[2021:05:03-00:02:37]  (Local) -> (LOCAL)[2]Avalencia: ajajjajaja
[2021:05:03-00:02:37]  (Local) -> (LOCAL)[3]Niche-[Capu]: oe oe
[2021:05:03-00:02:40]  (Local) -> (LOCAL)[6]CALDERON|AUC|: Puro Falseto Con Delirios De Parcero aspiriina||EVG||
[2021:05:03-00:02:40]  (Global) -> #7F7F7F|ADM|#FF5C00Francine98|#9800D1GDT!: BenitoCampos mira el volumen en config
[2021:05:03-00:02:41]  (Local) -> (LOCAL)[2]Avalencia: venga vamos a otro interior
[2021:05:03-00:02:42]  (Local) -> (LOCAL)[1]MONDA'2cb: lo fisico es masomenos pero corre lo suyo
[2021:05:03-00:02:43]  (Team - Services) -> (TEAM)Sebas_guaracho[CDG]: todos full tuning y neon
[2021:05:03-00:02:45]  (Global) -> #7F7F7F|ADM|#FF5C00Francine98|#9800D1GDT!: volumen de mta
[2021:05:03-00:02:47]  (Local) -> (LOCAL)[8]aspiriina||EVG||: ivan no da ni rabia
[2021:05:03-00:02:47]  (Team - Services) -> (TEAM)Sebas_guaracho[CDG]: que
[2021:05:03-00:02:48]  (Local) -> (LOCAL)[1]MONDA'2cb: subase
[2021:05:03-00:02:49]  (Global) -> SordidIntestines27: oe
[2021:05:03-00:02:52]  (Local) -> (LOCAL)[7]CALDERON|AUC|: xd
[2021:05:03-00:02:54]  (Global) -> ELPOLLON: y que tres, sean serios
[2021:05:03-00:02:54]  (Local) -> (LOCAL)[3]JHON.P: y
[2021:05:03-00:02:55]  (Global) -> Lucifer-.2cb: ah)====???
[2021:05:03-00:02:56]  (Global) -> JHON.P: r
[2021:05:03-00:02:58]  (Local) -> (LOCAL)[2]Niche-[Capu]: a cuanto este blanco?
[2021:05:03-00:03:01]  (Global) -> EL_ZAARCOOO: jajajajaj
[2021:05:03-00:03:02]  (Global) -> Dilan'CDG|#F1F1F1ঔৣ☬: #00ff00 VENDO BLISTA COMPACT Y TORNADO LOS DOS POR 1 M
[2021:05:03-00:03:03]  (Global) -> Azrael: iguana te recomiendo trabajar en rappi primero porque es mas facil 
[2021:05:03-00:03:04]  (Global) -> SordidIntestines27: bajese de la moto
[2021:05:03-00:03:06]  (Global) -> BenitoCampos: ola
[2021:05:03-00:03:08]  (Team - Law Enforcement) -> (TEAM)Ignacio_Viillamil: como gano dinero, mucho
[2021:05:03-00:03:11]  (Local) -> (LOCAL)[1]Ignacio_Viillamil: ?
[2021:05:03-00:03:12]  (Local) -> (LOCAL)[7]RaspyPail58: oe pa
[2021:05:03-00:03:12]  (Local) -> (LOCAL)[8]Klk.SEMEN: suelteme
[2021:05:03-00:03:13]  (Local) -> (LOCAL)[2]Avalencia: vengan
[2021:05:03-00:03:14]  (Team - Services) -> (TEAM)Sebas_guaracho[CDG]: q palito
[2021:05:03-00:03:16]  (Local) -> (LOCAL)[2]TiroVisco.: cuanto corre este?
[2021:05:03-00:03:18]  (Team - Services) -> (TEAM)Sebas_guaracho[CDG]: 1
[2021:05:03-00:03:18]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: trabaje de camionero
[2021:05:03-00:03:23]  (Local) -> (LOCAL)[8]Juanma'ELN': mancos
[2021:05:03-00:03:23]  (Local) -> (LOCAL)[3]rolo: oee piter
[2021:05:03-00:03:25]  (Local) -> (LOCAL)[3]Topo|Z|: De kanaso
[2021:05:03-00:03:25]  (Local) -> (LOCAL)[4]judas[Z]: wtf
[2021:05:03-00:03:26]  (Local) -> (LOCAL)[1]Tabares[Z]: tellevo a central
[2021:05:03-00:03:27]  (Local) -> (LOCAL)[1]Ignacio_Viillamil: donde?
[2021:05:03-00:03:27]  (Global) -> EL_ZAARCOOO: me cojieron de distrae ;(
[2021:05:03-00:03:28]  (Team - Services) -> (TEAM)Sebas_guaracho[CDG]: se lo dejo a 900k
[2021:05:03-00:03:29]  (Local) -> (LOCAL)[1]PeterJ: OE
[2021:05:03-00:03:29]  (Global) -> iguana_97: compa 
[2021:05:03-00:03:30]  (Local) -> (LOCAL)[1]Julio_Motoa|4K|: aaa no c
[2021:05:03-00:03:30]  (Local) -> (LOCAL)[1]DosCoronas|CAPU: f
[2021:05:03-00:03:31]  (Local) -> (LOCAL)[7]Juanma'ELN': oe
[2021:05:03-00:03:33]  (Local) -> (LOCAL)[8]Juanma'ELN': y no tiene xd
[2021:05:03-00:03:34]  (Local) -> (LOCAL)[8]Andres_Ramires||2cb||: q
[2021:05:03-00:03:35]  (Local) -> (LOCAL)[1]DosCoronas|CAPU: 10k
[2021:05:03-00:03:35]  (Global) -> iguana_97: como arresto a la gente
[2021:05:03-00:03:36]  (Local) -> (LOCAL)[1]PeterJ: QUE MAS
[2021:05:03-00:03:36]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: lo llevo?
[2021:05:03-00:03:36]  (Local) -> (LOCAL)[1]Ignacio_Viillamil: porque no supe arrestar y menos matar jaja+
[2021:05:03-00:03:38]  (Local) -> (LOCAL)[8]Azrael: vamos a rappi mejor
[2021:05:03-00:03:38]  (Global) -> #7F7F7F|ADM|#FF0000Catre^|#9800D1GDT!: jum
[2021:05:03-00:03:39]  (Local) -> (LOCAL)[4]MONDA'2cb: pero no es mucho pero es trabajo honestro kakaka
[2021:05:03-00:03:40]  (Local) -> (LOCAL)[7]DosCoronas|CAPU: libertdat
[2021:05:03-00:03:44]  (Local) -> (LOCAL)[1]Ignacio_Viillamil: porfa
[2021:05:03-00:03:44]  (Local) -> (LOCAL)[1]rolo: camine pa el consesionari otra vez
[2021:05:03-00:03:44]  (Local) -> (LOCAL)[4]Julio_Motoa|4K|: xd
[2021:05:03-00:03:45]  (Local) -> (LOCAL)[4]TiroVisco.: cuanto corre este?
[2021:05:03-00:03:46]  (Local) -> (LOCAL)[1]Tabares[Z]: vamos
[2021:05:03-00:03:47]  (Global) -> iguana_97: no espere que ya camellamos ahi 
[2021:05:03-00:03:48]  (Local) -> (LOCAL)[1]Roco: uffffff
[2021:05:03-00:03:48]  (Local) -> (LOCAL)[1]PeterJ: PUDO COMPRTAR ALGO
[2021:05:03-00:03:50]  (Global) -> #7F7F7F|LG|#FF5C00PsIcKo?'DeTemeer~|#18AED9カプガン: jum
[2021:05:03-00:03:51]  (Local) -> (LOCAL)[1]Roco: chimba de casa
[2021:05:03-00:03:51]  (Global) -> ELPOLLON: y que matando tazead
[2021:05:03-00:03:51]  (Local) -> (LOCAL)[1]Avalencia: rocco necesito que se siente aca
[2021:05:03-00:03:52]  (Global) -> iguana_97: eager 
[2021:05:03-00:03:54]  (Local) -> (LOCAL)[3]MONDA'2cb: pues si quiere deme 700
[2021:05:03-00:03:55]  (Global) -> JoaGalindo: como cambio skin???
[2021:05:03-00:03:55]  (Local) -> (LOCAL)[1]PeterJ: DALE
[2021:05:03-00:03:56]  (Team - Services) -> (TEAM)Julio_Motoa|4K|: y aqui que venden
[2021:05:03-00:03:58]  (Local) -> (LOCAL)[1]JuliethVasquez: pa donde?
[2021:05:03-00:03:58]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: para arrestar tiene que ser con el bolillo
[2021:05:03-00:03:59]  (Local) -> (LOCAL)[3]MONDA'2cb: y ya
[2021:05:03-00:04:00]  (Local) -> (LOCAL)[1]Tabares[Z]: no sete escuha
[2021:05:03-00:04:02]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: lo tiene?
[2021:05:03-00:04:02]  (Local) -> (LOCAL)[8]Juanma'ELN': no
[2021:05:03-00:04:02]  (Global) -> Dilan'CDG|#F1F1F1ঔৣ☬: #00ff00 VENDO BLISTA COMPACT Y TORNADO LOS DOS POR 1 M
[2021:05:03-00:04:03]  (Local) -> (LOCAL)[8]Valak!: no hp
[2021:05:03-00:04:03]  (Local) -> (LOCAL)[2]Roco: asi
[2021:05:03-00:04:04]  (Local) -> (LOCAL)[2]Avalencia: Eso jajaja
[2021:05:03-00:04:04]  (Local) -> (LOCAL)[8]Juanma'ELN': xd
[2021:05:03-00:04:05]  (Local) -> (LOCAL)[9]Valak!: volvete serio
[2021:05:03-00:04:05]  (Local) -> (LOCAL)[2]Roco: ?
[2021:05:03-00:04:05]  (Local) -> (LOCAL)[2]rolo: no no se si comprar una moto o carro
[2021:05:03-00:04:07]  (Local) -> (LOCAL)[2]Roco: bien
[2021:05:03-00:04:09]  (Local) -> (LOCAL)[5]Camilolindo|2cb: ./ponerskin
[2021:05:03-00:04:12]  (Local) -> (LOCAL)[2]Julio_Motoa|4K|: pere pienso xd
[2021:05:03-00:04:14]  (Team - Services) -> (TEAM)MONDA'2cb: mas carros pero creo que ya los vendieron
[2021:05:03-00:04:14]  (Local) -> (LOCAL)[2]Avalencia: Breve pero entonces
[2021:05:03-00:04:14]  (Local) -> (LOCAL)[1]rolo: vamos
[2021:05:03-00:04:16]  (Team - Emergency) -> (TEAM)JuliethVasquez: yo manejo
[2021:05:03-00:04:17]  (Local) -> (LOCAL)[5]judas[Z]: tartarus
[2021:05:03-00:04:17]  (Global) -> SantyCraxker23: lo llevo?
[2021:05:03-00:04:18]  (Local) -> (LOCAL)[1]Ignacio_Viillamil: pues me sale esto como bolillo
[2021:05:03-00:04:18]  (Global) -> EL_ZAARCOOO: eso nos llego la ayuda del gobierno
[2021:05:03-00:04:19]  (Local) -> (LOCAL)[1]PeterJ: OK
[2021:05:03-00:04:19]  (Local) -> (LOCAL)[2]JuliethVasquez: yo manejo
[2021:05:03-00:04:19]  (Global) -> Tabares[Z]: upara hospital central
[2021:05:03-00:04:20]  (Team - Services) -> (TEAM)MONDA'2cb: hagale
[2021:05:03-00:04:20]  (Global) -> XxJhonnierxX: si
[2021:05:03-00:04:21]  (Local) -> (LOCAL)[2]Avalencia: hace esto
[2021:05:03-00:04:21]  (Local) -> (LOCAL)[2]rolo: lo sigo
[2021:05:03-00:04:21]  (Global) -> #7F7F7F|ADM|#FF5C00Francine98|#9800D1GDT!: JoaGalindo /ponerskin
[2021:05:03-00:04:23]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: es el escudo
[2021:05:03-00:04:24]  (Team - Criminals) -> (TEAM)TartarusZcB: e
[2021:05:03-00:04:24]  (Local) -> (LOCAL)[5]judas[Z]: aprendi a bugear sniper
[2021:05:03-00:04:27]  (Global) -> #7F7F7F|LG|#FF5C00PsIcKo?'DeTemeer~|#18AED9カプガン: ahora dice que no me conoce nononon
[2021:05:03-00:04:27]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: ok, ahora
[2021:05:03-00:04:28]  (Local) -> (LOCAL)[2]Juan_Ramirez: escriba /resign
[2021:05:03-00:04:28]  (Local) -> (LOCAL)[2]Avalencia: se sienta
[2021:05:03-00:04:29]  (Local) -> (LOCAL)[4]Julio_Motoa|4K|: questa vendiendo ?
[2021:05:03-00:04:33]  (Global) -> #7F7F7F|LG|#FF5C00PsIcKo?'DeTemeer~|#18AED9カプガン: y si me a visto en el pasado fue
[2021:05:03-00:04:33]  (Global) -> GualdronsitoCUMZ: jaja bonito focus
[2021:05:03-00:04:33]  (Global) -> Peyeta'2cb|#E20280 ඞ: VENDO OCEANIC RARE - TURISMO - HTR 1
[2021:05:03-00:04:35]  (Local) -> (LOCAL)[1]Tabares[Z]: con confianza
[2021:05:03-00:04:38]  (Local) -> (LOCAL)[4]TiroVisco.: lo estaba probando as
[2021:05:03-00:04:39]  (Global) -> EL_ZAARCOOO: donde esta duque hp
[2021:05:03-00:04:39]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: si ve que en mi nombre del personaje sale como un númeor?
[2021:05:03-00:04:40]  (Global) -> PRO: monda usted no tiene carros que sean bonitos y que corran 
[2021:05:03-00:04:42]  (Local) -> (LOCAL)[1]JuliethVasquez: casi no sé manejar
[2021:05:03-00:04:42]  (Team - Services) -> (TEAM)Sebas_guaracho[CDG]: ya le muestro
[2021:05:03-00:04:44]  (Global) -> Topo|Z|: Se salvo gonorrea Juanma'ELN'[5]
[2021:05:03-00:04:47]  (Local) -> (LOCAL)[2]Avalencia: se para y una animacio nde hablar
[2021:05:03-00:04:49]  (Local) -> (LOCAL)[1]Ignacio_Viillamil: si
[2021:05:03-00:04:49]  (Global) -> SordidIntestines27: oe
[2021:05:03-00:04:49]  (Local) -> (LOCAL)[2]Roco: Ñero XDDDDDDDD
[2021:05:03-00:04:50]  (Local) -> (LOCAL)[2]FLOREZ_[CDG]: ÑERO PLAS
[2021:05:03-00:04:52]  (Team - Services) -> (TEAM)MONDA'2cb: PRO
[2021:05:03-00:04:53]  (Local) -> (LOCAL)[2]FLOREZ_[CDG]: NO NOS DEJEMOS COGER
[2021:05:03-00:04:55]  (Local) -> (LOCAL)[2]FLOREZ_[CDG]: ESTE VIVO
[2021:05:03-00:04:55]  (Local) -> (LOCAL)[4]Niche-[Capu]: oiga y carros mas melos no tiene?
[2021:05:03-00:04:55]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MenteMaestra: ok eso es una estrella
