This file was generated by Console at 2021:05:15-00:00:00



[2021:05:15-00:00:00]  (Local) -> (LOCAL)[7]Miguel-paraco: oe
[2021:05:15-00:02:12]  (Global) -> KM9: dime
[2021:05:15-00:02:12]  (Local) -> (LOCAL)[2]ivan'2cb: papeles
[2021:05:15-00:02:14]  (Local) -> (LOCAL)[2]ivan'2cb: papeles
[2021:05:15-00:02:14]  (Local) -> (LOCAL)[1]penisBigHead: aaaa
[2021:05:15-00:02:16]  (Local) -> (LOCAL)[2]BajaPantys420|ELN: la uzi
[2021:05:15-00:02:17]  (Global) -> 247Best: me faltan 500
[2021:05:15-00:02:18]  (Global) -> JairSad: siza
[2021:05:15-00:02:18]  (Local) -> (LOCAL)[2]BajaPantys420|ELN: la uzi
[2021:05:15-00:02:19]  (Local) -> (LOCAL)[2]ivan'2cb: papeles
[2021:05:15-00:02:19]  (Local) -> (LOCAL)[1]A|capone|Zcb|: deme 600k
[2021:05:15-00:02:19]  (Local) -> (LOCAL)[1]IceWipe'ELN: sea para pasar el rato
[2021:05:15-00:02:19]  (Global) -> 247Best: sii
[2021:05:15-00:02:21]  (Local) -> (LOCAL)[1]penisBigHead: 500 de ping suave
[2021:05:15-00:02:22]  (Local) -> (LOCAL)[1]IceWipe'ELN: o turfear
[2021:05:15-00:02:22]  (Team - Unemployed) -> (TEAM)Cuchacho: chi
[2021:05:15-00:02:22]  (Global) -> DonSteven(CDG): Eso son 300k de la venta de mari y otros 100 de la apuesta
[2021:05:15-00:02:23]  (Global) -> 247Best: para la uzii
[2021:05:15-00:02:24]  (Local) -> (LOCAL)[3]ivan'2cb: papeles
[2021:05:15-00:02:25]  (Local) -> (LOCAL)[3]ivan'2cb: papeles
[2021:05:15-00:02:26]  (Local) -> (LOCAL)[1]CagaletoElCagaoELN: JAJAJAJ
[2021:05:15-00:02:27]  (Local) -> (LOCAL)[3]ivan'2cb: papeles
[2021:05:15-00:02:28]  (Local) -> (LOCAL)[3]TartarusZcB: F
[2021:05:15-00:02:28]  (Local) -> (LOCAL)[3]ivan'2cb: papeles
[2021:05:15-00:02:28]  (Local) -> (LOCAL)[3]BajaPantys420|ELN: la uziii
[2021:05:15-00:02:29]  (Local) -> (LOCAL)[3]ivan'2cb: papeles
[2021:05:15-00:02:29]  (Global) -> Cuchacho: veo, y usted tiene las recortadas dobles? 
[2021:05:15-00:02:30]  (Local) -> (LOCAL)[2]TartarusZcB: lo intenté
[2021:05:15-00:02:30]  (Local) -> (LOCAL)[3]ivan'2cb: papeles
[2021:05:15-00:02:31]  (Local) -> (LOCAL)[2]ivan'2cb: papeles
[2021:05:15-00:02:32]  (Local) -> (LOCAL)[1]biya'2cb: cuando los tenga le aviso
[2021:05:15-00:02:33]  (Local) -> (LOCAL)[2]ivan'2cb: papeles
[2021:05:15-00:02:34]  (Local) -> (LOCAL)[2]BajaPantys420|ELN: ya la compraste??????????
[2021:05:15-00:02:34]  (Local) -> (LOCAL)[1]JairSad: oe pa vendo bus
[2021:05:15-00:02:35]  (Local) -> (LOCAL)[4]snyder_david: con dos armas cualquiera pa
[2021:05:15-00:02:35]  (Local) -> (LOCAL)[1]A|capone|Zcb|: r
[2021:05:15-00:02:37]  (Local) -> (LOCAL)[2]BajaPantys420|ELN: 24
[2021:05:15-00:02:38]  (Local) -> (LOCAL)[0]biya'2cb: r
[2021:05:15-00:02:38]  (Global) -> iElViejoMiguexD: dele
[2021:05:15-00:02:38]  (Global) -> 247Best: me faltan 500 para comprar
[2021:05:15-00:02:38]  (Team - Services) -> (TEAM)DrabSun55: tyyuiijjhhghggffdssaqweyuio
[2021:05:15-00:02:38]  (Local) -> (LOCAL)[1]Cuchacho: hmm
[2021:05:15-00:02:41]  (Local) -> (LOCAL)[3]VisiosoHP69: a la comisaria xd
[2021:05:15-00:02:43]  (Team - Services) -> (TEAM)JairSad: no las temgo :,u
[2021:05:15-00:02:43]  (Local) -> (LOCAL)[8]Fetraq25/AUC/: entonces
[2021:05:15-00:02:44]  (Local) -> (LOCAL)[1]BajaPantys420|ELN: ya te mando
[2021:05:15-00:02:45]  (Global) -> Ivan_Duque(Porky)|#EB4E89ㅇㅅㅇ:  un dia por el cmapo me encontre con un duende
[2021:05:15-00:02:46]  (Global) -> 247Best: no me alcanza
[2021:05:15-00:02:50]  (Local) -> (LOCAL)[1]CagaletoElCagaoELN: Valio popo
[2021:05:15-00:02:50]  (Local) -> (LOCAL)[9]KING[ELN]: jajajajaa
[2021:05:15-00:02:52]  (Local) -> (LOCAL)[1]Cuchacho: yy
[2021:05:15-00:02:55]  (Local) -> (LOCAL)[1]Cuchacho: cuanto vale
[2021:05:15-00:02:56]  (Local) -> (LOCAL)[1]IceWipe'ELN: ahora ven
[2021:05:15-00:02:57]  (Local) -> (LOCAL)[9]Fetraq25/AUC/: pa que dice que compra si tiene ya uno
[2021:05:15-00:02:57]  (Local) -> (LOCAL)[1]Cuchacho: y cuanto pagan
[2021:05:15-00:03:02]  (Global) -> ALFREDO: :c
[2021:05:15-00:03:04]  (Local) -> (LOCAL)[1]IceWipe'ELN: coge el roadtrain
[2021:05:15-00:03:05]  (Global) -> juancho'2cb: HPTA ESA GASOLINA Q VALE
[2021:05:15-00:03:08]  (Team - Services) -> (TEAM)JairSad: creo que eso es con vip
[2021:05:15-00:03:09]  (Local) -> (LOCAL)[1]BajaPantys420|ELN: ya
[2021:05:15-00:03:09]  (Global) -> ALFREDO: lo acaba de comprar
[2021:05:15-00:03:12]  (Local) -> (LOCAL)[1]BajaPantys420|ELN: uzi
[2021:05:15-00:03:13]  (Local) -> (LOCAL)[1]Cuchacho: venga haber si puedo pegar el kart
[2021:05:15-00:03:14]  (Local) -> (LOCAL)[1]juancho'2cb: a
[2021:05:15-00:03:16]  (Local) -> (LOCAL)[1]IceWipe'ELN: pasalo en reversa
[2021:05:15-00:03:18]  (Global) -> iElViejoMiguexD: aca 
[2021:05:15-00:03:18]  (Local) -> (LOCAL)[1]MORACH117: ty por la ayuda xd
[2021:05:15-00:03:18]  (Global) -> PadreChucho|#EB4E89ㅇㅅㅇ: el precio que vale su mamá
[2021:05:15-00:03:18]  (Local) -> (LOCAL)[1]IceWipe'ELN: por el punto verde
[2021:05:15-00:03:19]  (Local) -> (LOCAL)[1]juancho'2cb: es q esa bomba
[2021:05:15-00:03:20]  (Local) -> (LOCAL)[7]ArielPnot'2cb: es que vendo mas bien jjajajajaja
[2021:05:15-00:03:22]  (Local) -> (LOCAL)[1]juancho'2cb: me daba miedo
[2021:05:15-00:03:22]  (Global) -> tochi:3|#EB4E89ㅇㅅㅇ: ADMINNNNN
[2021:05:15-00:03:25]  (Global) -> KM9: vamos por chaleco
[2021:05:15-00:03:25]  (Local) -> (LOCAL)[1]juancho'2cb: medio uno la toca
[2021:05:15-00:03:27]  (Global) -> tochi:3|#EB4E89ㅇㅅㅇ:  ESTOY PERDIDO
[2021:05:15-00:03:29]  (Local) -> (LOCAL)[1]juancho'2cb: y bom
[2021:05:15-00:03:29]  (Local) -> (LOCAL)[1]BajaPantys420|ELN: mejorala
[2021:05:15-00:03:29]  (Local) -> (LOCAL)[0]Valak!: a
[2021:05:15-00:03:30]  (Local) -> (LOCAL)[1]penisBigHead: aa
[2021:05:15-00:03:30]  (Global) -> Ivan_Duque(Porky)|#EB4E89ㅇㅅㅇ:  se lo  aprobar a ahora tod cali se  vende 
[2021:05:15-00:03:31]  (Local) -> (LOCAL)[1]IceWipe'ELN: ahora
[2021:05:15-00:03:31]  (Team - Services) -> (TEAM)DrabSun55: como le coloco un parlante aun carro
[2021:05:15-00:03:32]  (Local) -> (LOCAL)[1]penisBigHead: q lag parec
[2021:05:15-00:03:34]  (Local) -> (LOCAL)[1]BajaPantys420|ELN: mejorala
[2021:05:15-00:03:34]  (Local) -> (LOCAL)[1]Cuchacho: uy
[2021:05:15-00:03:34]  (Local) -> (LOCAL)[3]VisiosoHP69: sisas
[2021:05:15-00:03:35]  (Global) -> DonSteven(CDG): Jaja 
[2021:05:15-00:03:36]  (Local) -> (LOCAL)[1]Cuchacho: no tiene gaso
[2021:05:15-00:03:39]  (Local) -> (LOCAL)[1]CagaletoElCagaoELN: jjjajaa
[2021:05:15-00:03:42]  (Local) -> (LOCAL)[1]IceWipe'ELN: miras el mapa, te tiene que salir un camion amarillo
[2021:05:15-00:03:43]  (Global) -> Ivan_Duque(Porky)|#EB4E89ㅇㅅㅇ:  le metian periko hasta  la cocacola
[2021:05:15-00:03:43]  (Global) -> DonSteven(CDG): Sin querer le di usar
[2021:05:15-00:03:45]  (Local) -> (LOCAL)[2]BajaPantys420|ELN: cuando la tengas mejorada al 100 te dan las 2 uzi
[2021:05:15-00:03:46]  (Local) -> (LOCAL)[1]IceWipe'ELN: o una excavadora amarilla
[2021:05:15-00:03:48]  (Global) -> coco_humilde: aca nadie va a comprar un botr de gasolina
[2021:05:15-00:03:49]  (Local) -> (LOCAL)[1]MORACH117: Ulala
[2021:05:15-00:03:49]  (Global) -> JairSad: uy
[2021:05:15-00:03:49]  (Local) -> (LOCAL)[1]IceWipe'ELN: ahi lo tienes que llevar
[2021:05:15-00:03:51]  (Global) -> PadreChucho|#EB4E89ㅇㅅㅇ: iban duke
[2021:05:15-00:03:53]  (Local) -> (LOCAL)[1]IceWipe'ELN: y asi sucesivamente
[2021:05:15-00:03:54]  (Local) -> (LOCAL)[2]BajaPantys420|ELN: y ahi vemos si te metemos a ELN
[2021:05:15-00:03:55]  (Global) -> DonSteven(CDG): hable por el chat
[2021:05:15-00:03:58]  (Local) -> (LOCAL)[1]JairSad: nice
[2021:05:15-00:03:58]  (Local) -> (LOCAL)[2]BajaPantys420|ELN: la buena dog
[2021:05:15-00:04:06]  (Global) -> Raptus: jair
[2021:05:15-00:04:07]  (Local) -> (LOCAL)[1]Cuchacho: eso es lo que tengo
[2021:05:15-00:04:09]  (Local) -> (LOCAL)[1]Cuchacho: algo humilde
[2021:05:15-00:04:10]  (Global) -> coco_humilde: el elns+ss
[2021:05:15-00:04:12]  (Global) -> Raptus: onde anda parcerito
[2021:05:15-00:04:15]  (Global) -> PadreChucho|#EB4E89ㅇㅅㅇ: ibaan
[2021:05:15-00:04:17]  (Local) -> (LOCAL)[4]MaicolYair: soltame
[2021:05:15-00:04:17]  (Local) -> (LOCAL)[3]mily: /ponerskin
[2021:05:15-00:04:20]  (Global) -> ivan'2cb: naaaaaaaa
[2021:05:15-00:04:23]  (Local) -> (LOCAL)[8]Miguel-paraco: hp
[2021:05:15-00:04:24]  (Local) -> (LOCAL)[7]juancho'2cb: q monda
[2021:05:15-00:04:24]  (Global) -> tochi:3|#EB4E89ㅇㅅㅇ: ADMINNN
[2021:05:15-00:04:27]  (Local) -> (LOCAL)[8]ivan'2cb: quien fue
[2021:05:15-00:04:27]  (Global) -> JairSad: Raptus que paso
[2021:05:15-00:04:28]  (Global) -> iElViejoMiguexD: cuanto saco de ahi ?
[2021:05:15-00:04:30]  (Local) -> (LOCAL)[1]penisBigHead: a
[2021:05:15-00:04:33]  (Local) -> (LOCAL)[2]IceWipe'ELN: lo encontraste?
[2021:05:15-00:04:34]  (Local) -> (LOCAL)[8]juancho'2cb: nose
[2021:05:15-00:04:34]  (Local) -> (LOCAL)[1]CagaletoElCagaoELN: a
[2021:05:15-00:04:38]  (Global) -> coco_humilde: el eln sigue reclutando gente
[2021:05:15-00:04:42]  (Local) -> (LOCAL)[1]JairSad: como ?
[2021:05:15-00:04:43]  (Local) -> (LOCAL)[1]penisBigHead: mero combo parce
[2021:05:15-00:04:43]  (Global) -> KM9: pense que no lo habias cogido
[2021:05:15-00:04:48]  (Local) -> (LOCAL)[1]Cuchacho: que
[2021:05:15-00:04:50]  (Global) -> Murdock: que dan por un hp millon
[2021:05:15-00:04:50]  (Local) -> (LOCAL)[1]Cuchacho: como qe xd
[2021:05:15-00:04:53]  (Local) -> (LOCAL)[1]CagaletoElCagaoELN: claro parce la humilda
[2021:05:15-00:04:54]  (Local) -> (LOCAL)[1]JairSad: xd
[2021:05:15-00:04:57]  (Global) -> iElViejoMiguexD: cuanto saco de ahi?
[2021:05:15-00:04:57]  (Local) -> (LOCAL)[1]Cuchacho: veos
[2021:05:15-00:04:59]  (Local) -> (LOCAL)[1]Cuchacho: entonces
[2021:05:15-00:05:01]  (Local) -> (LOCAL)[8]ivan'2cb: ai
[2021:05:15-00:05:01]  (Global) -> JosueYes: que onda man
[2021:05:15-00:05:05]  (Local) -> (LOCAL)[1]CagaletoElCagaoELN: q robo me pegaron le meti 100 de gasofa a todos
[2021:05:15-00:05:07]  (Local) -> (LOCAL)[1]penisBigHead: aver hago cuentas
[2021:05:15-00:05:07]  (Global) -> DonSteven(CDG): que?
[2021:05:15-00:05:08]  (Local) -> (LOCAL)[1]Raptus: q
[2021:05:15-00:05:09]  (Global) -> #7F7F7F|ADM||DJ|#FF0000#83FF00brahian|#83FF00ʍđท: dime tochi:3[2]
[2021:05:15-00:05:09]  (Local) -> (LOCAL)[1]CagaletoElCagaoELN: y me desconecye
[2021:05:15-00:05:12]  (Local) -> (LOCAL)[1]JairSad: entonces que ?
[2021:05:15-00:05:14]  (Local) -> (LOCAL)[1]Cuchacho: q le pongo pa que me ande todo pepas
[2021:05:15-00:05:14]  (Local) -> (LOCAL)[8]ivan'2cb: ia
[2021:05:15-00:05:15]  (Local) -> (LOCAL)[1]penisBigHead: xdd
[2021:05:15-00:05:15]  (Global) -> BajaPantys420|ELN: Murdock[1] una mondaquera
[2021:05:15-00:05:16]  (Local) -> (LOCAL)[8]juancho'2cb: a
[2021:05:15-00:05:19]  (Global) -> iElViejoMiguexD: cuanta playa saco de ahi ?
[2021:05:15-00:05:19]  (Local) -> (LOCAL)[1]Cuchacho: y cuanto vale el bus
[2021:05:15-00:05:21]  (Local) -> (LOCAL)[1]CagaletoElCagaoELN: y volvi y todos en 6 de gasofa
[2021:05:15-00:05:21]  (Local) -> (LOCAL)[8]juancho'2cb: q miedo
[2021:05:15-00:05:22]  (Local) -> (LOCAL)[2]VisiosoHP69: perame un momento
[2021:05:15-00:05:22]  (Local) -> (LOCAL)[2]PadreChucho: ei ke pasa vale mia
[2021:05:15-00:05:23]  (Local) -> (LOCAL)[1]Raptus: no escucho nada ñeron jajaj
[2021:05:15-00:05:27]  (Local) -> (LOCAL)[1]JairSad: 600k
[2021:05:15-00:05:27]  (Local) -> (LOCAL)[1]PadreChucho: porke me atropellaz
[2021:05:15-00:05:27]  (Global) -> DonSteven(CDG): yo le di 400k
[2021:05:15-00:05:28]  (Global) -> Joystick|ELN: el uranus
[2021:05:15-00:05:28]  (Global) -> iElViejoMiguexD: de la mari?
[2021:05:15-00:05:30]  (Local) -> (LOCAL)[1]Cuchacho: hmmm
[2021:05:15-00:05:31]  (Local) -> (LOCAL)[2]Raptus: si
[2021:05:15-00:05:31]  (Global) -> coco_humilde: el eln sigue reclutando gente?
[2021:05:15-00:05:32]  (Local) -> (LOCAL)[1]CagaletoElCagaoELN: como 1 palo ahi perdido
[2021:05:15-00:05:35]  (Global) -> BajaPantys420|ELN: si
[2021:05:15-00:05:35]  (Global) -> JairSad: corre
[2021:05:15-00:05:37]  (Local) -> (LOCAL)[1]CagaletoElCagaoELN: ;
[2021:05:15-00:05:37]  (Global) -> JosueYes: que paso no lo escuche bien
[2021:05:15-00:05:39]  (Global) -> Joystick|ELN: no lo va probar? murdock
[2021:05:15-00:05:40]  (Global) -> iElViejoMiguexD: pero ud con cuanto quedo?
[2021:05:15-00:05:40]  (Global) -> Murdock: 1m
[2021:05:15-00:05:43]  (Global) -> BajaPantys420|ELN: coco_humilde sisa
[2021:05:15-00:05:44]  (Global) -> DonSteven(CDG): 300k de la mari y 100k de la apuesta?
[2021:05:15-00:05:45]  (Global) -> Raptus: tenes q poner /radio en el chat
[2021:05:15-00:05:46]  (Local) -> (LOCAL)[1]penisBigHead: xd
[2021:05:15-00:05:48]  (Global) -> DonSteven(CDG): con 300k
[2021:05:15-00:05:51]  (Global) -> JosueYes: si voy a trabajar
[2021:05:15-00:05:55]  (Local) -> (LOCAL)[3]Raptus: si
[2021:05:15-00:05:55]  (Local) -> (LOCAL)[1]juancho'2cb: donde lo dejo
[2021:05:15-00:05:55]  (Local) -> (LOCAL)[1]Cuchacho: pa onde jefesito
[2021:05:15-00:05:56]  (Global) -> coco_humilde: quiero pertenecer al eln
[2021:05:15-00:05:57]  (Global) -> Ivan_Duque(Porky)|#EB4E89ㅇㅅㅇ:  
[2021:05:15-00:05:58]  (Global) -> SINPERMEX: xs
[2021:05:15-00:06:00]  (Local) -> (LOCAL)[2]Raptus: y lo reproduces
[2021:05:15-00:06:01]  (Global) -> PadreChucho|#EB4E89ㅇㅅㅇ: iban duke
[2021:05:15-00:06:01]  (Local) -> (LOCAL)[1]penisBigHead: aver cuanto vale este?
[2021:05:15-00:06:02]  (Local) -> (LOCAL)[1]Miguel-paraco: quie esta manejando?
[2021:05:15-00:06:04]  (Team - Unemployed) -> (TEAM)iElViejoMiguexD: breve!
[2021:05:15-00:06:06]  (Global) -> #9800D1CagaletoElCagaoELN|#9800D1GDT!:  
[2021:05:15-00:06:07]  (Local) -> (LOCAL)[4]VisiosoHP69: ya volvi xd
[2021:05:15-00:06:08]  (Local) -> (LOCAL)[1]juancho'2cb: yo
[2021:05:15-00:06:09]  (Global) -> Andres_Ramires||2cb|||#5EF5F7������:   
[2021:05:15-00:06:11]  (Local) -> (LOCAL)[1]Raptus: pille
[2021:05:15-00:06:11]  (Global) -> Dilan_PornHub'CDG|#1B2ABA������:  
[2021:05:15-00:06:11]  (Local) -> (LOCAL)[1]Miguel-paraco: ah
