This file was generated by Console at 2021:06:14-00:00:02



[2021:06:14-00:00:02]  (Global) -> cacharrito.HP: PANTHER963(Z)
[2021:06:14-00:01:17]  (Global) -> Juanpalo:): baja del coche
[2021:06:14-00:01:18]  (Local) -> (LOCAL)[1]Randall...!: soltaaaa
[2021:06:14-00:01:21]  (Local) -> (LOCAL)[1]Randall...!: nh
[2021:06:14-00:01:22]  (Local) -> (LOCAL)[5]cacharrito.HP: ESPERE
[2021:06:14-00:01:23]  (Global) -> binipu:  a como el feltzer
[2021:06:14-00:01:25]  (Local) -> (LOCAL)[1]JaycoBauman|CDG|: ah cule adicto
[2021:06:14-00:01:25]  ([Msg] de DONDARKAR[DARK] para Daiana: pense que no estaba jajajaja) -> nil
[2021:06:14-00:01:29]  (Local) -> (LOCAL)[1]Randall...!: sos auc o no
[2021:06:14-00:01:30]  (Global) -> A|caponeeee"2cb: binipu cuanto da
[2021:06:14-00:01:37]  (Local) -> (LOCAL)[1]Tartaru$ZcB: yo tengo pablo escobar desde hace como 9 meses
[2021:06:14-00:01:42]  (Local) -> (LOCAL)[1]Randall...!: bn
[2021:06:14-00:01:42]  (Global) -> ThinkableManager95: que le pasa tombo
[2021:06:14-00:01:45]  (Global) -> binipu: diga precio ud es el que lo vende bobito
[2021:06:14-00:01:47]  (Global) -> MICHAEL|CDG|#9D12D1í ½í¸ˆ: #ff00ffNaruto|CDG|[1] subi de rango :D
[2021:06:14-00:01:48]  (Local) -> (LOCAL)[1]Xx._GAMBOAxX/ELN/: jajaj
[2021:06:14-00:01:49]  (Local) -> (LOCAL)[1]elKRIS_CDG: holi
[2021:06:14-00:01:50]  (Local) -> (LOCAL)[1]elKRIS_CDG: jsjs
[2021:06:14-00:01:54]  (Local) -> (LOCAL)[1]Xx._GAMBOAxX/ELN/: jajajj
[2021:06:14-00:01:58]  (Global) -> Juanpalo:): primo espere
[2021:06:14-00:02:02]  (Local) -> (LOCAL)[1]elKRIS_CDG: pvp con esta skin aver
[2021:06:14-00:02:04]  (Global) -> primo(CDG): venga
[2021:06:14-00:02:05]  (Local) -> (LOCAL)[1]Xx._GAMBOAxX/ELN/: medimos lo mismo jjajaj
[2021:06:14-00:02:06]  (Local) -> (LOCAL)[1]elKRIS_CDG: vamos a fuera
[2021:06:14-00:02:06]  (Global) -> LopsidedVenom70: sisas
[2021:06:14-00:02:07]  (Local) -> (LOCAL)[1]Xx._GAMBOAxX/ELN/: hagale
[2021:06:14-00:02:09]  ([Msg] de #000000Freefire para Lavi: hp que haces con ese 2cb) -> nil
[2021:06:14-00:02:10]  (Local) -> (LOCAL)[1]Flacooo: ey
[2021:06:14-00:02:17]  (Local) -> (LOCAL)[1]Ikaris'2cb: dime
[2021:06:14-00:02:21]  (Global) -> LopsidedVenom70: que hay
[2021:06:14-00:02:21]  (Local) -> (LOCAL)[1]Flacooo: Strange?
[2021:06:14-00:02:22]  (Local) -> (LOCAL)[3]Freefire: segui mlp
[2021:06:14-00:02:23]  (Local) -> (LOCAL)[1]elKRIS_CDG: noo
[2021:06:14-00:02:24]  (Global) -> BazucoPai!2cb|#9E016Cà¶ž: LLeho jua camacho
[2021:06:14-00:02:24]  (Local) -> (LOCAL)[1]elKRIS_CDG: aca no
[2021:06:14-00:02:24]  (Local) -> (LOCAL)[1]Ikaris'2cb: si
[2021:06:14-00:02:27]  (Global) -> Isaiasl|LMB|: Â¡
[2021:06:14-00:02:27]  (Local) -> (LOCAL)[3]Lavi: AJJAJAJA
[2021:06:14-00:02:28]  ([Msg] de DONDARKAR[DARK] para Daiana: revise wss) -> nil
[2021:06:14-00:02:28]  (Local) -> (LOCAL)[1]Xx._GAMBOAxX/ELN/: a ya
[2021:06:14-00:02:29]  (Global) -> Isaiasl|LMB|: ?
[2021:06:14-00:02:30]  (Local) -> (LOCAL)[2]pene~>w<: pom pene
[2021:06:14-00:02:30]  (Local) -> (LOCAL)[3]Panther963(Z): sww
[2021:06:14-00:02:31]  (Local) -> (LOCAL)[1]Flacooo: el hr3 q
[2021:06:14-00:02:32]  (Local) -> (LOCAL)[3]Lavi: qn sos bos yo no t e matado a vos
[2021:06:14-00:02:32]  (Local) -> (LOCAL)[3]Freefire: que risa
[2021:06:14-00:02:32]  (Local) -> (LOCAL)[1]pene~>w<: xddd
[2021:06:14-00:02:32]  (Local) -> (LOCAL)[1]Xx._GAMBOAxX/ELN/: mande duelo
[2021:06:14-00:02:33]  (Local) -> (LOCAL)[1]Flacooo: Se
[2021:06:14-00:02:34]  (Global) -> PericoHpta: Siola Balaclava
[2021:06:14-00:02:36]  (Team - Fuerzas Armadas) -> (TEAM)LaSabandija: oe nos quebraron a todos
[2021:06:14-00:02:37]  (Local) -> (LOCAL)[3]Freefire: bocato
[2021:06:14-00:02:37]  (Local) -> (LOCAL)[3]Lavi: o si
[2021:06:14-00:02:37]  (Global) -> #7F7F7F|ADM||DJ|#FF5C00Balaclava|#9800D1GDT!: hola
[2021:06:14-00:02:39]  (Local) -> (LOCAL)[1]Ikaris'2cb: lo vendi jjsjka
[2021:06:14-00:02:40]  (Local) -> (LOCAL)[3]Lavi: AJAJAJJAJA
[2021:06:14-00:02:41]  (Local) -> (LOCAL)[3]Freefire: ahora me mataste ons
[2021:06:14-00:02:42]  (Local) -> (LOCAL)[3]Lavi: jueputa pero
[2021:06:14-00:02:42]  (Local) -> (LOCAL)[1]Flacooo: Se lo devolvieron?
[2021:06:14-00:02:43]  (Local) -> (LOCAL)[3]Lavi: se cambia
[2021:06:14-00:02:44]  (Global) -> fazza'2cb|#9E016Cà¶ž: hol
[2021:06:14-00:02:45]  (Local) -> (LOCAL)[3]Freefire: treta hp
[2021:06:14-00:02:45]  (Local) -> (LOCAL)[1]elKRIS_CDG: acepte
[2021:06:14-00:02:45]  (Global) -> BazucoPai!2cb|#9E016Cà¶ž: Balaclava oda q hace
[2021:06:14-00:02:46]  (Local) -> (LOCAL)[3]Lavi: el hpta nombre
[2021:06:14-00:02:46]  (Local) -> (LOCAL)[1]Ikaris'2cb: aaa sii
[2021:06:14-00:02:47]  (Local) -> (LOCAL)[2]JairSad[CDG]: oe
[2021:06:14-00:02:48]  (Local) -> (LOCAL)[3]Lavi: como voy a saber
[2021:06:14-00:02:49]  (Local) -> (LOCAL)[1]Flacooo: No que lo vendio
[2021:06:14-00:02:49]  (Local) -> (LOCAL)[1]Ikaris'2cb: ese si
[2021:06:14-00:02:49]  (Local) -> (LOCAL)[2]A|caponeeee"2cb: oe
[2021:06:14-00:02:50]  (Local) -> (LOCAL)[4]Lavi: bobo
[2021:06:14-00:02:50]  (Global) -> LICENCIADO[RUIZ]: balaclava 
[2021:06:14-00:02:52]  (Local) -> (LOCAL)[3]Freefire: no defendas 2cb
[2021:06:14-00:02:54]  (Global) -> LICENCIADO[RUIZ]: millos forever
[2021:06:14-00:02:54]  (Local) -> (LOCAL)[3]Freefire: cacorro
[2021:06:14-00:02:55]  (Local) -> (LOCAL)[1]Panther963(Z): ue se hzo?
[2021:06:14-00:02:55]  (Local) -> (LOCAL)[1]Ikaris'2cb: y luego lo vendÃ­
[2021:06:14-00:02:56]  (Local) -> (LOCAL)[3]Lavi: JAJAJAJAJJAJA
[2021:06:14-00:02:56]  (Local) -> (LOCAL)[2]JairSad[CDG]: nea vende rares ?
[2021:06:14-00:02:58]  (Global) -> BazucoPai!2cb|#9E016Cà¶ž: gas
[2021:06:14-00:02:58]  (Global) -> #7F7F7F|ADM|#FF5C00Balaclava|#9800D1GDT!: nada tengo ganas de cerrar el chuzo para mantenimiento y ud
[2021:06:14-00:02:59]  (Local) -> (LOCAL)[2]Flacooo: aaa
[2021:06:14-00:02:59]  (Local) -> (LOCAL)[4]pene~>w<: ola
[2021:06:14-00:03:00]  (Local) -> (LOCAL)[3]Lavi: 2cb es kk ck
[2021:06:14-00:03:00]  ([Msg] de DONDARKAR[DARK] para Balaclava: hola bala espero y sigas mejor, soy el del turismo de 9m que no me aparece) -> nil
[2021:06:14-00:03:04]  (Local) -> (LOCAL)[5]cacharrito.HP: LOCALIZELO
[2021:06:14-00:03:04]  (Global) -> PericoHpta: hay
[2021:06:14-00:03:04]  (Local) -> (LOCAL)[1]Flacooo: Hagale ps
[2021:06:14-00:03:04]  (Local) -> (LOCAL)[2]A|caponeeee"2cb: ese es rare
[2021:06:14-00:03:08]  (Local) -> (LOCAL)[5]pene~>w<: q pasa
[2021:06:14-00:03:08]  (Global) -> binipu: millos campeon
[2021:06:14-00:03:08]  (Global) -> fazza'2cb|#9E016Cà¶ž: eso
[2021:06:14-00:03:08]  (Global) -> CamiLo|Evg||: F
[2021:06:14-00:03:09]  (Global) -> Panther963(Z): nooo
[2021:06:14-00:03:10]  (Local) -> (LOCAL)[2]A|caponeeee"2cb: y bastante rare
[2021:06:14-00:03:12]  (Local) -> (LOCAL)[1]Ikaris'2cb: saque 40k con un kart
[2021:06:14-00:03:13]  (Local) -> (LOCAL)[5]pene~>w<: aaa
[2021:06:14-00:03:13]  (Global) -> #1D1D1DLavi|#1D1D1Dé€£EPåˆ: nimodo
[2021:06:14-00:03:14]  (Global) -> Zoro059[Zetas]: bala pai para ponerme los accesorios no tengo que tener estrellas
[2021:06:14-00:03:14]  (Global) -> BazucoPai!2cb|#9E016Cà¶ž: Balaclava nooooooo yo parchado en spotify
[2021:06:14-00:03:16]  (Local) -> (LOCAL)[5]LaSabandija: oe estan dando bala
[2021:06:14-00:03:17]  (Global) -> LICENCIADO[RUIZ]: mi cabiee bala
[2021:06:14-00:03:17]  (Local) -> (LOCAL)[2]A|caponeeee"2cb: CVR EDITION
[2021:06:14-00:03:18]  (Local) -> (LOCAL)[3]caceres: enemigo de su propio invento ajjaja
[2021:06:14-00:03:20]  (Global) -> LICENCIADO[RUIZ]: ok no jajaa
[2021:06:14-00:03:20]  (Local) -> (LOCAL)[2]JairSad[CDG]: cuanto ?
[2021:06:14-00:03:23]  (Local) -> (LOCAL)[2]A|caponeeee"2cb: CUANTO DA
[2021:06:14-00:03:23]  (Local) -> (LOCAL)[0]Flacooo: melo
[2021:06:14-00:03:26]  (Global) -> PericoHpta: pero metes carros bala
[2021:06:14-00:03:29]  (Local) -> (LOCAL)[2]JairSad[CDG]: 50m
[2021:06:14-00:03:29]  (Local) -> (LOCAL)[1]pene~>w<: sapa deja rolear
[2021:06:14-00:03:31]  (Local) -> (LOCAL)[3]caceres: enemigo de su propio invento ajjaja
[2021:06:14-00:03:32]  (Global) -> Panther963(Z): No jodas cuando uno se parcha pasan estas cosas
[2021:06:14-00:03:37]  (Local) -> (LOCAL)[2]A|caponeeee"2cb: 45
[2021:06:14-00:03:39]  ([Msg] de #000000Freefire para ARETE: SOY BOCATO SAPO) -> nil
[2021:06:14-00:03:39]  (Local) -> (LOCAL)[3]LaSabandija: mata a esa piroba
[2021:06:14-00:03:40]  (Global) -> Juanpalo:): perenme
[2021:06:14-00:03:41]  (Global) -> Panther963(Z): que inoportuno
[2021:06:14-00:03:55]  (Local) -> (LOCAL)[2]A|caponeeee"2cb: ES RARE DE RFARES
[2021:06:14-00:03:58]  (Global) -> primo(CDG): quiero a todos 
[2021:06:14-00:04:00]  (Local) -> (LOCAL)[2]A|caponeeee"2cb: UNO DE LOS MAS RARES
[2021:06:14-00:04:00]  (Global) -> primo(CDG): aqui 
[2021:06:14-00:04:01]  (Global) -> #7F7F7F|ADM|#FF5C00Balaclava|#9800D1GDT!: hoy no cierro el sv pq es finde
[2021:06:14-00:04:01]  (Global) -> binipu: habran el cine pa pillar el partido jeje
[2021:06:14-00:04:03]  (Global) -> #7F7F7F|ADM|#FF5C00Balaclava|#9800D1GDT!: maÃ±ana lo cierro
[2021:06:14-00:04:04]  (Local) -> (LOCAL)[3]pene~>w<: ola
[2021:06:14-00:04:08]  (Team - Fuerzas Armadas) -> (TEAM)LaSabandija: oe me mataron otra vez
[2021:06:14-00:04:08]  (Team - Fuerzas Armadas) -> (TEAM)SOFFIA<3: vamonos
[2021:06:14-00:04:09]  (Local) -> (LOCAL)[1]cacharrito.HP: VAMOS A MATAR Y YA PPERRO
[2021:06:14-00:04:11]  (Global) -> #7F7F7F|ADM|#FF5C00Balaclava|#9800D1GDT!: en el cine no se pueden ver lives binipu
[2021:06:14-00:04:11]  (Local) -> (LOCAL)[1]JairSad[CDG]: que otro mas rare tiene ?
[2021:06:14-00:04:19]  (Global) -> binipu: ay :c
[2021:06:14-00:04:20]  (Global) -> Xx._GAMBOAxX/ELN/: uff
[2021:06:14-00:04:24]  (Global) -> MICHAEL|CDG|#9D12D1í ½í¸ˆ: nena
[2021:06:14-00:04:29]  (Local) -> (LOCAL)[6]Lavi: xdd
[2021:06:14-00:04:34]  (Team - Fuerzas Armadas) -> (TEAM)LaSabandija: quien me da un arma
[2021:06:14-00:04:39]  (Local) -> (LOCAL)[1]A|caponeeee"2cb: NO PAPI ESE PERO DEBUENA ES RARE DE RARES PREGUNTELE A BALA Y VERAS
[2021:06:14-00:04:39]  (Local) -> (LOCAL)[5]Zoro059[Zetas]: pa
[2021:06:14-00:04:41]  (Local) -> (LOCAL)[5]Lavi: qq
[2021:06:14-00:04:41]  (Global) -> LICENCIADO[RUIZ]: MILLONARIOS SERA CAMPEON
[2021:06:14-00:04:43]  ([Msg] de DONDARKAR[DARK] para Oreo: oelo) -> nil
[2021:06:14-00:04:49]  (Global) -> A|caponeeee"2cb: BALA CUANTOS DIAS DE MANTENIMIENTO?
[2021:06:14-00:04:51]  (Global) -> binipu: mi Dios lo oiga licenciado
[2021:06:14-00:04:52]  ([Msg] de Daiana para DONDARKAR[DARK]: tengo 2 palos se los mando?) -> nil
[2021:06:14-00:04:54]  (Local) -> (LOCAL)[10]Naruto|CDG|: bla
[2021:06:14-00:04:54]  (Global) -> primo(CDG): wey
[2021:06:14-00:04:56]  (Local) -> (LOCAL)[2]JairSad[CDG]: oe que otro rare me ofrece
[2021:06:14-00:04:56]  (Local) -> (LOCAL)[4]Zoro059[Zetas]: pa el /ropita no tengo que tener estrellas
[2021:06:14-00:04:56]  ([Msg] de Oreo para DONDARKAR[DARK]: o) -> nil
[2021:06:14-00:04:58]  (Local) -> (LOCAL)[8]Naruto|CDG|: bala
[2021:06:14-00:05:02]  (Local) -> (LOCAL)[2]A|caponeeee"2cb: NO TENGO MAS ASI RARES
[2021:06:14-00:05:04]  ([Msg] de DONDARKAR[DARK] para Oreo: acepteme 10m y una sandking) -> nil
[2021:06:14-00:05:05]  (Local) -> (LOCAL)[3]Lavi: si
[2021:06:14-00:05:07]  (Local) -> (LOCAL)[3]Zoro059[Zetas]: a
[2021:06:14-00:05:08]  (Local) -> (LOCAL)[2]Lavi: exactamente
[2021:06:14-00:05:09]  (Local) -> (LOCAL)[6]fazza'2cb: XD
[2021:06:14-00:05:10]  (Local) -> (LOCAL)[9]Naruto|CDG|: bro
[2021:06:14-00:05:11]  (Local) -> (LOCAL)[1]JairSad[CDG]: asi no
[2021:06:14-00:05:14]  (Global) -> miwi: 7resign
[2021:06:14-00:05:14]  ([Msg] de DONDARKAR[DARK] para Daiana: aja si) -> nil
[2021:06:14-00:05:17]  (Team - Fuerzas Armadas) -> (TEAM)LaSabandija: oe me mataron otra vez
[2021:06:14-00:05:17]  (Local) -> (LOCAL)[10]MICHAEL|CDG: hay mira
[2021:06:14-00:05:18]  (Local) -> (LOCAL)[3]fazza'2cb: aaa
[2021:06:14-00:05:19]  (Local) -> (LOCAL)[1]JairSad[CDG]: osea rares normalitos
[2021:06:14-00:05:19]  (Local) -> (LOCAL)[1]A|caponeeee"2cb: DEME 40 PA QE SE LO LLEVE PS
[2021:06:14-00:05:21]  (Local) -> (LOCAL)[11]#7F7F7F|ADM|#FF5C00Balaclava: qe
[2021:06:14-00:05:23]  (Local) -> (LOCAL)[10]MICHAEL|CDG: el bala de lokos
[2021:06:14-00:05:26]  (Local) -> (LOCAL)[2]LICENCIADO[RUIZ]: ZZZ
[2021:06:14-00:05:28]  (Local) -> (LOCAL)[11]kazuzu: la poli la caga
[2021:06:14-00:05:29]  (Local) -> (LOCAL)[2]A|caponeeee"2cb: NADA MANITO +
[2021:06:14-00:05:30]  (Local) -> (LOCAL)[11]Naruto|CDG|: es q me sale un carte negro
[2021:06:14-00:05:30]  (Local) -> (LOCAL)[3]Randall...!: poreso sal y perrea
[2021:06:14-00:05:31]  (Global) -> elKRIS_CDG: xD
[2021:06:14-00:05:31]  (Global) -> Xx._GAMBOAxX/ELN/: uff buena
[2021:06:14-00:05:31]  (Local) -> (LOCAL)[2]A|caponeeee"2cb: YA VENDI TODO
[2021:06:14-00:05:32]  (Local) -> (LOCAL)[2]pene~>w<: pene Ã±am Ã±am
[2021:06:14-00:05:34]  (Local) -> (LOCAL)[11]LaSabandija: de buena
[2021:06:14-00:05:35]  ([Msg] de DONDARKAR[DARK] para Oreo: tengo 8m y me van a pasar 2m) -> nil
[2021:06:14-00:05:38]  ([Msg] de Oreo para DONDARKAR[DARK]: parce pero yo q voy hacer con una sandking) -> nil
[2021:06:14-00:05:40]  (Local) -> (LOCAL)[12]Naruto|CDG|: q me tapa el chet
[2021:06:14-00:05:45]  (Local) -> (LOCAL)[12]Naruto|CDG|: chat
[2021:06:14-00:05:46]  (Local) -> (LOCAL)[12]pene~>w<: ola
[2021:06:14-00:05:46]  (Local) -> (LOCAL)[2]JairSad[CDG]: ale pa guardemelo
[2021:06:14-00:05:49]  (Global) -> LaSabandija: no vuelvo a amar y que se vaya el amor
[2021:06:14-00:05:49]  (Global) -> A|caponeeee"2cb: BALA CUANTOS DIAS DE MANTENIMIENTO?
[2021:06:14-00:05:50]  (Local) -> (LOCAL)[12]#7F7F7F|ADM|#FF5C00Balaclava: qe
[2021:06:14-00:05:52]  (Local) -> (LOCAL)[2]Randall...!: jsakdjsa
[2021:06:14-00:05:52]  (Local) -> (LOCAL)[2]A|caponeeee"2cb: HASTA CUANDOÂ¿???
[2021:06:14-00:05:53]  (Local) -> (LOCAL)[11]kazuzu: se esta llevando todos preso
[2021:06:14-00:05:54]  (Global) -> #7F7F7F|ADM|#FF5C00Balaclava|#9800D1GDT!: creo q 3
[2021:06:14-00:05:55]  (Local) -> (LOCAL)[11]Naruto|CDG|: q me tapa el chet
[2021:06:14-00:05:56]  (Local) -> (LOCAL)[10]LaSabandija: vamos
[2021:06:14-00:05:56]  (Global) -> #7F7F7F|ADM|#FF5C00Balaclava|#9800D1GDT!: qn sabe
[2021:06:14-00:05:57]  (Global) -> BazucoPai!2cb|#9E016Cà¶ž: mmm
[2021:06:14-00:06:00]  (Local) -> (LOCAL)[9]LaSabandija: vamos vamos
[2021:06:14-00:06:01]  (Local) -> (LOCAL)[9]#7F7F7F|ADM|#FF5C00Balaclava: mande pantallazo
[2021:06:14-00:06:01]  (Global) -> #7F7F7F|ADM|#FF5C00Llanerito'ELN': xde
[2021:06:14-00:06:02]  (Local) -> (LOCAL)[9]#7F7F7F|ADM|#FF5C00Balaclava: a ver
[2021:06:14-00:06:06]  (Global) -> A|caponeeee"2cb: VA ABR MENOS LAG??Â¿?
[2021:06:14-00:06:06]  (Global) -> primo(CDG): todos los reclutas
[2021:06:14-00:06:08]  (Local) -> (LOCAL)[4]Randall...!: encane
[2021:06:14-00:06:08]  ([Msg] de DONDARKAR[DARK] para Oreo: darla en 3m pa completar los 13 o hasta 3.5 la puede vender) -> nil
[2021:06:14-00:06:08]  (Local) -> (LOCAL)[7]Naruto|CDG|: al discord
[2021:06:14-00:06:09]  (Local) -> (LOCAL)[1]JairSad[CDG]: yo te aviso al whats
[2021:06:14-00:06:10]  (Global) -> BazucoPai!2cb|#9E016Cà¶ž: Lo beuno  es que no me cuenta el tiemmpo del vip 
[2021:06:14-00:06:12]  (Local) -> (LOCAL)[4]Zoro059[Zetas]: A
[2021:06:14-00:06:14]  (Local) -> (LOCAL)[1]CamiLo|Evg||: carnita Fresca
[2021:06:14-00:06:17]  (Local) -> (LOCAL)[8]#7F7F7F|ADM|#FF5C00Balaclava: si
[2021:06:14-00:06:19]  (Global) -> BazucoPai!2cb|#9E016Cà¶ž: esos 3 dias
[2021:06:14-00:06:20]  (Global) -> LaSabandija: tombos hijueputas
[2021:06:14-00:06:20]  (Local) -> (LOCAL)[7]Naruto|CDG|: en reporte o en donde
[2021:06:14-00:06:21]  (Local) -> (LOCAL)[2]JairSad[CDG]: guardemelo
[2021:06:14-00:06:22]  (Local) -> (LOCAL)[2]A|caponeeee"2cb: HAGALE PSSSSS
[2021:06:14-00:06:23]  (Global) -> DONDARKAR[DARK]: vendo sandking en 3m gogo
[2021:06:14-00:06:23]  (Local) -> (LOCAL)[8]pene~>w<: ai
[2021:06:14-00:06:25]  ([Msg] de Oreo para DONDARKAR[DARK]: ps vendala ud y me da los 13) -> nil
[2021:06:14-00:06:26]  (Local) -> (LOCAL)[8]pene~>w<: nooo
[2021:06:14-00:06:30]  (Global) -> primo(CDG): baje
[2021:06:14-00:06:33]  (Global) -> Xx._GAMBOAxX/ELN/: uff
[2021:06:14-00:06:35]  (Local) -> (LOCAL)[1]elKRIS_CDG: jsjs
[2021:06:14-00:06:35]  (Local) -> (LOCAL)[2]cacharrito.HP: perra
[2021:06:14-00:06:38]  (Local) -> (LOCAL)[3]Freefire: javierpop
[2021:06:14-00:06:39]  (Global) -> A|caponeeee"2cb: Vendo Feltzer Rare
[2021:06:14-00:06:41]  (Local) -> (LOCAL)[3]Freefire: javierpopo
[2021:06:14-00:06:41]  (Local) -> (LOCAL)[1]elKRIS_CDG: otra aca afuer
[2021:06:14-00:06:42]  (Global) -> Isaiasl|LMB|: carrera?
[2021:06:14-00:06:42]  (Local) -> (LOCAL)[2]cacharrito.HP: hpta
[2021:06:14-00:06:44]  (Local) -> (LOCAL)[1]elKRIS_CDG: afuer
[2021:06:14-00:06:47]  (Global) -> SpookyRubber49: nah
[2021:06:14-00:06:48]  (Local) -> (LOCAL)[1]Xx._GAMBOAxX/ELN/: hagale
[2021:06:14-00:06:51]  (Local) -> (LOCAL)[6]#7F7F7F|ADM|#FF5C00Balaclava: abra reporte sisa
[2021:06:14-00:06:53]  (Local) -> (LOCAL)[4]Panther963(Z): uds sin ese teazerno son nada maricones
[2021:06:14-00:06:57]  (Local) -> (LOCAL)[6]caceres: asjajsdjhasdhj
[2021:06:14-00:06:58]  ([Msg] de #000000Freefire para BadGirl|2cb|: donde andaaaa camiliÃ±a) -> nil
[2021:06:14-00:07:06]  (Local) -> (LOCAL)[6]Zoro059[Zetas]: xd
[2021:06:14-00:07:10]  (Global) -> Panther963(Z): tombos maricas
[2021:06:14-00:07:17]  ([Msg] de BadGirl|2cb| para #000000Freefire: comisaria llega) -> nil
[2021:06:14-00:07:18]  (Global) -> Juanpalo:): loca soy un militar
[2021:06:14-00:07:18]  (Local) -> (LOCAL)[6]Zoro059[Zetas]: andan con vip
