This file was generated by Console at 2021:03:24-00:00:00



[2021:03:24-00:00:00]  (Local) -> (LOCAL)[3]Niche~CaPu: quitese
[2021:03:24-00:01:04]  (Local) -> (LOCAL)[4]Rata|Z: q ptoasco
[2021:03:24-00:01:04]  (Local) -> (LOCAL)[8]Cibu|CApu: venga}
[2021:03:24-00:01:05]  (Local) -> (LOCAL)[1]Oreo: oe
[2021:03:24-00:01:06]  (Local) -> (LOCAL)[1]WolfUser'2cb: oe
[2021:03:24-00:01:18]  (Global) -> brandonjose: ALGUN UBER DISPONIBLE?
[2021:03:24-00:01:28]  (Global) -> WolfUser'2cb: oe
[2021:03:24-00:01:30]  (Local) -> (LOCAL)[1]Flaco'2cb: Vea ps
[2021:03:24-00:01:33]  (Local) -> (LOCAL)[1]Flaco'2cb: ud me dira
[2021:03:24-00:01:39]  (Global) -> Peyeta[2cb]: oe
[2021:03:24-00:01:42]  (Local) -> (LOCAL)[3]Cibu|CApu: pegame
[2021:03:24-00:01:45]  (Local) -> (LOCAL)[1]Flaco'2cb: ?
[2021:03:24-00:01:45]  (Global) -> brandonjose: UBER URGENTE
[2021:03:24-00:01:45]  (Global) -> XxBastianoxX: ok
[2021:03:24-00:01:49]  (Global) -> Cheverezone: macheteroo
[2021:03:24-00:01:51]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00Oconner'2cb: ahh que chimba como se ve uff
[2021:03:24-00:01:54]  (Local) -> (LOCAL)[3]SALCHIPAPERO(RCA)[p]: no joda alos busereros
[2021:03:24-00:01:55]  (Local) -> (LOCAL)[1]Flaco'2cb: Asi ?
[2021:03:24-00:01:58]  (Local) -> (LOCAL)[1]Flaco'2cb: O este
[2021:03:24-00:01:59]  (Local) -> (LOCAL)[1]Cibu|CApu: pegame
[2021:03:24-00:02:01]  (Local) -> (LOCAL)[3]Chacarron|ELN: uy
[2021:03:24-00:02:02]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00Oconner'2cb: uese esta muy hp si quiere me muestra otros yo veo
[2021:03:24-00:02:03]  (Global) -> brandonjose:  CANDONGAA
[2021:03:24-00:02:03]  (Global) -> XxBastianoxX: wtf
[2021:03:24-00:02:04]  (Local) -> (LOCAL)[2]Chacarron|ELN: sabe que
[2021:03:24-00:02:10]  (Local) -> (LOCAL)[2]Rata|Z: ke
[2021:03:24-00:02:14]  (Local) -> (LOCAL)[1]Chacarron|ELN: pa que voy as perder mi tiempo encanandolo con una estrella
[2021:03:24-00:02:14]  (Local) -> (LOCAL)[1]Flaco'2cb: Este es melo
[2021:03:24-00:02:15]  (Local) -> (LOCAL)[1]Chacarron|ELN: lo dejo
[2021:03:24-00:02:15]  (Global) -> XxBastianoxX: waw
[2021:03:24-00:02:17]  (Local) -> (LOCAL)[1]WolfUser'2cb: buenaaaaaaa
[2021:03:24-00:02:18]  (Local) -> (LOCAL)[1]Rata|Z: grasias
[2021:03:24-00:02:18]  (Local) -> (LOCAL)[1]Cibu|CApu: ahora tienes una estrella
[2021:03:24-00:02:21]  (Local) -> (LOCAL)[1]Flaco'2cb: Pero el azul no le cae
[2021:03:24-00:02:21]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF5C00JPablo|ELN: sapo
[2021:03:24-00:02:23]  (Local) -> (LOCAL)[1]Machete_Loco: SE LLAMA RLEAR BOBO MARICA
[2021:03:24-00:02:23]  (Local) -> (LOCAL)[1]Chacarron|ELN: baje
[2021:03:24-00:02:26]  (Local) -> (LOCAL)[1]#7F7F7F|LG|#FF0000Candonga[Zetas]: a
[2021:03:24-00:02:26]  (Local) -> (LOCAL)[1]Flaco'2cb: venga
[2021:03:24-00:02:29]  (Local) -> (LOCAL)[2]SALCHIPAPERO(RCA)[p]: no mano
[2021:03:24-00:02:31]  (Local) -> (LOCAL)[1]WolfUser'2cb: como esta
[2021:03:24-00:02:33]  (Local) -> (LOCAL)[1]#7F7F7F|LG|#FF0000Candonga[Zetas]: bn
[2021:03:24-00:02:35]  (Local) -> (LOCAL)[2]SALCHIPAPERO(RCA)[p]: pero si esta con trabajo no puede
[2021:03:24-00:02:39]  (Local) -> (LOCAL)[3]Machete_Loco: SI NO SABE NO JUEGUE SENCILLO
[2021:03:24-00:02:41]  (Local) -> (LOCAL)[3]SALCHIPAPERO(RCA)[p]: sin trabajo si pero con no
[2021:03:24-00:02:44]  (Local) -> (LOCAL)[1]Flaco'2cb: pase 10k
[2021:03:24-00:02:44]  (Local) -> (LOCAL)[1]JuanEs: oe chamo
[2021:03:24-00:02:46]  (Local) -> (LOCAL)[1]Cibu|CApu: tienes tazer?
[2021:03:24-00:02:47]  (Local) -> (LOCAL)[1]WolfUser'2cb: lo puedo requisar
[2021:03:24-00:02:49]  (Local) -> (LOCAL)[2]LlamenAlaNegra'Z: no entiendo
[2021:03:24-00:02:49]  (Local) -> (LOCAL)[3]SALCHIPAPERO(RCA)[p]: nos damos
[2021:03:24-00:02:50]  (Local) -> (LOCAL)[1]Cibu|CApu: no te escucho
[2021:03:24-00:02:51]  (Global) -> brandonjose: DJ CLAVO 
[2021:03:24-00:02:51]  (Local) -> (LOCAL)[3]Machete_Loco: pana lea
[2021:03:24-00:02:52]  (Local) -> (LOCAL)[1]Flaco'2cb: ando sin money
[2021:03:24-00:02:57]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00Oconner'2cb: uff pero asi azul tambien se ve ch imba o q
[2021:03:24-00:02:58]  (Local) -> (LOCAL)[2]SALCHIPAPERO(RCA)[p]: ??
[2021:03:24-00:03:00]  (Local) -> (LOCAL)[2]Cheverezone: que paso
[2021:03:24-00:03:03]  (Local) -> (LOCAL)[3]Rata|Z: xDD
[2021:03:24-00:03:03]  (Global) -> XxBastianoxX: es uina 9mm sileciadA??
[2021:03:24-00:03:05]  (Local) -> (LOCAL)[2]Machete_Loco: dice que el trab ajo de militar es joder al pueblo
[2021:03:24-00:03:06]  (Local) -> (LOCAL)[2]SALCHIPAPERO(RCA)[p]: nos damos bala apa
[2021:03:24-00:03:07]  (Local) -> (LOCAL)[1]WolfUser'2cb: venga por aca
[2021:03:24-00:03:07]  (Local) -> (LOCAL)[1]Cibu|CApu: si
[2021:03:24-00:03:11]  (Local) -> (LOCAL)[2]Machete_Loco: bobo mk
[2021:03:24-00:03:13]  (Local) -> (LOCAL)[2]SALCHIPAPERO(RCA)[p]: pero no literalmente
[2021:03:24-00:03:16]  (Local) -> (LOCAL)[2]Rata|Z: OMla
[2021:03:24-00:03:20]  (Global) -> Oreo|#E20280 à¶ž: qqqqq
[2021:03:24-00:03:23]  (Global) -> Cheverezone: y el de camionero joder el chimbo
[2021:03:24-00:03:23]  (Local) -> (LOCAL)[1]Cibu|CApu: no lo escuchoo
[2021:03:24-00:03:24]  (Global) -> XxBastianoxX: si tengo
[2021:03:24-00:03:25]  (Local) -> (LOCAL)[2]Rata|Z: mucha weba
[2021:03:24-00:03:26]  (Team - Services) -> (TEAM)ztheirvin[AK]: y
[2021:03:24-00:03:31]  (Team - Services) -> (TEAM)Maracachafa|Z|: uqe
[2021:03:24-00:03:31]  (Local) -> (LOCAL)[1]XxBastianoxX: si tengo
[2021:03:24-00:03:32]  (Local) -> (LOCAL)[1]Oreo: pero si lo coji
[2021:03:24-00:03:33]  (Local) -> (LOCAL)[2]Cibu|CApu: pontela
[2021:03:24-00:03:34]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00JPablo|ELN: oe
[2021:03:24-00:03:35]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00Oconner'2cb: oe ese nitro por que se me quitara si renuncio al trabajo de drifter
[2021:03:24-00:03:35]  (Local) -> (LOCAL)[1]#7F7F7F|LG|#FF0000Candonga[Zetas]: Tan guevon JAJAJA
[2021:03:24-00:03:36]  (Local) -> (LOCAL)[2]elYZ: pailas esta afuera
[2021:03:24-00:03:38]  (Local) -> (LOCAL)[1]COCO|CRAZ$: pero qhubo ps
[2021:03:24-00:03:38]  (Local) -> (LOCAL)[1]Oreo: wath
[2021:03:24-00:03:40]  (Local) -> (LOCAL)[1]COCO|CRAZ$: figura
[2021:03:24-00:03:42]  (Global) -> Cheverezone: vealo todo ofendido JAAJAJAJ
[2021:03:24-00:03:42]  (Local) -> (LOCAL)[1]Flaco'2cb: Szs
[2021:03:24-00:03:47]  (Global) -> SALCHIPAPERO(RCA)[p]: hahahahahhaha
[2021:03:24-00:03:47]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00JPablo|ELN: oe
[2021:03:24-00:03:47]  (Local) -> (LOCAL)[2]Kapu|m4|: wey
[2021:03:24-00:03:48]  (Local) -> (LOCAL)[2]Cibu|CApu: paz
[2021:03:24-00:03:49]  (Global) -> SALCHIPAPERO(RCA)[p]: no mano
[2021:03:24-00:03:52]  (Local) -> (LOCAL)[2]SALCHIPAPERO(RCA)[p]: suabe
[2021:03:24-00:03:54]  (Local) -> (LOCAL)[2]Machete_Loco: xdd
[2021:03:24-00:03:56]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00VALLES-T: ?
[2021:03:24-00:03:57]  ([Msg] de Candonga[Zetas] para WolfUser'2cb: yo soy mas avispado que usted) -> nil
[2021:03:24-00:03:57]  (Local) -> (LOCAL)[2]Cibu|CApu: le estoy enseÃ±ando a arrestar a el
[2021:03:24-00:03:59]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00VALLES-T: dime
[2021:03:24-00:04:00]  (Global) -> brandonjose: EL SNEYDER DAVID NECESITA UBER
[2021:03:24-00:04:01]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00JPablo|ELN: muestremela
[2021:03:24-00:04:01]  (Local) -> (LOCAL)[1]SALCHIPAPERO(RCA)[p]: va por ellos
[2021:03:24-00:04:02]  (Local) -> (LOCAL)[1]Chacarron|ELN: No me encano mi parse OrEo
[2021:03:24-00:04:04]  (Local) -> (LOCAL)[1]Cheverezone: vamonos pa la puta mierda
[2021:03:24-00:04:05]  (Local) -> (LOCAL)[1]Flaco'2cb: queda melo este
[2021:03:24-00:04:06]  (Local) -> (LOCAL)[2]Chacarron|ELN: jijojojoj
[2021:03:24-00:04:06]  (Local) -> (LOCAL)[2]Oreo: qn es u
[2021:03:24-00:04:07]  (Global) -> brandonjose: EL CHINO PAGA 80 LUKAS LA CARRERA
[2021:03:24-00:04:09]  (Global) -> Im_Dark~|MZ|: vendo solair a 600.000k!
[2021:03:24-00:04:10]  (Local) -> (LOCAL)[2]Chacarron|ELN: a
[2021:03:24-00:04:11]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00VALLES-T: parcero estoy un poco ocupado ahora despues
[2021:03:24-00:04:12]  (Local) -> (LOCAL)[1]malo'2cb: xd
[2021:03:24-00:04:12]  (Global) -> Peyeta[2cb]: VENDO WINDSOR
[2021:03:24-00:04:13]  (Local) -> (LOCAL)[2]Cibu|CApu: ponte la pistolaaa
[2021:03:24-00:04:14]  (Local) -> (LOCAL)[3]Kapu|m4|: bastiano unete ami gang quieres
[2021:03:24-00:04:18]  (Local) -> (LOCAL)[5]URIBE_HP(ZETAS): oeee
[2021:03:24-00:04:19]  (Local) -> (LOCAL)[1]malo'2cb: curese ermano
[2021:03:24-00:04:23]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00Oconner'2cb: quedo chimba asi uff
[2021:03:24-00:04:24]  (Local) -> (LOCAL)[4]SALCHIPAPERO(RCA)[p]: EL ys
[2021:03:24-00:04:25]  (Local) -> (LOCAL)[2]Chacarron|ELN: bARRILETE
[2021:03:24-00:04:26]  (Local) -> (LOCAL)[5]URIBE_HP(ZETAS): balaclava activame el vip
[2021:03:24-00:04:28]  (Local) -> (LOCAL)[4]SALCHIPAPERO(RCA)[p]: subi apa
[2021:03:24-00:04:28]  (Global) -> Niche~CaPu: Peyeta[2cb] precio
[2021:03:24-00:04:29]  (Global) -> XxBastianoxX: listo bro
[2021:03:24-00:04:32]  (Global) -> XxBastianoxX: ok dale
[2021:03:24-00:04:33]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00Oconner'2cb: no hay mas estillitos con mas dibujos?
[2021:03:24-00:04:34]  (Global) -> Peyeta[2cb]: 1 palo
[2021:03:24-00:04:35]  (Global) -> SffOquez6969.|#E20280 à¶ž: Brother Chacarron|ELN[1] que pena
[2021:03:24-00:04:35]  (Local) -> (LOCAL)[1]malo'2cb: curese ermano
[2021:03:24-00:04:36]  (Local) -> (LOCAL)[3]Oreo: Ã±ero ud se la pasa cambiando el nombre coja oficio
[2021:03:24-00:04:38]  (Local) -> (LOCAL)[4]SALCHIPAPERO(RCA)[p]: no es ofendio apa
[2021:03:24-00:04:44]  (Local) -> (LOCAL)[4]Chacarron|ELN: que apenas me lo cambie hoy
[2021:03:24-00:04:48]  (Local) -> (LOCAL)[3]Chacarron|ELN: jijojojoj
[2021:03:24-00:04:50]  (Global) -> Chacarron|ELN|#5EF5F7í ½í±»: Ok VrODER
[2021:03:24-00:04:51]  (Local) -> (LOCAL)[3]SALCHIPAPERO(RCA)[p]: no me ofendo por maricadas
[2021:03:24-00:04:53]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00Oconner'2cb: o este llama mucho la atencion sierto?
[2021:03:24-00:04:53]  (Local) -> (LOCAL)[1]Machete_Loco: vamos
[2021:03:24-00:04:54]  (Local) -> (LOCAL)[3]Soltec|EVG|: qqqq
[2021:03:24-00:04:57]  (Global) -> Cheverezone: vamos
[2021:03:24-00:04:58]  (Global) -> XxBastianoxX: hayyyy
[2021:03:24-00:04:58]  (Local) -> (LOCAL)[1]Flaco'2cb: Y este
[2021:03:24-00:05:02]  (Local) -> (LOCAL)[3]SALCHIPAPERO(RCA)[p]: sino q no pue epelear con gente co trabajo
[2021:03:24-00:05:04]  (Local) -> (LOCAL)[1]Flaco'2cb: queda mas melo el anterior
[2021:03:24-00:05:07]  (Local) -> (LOCAL)[2]Kapu|m4|: ya
[2021:03:24-00:05:08]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00Oconner'2cb: uf este esta rchimba lo unico feo es lo de atras que se queda morado
[2021:03:24-00:05:08]  (Global) -> brandonjose: NECESITO UBER, DOY 90 LUKAS POR EL CRUCE
[2021:03:24-00:05:09]  (Local) -> (LOCAL)[2]Cibu|CApu: hay estas arrestado
[2021:03:24-00:05:10]  (Local) -> (LOCAL)[3]Stivenv28~|PEPEGAN: que cojones
[2021:03:24-00:05:10]  (Global) -> Niche~CaPu: donde lo veo
[2021:03:24-00:05:12]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00Oconner'2cb: mejor el anterior si
[2021:03:24-00:05:17]  (Global) -> Peyeta[2cb]: en banco de ls
[2021:03:24-00:05:19]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00Oconner'2cb: o miremos el primero q puso ahora en este color yo veo
[2021:03:24-00:05:22]  (Local) -> (LOCAL)[1]Chacarron|ELN: permiso yendo a matar a vibra maluca
[2021:03:24-00:05:24]  (Local) -> (LOCAL)[2]Cibu|CApu: solo me queda llevarte a la carcel
[2021:03:24-00:05:27]  (Global) -> Cheverezone: exeso de velocidad
[2021:03:24-00:05:27]  (Local) -> (LOCAL)[2]Kapu|m4|: ponte m4
[2021:03:24-00:05:35]  (Local) -> (LOCAL)[1]Flaco'2cb: Feo
[2021:03:24-00:05:36]  (Global) -> Niche~CaPu: voy espere
[2021:03:24-00:05:38]  (Global) -> Cheverezone: oe militar hpta
[2021:03:24-00:05:42]  (Local) -> (LOCAL)[1]Flaco'2cb: o ud vera
[2021:03:24-00:05:43]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00Oconner'2cb: si feo mejor el otro
[2021:03:24-00:05:44]  (Local) -> (LOCAL)[4]Machete_Loco: hey
[2021:03:24-00:05:47]  (Local) -> (LOCAL)[4]Machete_Loco: pana
[2021:03:24-00:05:51]  (Global) -> XxBastianoxX: ok gracias
[2021:03:24-00:05:51]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00Oconner'2cb: uff asi se ve rechimba
[2021:03:24-00:05:52]  (Global) -> Im_Dark~|MZ|: monoooooooo
[2021:03:24-00:05:55]  (Local) -> (LOCAL)[2]Kapu|m4|: ponte m4
[2021:03:24-00:05:57]  (Local) -> (LOCAL)[1]El_mono345(MZ): aja
[2021:03:24-00:05:58]  (Local) -> (LOCAL)[1]Im_Dark~|MZ|: sos de muertez?
[2021:03:24-00:05:59]  (Local) -> (LOCAL)[2]Cibu|CApu: SOLO SI TIENEN ESTRELLAS PUEDES ARRESTARLOS
[2021:03:24-00:06:05]  (Local) -> (LOCAL)[1]El_mono345(MZ): sisas
[2021:03:24-00:06:08]  (Global) -> XxBastianoxX: a ok
[2021:03:24-00:06:09]  (Local) -> (LOCAL)[1]Im_Dark~|MZ|: lujoso
[2021:03:24-00:06:09]  (Local) -> (LOCAL)[1]Flaco'2cb: vamos a turfear algunas zonas
[2021:03:24-00:06:09]  (Local) -> (LOCAL)[5]FreedLive|AK|: parce usted si es canson
[2021:03:24-00:06:12]  (Global) -> XxBastianoxX: oye bro
[2021:03:24-00:06:16]  (Local) -> (LOCAL)[2]Im_Dark~|MZ|: sale pues ahi nos viidrios
[2021:03:24-00:06:18]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00Oconner'2cb: bro a ese no se le puede poner nitro permanente q no se quite si renuncio a drifter?
[2021:03:24-00:06:20]  (Team - Law Enforcement) -> (TEAM)XxBastianoxX:  uno como sabe si tiene estrellas?
[2021:03:24-00:06:20]  (Local) -> (LOCAL)[2]Chacarron|ELN: ey
[2021:03:24-00:06:21]  (Local) -> (LOCAL)[5]PANDEBONO"2CB": vaya trabaje hermano egh
[2021:03:24-00:06:24]  (Local) -> (LOCAL)[1]Flaco'2cb: Mk
[2021:03:24-00:06:28]  (Local) -> (LOCAL)[2]Cibu|CApu: mira mi nombre
[2021:03:24-00:06:31]  (Local) -> (LOCAL)[2]Chacarron|ELN: a
[2021:03:24-00:06:34]  (Local) -> (LOCAL)[2]Cibu|CApu: tiene algun numero?
[2021:03:24-00:06:37]  (Local) -> (LOCAL)[1]Flaco'2cb: Yo le puedo colocar nitro pero si se coloca job de drfit nada
[2021:03:24-00:06:37]  (Local) -> (LOCAL)[2]Kapu|m4|: pon /nick bastiano|m4|
[2021:03:24-00:06:38]  (Local) -> (LOCAL)[5]FreedLive|AK|: dejeme quieto
[2021:03:24-00:06:41]  (Local) -> (LOCAL)[1]Flaco'2cb: ya se lo paso
[2021:03:24-00:06:42]  (Global) -> XxBastianoxX: no
[2021:03:24-00:06:45]  (Local) -> (LOCAL)[2]Chacarron|ELN: vea le dejo este regalito
[2021:03:24-00:06:47]  (Global) -> XxBastianoxX: a ok
[2021:03:24-00:06:50]  (Local) -> (LOCAL)[2]Cibu|CApu: ahora?
[2021:03:24-00:06:55]  (Global) -> XxBastianoxX: aaa si
[2021:03:24-00:06:55]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00Oconner'2cb: cuando ponga job de drifter se le borra el nitro o q?
[2021:03:24-00:06:57]  (Local) -> (LOCAL)[1]Flaco'2cb: quedese alla
[2021:03:24-00:07:03]  (Local) -> (LOCAL)[2]Cibu|CApu: asi sabes cuando tienen estrellas
[2021:03:24-00:07:08]  (Local) -> (LOCAL)[1]Niche~CaPu: ahora si muestre
[2021:03:24-00:07:10]  (Global) -> FreedLive|AK|: guaracha me gusta tu gallo jejeje
[2021:03:24-00:07:12]  (Local) -> (LOCAL)[2]Cibu|CApu: depende del numero es cuantas estrellas tienes
[2021:03:24-00:07:18]  (Global) -> XxBastianoxX: a ok bro muchas gracias te llevo a la comisaria?
[2021:03:24-00:07:19]  (Local) -> (LOCAL)[2]Kapu|m4|: bastiano dale con el escudo a cibu
[2021:03:24-00:07:20]  (Local) -> (LOCAL)[1]Rata|Z: no escucho
[2021:03:24-00:07:20]  (Local) -> (LOCAL)[1]Flaco'2cb: aa
[2021:03:24-00:07:22]  (Local) -> (LOCAL)[1]Rata|Z: un culod
[2021:03:24-00:07:26]  (Local) -> (LOCAL)[2]Kapu|m4|: ah ya
[2021:03:24-00:07:26]  (Local) -> (LOCAL)[2]Peyeta[2cb]: tuene nitro
[2021:03:24-00:07:26]  (Local) -> (LOCAL)[2]Cibu|CApu: no puedes
[2021:03:24-00:07:35]  (Local) -> (LOCAL)[1]Flaco'2cb: dime ?
[2021:03:24-00:07:35]  (Local) -> (LOCAL)[2]Niche~CaPu: cuanto corre de maximo?
[2021:03:24-00:07:35]  (Local) -> (LOCAL)[2]Cibu|CApu: ya no tengo estrellas
[2021:03:24-00:07:36]  (Global) -> XxBastianoxX: a ok bro muchas gracias te llevo a la comisaria?
[2021:03:24-00:07:39]  (Local) -> (LOCAL)[4]PANDEBONO"2CB": oe
[2021:03:24-00:07:41]  (Local) -> (LOCAL)[2]Cibu|CApu: ademas primero tienes que arrestarme
[2021:03:24-00:07:41]  (Local) -> (LOCAL)[4]PANDEBONO"2CB": oe
[2021:03:24-00:07:43]  (Global) -> Peyeta[2cb]: casi 200
[2021:03:24-00:07:44]  (Local) -> (LOCAL)[4]PANDEBONO"2CB": el audio
[2021:03:24-00:07:50]  (Global) -> XxBastianoxX: aa ok
[2021:03:24-00:07:51]  (Local) -> (LOCAL)[3]Chacarron|ELN: .......
[2021:03:24-00:07:54]  (Global) -> SEVEN||2cb||: VENDO OCEANIC Y SANDKING!!
[2021:03:24-00:07:56]  (Local) -> (LOCAL)[2]Oreo: holo
[2021:03:24-00:07:57]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00Oconner'2cb: quedo chimba el carrito asi muchas gracias uff
[2021:03:24-00:07:57]  (Local) -> (LOCAL)[1]SALCHIPAPERO(RCA)[p]: subi
[2021:03:24-00:07:57]  (Local) -> (LOCAL)[2]Cibu|CApu: tienes silenciadora?
[2021:03:24-00:07:58]  (Local) -> (LOCAL)[1]Peyeta[2cb]: el nitro ayuda a acelerar
[2021:03:24-00:08:00]  (Global) -> helado: hola bro
[2021:03:24-00:08:01]  (Local) -> (LOCAL)[1]Niche~CaPu: haber espere
[2021:03:24-00:08:05]  (Global) -> SantiPajas|#18AED9ã‚«ãƒ—ã‚¬ãƒ³: nub nub
[2021:03:24-00:08:06]  (Local) -> (LOCAL)[3]Chacarron|ELN: hola pulidusk
[2021:03:24-00:08:07]  (Global) -> XxBastianoxX: si
[2021:03:24-00:08:08]  (Local) -> (LOCAL)[1]Niche~CaPu: voy al aero
[2021:03:24-00:08:12]  (Local) -> (LOCAL)[3]Cibu|CApu: pontela
[2021:03:24-00:08:16]  (Global) -> Peyeta[2cb]: tiene full tunning y neon
[2021:03:24-00:08:20]  (Local) -> (LOCAL)[1]Niche~CaPu: y ahi si le puedo meter con todo
[2021:03:24-00:08:24]  (Local) -> (LOCAL)[2]SALCHIPAPERO(RCA)[p]: subi mano
[2021:03:24-00:08:24]  (Global) -> SEVEN||2cb||: neon no, full si
[2021:03:24-00:08:25]  (Local) -> (LOCAL)[1]Peyeta[2cb]: brv
[2021:03:24-00:08:38]  (Local) -> (LOCAL)[2]brandonjose: GFFF
[2021:03:24-00:08:41]  (Local) -> (LOCAL)[1]Flaco'2cb: hay esta
[2021:03:24-00:08:42]  (Global) -> XxBastianoxX: noo bro
[2021:03:24-00:08:44]  (Global) -> Machete_Loco: pana donde esta?
[2021:03:24-00:08:49]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00Oconner'2cb: uff
[2021:03:24-00:08:50]  (Local) -> (LOCAL)[3]SALCHIPAPERO(RCA)[p]: quien
[2021:03:24-00:08:51]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00Oconner'2cb: que chimba
[2021:03:24-00:08:57]  (Global) -> XxBastianoxX: sorry
[2021:03:24-00:09:00]  (Local) -> (LOCAL)[7]Cibu|CApu: no tienes silenciadora?
