This file was generated by Console at 2021:04:28-00:00:00



[2021:04:28-00:00:00]  (Local) -> (LOCAL)[1]DosCoronas|CAPU: f
[2021:04:28-00:00:31]  (Local) -> (LOCAL)[3]Xofu'L4: bro
[2021:04:28-00:00:31]  (Local) -> (LOCAL)[2]Yesid: mano q bien o q
[2021:04:28-00:00:31]  (Local) -> (LOCAL)[1]Maryeli:3: ya no quiere subir
[2021:04:28-00:00:35]  (Local) -> (LOCAL)[3]Xofu'L4: pere
[2021:04:28-00:00:36]  (Local) -> (LOCAL)[11]#7F7F7F|LG|#FF0000tussy'2cb: aa ya vi
[2021:04:28-00:00:37]  (Local) -> (LOCAL)[4]Xofu'L4: noo
[2021:04:28-00:00:38]  (Local) -> (LOCAL)[11]#7F7F7F|LG|#FF0000tussy'2cb: jjj
[2021:04:28-00:00:39]  (Local) -> (LOCAL)[2]Luis|CDG|: TENEMOS QUE CUMPLIR UNO RQUISITO HOY
[2021:04:28-00:00:40]  (Local) -> (LOCAL)[4]Xofu'L4: semurio
[2021:04:28-00:00:40]  (Local) -> (LOCAL)[2]Yesid: ya yo lo tengo o no broo
[2021:04:28-00:00:41]  (Local) -> (LOCAL)[0]MENORMAYOR/CDG/: XD
[2021:04:28-00:00:41]  (Local) -> (LOCAL)[11]CHOCORRAMO[AUC]: jj
[2021:04:28-00:00:44]  (Local) -> (LOCAL)[11]k4zuo'2cb: XDDDDDDDD
[2021:04:28-00:00:44]  (Global) -> MENORMAYOR/CDG/|#F1F1F1ঔৣ☬: XD
[2021:04:28-00:00:45]  (Local) -> (LOCAL)[4]#7F7F7F|DJ|#FFFF00GordoBM: yo con pobres no ando
[2021:04:28-00:00:45]  (Local) -> (LOCAL)[1]DosCoronas|CAPU: la van a coger
[2021:04:28-00:00:46]  (Global) -> MENORMAYOR/CDG/|#F1F1F1ঔৣ☬: XDW
[2021:04:28-00:00:47]  (Local) -> (LOCAL)[11]CHOCORRAMO[AUC]: zzzzzzzz
[2021:04:28-00:00:48]  (Local) -> (LOCAL)[11]mata: siga con eso
[2021:04:28-00:00:49]  (Global) -> Felipe(CDG): sound
[2021:04:28-00:00:51]  (Local) -> (LOCAL)[11]Rakuten2cb: ,
[2021:04:28-00:00:52]  (Global) -> CareCaldoDJ'2cb: busetero da mucha plata poq
[2021:04:28-00:00:53]  (Local) -> (LOCAL)[2]Yesid: ya me lo pongo brooo
[2021:04:28-00:00:53]  (Local) -> (LOCAL)[11]mata: y por dios que lo dejo en elp iso
[2021:04:28-00:00:54]  (Global) -> CareCaldoDJ'2cb: oq
[2021:04:28-00:00:54]  (Global) -> Pasquel(Zetas): jajajajajaja
[2021:04:28-00:00:55]  (Local) -> (LOCAL)[3]Tussi_Sabes[Z]: vos que?
[2021:04:28-00:00:56]  (Local) -> (LOCAL)[10]#7F7F7F|LG|#FF0000tussy'2cb: ksa
[2021:04:28-00:00:57]  (Local) -> (LOCAL)[1]DosCoronas|CAPU: paila
[2021:04:28-00:00:59]  (Local) -> (LOCAL)[2]Luis|CDG|: BUENO
[2021:04:28-00:00:59]  (Local) -> (LOCAL)[0]Pasquel(Zetas): no felipe
[2021:04:28-00:00:59]  (Local) -> (LOCAL)[11]k4zuo'2cb: mi parsero
[2021:04:28-00:00:59]  (Global) -> Pedroelescamoso: a7sound
[2021:04:28-00:01:02]  (Global) -> CUTI: a jueputa
[2021:04:28-00:01:02]  (Local) -> (LOCAL)[3]Yesid: manom y el mp tambien
[2021:04:28-00:01:03]  (Global) -> MENORMAYOR/CDG/|#F1F1F1ঔৣ☬: XD
[2021:04:28-00:01:04]  (Local) -> (LOCAL)[1]DosCoronas|CAPU: mero buñuelo
[2021:04:28-00:01:04]  (Local) -> (LOCAL)[3]Naomiiii: hola
[2021:04:28-00:01:05]  (Local) -> (LOCAL)[1]Maryeli:3: donde hay elicopteros?
[2021:04:28-00:01:06]  (Global) -> MENORMAYOR/CDG/|#F1F1F1ঔৣ☬: XD
[2021:04:28-00:01:07]  (Local) -> (LOCAL)[2]pene: ola
[2021:04:28-00:01:07]  (Local) -> (LOCAL)[10]CHOCORRAMO[AUC]: zZzZSZZZz
[2021:04:28-00:01:08]  (Global) -> Pasquel(Zetas): es /sound
[2021:04:28-00:01:09]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FFFF00GordoBM: nah xd
[2021:04:28-00:01:11]  (Global) -> Pasquel(Zetas): JAJAJAJAJAJA
[2021:04:28-00:01:15]  (Global) -> Felipe(CDG): yo se
[2021:04:28-00:01:18]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FFFF00GordoBM: bofff
[2021:04:28-00:01:19]  (Local) -> (LOCAL)[3]Luis|CDG|: EL P SE PONME / modopasivo
[2021:04:28-00:01:21]  (Global) -> Felipe's: CARECALDO PUESS
[2021:04:28-00:01:22]  (Global) -> Felipe(CDG): sino q se me fue
[2021:04:28-00:01:23]  (Local) -> (LOCAL)[0]Pasquel(Zetas): O
[2021:04:28-00:01:24]  (Local) -> (LOCAL)[10]#7F7F7F|LG|#FF0000tussy'2cb: jj
[2021:04:28-00:01:24]  (Local) -> (LOCAL)[4]#7F7F7F|DJ|#FFFF00GordoBM: ypa q aprenda
[2021:04:28-00:01:24]  (Local) -> (LOCAL)[3]Luis|CDG|: ahh llevo
[2021:04:28-00:01:24]  (Local) -> (LOCAL)[4]aspiriina||EVG||: como la vio
[2021:04:28-00:01:26]  (Local) -> (LOCAL)[3]Luis|CDG|: ya le pago
[2021:04:28-00:01:27]  (Local) -> (LOCAL)[1]DosCoronas|CAPU: toca comprar
[2021:04:28-00:01:27]  (Global) -> Pasquel(Zetas): PAJUOO
[2021:04:28-00:01:28]  (Global) -> #7F7F7F|ADM|#FF5C00KawaiiGirlsG: AUC A TURFEAR
[2021:04:28-00:01:28]  (Local) -> (LOCAL)[11]CHOCORRAMO[AUC]: ijjj
[2021:04:28-00:01:28]  (Local) -> (LOCAL)[1]DosCoronas|CAPU: o
[2021:04:28-00:01:31]  (Local) -> (LOCAL)[10]#7F7F7F|ADM|#FF5C00Catre^AUC: jum
[2021:04:28-00:01:34]  (Local) -> (LOCAL)[1]DosCoronas|CAPU: pagar didnero verdadero
[2021:04:28-00:01:35]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FFFF00GordoBM: donde esta gaysh
[2021:04:28-00:01:35]  (Local) -> (LOCAL)[1]Maryeli:3: tu tienes?
[2021:04:28-00:01:37]  (Local) -> (LOCAL)[1]DosCoronas|CAPU: me voy
[2021:04:28-00:01:37]  (Global) -> eliseomeloneo|L4Z||: {7ponerskin
[2021:04:28-00:01:40]  (Local) -> (LOCAL)[1]DosCoronas|CAPU: no
[2021:04:28-00:01:43]  (Local) -> (LOCAL)[3]aspiriina||EVG||: ajajjjaja
[2021:04:28-00:01:45]  (Local) -> (LOCAL)[1]DosCoronas|CAPU: ya me voy
[2021:04:28-00:01:46]  (Local) -> (LOCAL)[1]DosCoronas|CAPU: bye
[2021:04:28-00:01:48]  (Local) -> (LOCAL)[1]Maryeli:3: dale
[2021:04:28-00:01:50]  (Local) -> (LOCAL)[6]aspiriina||EVG||: vealo ahi
[2021:04:28-00:01:50]  (Local) -> (LOCAL)[2]Yesid_[CDG][MP]: yaaaa
[2021:04:28-00:01:55]  (Local) -> (LOCAL)[1]Zoe: ya me curo
[2021:04:28-00:01:56]  (Local) -> (LOCAL)[2]Granuja666: MANO
[2021:04:28-00:01:56]  (Local) -> (LOCAL)[2]Soltec|EVGays: q
[2021:04:28-00:01:57]  (Local) -> (LOCAL)[9]Rata|Z|: Jdjasj
[2021:04:28-00:01:59]  (Local) -> (LOCAL)[2]Granuja666: pare
[2021:04:28-00:02:02]  (Local) -> (LOCAL)[1]MELINA666$$$$$$$$$$$$: breve
[2021:04:28-00:02:02]  (Local) -> (LOCAL)[10]Rata|Z|: El parcero q bindea el sancocho
[2021:04:28-00:02:04]  (Global) -> JHAYCO14lZETASl: UAC A PERDER
[2021:04:28-00:02:10]  (Local) -> (LOCAL)[11]eliseomeloneo|L4Z||: asi?
[2021:04:28-00:02:10]  (Local) -> (LOCAL)[12]Julian: mi cara cuando el tolimense
[2021:04:28-00:02:14]  (Global) -> MENORMAYOR/CDG/|#F1F1F1ঔৣ☬: AUC PA MARIKAS
[2021:04:28-00:02:17]  (Global) -> #7F7F7F|ADM|#FF0000Llanerito'ELN': UAC
[2021:04:28-00:02:19]  (Global) -> Pasquel(Zetas): JAJAJAJA
[2021:04:28-00:02:21]  (Global) -> Pasquel(Zetas): xD
[2021:04:28-00:02:22]  (Local) -> (LOCAL)[11]eliseomeloneo|L4Z||: negrita
[2021:04:28-00:02:22]  (Global) -> Zoe|#5EF5F7������: uac
[2021:04:28-00:02:22]  (Local) -> (LOCAL)[11]#7F7F7F|LG|#FF0000tussy'2cb: CHOCORRAMO
[2021:04:28-00:02:24]  (Local) -> (LOCAL)[11]#7F7F7F|LG|#FF0000tussy'2cb: CAMILOP
[2021:04:28-00:02:25]  (Local) -> (LOCAL)[3]Luis|CDG|: GRACIAS
[2021:04:28-00:02:25]  (Local) -> (LOCAL)[3]pene: soy 2cb ñerito
[2021:04:28-00:02:25]  (Local) -> (LOCAL)[11]CHOCORRAMO[AUC]: A
[2021:04:28-00:02:25]  (Global) -> JHAYCO14lZETASl: UAC JAJAJAJAJA
[2021:04:28-00:02:27]  (Global) -> MELINA666$$$$$$$$$$$$: LEN
[2021:04:28-00:02:27]  (Local) -> (LOCAL)[11]#7F7F7F|LG|#FF0000tussy'2cb: go 4v4
[2021:04:28-00:02:28]  (Local) -> (LOCAL)[3]COSCULLUELA"2cb: a
[2021:04:28-00:02:28]  (Local) -> (LOCAL)[1]Zoe: xq no me saca el f6
[2021:04:28-00:02:29]  (Global) -> ivan: uac
[2021:04:28-00:02:30]  (Local) -> (LOCAL)[3]COSCULLUELA"2cb: jeje
[2021:04:28-00:02:32]  (Local) -> (LOCAL)[3]Yesid_[CDG][MP]: oe luis
[2021:04:28-00:02:32]  (Local) -> (LOCAL)[3]pene: c:
[2021:04:28-00:02:32]  (Local) -> (LOCAL)[3]COSCULLUELA"2cb: mala
[2021:04:28-00:02:34]  (Local) -> (LOCAL)[1]MELINA666$$$$$$$$$$$$: ay
[2021:04:28-00:02:34]  (Local) -> (LOCAL)[11]CHOCORRAMO[AUC]: pero sin macros
[2021:04:28-00:02:35]  (Local) -> (LOCAL)[1]Zoe: toco con panel XD
[2021:04:28-00:02:36]  (Local) -> (LOCAL)[3]Luis|CDG|: DIGA
[2021:04:28-00:02:37]  (Global) -> JHAYCO14lZETASl: SI FUI
[2021:04:28-00:02:39]  (Local) -> (LOCAL)[10]#7F7F7F|LG|#FF0000tussy'2cb: ok
[2021:04:28-00:02:40]  (Local) -> (LOCAL)[10]CHOCORRAMO[AUC]: XDE
[2021:04:28-00:02:42]  (Local) -> (LOCAL)[3]Andres_Ramires||2cb||: no es nada ya sabe que cuando necesite me dice
[2021:04:28-00:02:43]  (Local) -> (LOCAL)[11]#7F7F7F|LG|#FF0000tussy'2cb: go?
[2021:04:28-00:02:43]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FFFF00GordoBM: vamos ps hpta feo
[2021:04:28-00:02:47]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00KawaiiGirlsG: ??
[2021:04:28-00:02:47]  (Local) -> (LOCAL)[12]CHOCORRAMO[AUC]: vamos pa otro lado
[2021:04:28-00:02:49]  (Team - Unemployed) -> (TEAM)mata: e
[2021:04:28-00:02:52]  (Local) -> (LOCAL)[1]COSCULLUELA"2cb: <3
[2021:04:28-00:02:52]  (Local) -> (LOCAL)[11]#7F7F7F|LG|#FF0000tussy'2cb: ps si obio
[2021:04:28-00:02:52]  (Local) -> (LOCAL)[1]Zoe: aaa
[2021:04:28-00:02:52]  (Local) -> (LOCAL)[11]Rakuten2cb: biiIbiB
[2021:04:28-00:02:52]  (Local) -> (LOCAL)[2]Yesid_[CDG][MP]: vamos a probar el yate
[2021:04:28-00:02:53]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Ash-Chirri||EVG||: me ganas bobis
[2021:04:28-00:02:55]  (Law) -> popeyesad: ash-chirri
[2021:04:28-00:02:55]  (Law) -> (LAW)popeyesad: #ffffffash-chirri
[2021:04:28-00:02:56]  (Local) -> (LOCAL)[10]#7F7F7F|LG|#FF0000tussy'2cb: a qn llevo
[2021:04:28-00:02:56]  (Local) -> (LOCAL)[1]Xofu'L4: oe
[2021:04:28-00:02:56]  (Local) -> (LOCAL)[10]Rakuten2cb: chochorramo
[2021:04:28-00:02:57]  (Local) -> (LOCAL)[10]CHOCORRAMO[AUC]: que se meten sus amigos los sapos
[2021:04:28-00:02:58]  (Local) -> (LOCAL)[4]#7F7F7F|DJ|#FFFF00GordoBM: donde esta mi boboymedio
[2021:04:28-00:02:59]  (Local) -> (LOCAL)[1]Xofu'L4: bro
[2021:04:28-00:03:01]  (Local) -> (LOCAL)[8]Rakuten2cb: dopandose ds del pvp
[2021:04:28-00:03:01]  (Local) -> (LOCAL)[8]#7F7F7F|LG|#FF0000tussy'2cb: a qn llevo
[2021:04:28-00:03:02]  (Local) -> (LOCAL)[10]#7F7F7F|LG|#FF0000tussy'2cb: a qn llevo
[2021:04:28-00:03:02]  (Local) -> (LOCAL)[1]Xofu'L4: bro
[2021:04:28-00:03:04]  (Global) -> MENORMAYOR/CDG/|#F1F1F1ঔৣ☬: AUC PA MARIKAS
[2021:04:28-00:03:05]  (Local) -> (LOCAL)[10]Rakuten2cb: a mi
[2021:04:28-00:03:06]  (Global) -> MENORMAYOR/CDG/|#F1F1F1ঔৣ☬: AUC PA MARIKAS
[2021:04:28-00:03:06]  (Global) -> FELIPE: hola
[2021:04:28-00:03:06]  (Local) -> (LOCAL)[10]eliseomeloneo|L4Z||: a mi
[2021:04:28-00:03:06]  (Local) -> (LOCAL)[11]mata: amia
[2021:04:28-00:03:07]  (Global) -> MENORMAYOR/CDG/|#F1F1F1ঔৣ☬: AUC PA MARIKAS
[2021:04:28-00:03:10]  (Local) -> (LOCAL)[1]Xofu'L4: entras a mi clan?
[2021:04:28-00:03:12]  (Local) -> (LOCAL)[10]#7F7F7F|LG|#FF0000tussy'2cb: de los de camilop
[2021:04:28-00:03:13]  (Local) -> (LOCAL)[2]Luis|CDG|: luego jajjaj estoy hablando con ADMI
[2021:04:28-00:03:14]  (Local) -> (LOCAL)[10]eliseomeloneo|L4Z||: a mi
[2021:04:28-00:03:14]  (Global) -> pene|#E20280 ඞ: CDG para los hombres
[2021:04:28-00:03:16]  (Global) -> FELIPE: te sigo
[2021:04:28-00:03:16]  (Local) -> (LOCAL)[10]k4zuo'2cb: ami
[2021:04:28-00:03:17]  (Local) -> (LOCAL)[10]mata: yo quiero ver como se lo culea
[2021:04:28-00:03:19]  (Local) -> (LOCAL)[10]Rakuten2cb: ami
[2021:04:28-00:03:19]  (Local) -> (LOCAL)[2]Xofu'L4: ven
[2021:04:28-00:03:20]  (Local) -> (LOCAL)[10]CHOCORRAMO[AUC]: no ?
[2021:04:28-00:03:20]  (Local) -> (LOCAL)[3]Yesid_[CDG][MP]: mmmm ya ok
[2021:04:28-00:03:22]  (Local) -> (LOCAL)[10]#7F7F7F|ADM|#FF5C00KawaiiGirlsG: Que ganas de banear
[2021:04:28-00:03:22]  (Local) -> (LOCAL)[1]Xofu'L4: sal del auto
[2021:04:28-00:03:22]  (Local) -> (LOCAL)[2]ivan: eche?
[2021:04:28-00:03:23]  (Local) -> (LOCAL)[3]Pasquel(Zetas): kio xd
[2021:04:28-00:03:24]  (Global) -> #18AED9Galicia|#18AED9カプガン: JJJJJJJJJ
[2021:04:28-00:03:27]  (Global) -> Zoe|#5EF5F7������: jjjja
[2021:04:28-00:03:27]  (Local) -> (LOCAL)[10]Rakuten2cb: quiero ver como se culea a chochorramo
[2021:04:28-00:03:27]  (Local) -> (LOCAL)[2]Xofu'L4: queires entrar a mi clan?
[2021:04:28-00:03:27]  (Local) -> (LOCAL)[10]mata: vea
[2021:04:28-00:03:27]  (Global) -> CareCaldoDJ'2cb: JAAAJJA SE OFENDIO CATRE
[2021:04:28-00:03:29]  (Local) -> (LOCAL)[10]mata: vea
[2021:04:28-00:03:29]  (Local) -> (LOCAL)[10]#7F7F7F|LG|#FF0000tussy'2cb: dizq no?
[2021:04:28-00:03:31]  (Local) -> (LOCAL)[2]Xofu'L4: asi no te matan
[2021:04:28-00:03:32]  (Global) -> pene|#E20280 ඞ: q
[2021:04:28-00:03:32]  (Local) -> (LOCAL)[10]Rakuten2cb: le hace el tiki
[2021:04:28-00:03:32]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FFFF00GordoBM: akjssksa
[2021:04:28-00:03:32]  (Local) -> (LOCAL)[10]#7F7F7F|LG|#FF0000tussy'2cb: :vVv
[2021:04:28-00:03:33]  (Local) -> (LOCAL)[10]Rakuten2cb: y listo
[2021:04:28-00:03:34]  (Global) -> Zoe|#5EF5F7������: q
[2021:04:28-00:03:34]  (Global) -> FELIPE: clan d q
[2021:04:28-00:03:35]  (Local) -> (LOCAL)[10]mata: agachese
[2021:04:28-00:03:36]  (Global) -> JHAYCO14lZETASl: JAJAJAJAJAJAJA
[2021:04:28-00:03:36]  (Local) -> (LOCAL)[10]#7F7F7F|ADM|#FF5C00KawaiiGirlsG: Veo
[2021:04:28-00:03:37]  (Global) -> Garza|Z|: no porfavor
[2021:04:28-00:03:38]  (Local) -> (LOCAL)[2]Xofu'L4: clan de pvp
[2021:04:28-00:03:39]  (Local) -> (LOCAL)[10]mata: veo algo
[2021:04:28-00:03:40]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FFFF00GordoBM: amos
[2021:04:28-00:03:40]  (Local) -> (LOCAL)[1]MELINA666$$$$$$$$$$$$: cheverryGOD
[2021:04:28-00:03:43]  (Local) -> (LOCAL)[10]#7F7F7F|ADM|#FF5C00KawaiiGirlsG: Uy no veo nada
[2021:04:28-00:03:43]  (Global) -> FELIPE: okey
[2021:04:28-00:03:44]  (Local) -> (LOCAL)[1]Zoe: uy qe
[2021:04:28-00:03:44]  (Local) -> (LOCAL)[10]mata: jjja malparido tan enano
[2021:04:28-00:03:45]  (Local) -> (LOCAL)[3]Pasquel(Zetas): xD
[2021:04:28-00:03:46]  (Local) -> (LOCAL)[3]Luis|CDG|: LO LLEVO A LOS SANTO?
[2021:04:28-00:03:51]  (Local) -> (LOCAL)[3]Yesid_[CDG][MP]: siiii
[2021:04:28-00:03:51]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FFFF00GordoBM: q bo
[2021:04:28-00:03:52]  (Local) -> (LOCAL)[3]Andres_Ramires||2cb||: nos vemos luis
[2021:04:28-00:03:54]  (Local) -> (LOCAL)[1]ivan: camion hpta
[2021:04:28-00:03:54]  (Local) -> (LOCAL)[10]eliseomeloneo|L4Z||: tussyw
[2021:04:28-00:03:55]  (Global) -> #E20280ssm'2cb|#E20280 ඞ: ey cambien ese clima tan cacorro
[2021:04:28-00:03:57]  (Local) -> (LOCAL)[2]Xofu'L4: dele /aceptargang
[2021:04:28-00:03:58]  (Global) -> Pasquel(Zetas): sapa hp
[2021:04:28-00:03:58]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FFFF00GordoBM: vamos a facturar
[2021:04:28-00:03:59]  (Global) -> VarKraus(CDG): xd
[2021:04:28-00:04:00]  (Global) -> pene|#E20280 ඞ: risa
[2021:04:28-00:04:01]  (Global) -> Zoe|#5EF5F7������: clima para ud
[2021:04:28-00:04:01]  (Local) -> (LOCAL)[2]Yesid_[CDG][MP]: mano yo manejo
[2021:04:28-00:04:01]  (Global) -> Pasquel(Zetas): mi camion
[2021:04:28-00:04:04]  (Global) -> Pasquel(Zetas): aaaaaaaaaaaa
[2021:04:28-00:04:07]  (Local) -> (LOCAL)[11]mata: esas skins de lolis estan mas curseadas que los directos de vibra
[2021:04:28-00:04:07]  (Local) -> (LOCAL)[2]Luis|CDG|: no dale
[2021:04:28-00:04:08]  (Local) -> (LOCAL)[2]Xofu'L4: eso
[2021:04:28-00:04:09]  (Local) -> (LOCAL)[2]Yesid_[CDG][MP]: para probar el carro
[2021:04:28-00:04:11]  (Global) -> JHAYCO14lZETASl: ELLA NO ES TUYA
[2021:04:28-00:04:11]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FFFF00GordoBM: le quedo grande ve
[2021:04:28-00:04:12]  (Local) -> (LOCAL)[1]Zoe: bno
[2021:04:28-00:04:12]  (Local) -> (LOCAL)[11]ssm'2cb: XDD
[2021:04:28-00:04:13]  (Local) -> (LOCAL)[2]Luis|CDG|: me voy adar TP
[2021:04:28-00:04:13]  (Local) -> (LOCAL)[1]Xofu'L4: ahora /nick FELIPE'L4
[2021:04:28-00:04:14]  (Local) -> (LOCAL)[1]Pedroelescamoso: tiene derecho a un aboga
[2021:04:28-00:04:14]  (Local) -> (LOCAL)[2]Trinidad''2cb: afk un ratito
[2021:04:28-00:04:16]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FFFF00GordoBM: JAJAJAJAJAJA
[2021:04:28-00:04:16]  (Local) -> (LOCAL)[1]Pedroelescamoso: do
[2021:04:28-00:04:18]  (Global) -> FELIPE: y que tengo que hacer
[2021:04:28-00:04:20]  (Local) -> (LOCAL)[3]aspiriina||EVG||: jajajajajaja
[2021:04:28-00:04:23]  (Local) -> (LOCAL)[12]ssm'2cb: que los directos de happyshoter
[2021:04:28-00:04:23]  (Local) -> (LOCAL)[12]eliseomeloneo|L4Z||: tu quiere pene?
[2021:04:28-00:04:23]  (Local) -> (LOCAL)[1]Xofu'L4: nada
[2021:04:28-00:04:26]  (Local) -> (LOCAL)[12]mata: familia
[2021:04:28-00:04:26]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF5C00Ash-Chirri||EVG||: asjhhasjjhas
[2021:04:28-00:04:27]  (Local) -> (LOCAL)[1]Yesid_[CDG][MP]: mano el lock
[2021:04:28-00:04:27]  (Global) -> Elflacoagudelo: le pregunte?
[2021:04:28-00:04:27]  (Local) -> (LOCAL)[5]#7F7F7F|DJ|#FFFF00GordoBM: maten ps
[2021:04:28-00:04:28]  (Local) -> (LOCAL)[1]Pedroelescamoso: tiene derecho a guardar silencio
[2021:04:28-00:04:29]  (Local) -> (LOCAL)[12]k4zuo'2cb: como q paga ser admin pa colocar skin personal
[2021:04:28-00:04:29]  (Local) -> (LOCAL)[1]Xofu'L4: solo matar gente y ya
[2021:04:28-00:04:30]  (Local) -> (LOCAL)[12]mata: me dañaron el roleito
[2021:04:28-00:04:32]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF5C00Ash-Chirri||EVG||: pirobos no respetan skjskjss
[2021:04:28-00:04:34]  (Local) -> (LOCAL)[1]Pedroelescamoso: f
[2021:04:28-00:04:39]  (Global) -> Elflacoagudelo: no verdad
[2021:04:28-00:04:41]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FFFF00GordoBM: impedido mental
[2021:04:28-00:04:43]  (Local) -> (LOCAL)[1]Xofu'L4: haga loque quiera solo le garantiso q asi no lo matan
[2021:04:28-00:04:45]  (Local) -> (LOCAL)[1]Zoe: XD
[2021:04:28-00:04:46]  (Global) -> Garza|Z|: no porfavor
[2021:04:28-00:04:47]  (Local) -> (LOCAL)[2]aspiriina||EVG||: jajajajajajajaa
[2021:04:28-00:04:48]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00Ash-Chirri||EVG||: osh este pirobo
[2021:04:28-00:04:48]  (Local) -> (LOCAL)[12]mata: mano estoy mu bug
[2021:04:28-00:04:48]  (Global) -> felipe'l4: aa ya
[2021:04:28-00:04:49]  (Local) -> (LOCAL)[2]Xofu'L4: porque tenemos aliados
[2021:04:28-00:04:51]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00Ash-Chirri||EVG||: kjsakasjkasjs
[2021:04:28-00:04:56]  (Global) -> felipe'l4: pero no tengo armas
[2021:04:28-00:04:56]  (Local) -> (LOCAL)[2]Xofu'L4: ok bro chao
[2021:04:28-00:04:57]  (Local) -> (LOCAL)[2]Yesid_[CDG][MP]: mano dejeme probar el ocianic
[2021:04:28-00:04:57]  (Local) -> (LOCAL)[1]el_chupa_pollas_30_AKT: suabes
[2021:04:28-00:04:58]  (Local) -> (LOCAL)[11]#7F7F7F|ADM|#FF5C00KawaiiGirlsG: Ey esa amarilla esta muy pequeña
[2021:04:28-00:04:59]  (Global) -> Feid: estan bloqueadas
[2021:04:28-00:05:01]  (Local) -> (LOCAL)[11]#7F7F7F|ADM|#FF5C00KawaiiGirlsG: Toca cambairla
[2021:04:28-00:05:03]  (Local) -> (LOCAL)[2]Xofu'L4: soy judas
[2021:04:28-00:05:03]  (Local) -> (LOCAL)[2]el_chupa_pollas_30_AKT: subase
[2021:04:28-00:05:06]  (Local) -> (LOCAL)[11]#7F7F7F|ADM|#FF5C00Catre^AUC: que va
[2021:04:28-00:05:08]  (Local) -> (LOCAL)[2]Xofu'L4: noo
[2021:04:28-00:05:09]  (Local) -> (LOCAL)[2]rambo2K: judas
[2021:04:28-00:05:10]  (Global) -> #9706BCRata|Z||#9706BC 夜: #000000 TEAM PAOLA
[2021:04:28-00:05:11]  (Local) -> (LOCAL)[11]#7F7F7F|ADM|#FF5C00KawaiiGirlsG: Si
[2021:04:28-00:05:11]  (Local) -> (LOCAL)[2]rambo2K: cual judas ?
[2021:04:28-00:05:11]  (Global) -> Felipe(CDG): mano cuantos felipes hay??
[2021:04:28-00:05:12]  (Local) -> (LOCAL)[2]Xofu'L4: somos liados
