This file was generated by Console at 2021:03:29-00:00:12



[2021:03:29-00:00:12]  (Local) -> (LOCAL)[3]KiraOwO~Capu: agh
[2021:03:29-00:04:31]  (Local) -> (LOCAL)[4]SincereSwordsman61: coman mierdps prbs
[2021:03:29-00:04:32]  (Global) -> SuMadre: pglo
[2021:03:29-00:04:34]  (Local) -> (LOCAL)[1]el_mono(YK): mira el mapa
[2021:03:29-00:04:35]  (Local) -> (LOCAL)[0]Orion||CAPU: con piloto tenes que ahcer vuelos solo vas seleccionar el trabajo
[2021:03:29-00:04:37]  (Local) -> (LOCAL)[1]Antarsia: pero si queres usarlo nadie te va a decir nada xd
[2021:03:29-00:04:40]  (Local) -> (LOCAL)[2]Flaco'2cb: Vealo
[2021:03:29-00:04:42]  (Local) -> (LOCAL)[1]GustavoEscobar: jijiji
[2021:03:29-00:04:44]  (Local) -> (LOCAL)[2]PabloOwO~ELN: ey
[2021:03:29-00:04:44]  (Global) -> 0000000000dilan|#012F7AＫＰ→延: q
[2021:03:29-00:04:46]  (Local) -> (LOCAL)[0]Orion||CAPU: y tenes que ir al punto del f11 con el icono de avion
[2021:03:29-00:04:48]  (Local) -> (LOCAL)[4]ROCO|AUC: zZzZzZzZ
[2021:03:29-00:04:49]  (Local) -> (LOCAL)[2]braiderandres: flaco pere camello un rato y lo compro
[2021:03:29-00:04:54]  (Global) -> el_mono(YK): uyyy gonorrea
[2021:03:29-00:04:54]  (Local) -> (LOCAL)[2]Flaco'2cb: a bnow
[2021:03:29-00:04:58]  (Local) -> (LOCAL)[5]ROCO|AUC: ojo
[2021:03:29-00:04:59]  (Local) -> (LOCAL)[4]ROCO|AUC: ojo
[2021:03:29-00:05:00]  (Local) -> (LOCAL)[0]malo'2cb: y como q cuanto doy
[2021:03:29-00:05:00]  (Global) -> TheCrazyPipeNeXus: donde esta
[2021:03:29-00:05:10]  (Global) -> Flaco'2cb|#83FF00ʍđท: TheCrazyPipeNeXusaja puto
[2021:03:29-00:05:10]  (Local) -> (LOCAL)[1]braiderandres: pai no lo escucho
[2021:03:29-00:05:14]  (Local) -> (LOCAL)[0]malo'2cb: llegaa banco
[2021:03:29-00:05:17]  (Local) -> (LOCAL)[1]braiderandres: llevame a buseteros y le pago
[2021:03:29-00:05:22]  (Local) -> (LOCAL)[7]PabloOwO~ELN: xD
[2021:03:29-00:05:23]  (Global) -> naruto|AK47||#1914D7������: cuanto agarro de sara
[2021:03:29-00:05:25]  (Local) -> (LOCAL)[6]PabloOwO~ELN: perdon
[2021:03:29-00:05:28]  (Local) -> (LOCAL)[5]KiraOwO~Capu: :0 tenemos el mismo rango xxd
[2021:03:29-00:05:30]  (Local) -> (LOCAL)[1]Caceres|AUC: oe
[2021:03:29-00:05:32]  (Local) -> (LOCAL)[1]malo'2cb: o
[2021:03:29-00:05:32]  (Local) -> (LOCAL)[5]PabloOwO~ELN: claro
[2021:03:29-00:05:33]  (Local) -> (LOCAL)[1]braiderandres: poquito como 5 mil
[2021:03:29-00:05:35]  (Local) -> (LOCAL)[1]Caceres|AUC: te anmo jejeje
[2021:03:29-00:05:38]  (Global) -> GustavoEscobar|#FF8CE7✿: xd
[2021:03:29-00:05:39]  (Local) -> (LOCAL)[3]ROCO|AUC: XD
[2021:03:29-00:05:41]  (Local) -> (LOCAL)[1]malo'2cb: te amo :;3
[2021:03:29-00:05:43]  (Global) -> Drogba22: OE PONGA WHOOPTY REMIX PLIS
[2021:03:29-00:05:44]  (Global) -> TheCrazyPipeNeXus: flacoo
[2021:03:29-00:05:44]  (Local) -> (LOCAL)[1]Caceres|AUC: pvp de
[2021:03:29-00:05:45]  (Local) -> (LOCAL)[1]ROCO|AUC: me voy
[2021:03:29-00:05:46]  (Global) -> Flaco'2cb|#83FF00ʍđท: qq
[2021:03:29-00:05:49]  (Global) -> Flaco'2cb|#83FF00ʍđท: Donde anda mk
[2021:03:29-00:05:50]  (Local) -> (LOCAL)[1]Caceres|AUC: cbug pistola
[2021:03:29-00:05:51]  (Local) -> (LOCAL)[1]malo'2cb: voya comprara un carro
[2021:03:29-00:05:53]  (Local) -> (LOCAL)[1]malo'2cb: te busco o q
[2021:03:29-00:05:56]  (Global) -> TheCrazyPipeNeXus: ceantarl
[2021:03:29-00:05:57]  (Local) -> (LOCAL)[2]Caceres|AUC: lo acompaño
[2021:03:29-00:05:58]  (Global) -> Loco_Montes: cojo el trabajo?
[2021:03:29-00:05:59]  (Local) -> (LOCAL)[2]0000000000dilan: un fan
[2021:03:29-00:06:01]  (Global) -> ALIAS_CABO[2cb]:  pasivo
[2021:03:29-00:06:01]  (Global) -> cryligth: admin ayuda pls
[2021:03:29-00:06:03]  (Local) -> (LOCAL)[2]Flaco'2cb: malo'2cb
[2021:03:29-00:06:04]  (Local) -> (LOCAL)[2]malo'2cb: ya
[2021:03:29-00:06:04]  (Local) -> (LOCAL)[0]GustavoEscobar: necesito ah catee
[2021:03:29-00:06:06]  (Global) -> ALIAS_CABO[2cb]: si
[2021:03:29-00:06:06]  (Local) -> (LOCAL)[2]malo'2cb: vamos
[2021:03:29-00:06:07]  (Local) -> (LOCAL)[2]~>CoGoYo-|AUC|: jajaajajaa
[2021:03:29-00:06:12]  (Local) -> (LOCAL)[1]Flaco'2cb: Lo matamos
[2021:03:29-00:06:13]  (Local) -> (LOCAL)[1]Murcielago'Z: >
[2021:03:29-00:06:14]  (Local) -> (LOCAL)[1]malo'2cb: nks
[2021:03:29-00:06:14]  (Local) -> (LOCAL)[1]santi|YK|: jumm
[2021:03:29-00:06:16]  (Local) -> (LOCAL)[2]Flaco'2cb: ey
[2021:03:29-00:06:18]  (Local) -> (LOCAL)[2]malo'2cb: dejalis
[2021:03:29-00:06:19]  (Local) -> (LOCAL)[2]Flaco'2cb: y
[2021:03:29-00:06:20]  (Local) -> (LOCAL)[2]malo'2cb: sano
[2021:03:29-00:06:21]  (Global) -> ALIAS_CABO[2cb]:  pasivo
[2021:03:29-00:06:23]  (Local) -> (LOCAL)[2]Flaco'2cb: venga suba
[2021:03:29-00:06:24]  (Global) -> Loco_Montes: quiero cambiarme la skin
[2021:03:29-00:06:24]  (Local) -> (LOCAL)[2]malo'2cb: vamos
[2021:03:29-00:06:25]  (Local) -> (LOCAL)[2]0000000000dilan: ermanitas
[2021:03:29-00:06:30]  (Local) -> (LOCAL)[2]malo'2cb: pa comprar eso
[2021:03:29-00:06:32]  (Global) -> GustavoEscobar|#FF8CE7✿: xd
[2021:03:29-00:06:33]  (Local) -> (LOCAL)[2]malo'2cb: gooooooooooooooggg
[2021:03:29-00:06:34]  (Local) -> (LOCAL)[2]~>CoGoYo-|AUC|: matame la proxima
[2021:03:29-00:06:35]  (Local) -> (LOCAL)[3]Rakuten!#: malo
[2021:03:29-00:06:36]  (Local) -> (LOCAL)[1]~>CoGoYo-|AUC|: dilan
[2021:03:29-00:06:38]  (Global) -> cryligth: admin ayuda pls
[2021:03:29-00:06:38]  (Local) -> (LOCAL)[2]Flaco'2cb: yo te lo vendo saca la plata
[2021:03:29-00:06:38]  (Local) -> (LOCAL)[2]Caceres|AUC: ejejje
[2021:03:29-00:06:40]  (Local) -> (LOCAL)[1]~>CoGoYo-|AUC|: se piro
[2021:03:29-00:06:45]  (Local) -> (LOCAL)[2]malo'2cb: vamos
[2021:03:29-00:06:45]  (Local) -> (LOCAL)[2]Flaco'2cb: Caceres|AUC vengase pa 2cb
[2021:03:29-00:06:46]  (Global) -> TheCrazyPipeNeXus: donde esta
[2021:03:29-00:06:47]  (Local) -> (LOCAL)[2]Caceres|AUC: cuanto lo vende?
[2021:03:29-00:06:50]  (Global) -> Loco_Montes: me lo desactivo?
[2021:03:29-00:06:52]  (Local) -> (LOCAL)[2]Flaco'2cb: 1 paloa
[2021:03:29-00:06:54]  (Local) -> (LOCAL)[2]Flaco'2cb: cual quiere
[2021:03:29-00:06:56]  (Local) -> (LOCAL)[2]Caceres|AUC: no alla hay muy malos
[2021:03:29-00:07:00]  (Local) -> (LOCAL)[2]malo'2cb: ajj
[2021:03:29-00:07:02]  (Local) -> (LOCAL)[2]Flaco'2cb: jajajaja y ud q
[2021:03:29-00:07:02]  (Local) -> (LOCAL)[2]braiderandres: cuanto
[2021:03:29-00:07:07]  (Global) -> TheCrazyPipeNeXus: donde esta fla
[2021:03:29-00:07:08]  (Global) -> ALIAS_CABO[2cb]: yo le digo cual
[2021:03:29-00:07:08]  (Local) -> (LOCAL)[6]Flaco'2cb: prra
[2021:03:29-00:07:09]  (Global) -> GustavoEscobar|#FF8CE7✿: xd
[2021:03:29-00:07:10]  (Local) -> (LOCAL)[1]santi|YK|: seguimos practicando o que?
[2021:03:29-00:07:11]  (Local) -> (LOCAL)[7]Flaco'2cb: mOntese
[2021:03:29-00:07:11]  (Global) -> naruto|AK47||#1914D7������: son 5 mil
[2021:03:29-00:07:11]  (Local) -> (LOCAL)[7]malo'2cb: vamos perro caremonda
[2021:03:29-00:07:13]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Balaclava: a
[2021:03:29-00:07:14]  (Local) -> (LOCAL)[7]Caceres|AUC: puyes si le gano a usted jejje
[2021:03:29-00:07:14]  (Global) -> cryligth: admin ayuda pls
[2021:03:29-00:07:19]  (Local) -> (LOCAL)[8]TheCrazyPipeNeXus: a
[2021:03:29-00:07:21]  (Local) -> (LOCAL)[7]Flaco'2cb: jajaja q habñas
[2021:03:29-00:07:22]  (Local) -> (LOCAL)[1]Antarsia: paso algo?
[2021:03:29-00:07:23]  (Global) -> ALIAS_CABO[2cb]:  pongase la q le guste y yo ler digo
[2021:03:29-00:07:23]  (Global) -> Loco_Montes: cual escojo
[2021:03:29-00:07:24]  (Local) -> (LOCAL)[1]0000000000dilan: agg 3 tetas fan
[2021:03:29-00:07:26]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Balaclava: nose
[2021:03:29-00:07:27]  (Local) -> (LOCAL)[8]Flaco'2cb: con macros y vainas de esas
[2021:03:29-00:07:28]  (Global) -> braiderandres: le di ñapa
[2021:03:29-00:07:33]  (Local) -> (LOCAL)[1]el_mono(YK): joa me acabo de dar cuenta que me quitaron todo el dinero
[2021:03:29-00:07:35]  (Local) -> (LOCAL)[6]malo'2cb: ey
[2021:03:29-00:07:37]  (Local) -> (LOCAL)[1]Antarsia: dsajsajdjas
[2021:03:29-00:07:37]  (Local) -> (LOCAL)[3]Caceres|AUC: quien yo?
[2021:03:29-00:07:41]  (Local) -> (LOCAL)[3]Flaco'2cb: Szs ud
[2021:03:29-00:07:41]  (Local) -> (LOCAL)[1]Gauss|ELN: TOCA MANDAR LA MARRAN AL CORRAL
[2021:03:29-00:07:45]  (Local) -> (LOCAL)[3]Caceres|AUC: tyan mk jajajajja
[2021:03:29-00:07:46]  (Local) -> (LOCAL)[3]Flaco'2cb: TheCrazyPipeNeXus
[2021:03:29-00:07:47]  (Global) -> el_mono(YK): cuando me metieron jail
[2021:03:29-00:07:51]  (Local) -> (LOCAL)[3]Flaco'2cb: aja prro
[2021:03:29-00:07:52]  (Local) -> (LOCAL)[3]Caceres|AUC: tan mk JAJAJAJAJJA
[2021:03:29-00:07:53]  (Local) -> (LOCAL)[1]Antarsia: wtf
[2021:03:29-00:07:55]  (Local) -> (LOCAL)[1]santi|YK|: cuanto tenia
[2021:03:29-00:07:56]  (Global) -> GustavoEscobar|#FF8CE7✿: xd
[2021:03:29-00:07:57]  (Local) -> (LOCAL)[2]~>CoGoYo-|AUC|: otra vez aca
[2021:03:29-00:07:57]  (Local) -> (LOCAL)[3]Flaco'2cb: Tenes la plata
[2021:03:29-00:07:57]  (Local) -> (LOCAL)[3]Caceres|AUC: ESPERE ME RIO JAJAJAJJAA
[2021:03:29-00:07:58]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Balaclava: q
[2021:03:29-00:07:59]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Balaclava: XDD
[2021:03:29-00:08:00]  (Global) -> el_mono(YK): 60k
[2021:03:29-00:08:01]  (Local) -> (LOCAL)[3]Flaco'2cb: Bno
[2021:03:29-00:08:03]  (Local) -> (LOCAL)[1]Antarsia: me dio el cartelado 2 veces de una
[2021:03:29-00:08:05]  (Local) -> (LOCAL)[3]TheCrazyPipeNeXus: ya saco
[2021:03:29-00:08:05]  (Global) -> cryligth: admin ayuda pls
[2021:03:29-00:08:05]  (Local) -> (LOCAL)[3]Caceres|AUC: MK SI YO JUEGO LIMPIO
[2021:03:29-00:08:06]  (Local) -> (LOCAL)[3]TheCrazyPipeNeXus: poero meustre
[2021:03:29-00:08:06]  (Global) -> Drogba22: VENDO FCR-900
[2021:03:29-00:08:06]  (Local) -> (LOCAL)[2]0000000000dilan: se
[2021:03:29-00:08:07]  (Local) -> (LOCAL)[1]santi|YK|: no pasa nada
[2021:03:29-00:08:08]  (Local) -> (LOCAL)[1]Antarsia: bueno no de una
[2021:03:29-00:08:10]  (Global) -> ALIAS_CABO[2cb]:  et esta esta mela
[2021:03:29-00:08:11]  (Local) -> (LOCAL)[2]0000000000dilan: ns pq me salio estrella
[2021:03:29-00:08:12]  (Local) -> (LOCAL)[2]0000000000dilan: :vvv
[2021:03:29-00:08:12]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Balaclava: pues es un random
[2021:03:29-00:08:13]  (Local) -> (LOCAL)[1]Antarsia: pero re seguido xd
[2021:03:29-00:08:16]  (Local) -> (LOCAL)[1]Antarsia: ya
[2021:03:29-00:08:18]  (Local) -> (LOCAL)[1]Antarsia: pero digo
[2021:03:29-00:08:19]  (Local) -> (LOCAL)[3]TheCrazyPipeNeXus: veo
[2021:03:29-00:08:21]  (Local) -> (LOCAL)[1]Antarsia: que mala suerte xdsajdsajda
[2021:03:29-00:08:24]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Balaclava: las posibilidades son bajas pero ps
[2021:03:29-00:08:25]  (Local) -> (LOCAL)[3]TheCrazyPipeNeXus: nacio
[2021:03:29-00:08:26]  (Local) -> (LOCAL)[5]Murcielago'Z: cule intenso que eres
[2021:03:29-00:08:28]  (Local) -> (LOCAL)[3]malo'2cb: mio
[2021:03:29-00:08:30]  (Global) -> ALIAS_CABO[2cb]:  q tal esta
[2021:03:29-00:08:31]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Balaclava: c puede
[2021:03:29-00:08:36]  (Global) -> naruto|AK47||#1914D7������: se le ofrece el uber privado
[2021:03:29-00:08:37]  (Local) -> (LOCAL)[3]Caceres|AUC: CUANTO?
[2021:03:29-00:08:42]  (Local) -> (LOCAL)[3]Flaco'2cb: 1 palo
[2021:03:29-00:08:46]  (Global) -> el_mono(YK): pa que sirve el modo pasivo?
[2021:03:29-00:08:49]  (Local) -> (LOCAL)[3]GustavoEscobar: este man
[2021:03:29-00:08:50]  (Global) -> ALIAS_CABO[2cb]: oeee
[2021:03:29-00:08:52]  (Local) -> (LOCAL)[3]TheCrazyPipeNeXus: hp horriblwes
[2021:03:29-00:08:54]  (Global) -> naruto|AK47||#1914D7������: se le ofrece el uber privado
