This file was generated by Console at 2020:10:12-00:00:00



[2020:10:12-00:00:00]  (Local) -> (LOCAL)[17][EVG]Orgalor: Chys
[2020:10:12-00:01:36]  (Local) -> (LOCAL)[1]2cb'SingleChamber: tons
[2020:10:12-00:01:36]  (Global) -> TUERTO: COMPRO HELICOPTERO
[2020:10:12-00:01:37]  (Local) -> (LOCAL)[5]2cb'pablitopai: bueno maneja
[2020:10:12-00:01:38]  (Global) -> [GT]JuanEstrada: w
[2020:10:12-00:01:39]  (Local) -> (LOCAL)[5]2cb|Popeye: sabes pa donde vamso?
[2020:10:12-00:01:40]  (Local) -> (LOCAL)[10][EVG]Orgalor: 180k sisas
[2020:10:12-00:01:40]  (Local) -> (LOCAL)[1]$oltec: pille
[2020:10:12-00:01:41]  (Local) -> (LOCAL)[2]|GT|~La_Loli~: tengo q subir de rango hoy xd
[2020:10:12-00:01:45]  (Local) -> (LOCAL)[2]themateo: u
[2020:10:12-00:01:47]  (Local) -> (LOCAL)[1]$oltec: voy a hacerle rapido
[2020:10:12-00:01:48]  (Local) -> (LOCAL)[1]2cbcarlos: aja
[2020:10:12-00:01:49]  (Local) -> (LOCAL)[3](ZETA)michael-giovanny: no he podido vender mi nave
[2020:10:12-00:01:50]  (Local) -> (LOCAL)[9][EVG]Orgalor: era un bundle
[2020:10:12-00:01:51]  (Local) -> (LOCAL)[8]TUERTO: TE CURO?
[2020:10:12-00:01:53]  (Local) -> (LOCAL)[10](CTA)BAZUCO[GT]: pero osea cada miembro puede tener uno o solo una persona?
[2020:10:12-00:01:54]  (Local) -> (LOCAL)[10]TOPO: XD
[2020:10:12-00:01:55]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Francine98: cual es
[2020:10:12-00:01:55]  (Local) -> (LOCAL)[1]2cb'SingleChamber: XD
[2020:10:12-00:01:57]  (Local) -> (LOCAL)[3]|GT|~La_Loli~: despues de visakoso que viene
[2020:10:12-00:02:02]  (Local) -> (LOCAL)[10][EVG]Orgalor: 25 miembros de Gt
[2020:10:12-00:02:05]  (Local) -> (LOCAL)[1]$oltec: si pillo
[2020:10:12-00:02:06]  (Local) -> (LOCAL)[1]2cb'SingleChamber: como caminaa
[2020:10:12-00:02:06]  (Local) -> (LOCAL)[14](ZETA)michael-giovanny: se la muestro?
[2020:10:12-00:02:07]  (Local) -> (LOCAL)[1]$oltec: ?
[2020:10:12-00:02:07]  (Local) -> (LOCAL)[14][EVG]Orgalor: y 25 miembros de EVG+
[2020:10:12-00:02:10]  (Local) -> (LOCAL)[4]LOKILLO: OE
[2020:10:12-00:02:12]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#FF0000Francine98: dale
[2020:10:12-00:02:13]  (Local) -> (LOCAL)[11](CTA)BAZUCO[GT]: ahhh brv
[2020:10:12-00:02:13]  (Local) -> (LOCAL)[11][EVG]Orgalor: si no te dieron
[2020:10:12-00:02:14]  (Global) -> C4rtex: oh gloria inmarsesible
[2020:10:12-00:02:15]  (Local) -> (LOCAL)[11][EVG]Orgalor: F
[2020:10:12-00:02:16]  (Local) -> (LOCAL)[3]LOKILLO: PA
[2020:10:12-00:02:16]  (Local) -> (LOCAL)[11](CTA)BAZUCO[GT]: gracias
[2020:10:12-00:02:17]  (Local) -> (LOCAL)[2]themateo: hola señor policia
[2020:10:12-00:02:19]  (Local) -> (LOCAL)[11][EVG]Orgalor: igual este
[2020:10:12-00:02:20]  (Local) -> (LOCAL)[4]|2cb|dilan: Q
[2020:10:12-00:02:22]  (Local) -> (LOCAL)[11][EVG]Orgalor: yo ya lo tenia
[2020:10:12-00:02:24]  (Team - Law Enforcement) -> (TEAM)BestHair17: BUENAS SEÑOR
[2020:10:12-00:02:25]  (Local) -> (LOCAL)[3]LOKILLO: EM LO DEJA PROBAR PLIS
[2020:10:12-00:02:26]  (Local) -> (LOCAL)[11][EVG]Orgalor: pa q mas
[2020:10:12-00:02:26]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000Francine98: xdd
[2020:10:12-00:02:28]  (Local) -> (LOCAL)[2]themateo: le doy pa que se cure
[2020:10:12-00:02:29]  (Local) -> (LOCAL)[3]2cb'Haze: noooooo
[2020:10:12-00:02:30]  (Local) -> (LOCAL)[3]LOKILLO: CUANTO CORRE
[2020:10:12-00:02:31]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF0000Francine98: ven la arreglo
[2020:10:12-00:02:32]  (Local) -> (LOCAL)[1]TUERTO: eres nuevo?
[2020:10:12-00:02:32]  (Local) -> (LOCAL)[1]2cb'SingleChamber: no puedo caminar xd
[2020:10:12-00:02:35]  (Local) -> (LOCAL)[10][EVG]Orgalor: llanerito no tiene frenos
[2020:10:12-00:02:36]  (Local) -> (LOCAL)[2]LOKILLO: ES QUE LO QUIERO COMRPAR
[2020:10:12-00:02:37]  (Local) -> (LOCAL)[10](CTA)BAZUCO[GT]: le voy a preguntar a arturo
[2020:10:12-00:02:38]  (Global) -> JudiciousWaiter41: Sí, vos?
[2020:10:12-00:02:39]  (Local) -> (LOCAL)[1]$oltec: del en j
[2020:10:12-00:02:39]  (Local) -> (LOCAL)[1]themateo: le doy pa que se cure
[2020:10:12-00:02:39]  (Local) -> (LOCAL)[11][EVG]Orgalor: pojo
[2020:10:12-00:02:41]  (Local) -> (LOCAL)[11][EVG]Orgalor: ojo
[2020:10:12-00:02:44]  (Local) -> (LOCAL)[10][EVG]Orgalor: q no frena
[2020:10:12-00:02:44]  (Local) -> (LOCAL)[13](CTA)BAZUCO[GT]: oe
[2020:10:12-00:02:44]  (Local) -> (LOCAL)[8](ZETA)michael-giovanny: bua
[2020:10:12-00:02:45]  (Local) -> (LOCAL)[1]TUERTO: no yo no
[2020:10:12-00:02:45]  (Local) -> (LOCAL)[1]$oltec: jota
[2020:10:12-00:02:46]  (Local) -> (LOCAL)[2]LOKILLO: AW
[2020:10:12-00:02:47]  (Global) -> Alecitow: hay alguna forma de prender las luces del carro?
[2020:10:12-00:02:47]  (Global) -> C4rtex: oh jubilo inortal
[2020:10:12-00:02:48]  (Team - Law Enforcement) -> (TEAM)BestHair17: NESESITA ALGO?
[2020:10:12-00:02:48]  (Local) -> (LOCAL)[1]themateo: no bueno
[2020:10:12-00:02:48]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF7C00 Zllanerito: ajajaja
[2020:10:12-00:02:51]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF0000Francine98: cuanto vale en latienda
[2020:10:12-00:02:51]  (Local) -> (LOCAL)[9](ZETA)michael-giovanny: como nueva
[2020:10:12-00:02:52]  (Local) -> (LOCAL)[13]|GT|ArturoCortez: Oe
[2020:10:12-00:02:54]  (Local) -> (LOCAL)[1]2cb'SingleChamber: se me activa la camara
[2020:10:12-00:02:55]  (Local) -> (LOCAL)[10][EVG]Orgalor: bala me los quito
[2020:10:12-00:02:56]  (Local) -> (LOCAL)[1]JudiciousWaiter41: qué hay pa hace?
[2020:10:12-00:02:57]  (Local) -> (LOCAL)[6][EVG]Orgalor: ajajajja
[2020:10:12-00:02:59]  (Local) -> (LOCAL)[8]#7F7F7F|CVR|#FF7C00 Zllanerito: com o hps ajajajaj
[2020:10:12-00:02:59]  (Local) -> (LOCAL)[1]$oltec: y quitesel
[2020:10:12-00:03:01]  (Global) -> C4rtex: en algunos se prenden pitando xd
[2020:10:12-00:03:01]  (Local) -> (LOCAL)[1]$oltec: a
[2020:10:12-00:03:02]  (Local) -> (LOCAL)[5]2cb|Popeye: la gasofa
[2020:10:12-00:03:02]  (Local) -> (LOCAL)[1]TUERTO: que quiere
[2020:10:12-00:03:04]  (Team - Law Enforcement) -> (TEAM)ChockysYT: alfin alguien se lleva el pato
[2020:10:12-00:03:04]  (Local) -> (LOCAL)[9][EVG]Orgalor: pero es rerapído
[2020:10:12-00:03:04]  (Local) -> (LOCAL)[1]themateo: le doy pa que se cure
[2020:10:12-00:03:06]  (Global) -> [COSTELAND)teoCorrea: lay 6
[2020:10:12-00:03:07]  (Local) -> (LOCAL)[9](CTA)BAZUCO[GT]: ese carro todavia lo puedo conseguir o ya no'
[2020:10:12-00:03:08]  (Local) -> (LOCAL)[13][EVG]Orgalor: mero motor
[2020:10:12-00:03:11]  (Local) -> (LOCAL)[1]2cb'SingleChamber: ya?
[2020:10:12-00:03:15]  (Team - Law Enforcement) -> (TEAM)BestHair17: BUENO SI SEÑOR
[2020:10:12-00:03:15]  (Local) -> (LOCAL)[9][EVG]Orgalor: agale aca derecho
[2020:10:12-00:03:15]  (Local) -> (LOCAL)[9](CTA)BAZUCO[GT]: ?
[2020:10:12-00:03:16]  (Local) -> (LOCAL)[8][EVG]Orgalor: y vera
[2020:10:12-00:03:20]  (Global) -> paulo: hola
[2020:10:12-00:03:22]  (Local) -> (LOCAL)[1]2cb'SingleChamber: me veo como gym
[2020:10:12-00:03:25]  (Global) -> C4rtex: comprenden la palabraaas
[2020:10:12-00:03:25]  (Local) -> (LOCAL)[1]$oltec: lo veo sisas
[2020:10:12-00:03:28]  (Local) -> (LOCAL)[1]$oltec: y yo?
[2020:10:12-00:03:29]  (Global) -> [COSTELAND)teoCorrea: to bien o que
[2020:10:12-00:03:29]  (Local) -> (LOCAL)[7]|GT|ArturoCortez: Por ahora no, solo quedan como 5-4, todavia no sabemos que hacer con esos
[2020:10:12-00:03:34]  (Local) -> (LOCAL)[1]2cb'SingleChamber: muevase
[2020:10:12-00:03:35]  (Local) -> (LOCAL)[8](ZETA)michael-giovanny: vvale 200
[2020:10:12-00:03:37]  (Local) -> (LOCAL)[7](CTA)BAZUCO[GT]: le doy 3 palos
[2020:10:12-00:03:38]  (Local) -> (LOCAL)[1]2cb'SingleChamber: xd
[2020:10:12-00:03:38]  (Local) -> (LOCAL)[1][EVG]Orgalor: ami me gusto asi
[2020:10:12-00:03:38]  (Global) -> LOKILLO: CUANTO CORRE EL SULTAN?
[2020:10:12-00:03:44]  (Local) -> (LOCAL)[1]$oltec: re loko
[2020:10:12-00:03:46]  (Global) -> paulo: tine mandilla
[2020:10:12-00:03:47]  (Local) -> (LOCAL)[9](ZETA)michael-giovanny: pero esta mejorado al cien
[2020:10:12-00:03:47]  (Local) -> (LOCAL)[4][EVG]Orgalor: porq el manejo normal de bancito es un asco
[2020:10:12-00:03:49]  (Global) -> rocho: hp
[2020:10:12-00:03:51]  (Local) -> (LOCAL)[1]$oltec: ya se le quito a ud
[2020:10:12-00:03:52]  (Local) -> (LOCAL)[9]|GT|ArturoCortez: No rey, tampoco lo ventemos
[2020:10:12-00:03:54]  (Local) -> (LOCAL)[1]2cb'SingleChamber: a los trakez
[2020:10:12-00:03:54]  (Local) -> (LOCAL)[12]#7F7F7F|CVR|#FF0000Francine98: vendela en 380k
[2020:10:12-00:03:56]  (Local) -> (LOCAL)[9]|GT|ArturoCortez: Srry
[2020:10:12-00:03:56]  (Local) -> (LOCAL)[4]M19|Barry-Seal|GT: LOLI EL DESTINO NOS JUNTO
[2020:10:12-00:03:58]  (Local) -> (LOCAL)[1]2cb'SingleChamber: puse stopanim
[2020:10:12-00:03:59]  (Local) -> (LOCAL)[4]M19|Barry-Seal|GT: MI AMOR
[2020:10:12-00:04:01]  (Local) -> (LOCAL)[1]2cb'SingleChamber: a ud tamb
[2020:10:12-00:04:01]  (Local) -> (LOCAL)[4]|GT|~La_Loli~: a
[2020:10:12-00:04:01]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF7C00 Zllanerito: esta melo ajajja
[2020:10:12-00:04:03]  (Team - Law Enforcement) -> (TEAM)BestHair17: GRACIAS
[2020:10:12-00:04:05]  (Global) -> [COSTELAND)teoCorrea: como?
[2020:10:12-00:04:06]  (Local) -> (LOCAL)[11]#7F7F7F|CVR|#FF0000Francine98: o 400k
[2020:10:12-00:04:06]  (Team - Criminals) -> (TEAM)themateo: venga
[2020:10:12-00:04:06]  (Local) -> (LOCAL)[1]TUERTO: que quiere hacer
[2020:10:12-00:04:08]  (Global) -> [GT]FranciscoBY: A 200 KMH
[2020:10:12-00:04:08]  (Local) -> (LOCAL)[10]|GT|ArturoCortez: Ademas no tengo yo los carros, tienes que hablar con Subdito
[2020:10:12-00:04:10]  (Local) -> (LOCAL)[1]$oltec: ya? yo?
[2020:10:12-00:04:10]  (Local) -> (LOCAL)[10]|GT|ArturoCortez: xD
[2020:10:12-00:04:11]  (Local) -> (LOCAL)[1]JudiciousWaiter41: lo que sea pa
[2020:10:12-00:04:13]  (Local) -> (LOCAL)[9](ZETA)michael-giovanny: si eso estaba pensando
[2020:10:12-00:04:13]  (Local) -> (LOCAL)[10](CTA)BAZUCO[GT]: pero osea me dijeron que lo podian tener 20 miembors de gt
[2020:10:12-00:04:13]  (Global) -> paulo: en que trabaga
[2020:10:12-00:04:14]  (Local) -> (LOCAL)[1]2cb'SingleChamber: zi
[2020:10:12-00:04:15]  (Local) -> (LOCAL)[1]JudiciousWaiter41: ando aburrido
[2020:10:12-00:04:16]  (Global) -> themateo: venga
[2020:10:12-00:04:21]  (Local) -> (LOCAL)[1]$oltec: q hacemos?
[2020:10:12-00:04:22]  (Global) -> [COSTELAND)teoCorrea: en na
[2020:10:12-00:04:24]  (Local) -> (LOCAL)[1]TUERTO: voy de pescador un momentico
[2020:10:12-00:04:25]  (Local) -> (LOCAL)[1]2cb'SingleChamber: trakez
[2020:10:12-00:04:26]  (Local) -> (LOCAL)[7][EVG]Orgalor: llaneito el bebe
[2020:10:12-00:04:31]  (Local) -> (LOCAL)[1]$oltec: ya tengo4 palos
[2020:10:12-00:04:35]  (Local) -> (LOCAL)[9]|GT|ArturoCortez: Tenes que hablar con subdito
[2020:10:12-00:04:36]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF7C00 Zllanerito: ajjaja esta meloso
[2020:10:12-00:04:36]  (Local) -> (LOCAL)[13]#7F7F7F|CVR|#FF0000Francine98: a cuanto lo bendes cheverry
[2020:10:12-00:04:37]  (Local) -> (LOCAL)[1]2cb'SingleChamber: yo tambien
[2020:10:12-00:04:39]  (Local) -> (LOCAL)[5]2cb'pablitopai: undale a la x
[2020:10:12-00:04:40]  (Local) -> (LOCAL)[8]|GT|ArturoCortez: El es el que tiene los carros
[2020:10:12-00:04:41]  (Local) -> (LOCAL)[9][EVG]Orgalor: si mk
[2020:10:12-00:04:42]  (Local) -> (LOCAL)[1]LOKILLO: PA
[2020:10:12-00:04:42]  (Local) -> (LOCAL)[14]Cheverry: 1 millon
[2020:10:12-00:04:46]  (Global) -> [S.A.S][G]Daniels: oe pa
[2020:10:12-00:04:46]  (Local) -> (LOCAL)[1]$oltec: y le haski me va a regalar 1 palo
[2020:10:12-00:04:48]  (Local) -> (LOCAL)[14]Cheverry: XDDDDDD
[2020:10:12-00:04:49]  (Local) -> (LOCAL)[1]LOKILLO: ÑOR
[2020:10:12-00:04:50]  (Local) -> (LOCAL)[15]#7F7F7F|CVR|#FF0000Francine98: te lo compro
[2020:10:12-00:04:51]  (Local) -> (LOCAL)[12](CTA)BAZUCO[GT]: ahh listo gracias
[2020:10:12-00:04:53]  (Local) -> (LOCAL)[5]2cb'pablitopai: patron
[2020:10:12-00:04:55]  (Local) -> (LOCAL)[1]2cb'SingleChamber: pq
[2020:10:12-00:04:57]  (Local) -> (LOCAL)[5]2cb'pablitopai: le saco los carros?
[2020:10:12-00:05:00]  (Local) -> (LOCAL)[12]Cheverry: NO LO VENDO XD
[2020:10:12-00:05:02]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF0000Francine98: xdddd
[2020:10:12-00:05:04]  (Local) -> (LOCAL)[10](ZETA)michael-giovanny: wtf
[2020:10:12-00:05:05]  (Global) -> [S.A.S][G]Daniels: que jajaja?
[2020:10:12-00:05:07]  (Local) -> (LOCAL)[1]Don_Joker.: noo
[2020:10:12-00:05:08]  (Local) -> (LOCAL)[1]$oltec: por ke se lo pedi
[2020:10:12-00:05:09]  (Team - Law Enforcement) -> (TEAM)BestHair17: ._.
[2020:10:12-00:05:11]  (Local) -> (LOCAL)[1]LOKILLO: OLE
[2020:10:12-00:05:11]  (Local) -> (LOCAL)[1]Don_Joker.: no me mate
[2020:10:12-00:05:13]  (Local) -> (LOCAL)[1]LOKILLO: PARCE
[2020:10:12-00:05:15]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#FF0000Francine98: te lo cambio por el kart
[2020:10:12-00:05:16]  (Team - Criminals) -> (TEAM)2cb'Farid: xd bno
[2020:10:12-00:05:17]  (Local) -> (LOCAL)[15]|GT|ArturoCortez: Lo intente :(
[2020:10:12-00:05:17]  (Local) -> (LOCAL)[1]Don_Joker.: :(
[2020:10:12-00:05:18]  (Local) -> (LOCAL)[1]LOKILLO: CUANTO CORRE EL SULTAN
[2020:10:12-00:05:20]  (Local) -> (LOCAL)[1]$oltec: y yo le avia prestado un palo
[2020:10:12-00:05:22]  (Local) -> (LOCAL)[1][S.A.S][G]Daniels: hable pa
[2020:10:12-00:05:22]  (Global) -> C4rtex: es una historia que llego a su fin...
[2020:10:12-00:05:25]  (Global) -> Wilthor: ya hice 100/100 de la m4 como saco el laser?
[2020:10:12-00:05:27]  (Local) -> (LOCAL)[17]Cheverry: YA TENGO KART :(
[2020:10:12-00:05:28]  (Local) -> (LOCAL)[1]2cb'SingleChamber: aa bno ñro
[2020:10:12-00:05:29]  (Local) -> (LOCAL)[1][S.A.S][G]Daniels: pana la verdad no se
[2020:10:12-00:05:30]  (Global) -> paulo: hola
[2020:10:12-00:05:32]  (Global) -> C4rtex: XDDDDDD
[2020:10:12-00:05:36]  (Global) -> 2cb'Haze: XDDDDDDDDDDDDDDDD
[2020:10:12-00:05:37]  (Local) -> (LOCAL)[1]LOKILLO: USTED NO TINES CARROS CAROS?
[2020:10:12-00:05:40]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF7C00 Zllanerito: señor agente disculpeme
[2020:10:12-00:05:40]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: Wilthor el laser es para vips
[2020:10:12-00:05:41]  (Global) -> ThreeMurderer40: HOLA
[2020:10:12-00:05:43]  (Local) -> (LOCAL)[1]$oltec: osea me faltan 6 palos ._.
[2020:10:12-00:05:44]  (Local) -> (LOCAL)[6]2cb'Python: patron
[2020:10:12-00:05:46]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF7C00 Zllanerito: soy un buen tipo
[2020:10:12-00:05:50]  (Global) -> [S.A.S][G]Daniels: si pero no de ese tipo
[2020:10:12-00:05:50]  (Global) -> C4rtex: Wilthor pa el laser se saca si tienes el vip
[2020:10:12-00:05:50]  (Local) -> (LOCAL)[1]2cb'SingleChamber: noze
[2020:10:12-00:05:52]  (Local) -> (LOCAL)[1]2cb'SingleChamber: xd
[2020:10:12-00:05:53]  (Local) -> (LOCAL)[1]LOKILLO: CUALES
[2020:10:12-00:05:57]  (Local) -> (LOCAL)[1]LOKILLO: TIESNA CAROS
[2020:10:12-00:05:59]  (Local) -> (LOCAL)[1]2cb'SingleChamber: vamos
[2020:10:12-00:06:00]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF7C00 Zllanerito: que me guste la yerva
[2020:10:12-00:06:01]  (Local) -> (LOCAL)[6]2cb'Python: bno venia al roleo
[2020:10:12-00:06:02]  (Local) -> (LOCAL)[10]rocho: q
[2020:10:12-00:06:05]  (Local) -> (LOCAL)[1][S.A.S][G]Daniels: los mios son carros de trochas
[2020:10:12-00:06:06]  (Local) -> (LOCAL)[9]Chys: que vale un vip aca?
[2020:10:12-00:06:07]  (Local) -> (LOCAL)[0]2cb'SingleChamber: a marikiar a escobar o q
[2020:10:12-00:06:11]  (Local) -> (LOCAL)[1]LOKILLO: MEUSTRE
[2020:10:12-00:06:11]  (Local) -> (LOCAL)[9][EVG]Orgalor: depende
[2020:10:12-00:06:13]  (Local) -> (LOCAL)[6]2cb'pablitopai: patron
[2020:10:12-00:06:18]  (Local) -> (LOCAL)[8][EVG]Orgalor: hay desde 8k hasta 25k
