This file was generated by Console at 2020:10:09-00:00:00



[2020:10:09-00:00:00]  (Global) -> [GT]AndresCanson: okampo¿
[2020:10:09-00:00:29]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: xdddddddddd
[2020:10:09-00:00:31]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: SI
[2020:10:09-00:00:31]  (Local) -> (LOCAL)[3]2cb'Alias|g8: vamos
[2020:10:09-00:00:32]  (Local) -> (LOCAL)[3]2cb'CamilaShade: vamooooooooooos
[2020:10:09-00:00:33]  (Team - Services) -> (TEAM)Wili: tpresteme un carro
[2020:10:09-00:00:33]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: pone
[2020:10:09-00:00:34]  (Global) -> 2cb'LILPUSSY: oeee
[2020:10:09-00:00:35]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: XDDDDDDDD
[2020:10:09-00:00:35]  (Local) -> (LOCAL)[8]2cB~Beltran: yo puedo hacer embalar a subdito de unas 129831 formasxD
[2020:10:09-00:00:36]  (Local) -> (LOCAL)[5][Zetas]MAJACA: no este es bien
[2020:10:09-00:00:38]  (Local) -> (LOCAL)[6]LR|-PABLO-|GT: cuanto por su sunrise
[2020:10:09-00:00:40]  (Local) -> (LOCAL)[5][Zetas]MAJACA: ah ya F
[2020:10:09-00:00:40]  (Local) -> (LOCAL)[7]2cb'LILPUSSY: esperen a esa maricaaaa
[2020:10:09-00:00:41]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: CRACK FAMILY FUMESELI BREVE ÑERO
[2020:10:09-00:00:42]  (Local) -> (LOCAL)[1](SEGURIDAD)LOKILLO: XDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD
[2020:10:09-00:00:42]  (Global) -> Wili: para ir a cpmprar el mio
[2020:10:09-00:00:42]  (Global) -> 2cb'ratix: aaawa
[2020:10:09-00:00:43]  (Local) -> (LOCAL)[3]2cb[MAURO]: oeeeeeeeeeeeeeeeee
[2020:10:09-00:00:43]  (Local) -> (LOCAL)[3]2cb'CamilaShade: ahhaha
[2020:10:09-00:00:46]  (Local) -> (LOCAL)[6]2cb'tussy: se le fue el internet
[2020:10:09-00:00:46]  (Global) -> 2cb'Royal: epa
[2020:10:09-00:00:47]  (Local) -> (LOCAL)[3]2cb[MAURO]: no ve o que
[2020:10:09-00:00:49]  (Local) -> (LOCAL)[6]LR|~Tyrone~|GT: cuanto necesita??????
[2020:10:09-00:00:49]  (Global) -> 2cb'Q'Piskero: aaa hp
[2020:10:09-00:00:51]  (Global) -> [GT]~$Fabio_vidal69$:): esooo francineeee vos sabes
[2020:10:09-00:00:52]  (Local) -> (LOCAL)[6]2cb'Jabon420: embalelo
[2020:10:09-00:00:52]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: BNO MERO TEMA
[2020:10:09-00:00:53]  (Local) -> (LOCAL)[7]M19|tayson|GT: el carro me vale 950000
[2020:10:09-00:00:54]  (Local) -> (LOCAL)[6]2cb'Jabon420: por sapo
[2020:10:09-00:00:55]  (Global) -> #7F7F7F|CVR|#FF7C00 Kreator:  q te parece mi nueva piscina
[2020:10:09-00:00:56]  (Local) -> (LOCAL)[6]2cB~Beltran: a
[2020:10:09-00:00:57]  (Local) -> (LOCAL)[3]2cb'Alias|g8: dele X
[2020:10:09-00:00:57]  (Local) -> (LOCAL)[6]2cb'Jabon420: como me cae de mal
[2020:10:09-00:00:59]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: BONITA
[2020:10:09-00:01:00]  (Local) -> (LOCAL)[1]$CHAPO$GUSMAN$: buenas
[2020:10:09-00:01:01]  (Local) -> (LOCAL)[3]2cb'CamilaShade: hahaha
[2020:10:09-00:01:03]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: YO KIERO UN DR Q VISAJE
[2020:10:09-00:01:03]  (Local) -> (LOCAL)[3]2cb[MAURO]: mentiras
[2020:10:09-00:01:04]  (Local) -> (LOCAL)[5]LR|-PABLO-|GT: cuanto por su sunrise
[2020:10:09-00:01:04]  (Local) -> (LOCAL)[1]$CHAPO$GUSMAN$: como esta
[2020:10:09-00:01:06]  (Local) -> (LOCAL)[3]2cb[MAURO]: no le de a la x
[2020:10:09-00:01:07]  (Local) -> (LOCAL)[6]2cB~Beltran: uy si
[2020:10:09-00:01:08]  (Local) -> (LOCAL)[6]LR|~Tyrone~|GT: y cuanto tine
[2020:10:09-00:01:08]  (Local) -> (LOCAL)[2]2cb'ratix: aaa
[2020:10:09-00:01:10]  (Local) -> (LOCAL)[7]M19|tayson|GT: y tneog 3000000
[2020:10:09-00:01:11]  (Local) -> (LOCAL)[5]2cB~Beltran: awanta embalarlo
[2020:10:09-00:01:23]  (Local) -> (LOCAL)[6]2cb'SingleChamber: prestamela
[2020:10:09-00:01:24]  (Local) -> (LOCAL)[9]pipo420: suba aca
[2020:10:09-00:01:25]  (Global) -> AwareSibling81: BUENAS TARDES
[2020:10:09-00:01:26]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: YO TENGO UN DR Q VISAJE
[2020:10:09-00:01:28]  (Local) -> (LOCAL)[3]2cb[MAURO]: tengo casos que resolver
[2020:10:09-00:01:30]  (Global) -> [Z]_VALLUNITO_: yo qro ser staff
[2020:10:09-00:01:31]  (Local) -> (LOCAL)[3]2cb[MAURO]: chao
[2020:10:09-00:01:33]  (Local) -> (LOCAL)[7][ZETAS]Tussi_Sabes: buenas
[2020:10:09-00:01:33]  (Global) -> #7F7F7F|CVR|#FF7C00 Kreator: esa es tu moto
[2020:10:09-00:01:34]  (Local) -> (LOCAL)[8]LR|~Tyrone~|GT: canto necesita?
[2020:10:09-00:01:35]  (Local) -> (LOCAL)[9]LR|-PABLO-|GT: en cuanto?
[2020:10:09-00:01:35]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: SI
[2020:10:09-00:01:36]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: MI D
[2020:10:09-00:01:37]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: R
[2020:10:09-00:01:38]  (Local) -> (LOCAL)[3]2cb'CamilaShade: ahahhahaa
[2020:10:09-00:01:38]  (Local) -> (LOCAL)[3]2cb'Alias|g8: vaya pirao mamaguevo bicho
[2020:10:09-00:01:39]  (Local) -> (LOCAL)[8]pipo420: a
[2020:10:09-00:01:40]  (Local) -> (LOCAL)[8]2cb|Yandrix: mira
[2020:10:09-00:01:40]  (Local) -> (LOCAL)[10]LR|~Tyrone~|GT: pa saber si los tengo
[2020:10:09-00:01:45]  (Local) -> (LOCAL)[7]2cB~Beltran: xd
[2020:10:09-00:01:45]  (Local) -> (LOCAL)[7]2cb|Yandrix: subete
[2020:10:09-00:01:46]  (Global) -> #7F7F7F|CVR|#FF7C00 Kreator: me la prestas
[2020:10:09-00:01:47]  (Local) -> (LOCAL)[1]M19|Barry-Seal|GT: NOOOOO
[2020:10:09-00:01:48]  (Local) -> (LOCAL)[9][ZETAS]Tussi_Sabes: parce no se, es exclusivo
[2020:10:09-00:01:48]  (Local) -> (LOCAL)[7]pipo420: quite hp
[2020:10:09-00:01:51]  (Global) -> Wili: gonorrea
[2020:10:09-00:01:51]  (Global) -> nicolasrr: oe kevin
[2020:10:09-00:01:52]  (Local) -> (LOCAL)[7]2cb'Jabon420: aaa
[2020:10:09-00:01:53]  (Local) -> (LOCAL)[7]2cB~Beltran: a
[2020:10:09-00:01:53]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: SI
[2020:10:09-00:01:55]  (Global) -> Wili: ome
[2020:10:09-00:01:55]  (Global) -> [M19]arete[GT]: se lo quitaron
[2020:10:09-00:01:56]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: ESO SENA BAM BAM
[2020:10:09-00:01:57]  (Global) -> speedruner: cuanto cuesta ese en stock?
[2020:10:09-00:01:57]  (Local) -> (LOCAL)[8]M19|tayson|GT: ya le digo
[2020:10:09-00:01:58]  (Local) -> (LOCAL)[7]2cb'Jabon420: hijuputa ome
[2020:10:09-00:01:58]  (Local) -> (LOCAL)[7]2cb|Yandrix: yo menejo
[2020:10:09-00:01:58]  (Local) -> (LOCAL)[1]M19|Barry-Seal|GT: YA NO TENGO VIP
[2020:10:09-00:01:59]  (Global) -> nicolasrr: y la guaraca q
[2020:10:09-00:01:59]  (Global) -> #7F7F7F|CVR|#FF7C00 Kreator: como arranco
[2020:10:09-00:02:03]  (Local) -> (LOCAL)[6]LR|-PABLO-|GT: Pero no es tan cotizado
[2020:10:09-00:02:04]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#FF7C00 Berna: hpta skin fea
[2020:10:09-00:02:04]  (Local) -> (LOCAL)[6]LR|~Tyrone~|GT: OK
[2020:10:09-00:02:04]  (Local) -> (LOCAL)[6][ZETAS]Tussi_Sabes: ya no lo venden
[2020:10:09-00:02:05]  (Global) -> speedruner: de serie mejor dicho
[2020:10:09-00:02:06]  (Local) -> (LOCAL)[1]M19|Barry-Seal|GT: ME DURO TAN POCO
[2020:10:09-00:02:06]  (Global) -> (CTA)ElKevinnPai: yo?
[2020:10:09-00:02:08]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: ACELERA SUAVE
[2020:10:09-00:02:08]  (Local) -> (LOCAL)[7]pipo420: MAMON
[2020:10:09-00:02:09]  (Global) -> 2cb'oliwis: oe
[2020:10:09-00:02:09]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: PERO
[2020:10:09-00:02:10]  (Local) -> (LOCAL)[1]M19|Barry-Seal|GT: JAJAJA
[2020:10:09-00:02:10]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#FF7C00 Berna: tussy
[2020:10:09-00:02:11]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: AAAAAAAAAA
[2020:10:09-00:02:12]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#FF7C00 Berna: que tal
[2020:10:09-00:02:12]  (Global) -> [M19]arete[GT]: jajajaj
[2020:10:09-00:02:13]  (Global) -> speedruner: hpta vida
[2020:10:09-00:02:13]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#FF7C00 Berna: para la gang
[2020:10:09-00:02:14]  (Global) -> #7F7F7F|CVR|#FF7C00 Kreator: ay
[2020:10:09-00:02:16]  (Global) -> Wili: saquele la mierda a este gallo de carro
[2020:10:09-00:02:17]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: SOLASTE EL CLOTCH
[2020:10:09-00:02:19]  (Local) -> (LOCAL)[2]2cb'Alias|g8: le vendo mi dt
[2020:10:09-00:02:19]  (Local) -> (LOCAL)[7]2cb'Jabon420: a
[2020:10:09-00:02:19]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#FF7C00 Berna: la skin de la casa de papel
[2020:10:09-00:02:19]  (Local) -> (LOCAL)[7]2cb'tussy: q
[2020:10:09-00:02:19]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: MAL
[2020:10:09-00:02:21]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: HP
[2020:10:09-00:02:22]  (Local) -> (LOCAL)[2]2cb'Alias|g8: millon y medio
[2020:10:09-00:02:22]  (Local) -> (LOCAL)[4][ZETAS]Tussi_Sabes: pa pero yo veo quien mas tiene un sunrise
[2020:10:09-00:02:23]  (Local) -> (LOCAL)[2]2cb'Alias|g8: hahahha
[2020:10:09-00:02:23]  (Local) -> (LOCAL)[7]2cB~Beltran: a
[2020:10:09-00:02:25]  (Local) -> (LOCAL)[7]2cb'tussy: muy grande
[2020:10:09-00:02:26]  (Global) -> 2cb'oliwis: mano llevame al banco
[2020:10:09-00:02:27]  (Local) -> (LOCAL)[7]2cb|Yandrix: a
[2020:10:09-00:02:29]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: SOLTA SUAVE
[2020:10:09-00:02:29]  (Local) -> (LOCAL)[1][Zetas]MAJACA: va muy lag
[2020:10:09-00:02:31]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: EL LUTHC
[2020:10:09-00:02:33]  (Local) -> (LOCAL)[5]2cB~Beltran: pongamos un digimon :V
[2020:10:09-00:02:34]  (Global) -> Wili: aoenas reuno jaja
[2020:10:09-00:02:35]  (Local) -> (LOCAL)[4]2cB~Beltran: aaaaaaaa
[2020:10:09-00:02:36]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Francine98: xd
[2020:10:09-00:02:36]  (Local) -> (LOCAL)[5]LR|-PABLO-|GT: en Mercado MTA dan 1 - 1,5 palos
[2020:10:09-00:02:41]  (Global) -> #7F7F7F|CVR|#FF7C00 Kreator: ya aprendi
[2020:10:09-00:02:43]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: SI
[2020:10:09-00:02:43]  (Global) -> GT|OLAVE: sapo
[2020:10:09-00:02:43]  (Global) -> [GT]FranciscoBY: VENDO LAMBO 
[2020:10:09-00:02:43]  (Local) -> (LOCAL)[4][ZETAS]Tussi_Sabes: ahhh
[2020:10:09-00:02:45]  (Local) -> (LOCAL)[4]LR|-PABLO-|GT: yo le doy 3
[2020:10:09-00:02:45]  (Global) -> #7F7F7F|CVR|#FF7C00 Kreator: como freno
[2020:10:09-00:02:47]  (Global) -> [GT]FranciscoBY: VENDO LAMBO 
[2020:10:09-00:02:47]  (Global) -> #7F7F7F|CVR|#FF7C00 Kreator: ayuda
[2020:10:09-00:02:48]  (Global) -> Wili: de busetero
[2020:10:09-00:02:48]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: AAAAA
[2020:10:09-00:02:50]  (Local) -> (LOCAL)[0][Zetas]MAJACA: o si no ya estuvieramos los 2 juntos
[2020:10:09-00:02:51]  (Local) -> (LOCAL)[2]2cb'Alias|g8: aca
[2020:10:09-00:02:51]  (Global) -> 2cb'Royal: franciso cuanto
[2020:10:09-00:02:51]  (Local) -> (LOCAL)[6]LR|-PABLO-|GT: xd
[2020:10:09-00:02:51]  (Local) -> (LOCAL)[6][ZETAS]Tussi_Sabes: no jmm muy poco
[2020:10:09-00:02:52]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: CON LA OTRA MANIJA
[2020:10:09-00:02:54]  (Local) -> (LOCAL)[7]2cB~Beltran: clown
[2020:10:09-00:02:54]  (Local) -> (LOCAL)[2]2cb'Alias|g8: compra las motos
[2020:10:09-00:02:55]  (Local) -> (LOCAL)[5]2cb'Jabon420: na
[2020:10:09-00:02:55]  (Local) -> (LOCAL)[2]2cb'Alias|g8: bobo
[2020:10:09-00:02:58]  (Local) -> (LOCAL)[7]2cb|Yandrix: fail
[2020:10:09-00:02:58]  (Local) -> (LOCAL)[5]LR|-PABLO-|GT: cuanto pues?
[2020:10:09-00:02:59]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: ESO
[2020:10:09-00:03:00]  (Global) -> [M19]arete[GT]: atras
[2020:10:09-00:03:00]  (Global) -> [GT]FranciscoBY: 8.5 MILLONES
[2020:10:09-00:03:01]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: AÑAÑAYYYYYYYYYY
[2020:10:09-00:03:03]  (Local) -> (LOCAL)[5][ZETAS]Tussi_Sabes: dejeme pensar y ahora le digo
[2020:10:09-00:03:06]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: AHOOA CON APSAJERO
[2020:10:09-00:03:07]  (Local) -> (LOCAL)[4]LR|-PABLO-|GT: Ok
[2020:10:09-00:03:09]  (Global) -> (SEGURIDAD)LOKILLO: juemadre ocampo solucione lo dle bug de el taller tneia como 100k y le lso gaste reparaondo en -
[2020:10:09-00:03:11]  (Local) -> (LOCAL)[6]2cB~Beltran: xd
[2020:10:09-00:03:13]  (Local) -> (LOCAL)[5]2cB~Beltran: xD
[2020:10:09-00:03:17]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: ahora pikala
[2020:10:09-00:03:20]  (Local) -> (LOCAL)[2]2cb'Alias|g8: errrrgaaa
[2020:10:09-00:03:20]  (Global) -> Wili: jajaj
[2020:10:09-00:03:20]  (Global) -> #7F7F7F|CVR|#FF7C00 Kreator: como
[2020:10:09-00:03:20]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Francine98: aah pense q eranos amigos - ___ -
[2020:10:09-00:03:21]  (Local) -> (LOCAL)[2][Zetas]MAJACA: ahora si xd
[2020:10:09-00:03:24]  (Local) -> (LOCAL)[2]2cb'CamilaShade: coñoooo
[2020:10:09-00:03:24]  (Local) -> (LOCAL)[2]2cb'Alias|g8: anda vendiendo drogaaaa
[2020:10:09-00:03:27]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: el clutch
[2020:10:09-00:03:28]  (Local) -> (LOCAL)[1][Zetas]MAJACA: bro...
[2020:10:09-00:03:29]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: de inicio
[2020:10:09-00:03:31]  (Global) -> Wili: mire voy aseguir cahmbeando 
[2020:10:09-00:03:32]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: y tiras pa atras
[2020:10:09-00:03:33]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Francine98: por eso no dispare
[2020:10:09-00:03:34]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: la bebe
[2020:10:09-00:03:36]  (Local) -> (LOCAL)[2]2cb'Alias|g8: hahahahha
[2020:10:09-00:03:37]  (Global) -> 2cb'Q'Piskero: iu q
[2020:10:09-00:03:38]  (Global) -> 2cb'Q'Piskero: XD
[2020:10:09-00:03:39]  (Local) -> (LOCAL)[2]2cb'Alias|g8: dele pues
[2020:10:09-00:03:41]  (Local) -> (LOCAL)[2]2cb'Alias|g8: se cuida
[2020:10:09-00:03:42]  (Global) -> Wili: ahoritad entro de un rato le copio a ver qlq
[2020:10:09-00:03:44]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Francine98: grasias
[2020:10:09-00:03:44]  (Global) -> #7F7F7F|CVR|#FF7C00 Kreator: aaaaaaaaaa
[2020:10:09-00:03:45]  (Local) -> (LOCAL)[2][Zetas]MAJACA: bro:::
[2020:10:09-00:03:46]  (Local) -> (LOCAL)[2]2cb'Alias|g8: pokk
[2020:10:09-00:03:48]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: aaaaaaaaaaaaaaaaa
[2020:10:09-00:03:50]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: mi moto hp
[2020:10:09-00:03:50]  (Global) -> [GT]FranciscoBY: VENDO LAMBO
[2020:10:09-00:03:51]  (Local) -> (LOCAL)[2][ZETAS]JUAN-AA: ale
[2020:10:09-00:04:03]  (Local) -> (LOCAL)[5]2cb|Yandrix: xd
[2020:10:09-00:04:06]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: pikala otora ve
[2020:10:09-00:04:09]  (Global) -> [ZETAS]Tussi_Sabes: yo quiero un dr
[2020:10:09-00:04:11]  (Team - Law Enforcement) -> (TEAM)[Zetas]MAJACA: MALPARIDO MI MOTO ESTABA CANGUREANDO
[2020:10:09-00:04:14]  (Local) -> (LOCAL)[4]2cB~Beltran: wow
[2020:10:09-00:04:18]  (Global) -> #7F7F7F|CVR|#FF7C00 Kreator: asi
[2020:10:09-00:04:19]  (Local) -> (LOCAL)[2]2cb'CamilaShade: epa
[2020:10:09-00:04:19]  (Global) -> AwareSibling81: AJJAJA
[2020:10:09-00:04:20]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: si
[2020:10:09-00:04:22]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: pero mas duro
[2020:10:09-00:04:23]  (Local) -> (LOCAL)[3]LR|~Tyrone~|GT: oe tombo
[2020:10:09-00:04:26]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: che pa atras
[2020:10:09-00:04:28]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: aaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2020:10:09-00:04:28]  (Global) -> #7F7F7F|CVR|#FF7C00 Kreator: a
[2020:10:09-00:04:31]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: pero nivelala hppppppp bagoo
[2020:10:09-00:04:34]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: q me la rayas
[2020:10:09-00:04:39]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: sii asi
[2020:10:09-00:04:41]  (Local) -> (LOCAL)[4]LR|~Tyrone~|GT: oe tombo
[2020:10:09-00:04:43]  (Local) -> (LOCAL)[2][Zetas]MAJACA: ey
[2020:10:09-00:04:49]  (Global) -> [ZETAS]Tussi_Sabes: que es eso ??
[2020:10:09-00:04:49]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: ya aprpendiste
[2020:10:09-00:04:50]  (Local) -> (LOCAL)[5]LR|~Tyrone~|GT: oe tombo
[2020:10:09-00:04:52]  (Global) -> #7F7F7F|CVR|#FF7C00 Kreator: si
[2020:10:09-00:04:58]  (Local) -> (LOCAL)[3]2cB~Beltran: aaa yo pensaba que hiba a volar
[2020:10:09-00:04:59]  (Local) -> (LOCAL)[3]2cB'Walter: XDD
[2020:10:09-00:05:00]  (Global) -> #7F7F7F|CVR|#FF7C00 Kreator: aaaaaaaaaaaaaaaaaa
[2020:10:09-00:05:02]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: aaaaaaaaaaaaa
[2020:10:09-00:05:06]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF0000Francine98: ah jueputa q lag tengo xdddd
[2020:10:09-00:05:07]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: hppppppp mi moto
[2020:10:09-00:05:07]  (Global) -> LR|-PABLO-|GT: Oe Zllanerito
[2020:10:09-00:05:09]  (Global) -> [GT]FranciscoBY: vendo hotring race 
[2020:10:09-00:05:09]  (Local) -> (LOCAL)[1][GT]AndresCanson: qqqqqqqqqq
[2020:10:09-00:05:13]  (Global) -> #7F7F7F|CVR|#1F00FFZllanerito: epa
[2020:10:09-00:05:13]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: kuanto
[2020:10:09-00:05:14]  (Local) -> (LOCAL)[2]$CHAPO$GUSMAN$: calamdo
[2020:10:09-00:05:18]  (Global) -> #7F7F7F|CVR|#1F00FFZllanerito: llegate al hospital
[2020:10:09-00:05:19]  (Global) -> [GT]FranciscoBY: 8.5
[2020:10:09-00:05:21]  (Local) -> (LOCAL)[2]LR|-PABLO-|GT: ya
[2020:10:09-00:05:22]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF7C00 Berna: que pereza sin cbug
[2020:10:09-00:05:23]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: 6
[2020:10:09-00:05:23]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF7C00 Berna: jueputa
[2020:10:09-00:05:23]  (Global) -> LR|-PABLO-|GT: ya
[2020:10:09-00:05:26]  (Local) -> (LOCAL)[2]2cB~Beltran: a
[2020:10:09-00:05:27]  (Global) -> [GT]FranciscoBY: na
[2020:10:09-00:05:28]  (Local) -> (LOCAL)[1]2cB'Walter: COMO ESTAS BB?
[2020:10:09-00:05:29]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF7C00 Berna: vamos a bigeaer
[2020:10:09-00:05:29]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: 7
[2020:10:09-00:05:31]  (Local) -> (LOCAL)[2]2cB~Beltran: uy si, que pailas
[2020:10:09-00:05:33]  (Local) -> (LOCAL)[2]2cB~Beltran: sin cbug
[2020:10:09-00:05:33]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Francine98: feliz
[2020:10:09-00:05:34]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF7C00 Berna: a drfit
[2020:10:09-00:05:37]  (Global) -> [ZETAS]Tussi_Sabes: esa hpta musica que ome?
[2020:10:09-00:05:39]  (Local) -> (LOCAL)[1]2cB'Walter: Y ESO
[2020:10:09-00:05:40]  (Global) -> [GT]FranciscoBY: 8.5 usted es admind colaboreme 
[2020:10:09-00:05:40]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000Francine98: ya salí de parciales
[2020:10:09-00:05:43]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: ja
[2020:10:09-00:05:45]  (Global) -> [GT]FranciscoBY: jajajajaja
[2020:10:09-00:05:46]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: 7 .5
[2020:10:09-00:05:49]  (Global) -> (POPEYE):  9
[2020:10:09-00:05:50]  (Global) -> [GT]FranciscoBY: no perro
[2020:10:09-00:05:53]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Francine98: me sueltas tkm
