This file was generated by Console at 2020:12:16-00:00:03



[2020:12:16-00:00:03]  (Local) -> (LOCAL)[1]2cb'ratix: oe
[2020:12:16-00:01:25]  (Local) -> (LOCAL)[5]2cb'ratix: come monda
[2020:12:16-00:01:26]  (Local) -> (LOCAL)[5]2cb'ratix: hpta
[2020:12:16-00:01:26]  (Local) -> (LOCAL)[4]AK|Fear: no saque mas
[2020:12:16-00:01:27]  (Local) -> (LOCAL)[6]TREBOOL: soy del junior
[2020:12:16-00:01:28]  (Local) -> (LOCAL)[6][CAPU]Mohamed: cuanti?
[2020:12:16-00:01:28]  (Local) -> (LOCAL)[1]Bocato: pq estoy pepa
[2020:12:16-00:01:29]  (Local) -> (LOCAL)[5]TREBOOL: :v
[2020:12:16-00:01:30]  (Global) -> [ak47]jimenez: nerskin 220
[2020:12:16-00:01:31]  (Local) -> (LOCAL)[1]2cB"Trakegunz: sisa
[2020:12:16-00:01:34]  (Local) -> (LOCAL)[1]2cb'pinina: breve
[2020:12:16-00:01:36]  (Local) -> (LOCAL)[5][CAPU]Mohamed: le doy 2 palos
[2020:12:16-00:01:38]  (Local) -> (LOCAL)[1]2cB"Trakegunz: hagase ahi q no se vea xd
[2020:12:16-00:01:40]  (Local) -> (LOCAL)[1]2cb'pinina: sabe cómo activar
[2020:12:16-00:01:40]  (Local) -> (LOCAL)[5]NeutroPimp2cb: umm 5
[2020:12:16-00:01:45]  (Global) -> TIROFIJO420: xdd
[2020:12:16-00:01:46]  (Local) -> (LOCAL)[5][CAPU]Mohamed: 3
[2020:12:16-00:01:46]  (Local) -> (LOCAL)[5]NeutroPimp2cb: es rare bb
[2020:12:16-00:01:47]  (Local) -> (LOCAL)[5]2cbcapojuan: oe
[2020:12:16-00:01:47]  (Local) -> (LOCAL)[4]2cb'ratix: hp tombo chupamonda ese laus
[2020:12:16-00:01:48]  (Local) -> (LOCAL)[3]2cb'ratix: klaus
[2020:12:16-00:01:50]  (Local) -> (LOCAL)[5]NeutroPimp2cb: 4.5
[2020:12:16-00:01:51]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#0064FFKhausu: si
[2020:12:16-00:01:51]  (Local) -> (LOCAL)[1]2cB"Trakegunz: con h 2 veces
[2020:12:16-00:01:52]  (Global) -> TabooBulldozer70: Cuando recibo la paga de piloto
[2020:12:16-00:01:54]  (Local) -> (LOCAL)[1]2cb'ratix: no ud no
[2020:12:16-00:01:54]  (Local) -> (LOCAL)[1]2cB"Trakegunz: creo
[2020:12:16-00:01:55]  (Local) -> (LOCAL)[4][CAPU]Mohamed: 3,5
[2020:12:16-00:01:56]  (Local) -> (LOCAL)[1]2cb'ratix: el otro sapo
[2020:12:16-00:01:58]  (Local) -> (LOCAL)[5]FantasticSky: fua
[2020:12:16-00:01:59]  (Local) -> (LOCAL)[4]2cbcapojuan: cuanto me da por esteç
[2020:12:16-00:02:00]  (Local) -> (LOCAL)[4]NeutroPimp2cb: 4.8
[2020:12:16-00:02:00]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#0064FFKhausu: aa xd
[2020:12:16-00:02:01]  (Local) -> (LOCAL)[5]FantasticSky: casi que no llego
[2020:12:16-00:02:04]  (Local) -> (LOCAL)[4][CAPU]Mohamed: ._.
[2020:12:16-00:02:05]  (Local) -> (LOCAL)[4]NeutroPimp2cb: hasta ahi
[2020:12:16-00:02:05]  (Local) -> (LOCAL)[6][MZ]24k: Pal aeropuertoo
[2020:12:16-00:02:08]  (Local) -> (LOCAL)[1]2cb'ratix: mero pato dañandome el carrito
[2020:12:16-00:02:10]  (Global) -> Diaz: Oe Sapa
[2020:12:16-00:02:11]  (Local) -> (LOCAL)[1]2cb'ratix: y yo sin vip
[2020:12:16-00:02:12]  (Local) -> (LOCAL)[3][CAPU]Mohamed: 4.5?
[2020:12:16-00:02:13]  (Local) -> (LOCAL)[3]2cbcapojuan: oe
[2020:12:16-00:02:15]  (Local) -> (LOCAL)[1]2cb'ratix: hp sapotron ese
[2020:12:16-00:02:16]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#0064FFKhausu: F
[2020:12:16-00:02:16]  (Local) -> (LOCAL)[3]NeutroPimp2cb: esta tunning
[2020:12:16-00:02:19]  (Global) -> 2cb'FabiusXGaming: xaooo
[2020:12:16-00:02:21]  (Local) -> (LOCAL)[4]NeutroPimp2cb: sisas
[2020:12:16-00:02:24]  (Local) -> (LOCAL)[5]NeutroPimp2cb: 4.5
[2020:12:16-00:02:25]  (Global) -> AK|Fear: ponganse job militar los que vayan a rolear
[2020:12:16-00:02:26]  (Global) -> Bocato: kk
[2020:12:16-00:02:27]  (Local) -> (LOCAL)[7]NeutroPimp2cb: vamos
[2020:12:16-00:02:28]  (Local) -> (LOCAL)[6]2cb|BarrySeal: pa donde?
[2020:12:16-00:02:28]  (Local) -> (LOCAL)[7][CAPU]Mohamed: pere y miro el bank
[2020:12:16-00:02:30]  (Local) -> (LOCAL)[7]NeutroPimp2cb: pa venderselo
[2020:12:16-00:02:31]  (Local) -> (LOCAL)[2]2cb'ratix: dios que hombre
[2020:12:16-00:02:32]  (Local) -> (LOCAL)[6]NeutroPimp2cb: oka
[2020:12:16-00:02:34]  (Global) -> 2cb'FabiusXGaming: mas caliente jjjajaja
[2020:12:16-00:02:35]  (Local) -> (LOCAL)[2]DJ|2cb'ViejoRichard: ola
[2020:12:16-00:02:35]  (Local) -> (LOCAL)[6][MZ]24k: Aeropuerto
[2020:12:16-00:02:36]  (Global) -> Diaz: de q van a rolear
[2020:12:16-00:02:36]  (Local) -> (LOCAL)[6]robertoesco0bar: A MEDELLIN
[2020:12:16-00:02:41]  (Local) -> (LOCAL)[3]|Skippers: espere
[2020:12:16-00:02:44]  (Local) -> (LOCAL)[1][MZ]24k: Va xd
[2020:12:16-00:02:48]  (Global) -> Bocato: DIAAZ SAPO HPTA
[2020:12:16-00:02:49]  (Local) -> (LOCAL)[7]2cbcapojuan: vendo este
[2020:12:16-00:02:55]  (Global) -> [CAPU]Mohamed: duy como?
[2020:12:16-00:02:56]  (Local) -> (LOCAL)[6][EVG]Mr.Raichu: vamos
[2020:12:16-00:02:59]  (Global) -> TREBOOL: cuanto vale ferrari
[2020:12:16-00:03:03]  (Global) -> Diaz: q su papá q???
[2020:12:16-00:03:08]  (Global) -> [CAPU]Mohamed: xd
[2020:12:16-00:03:09]  (Local) -> (LOCAL)[6]FantasticSky: hola amigos
[2020:12:16-00:03:10]  (Global) -> xNight_KiDD: turismo dices que ferrari AJAJA
[2020:12:16-00:03:14]  (Local) -> (LOCAL)[6](BGW)CHOCORRAMOCAMILOP: peren
[2020:12:16-00:03:15]  (Global) -> 2cb'FabiusXGaming: jjjja
[2020:12:16-00:03:18]  (Local) -> (LOCAL)[6](BGW)CHOCORRAMOCAMILOP: que va a lelgar otro man
[2020:12:16-00:03:24]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Lopez: listo
[2020:12:16-00:03:24]  (Local) -> (LOCAL)[2]2cb'ratix: richard
[2020:12:16-00:03:24]  (Global) -> Bocato: que mi papa se culio al suyo 
[2020:12:16-00:03:32]  (Local) -> (LOCAL)[2]2cb'ratix: usted graba videos o ha grabado videos en cvr
[2020:12:16-00:03:36]  (Global) -> IZI_Omar25: OE HABLA BIEN
[2020:12:16-00:03:36]  (Local) -> (LOCAL)[8]2cb|BarrySeal: llegamos a medellin
[2020:12:16-00:03:40]  (Global) -> (BGW)CHOCORRAMOCAMILOP: los que quieran rolear para capturar a pablo lleguen a el job de militar
[2020:12:16-00:03:40]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Lopez: a ver
[2020:12:16-00:03:42]  (Local) -> (LOCAL)[7]robertoesco0bar: Q A MEDELLIN ACABO DE DECIR
[2020:12:16-00:03:42]  (Local) -> (LOCAL)[3]Bocato: aaaa
[2020:12:16-00:03:44]  (Global) -> 2cb'FabiusXGaming: jjjjjaa
[2020:12:16-00:03:44]  (Global) -> Diaz: Uy no pa
[2020:12:16-00:03:45]  (Global) -> #7F7F7F|CVR|#FF5C00Catre: Buenas noches
[2020:12:16-00:03:50]  (Global) -> (BGW)CHOCORRAMOCAMILOP: los que quieran rolear para capturar a pablo lleguen a el job de militar
[2020:12:16-00:03:51]  (Local) -> (LOCAL)[0]2cB"Trakegunz: aqui
[2020:12:16-00:03:51]  (Local) -> (LOCAL)[6]xNight_KiDD: eu vibra soy Pedro Elías desde Facebook ajaja
[2020:12:16-00:03:52]  (Global) -> [ak47]jimenez: oe
[2020:12:16-00:03:53]  (Local) -> (LOCAL)[4]2cb|BarrySeal: por eso
[2020:12:16-00:03:57]  (Global) -> TabooBulldozer70: Donde queda el camello?
[2020:12:16-00:03:59]  (Global) -> [CAPU]Mohamed: eso ta lejo
[2020:12:16-00:04:01]  (Team - Law Enforcement) -> (TEAM)TIROFIJO420: KLAUS ESPERELO AFUERA
[2020:12:16-00:04:04]  (Global) -> Diaz: Feo, maricon y arrecho, duerma
[2020:12:16-00:04:05]  (Team - Law Enforcement) -> (TEAM)TIROFIJO420:  POR ESE PAGAN BIEN
[2020:12:16-00:04:08]  (Local) -> (LOCAL)[3]2cb'FabiusXGaming: uy no
[2020:12:16-00:04:10]  (Local) -> (LOCAL)[4]2cb|BarrySeal: pa donde
[2020:12:16-00:04:10]  (Team - Law Enforcement) -> (TEAM)(KP)KlausN: Yes
[2020:12:16-00:04:11]  (Global) -> Bocato: donde anda lloronm
[2020:12:16-00:04:11]  (Global) -> chimboLOCO: JASJDJASDJA
[2020:12:16-00:04:11]  (Local) -> (LOCAL)[2]DJ|2cb'ViejoRichard: listo ya sali de mi turno de dj jeje
[2020:12:16-00:04:12]  (Global) -> #7F7F7F|CVR|#FF0000CrudoMeansRaw: solo verde
[2020:12:16-00:04:15]  (Local) -> (LOCAL)[1][MZ]24k: Que je hicieron?
[2020:12:16-00:04:15]  (Local) -> (LOCAL)[2]2cb'ratix: gg
[2020:12:16-00:04:26]  (Global) -> (BGW)CHOCORRAMOCAMILOP: el trabajo queda mira f11 y vie el unico trabajo verde que esta a la izquierda del mapa
[2020:12:16-00:04:27]  (Local) -> (LOCAL)[4]2cb|BarrySeal: a bueno
[2020:12:16-00:04:27]  (Local) -> (LOCAL)[1]tribilin: a
[2020:12:16-00:04:28]  (Local) -> (LOCAL)[0]TIROFIJO420: ESEPRELO Q ESE VUELVE Y SALE
[2020:12:16-00:04:28]  (Global) -> |Skippers: #01DFD7LLEGUEN A CENTRAL YO LOS LLEVO
[2020:12:16-00:04:29]  (Local) -> (LOCAL)[1]Bocato: acompañeme
[2020:12:16-00:04:34]  (Global) -> Diaz: Acá en tu casa culiandome a tu mom y vos mano?
[2020:12:16-00:04:35]  (Local) -> (LOCAL)[1]2cB"Trakegunz: eso
[2020:12:16-00:04:39]  (Team - Law Enforcement) -> (TEAM)TIROFIJO420: sisas espere lo que sev vuelve y sale
[2020:12:16-00:04:40]  (Team - Law Enforcement) -> (TEAM)TIROFIJO420: 50 lucas ahi
[2020:12:16-00:04:41]  (Local) -> (LOCAL)[1]2cB"Trakegunz: pere hago el fall
[2020:12:16-00:04:42]  (Local) -> (LOCAL)[1]2cb'ratix: cuanto la hora
[2020:12:16-00:04:42]  (Local) -> (LOCAL)[1]tribilin: eeeeeeeeeeeee
[2020:12:16-00:04:43]  (Local) -> (LOCAL)[1]2cb'FabiusXGaming: jajajjajajaaj
[2020:12:16-00:04:45]  (Global) -> chimboLOCO: yo dandole a mi tio por la cola
[2020:12:16-00:04:47]  (Global) -> chimboLOCO: y vos?
[2020:12:16-00:04:47]  (Local) -> (LOCAL)[1]Bocato: jajaja
[2020:12:16-00:04:48]  (Local) -> (LOCAL)[1]2cb'ratix: XD
[2020:12:16-00:04:48]  (Local) -> (LOCAL)[1]2cB"Trakegunz: yud vene de alla arriba
[2020:12:16-00:04:52]  (Local) -> (LOCAL)[1]2cb'ratix: que cuenta
[2020:12:16-00:04:53]  (Local) -> (LOCAL)[2][MZ]24k: Dele
[2020:12:16-00:04:54]  (Global) -> Diaz: uy 1
[2020:12:16-00:04:57]  (Local) -> (LOCAL)[1]2cB"Trakegunz: asi como ahorita
[2020:12:16-00:04:58]  (Local) -> (LOCAL)[2][MZ]24k: /resign
[2020:12:16-00:05:02]  (Local) -> (LOCAL)[2]JEFF: buenas noche
[2020:12:16-00:05:05]  (Local) -> (LOCAL)[1]2cb'ratix: jajajjaja
[2020:12:16-00:05:06]  (Local) -> (LOCAL)[1]2cb'pinina: nea hasta se puede acostar en la ambulancia pille
[2020:12:16-00:05:06]  (Local) -> (LOCAL)[1]tribilin: ajjaj
[2020:12:16-00:05:06]  (Local) -> (LOCAL)[1]2cb'ratix: dojoda
[2020:12:16-00:05:08]  (Local) -> (LOCAL)[1]2cbcapojuan: /gc quien me puede presta 200k porfavor se lo rruego
[2020:12:16-00:05:08]  (Local) -> (LOCAL)[1]JEFF: estoy esperanedo a un amigo
[2020:12:16-00:05:08]  (Local) -> (LOCAL)[1]2cb'ratix: mera baneada
[2020:12:16-00:05:10]  (Local) -> (LOCAL)[4]2cb|BarrySeal: por el momento
[2020:12:16-00:05:12]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Lopez: un paisaje
[2020:12:16-00:05:13]  (Global) -> NeutroPimp2cb: VENDO CARRITO DEL NACIONAL
[2020:12:16-00:05:14]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Lopez: pero cual
[2020:12:16-00:05:16]  (Local) -> (LOCAL)[1]tribilin: si estos hps
[2020:12:16-00:05:17]  (Local) -> (LOCAL)[1]2cB"Trakegunz: jaja si
[2020:12:16-00:05:20]  (Local) -> (LOCAL)[3]2cb'ratix: jaajaja
[2020:12:16-00:05:20]  (Local) -> (LOCAL)[4]2cb|BarrySeal: no hay nada raro en ,la ciudad
[2020:12:16-00:05:23]  (Local) -> (LOCAL)[1][MZ]24k: ._________.
[2020:12:16-00:05:26]  (Local) -> (LOCAL)[2]tribilin: q se hace
[2020:12:16-00:05:29]  (Global) -> Transmilenio-cum: eo como hago para que me paguen si trabajo de piloto?
[2020:12:16-00:05:30]  (Local) -> (LOCAL)[3]tribilin: donde ta escobar
[2020:12:16-00:05:31]  (Local) -> (LOCAL)[2]IZI_Omar25: OOOOOOOO
[2020:12:16-00:05:33]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Lopez: uyy si
[2020:12:16-00:05:34]  (Local) -> (LOCAL)[2]2cb'ratix: nose pa
[2020:12:16-00:05:36]  (Local) -> (LOCAL)[2]2cb'ratix: busquemoslo
[2020:12:16-00:05:37]  (Local) -> (LOCAL)[2]IZI_Omar25: LO ODIO
[2020:12:16-00:05:39]  (Local) -> (LOCAL)[2]tribilin: eso
[2020:12:16-00:05:40]  (Local) -> (LOCAL)[1]2cb'pinina: rcp en las patas
[2020:12:16-00:05:41]  (Local) -> (LOCAL)[4]robertoesco0bar: EN EL LADO DONDE VENDEMOS LA MERCANSIA
[2020:12:16-00:05:46]  (Local) -> (LOCAL)[7]FantasticSky: Ini guini shini guini
[2020:12:16-00:05:51]  (Local) -> (LOCAL)[4]IZI_Omar25: MALITO
[2020:12:16-00:05:53]  (Local) -> (LOCAL)[4](KP)KlausN: lo amo
[2020:12:16-00:05:55]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Lopez: komo
[2020:12:16-00:05:58]  (Local) -> (LOCAL)[1]2cB"Trakegunz: eso
[2020:12:16-00:06:00]  (Global) -> 2cb'YolinSita-LDS: uy pa
[2020:12:16-00:06:05]  (Global) -> TabooBulldozer70: Donde queda el job de militar
[2020:12:16-00:06:05]  (Local) -> (LOCAL)[1]2cb'pinina: rcp en el vergo
[2020:12:16-00:06:10]  (Global) -> 2cb'YolinSita-LDS: preciso me regrese a tomarte screen
[2020:12:16-00:06:11]  (Local) -> (LOCAL)[1]2cB"Trakegunz: vaya pa arriba y vuelve en la ambulancia
[2020:12:16-00:06:13]  (Local) -> (LOCAL)[7]AK|Fear: no
[2020:12:16-00:06:14]  (Local) -> (LOCAL)[1](KP)KlausN: venga
[2020:12:16-00:06:17]  (Global) -> #7F7F7F|CVR|#FF5C00Lopez: ai
[2020:12:16-00:06:18]  (Global) -> Diaz: chocó
[2020:12:16-00:06:18]  (Local) -> (LOCAL)[1]2cb'ratix: aa
[2020:12:16-00:06:19]  (Local) -> (LOCAL)[3]JEFF: esta lejos de la ciudad
[2020:12:16-00:06:20]  (Local) -> (LOCAL)[3]2cbcapojuan: oe
[2020:12:16-00:06:20]  (Local) -> (LOCAL)[1]2cb'ratix: hp
[2020:12:16-00:06:21]  (Local) -> (LOCAL)[1]tribilin: q
[2020:12:16-00:06:21]  (Local) -> (LOCAL)[1]2cB"Trakegunz: mientras oculto el chat
[2020:12:16-00:06:23]  (Local) -> (LOCAL)[3][MZ]24k: Llego pa sf
[2020:12:16-00:06:26]  (Global) -> 2cb'Royal: lopez la idea era que sacara carro XD
[2020:12:16-00:06:28]  (Local) -> (LOCAL)[3]JEFF: en un punto verde
[2020:12:16-00:06:28]  (Local) -> (LOCAL)[3]TabooBulldozer70: Por que lado maso menos?
[2020:12:16-00:06:31]  (Global) -> [Changua]Loctar12: en el cauca
[2020:12:16-00:06:31]  (Local) -> (LOCAL)[3][MZ]24k: Llendo*
[2020:12:16-00:06:32]  (Local) -> (LOCAL)[1]2cb'ratix: ajajja
[2020:12:16-00:06:33]  (Global) -> [AK]Caliche: Quieren ganar plata como un hpta?
[2020:12:16-00:06:33]  (Local) -> (LOCAL)[1]tribilin: na
[2020:12:16-00:06:34]  (Local) -> (LOCAL)[2]2cbcapojuan: cuanta plata tieneç
[2020:12:16-00:06:35]  (Global) -> #7F7F7F|CVR|#FF5C00Lopez: no lo tenia :'
[2020:12:16-00:06:36]  (Local) -> (LOCAL)[4]robertoesco0bar: AL HAEROPUERTO VAMOS
[2020:12:16-00:06:36]  (Global) -> Sancocho_kun: simplemente itsmina
[2020:12:16-00:06:40]  (Local) -> (LOCAL)[2]IZI_Omar25: TE ACABAS DE GANAR TU REPORTADA
[2020:12:16-00:06:40]  (Global) -> 2cb'Royal: XD
[2020:12:16-00:06:41]  (Local) -> (LOCAL)[3]TabooBulldozer70: Breve gracias
[2020:12:16-00:06:42]  (Global) -> 2cb'Royal: ya lo recojo
[2020:12:16-00:06:44]  (Global) -> |Skippers: #01DFD7QUINES QUIERAN ROLEAR PARA CAPTURAR A PABLO ESCOBAR LLEGUEN A#04B404 JOB MILITAR
[2020:12:16-00:06:45]  (Local) -> (LOCAL)[7]AK|Fear: todos con m4
[2020:12:16-00:06:45]  (Local) -> (LOCAL)[1]IZI_Omar25: BROHTER
[2020:12:16-00:06:46]  (Local) -> (LOCAL)[4]g7: usch esa ortografia mi papa
[2020:12:16-00:06:46]  (Local) -> (LOCAL)[4]IZI_Omar25: XD
[2020:12:16-00:06:47]  (Global) -> xNight_KiDD: amonos
[2020:12:16-00:06:51]  (Global) -> IZI_Omar25: ADMIN
[2020:12:16-00:06:53]  (Global) -> IZI_Omar25: ADMIN
[2020:12:16-00:06:54]  (Global) -> 2cb'pinina: tengo que volver al desvío?XD
[2020:12:16-00:06:54]  (Local) -> (LOCAL)[4]2cb|BarrySeal: jajajas
[2020:12:16-00:06:54]  (Global) -> chimboLOCO: Skippers yo
[2020:12:16-00:06:57]  (Team - Fuerzas Armadas) -> (TEAM)FantasticSky: La caida del patron
[2020:12:16-00:06:57]  (Global) -> #7F7F7F|CVR|#0064FFKhausu: Si?
[2020:12:16-00:06:58]  (Global) -> chimboLOCO: pero no se donde queda esa mierda
[2020:12:16-00:06:59]  (Local) -> (LOCAL)[2]JEFF: ole
[2020:12:16-00:07:04]  (Local) -> (LOCAL)[2]|Skippers: YA VENGO
[2020:12:16-00:07:04]  (Local) -> (LOCAL)[2][MZ]24k: Que?
[2020:12:16-00:07:09]  (Local) -> (LOCAL)[2]JEFF: entonces que pa
[2020:12:16-00:07:16]  (Local) -> (LOCAL)[2][MZ]24k: Va
[2020:12:16-00:07:22]  (Global) -> IZI_Omar25: KLAUS MATANDO ARRESTADOS
[2020:12:16-00:07:24]  (Global) -> (BGW)CHOCORRAMOCAMILOP: epere
[2020:12:16-00:07:25]  (Global) -> EmilioGaviria: Como quito el puntero de mi mouse
[2020:12:16-00:07:26]  (Global) -> #7F7F7F|CVR|#FF0000CrudoMeansRaw: Queda entre Chilliad y LS. EL muñeco verde xd
[2020:12:16-00:07:27]  (Global) -> (BGW)CHOCORRAMOCAMILOP: que hay va uno
[2020:12:16-00:07:29]  (Local) -> (LOCAL)[1][2cB]~Briham~[CTL]: viejo crudo
[2020:12:16-00:07:30]  (Global) -> [CAPU]Mohamed: pero porque se van de job militar?
[2020:12:16-00:07:32]  (Global) -> #7F7F7F|CVR|#FF0000CrudoMeansRaw: Con M EmilioGaviria
[2020:12:16-00:07:32]  (Global) -> #7F7F7F|CVR|#0064FFKhausu: Haga un Reporte en Discord
[2020:12:16-00:07:33]  (Global) -> (BGW)CHOCORRAMOCAMILOP: moham,ed
[2020:12:16-00:07:35]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000CrudoMeansRaw: oe
[2020:12:16-00:07:35]  (Global) -> NeutroPimp2cb: MOHAMED
[2020:12:16-00:07:36]  (Global) -> (BGW)CHOCORRAMOCAMILOP: coja el job
[2020:12:16-00:07:36]  (Global) -> FantasticSky: Que va a chillar usted omar si hace lo mismo
[2020:12:16-00:07:37]  (Global) -> DJ|2cb'ViejoRichard: compro drogas
[2020:12:16-00:07:37]  (Global) -> |Skippers: #04B404Quien mas para llevarlos<
[2020:12:16-00:07:38]  (Global) -> (BGW)CHOCORRAMOCAMILOP: y lo espramos aca
