This file was generated by Console at 2020:09:11-00:00:02



[2020:09:11-00:00:02]  (Global) -> BurlyPlate49: perdon
[2020:09:11-00:02:45]  (Local) -> (LOCAL)[5](CTS)Neeomaster: y pa que en el hospoital?
[2020:09:11-00:02:46]  (Local) -> (LOCAL)[5]GT]McLovin: nunca he comprado
[2020:09:11-00:02:48]  (Local) -> (LOCAL)[1]GT|~[AndresCanson~]: y mañana van a hacer algo?
[2020:09:11-00:02:58]  (Local) -> (LOCAL)[4][GT]PANADERO: pos por que alla me matan y ala esta el juego jaja
[2020:09:11-00:03:01]  (Local) -> (LOCAL)[1]GT|~Beltran: Trabajos:(
[2020:09:11-00:03:03]  (Local) -> (LOCAL)[4](CTS)Neeomaster: aca tambien
[2020:09:11-00:03:04]  (Global) -> FlatGrains18: se la dejo barata en 500 pesos nomas 
[2020:09:11-00:03:05]  (Local) -> (LOCAL)[3]TUERTO: LEANDRO YA
[2020:09:11-00:03:05]  (Local) -> (LOCAL)[1]GT|~[AndresCanson~]: JAAJAJA
[2020:09:11-00:03:08]  (Local) -> (LOCAL)[4]GT]McLovin: agale
[2020:09:11-00:03:09]  (Global) -> [DTA]LEANDRO: SI
[2020:09:11-00:03:10]  (Local) -> (LOCAL)[1]GT|~[AndresCanson~]: pero de eventos xDDD
[2020:09:11-00:03:11]  (Local) -> (LOCAL)[3]TUERTO: BUSQUELO
[2020:09:11-00:03:12]  (Local) -> (LOCAL)[6][GT]PANADERO: pero si quiere vamos a otro
[2020:09:11-00:03:12]  (Local) -> (LOCAL)[4]GT]McLovin: cuanto seria
[2020:09:11-00:03:13]  (Global) -> [DTA]LEANDRO: QUE YA
[2020:09:11-00:03:14]  (Local) -> (LOCAL)[1]GT|~Beltran: A
[2020:09:11-00:03:15]  (Local) -> (LOCAL)[3]TUERTO: POR FRANKLIN
[2020:09:11-00:03:16]  (Local) -> (LOCAL)[4]GT]McLovin: 20 gr
[2020:09:11-00:03:16]  (Global) -> FlatGrains18: por ser nuevo
[2020:09:11-00:03:18]  (Local) -> (LOCAL)[6](CTS)Neeomaster: papi tirelos y lo suelto
[2020:09:11-00:03:19]  (Local) -> (LOCAL)[1]GT|~Beltran: No seXD
[2020:09:11-00:03:20]  (Local) -> (LOCAL)[4][CAPU]Dillom: ajjja
[2020:09:11-00:03:20]  (Local) -> (LOCAL)[4]GT]McLovin: epa
[2020:09:11-00:03:21]  (Global) -> [DTA]LEANDRO: COMO SE LLAMAN
[2020:09:11-00:03:22]  (Local) -> (LOCAL)[4][GT]PANADERO: aca me toca camina hasta alla
[2020:09:11-00:03:27]  (Local) -> (LOCAL)[4]GT]McLovin: vamos al banco
[2020:09:11-00:03:27]  (Local) -> (LOCAL)[1]GT|~Beltran: tengo que conseguir plata para hacer evento
[2020:09:11-00:03:28]  (Local) -> (LOCAL)[1]GT|~Beltran: s
[2020:09:11-00:03:29]  (Local) -> (LOCAL)[4]GT]McLovin: ps
[2020:09:11-00:03:31]  (Local) -> (LOCAL)[3]TUERTO: SE LLAMA LANDSTALKER
[2020:09:11-00:03:33]  (Local) -> (LOCAL)[1]GT|~[AndresCanson~]: uaa
[2020:09:11-00:03:36]  (Local) -> (LOCAL)[1]GT|~[AndresCanson~]: aaaaa
[2020:09:11-00:03:36]  (Local) -> (LOCAL)[1]GT|~Beltran: pero de momento noxde
[2020:09:11-00:03:40]  (Local) -> (LOCAL)[4]TUERTO: LO ENCONTRO
[2020:09:11-00:03:43]  (Local) -> (LOCAL)[1]GT|~[AndresCanson~]: le di al windows xD
[2020:09:11-00:03:45]  (Global) -> FlatGrains18: oe
[2020:09:11-00:03:47]  (Local) -> (LOCAL)[1]GT|~Beltran: xD
[2020:09:11-00:03:49]  (Global) -> aguacalzon: htacias xd
[2020:09:11-00:03:50]  (Local) -> (LOCAL)[1]GT]McLovin: oe
[2020:09:11-00:03:54]  (Local) -> (LOCAL)[1]GT|~[AndresCanson~]: aahh yo nunca tengo plata xDD
[2020:09:11-00:03:56]  (Local) -> (LOCAL)[1]GT|~Beltran: vea un truco de magia
[2020:09:11-00:03:59]  (Local) -> (LOCAL)[1]GT|~[AndresCanson~]: por andar de mk
[2020:09:11-00:04:00]  (Local) -> (LOCAL)[1]Kepler: Tombo marica
[2020:09:11-00:04:01]  (Local) -> (LOCAL)[1]GT|~[AndresCanson~]: aber
[2020:09:11-00:04:04]  (Local) -> (LOCAL)[1]GT|~[AndresCanson~]: sh
[2020:09:11-00:04:04]  (Local) -> (LOCAL)[3]TUERTO: LEANDRO
[2020:09:11-00:04:06]  (Local) -> (LOCAL)[1]GT|~[AndresCanson~]: ush
[2020:09:11-00:04:07]  (Local) -> (LOCAL)[1]GT|~Beltran: xD
[2020:09:11-00:04:09]  (Local) -> (LOCAL)[2]TUERTO: RESPONDA
[2020:09:11-00:04:10]  (Local) -> (LOCAL)[1]ProfuseAneroid41: veo y me la chupa
[2020:09:11-00:04:12]  (Local) -> (LOCAL)[1]GT|~Beltran: /hideall
[2020:09:11-00:04:14]  (Global) -> aguacalzon: oe usted me ve con 4 estrelals?
[2020:09:11-00:04:15]  (Local) -> (LOCAL)[3][GT]PANADERO: y ahora que?
[2020:09:11-00:04:17]  (Local) -> (LOCAL)[1]GT|~[AndresCanson~]: JAAJAJA casi me explota la canaima xD
[2020:09:11-00:04:17]  (Global) -> FlatGrains18: pero no se vende cocaina se vende solo marihuana y lsd
[2020:09:11-00:04:18]  (Global) -> [DTA]LEANDRO: LA PUSO A 6PALOS
[2020:09:11-00:04:19]  (Local) -> (LOCAL)[3][GT]PANADERO: jajaja
[2020:09:11-00:04:21]  (Local) -> (LOCAL)[0]GT|~Beltran: xD
[2020:09:11-00:04:22]  (Local) -> (LOCAL)[1]W~>|FabiusxKing: con 1
[2020:09:11-00:04:23]  (Local) -> (LOCAL)[2]Kepler: Digale a su cucha que si subio los precios
[2020:09:11-00:04:24]  (Local) -> (LOCAL)[0]GT]McLovin: dame lsd
[2020:09:11-00:04:25]  (Local) -> (LOCAL)[2](CT.S)MAURO: me lo voy a coger mk
[2020:09:11-00:04:26]  (Local) -> (LOCAL)[3]TUERTO: NOOO
[2020:09:11-00:04:28]  (Global) -> aguacalzon: wtf
[2020:09:11-00:04:30]  (Local) -> (LOCAL)[2][CAPU]Dillom: bueno
[2020:09:11-00:04:30]  (Local) -> (LOCAL)[2](CTS)Neeomaster: como?
[2020:09:11-00:04:31]  (Local) -> (LOCAL)[1]GT|~Beltran: camine, para la finca de okampo
[2020:09:11-00:04:33]  (Local) -> (LOCAL)[3]TUERTO: 60.000
[2020:09:11-00:04:33]  (Global) -> DrStrange: huele a muerto
[2020:09:11-00:04:35]  (Local) -> (LOCAL)[3]GT~[Orgalor]: eo
[2020:09:11-00:04:36]  (Local) -> (LOCAL)[3]GT~[Orgalor]: pabo
[2020:09:11-00:04:37]  (Local) -> (LOCAL)[2]Kepler: Que en estos dias voy a visitarla
[2020:09:11-00:04:37]  (Local) -> (LOCAL)[2]ProfuseAneroid41: somos hermanos bobo
[2020:09:11-00:04:37]  (Global) -> aguacalzon: yo con 4
[2020:09:11-00:04:38]  (Local) -> (LOCAL)[0]GT]McLovin: cuanto seria 20gr
[2020:09:11-00:04:40]  (Local) -> (LOCAL)[1]GT|~[AndresCanson~]: brevas
[2020:09:11-00:04:42]  (Local) -> (LOCAL)[4](CT.S)pablito2100: q
[2020:09:11-00:04:44]  (Local) -> (LOCAL)[2][GT]PANADERO: ya no tengo lks :c
[2020:09:11-00:04:45]  (Local) -> (LOCAL)[2]Kepler: JAJAJAJA
[2020:09:11-00:04:45]  (Local) -> (LOCAL)[4]GT~[Orgalor]: no tenes hotring?
[2020:09:11-00:04:46]  (Local) -> (LOCAL)[2]ProfuseAneroid41: se va a culiar a nuestra cucha?
[2020:09:11-00:04:48]  (Local) -> (LOCAL)[2]W~>|FabiusxKing: a ver cuanto seg
[2020:09:11-00:04:49]  (Local) -> (LOCAL)[4]ProfuseAneroid41: jajaj
[2020:09:11-00:04:50]  (Local) -> (LOCAL)[3]GT~[Orgalor]: propio=]
[2020:09:11-00:04:51]  (Local) -> (LOCAL)[6]Kepler: Uy no hermano
[2020:09:11-00:04:56]  (Local) -> (LOCAL)[1]GT]McLovin: ya salgo
[2020:09:11-00:04:58]  (Local) -> (LOCAL)[5]ProfuseAneroid41: me extraña hermano
[2020:09:11-00:04:58]  (Local) -> (LOCAL)[3]TUERTO: BUSQUELO SE LLAMA LANDSTALKER
[2020:09:11-00:05:00]  (Local) -> (LOCAL)[2](CT.S)pablito2100: espereme
[2020:09:11-00:05:01]  (Local) -> (LOCAL)[5]ProfuseAneroid41: asi no
[2020:09:11-00:05:02]  (Local) -> (LOCAL)[1]GT|~[AndresCanson~]: esta es la jeepeta?
[2020:09:11-00:05:02]  (Local) -> (LOCAL)[3]TUERTO: FRANKLIN
[2020:09:11-00:05:03]  (Local) -> (LOCAL)[1]GT|~Beltran: o ya se aksjd
[2020:09:11-00:05:05]  (Local) -> (LOCAL)[1]GT|~Beltran: si
[2020:09:11-00:05:07]  (Local) -> (LOCAL)[2](CTS)Neeomaster: uy socioi
[2020:09:11-00:05:11]  (Global) -> [DTA]LEANDRO: SI YA LA COMPRE LA PRIMERA
[2020:09:11-00:05:12]  (Local) -> (LOCAL)[4]Kepler: Sisas, todo bien, con nuestra cucha no
[2020:09:11-00:05:14]  (Local) -> (LOCAL)[1]GT|~[AndresCanson~]: firme xDD
[2020:09:11-00:05:15]  (Local) -> (LOCAL)[1]SergioAltoGT: oe me va a llevar
[2020:09:11-00:05:17]  (Local) -> (LOCAL)[4]ProfuseAneroid41: Breve panita
[2020:09:11-00:05:20]  (Global) -> ProfuseAneroid41: Se cuida esas tapas
[2020:09:11-00:05:23]  (Global) -> ProfuseAneroid41: lo amo
[2020:09:11-00:05:24]  (Local) -> (LOCAL)[1]GT|~Beltran: pere, dejo el tema listo:v
[2020:09:11-00:05:25]  (Global) -> Jim: t
[2020:09:11-00:05:27]  (Local) -> (LOCAL)[1]GT|~Beltran: ya
[2020:09:11-00:05:29]  (Local) -> (LOCAL)[1]GT|~[AndresCanson~]: listo xD
[2020:09:11-00:05:29]  (Local) -> (LOCAL)[3]TUERTO: FALTA LA OTRA
[2020:09:11-00:05:30]  (Global) -> [GT]PANADERO: le doy 30 ay de mero chima
[2020:09:11-00:05:35]  (Global) -> [CAPU]PastorANTITOMBOS: voy para pescaodr
[2020:09:11-00:05:36]  (Local) -> (LOCAL)[3]GT]McLovin: qe pasa
[2020:09:11-00:05:36]  (Local) -> (LOCAL)[2]Kepler: Veo bobo
[2020:09:11-00:05:38]  (Global) -> FlatGrains18: listo
[2020:09:11-00:05:39]  (Global) -> [DTA]LEANDRO: COMO SE LLAMA LA OTRA
[2020:09:11-00:05:40]  (Local) -> (LOCAL)[2]Kepler: Bailamos o que
[2020:09:11-00:05:40]  (Local) -> (LOCAL)[1]SergioAltoGT: bree
[2020:09:11-00:05:41]  (Global) -> TUERTO: TIENE MAS PLATA?
[2020:09:11-00:05:41]  (Local) -> (LOCAL)[2]GT]McLovin: epa
[2020:09:11-00:05:44]  (Local) -> (LOCAL)[1]GT|~[AndresCanson~]: aaaaaaaaaaa
[2020:09:11-00:05:44]  (Local) -> (LOCAL)[1]GT|~Beltran: mierdaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2020:09:11-00:05:47]  (Global) -> aguacalzon: bueno
[2020:09:11-00:05:49]  (Local) -> (LOCAL)[1]GT|~[AndresCanson~]: JAJAJAJAJAA
[2020:09:11-00:05:50]  (Local) -> (LOCAL)[2]GT]McLovin: cuanot pagan
[2020:09:11-00:05:51]  (Local) -> (LOCAL)[2]JU4N: DENADA
[2020:09:11-00:05:53]  (Local) -> (LOCAL)[2]GT]McLovin: en medico
[2020:09:11-00:05:56]  (Local) -> (LOCAL)[1]GT|~[AndresCanson~]: no le paso nad
[2020:09:11-00:05:56]  (Local) -> (LOCAL)[2]Kepler: Ese pirobo bafle no suena
[2020:09:11-00:05:57]  (Global) -> [DTA]LEANDRO: COMO SE LLAMA LA OTRA
[2020:09:11-00:05:58]  (Local) -> (LOCAL)[1]GT|~[AndresCanson~]: ajajajajaaja
[2020:09:11-00:05:59]  (Local) -> (LOCAL)[1]GT|~Beltran: no paso nada:v
[2020:09:11-00:05:59]  (Local) -> (LOCAL)[1]SergioAltoGT: me puede dejar en el hospital
[2020:09:11-00:06:00]  (Local) -> (LOCAL)[2]JU4N: PESIMO
[2020:09:11-00:06:03]  (Local) -> (LOCAL)[1]SergioAltoGT: que esta cerca
[2020:09:11-00:06:04]  (Local) -> (LOCAL)[2]GT]McLovin: ahh bn
[2020:09:11-00:06:04]  (Local) -> (LOCAL)[3]TUERTO: TIENE MAS PLATA?
[2020:09:11-00:06:04]  (Local) -> (LOCAL)[1]SergioAltoGT: ?
[2020:09:11-00:06:05]  (Local) -> (LOCAL)[2]JU4N: SOLO LO HAFO PRA DISTRAERME
[2020:09:11-00:06:07]  (Local) -> (LOCAL)[1]GT|~[AndresCanson~]: atrevetete
[2020:09:11-00:06:07]  (Local) -> (LOCAL)[2]GT]McLovin: oe pa
[2020:09:11-00:06:07]  (Local) -> (LOCAL)[1][CAPU]PastorANTITOMBOS: hgl
[2020:09:11-00:06:10]  (Global) -> [DTA]LEANDRO: NO SE
[2020:09:11-00:06:13]  (Local) -> (LOCAL)[2]GT]McLovin: deme 20 de lsd
[2020:09:11-00:06:20]  (Local) -> (LOCAL)[1]GT|~Beltran: pere
[2020:09:11-00:06:22]  (Local) -> (LOCAL)[2]Kepler: Nada, imaginese que hay musica
[2020:09:11-00:06:26]  (Local) -> (LOCAL)[2]GT]McLovin: dejalo
[2020:09:11-00:06:26]  (Global) -> aguacalzon: jasjasjajs
[2020:09:11-00:06:27]  (Local) -> (LOCAL)[4]TUERTO: POR QUE LA OTRA COMO ES MAS CARA DEBE DE TENER POR LO MINIMO 200.000
[2020:09:11-00:06:28]  (Local) -> (LOCAL)[1]SergioAltoGT: bree
[2020:09:11-00:06:29]  (Local) -> (LOCAL)[1]GT|~Beltran: maneje hasta la finca que esta por aca cerca:v
[2020:09:11-00:06:30]  (Global) -> aguacalzon: eso hago xd
[2020:09:11-00:06:32]  (Local) -> (LOCAL)[1]SergioAltoGT: en la buena
[2020:09:11-00:06:35]  (Local) -> (LOCAL)[2]GT]McLovin: oe
[2020:09:11-00:06:36]  (Local) -> (LOCAL)[2]JU4N: NO PUEDO HACERLES DAÑO
[2020:09:11-00:06:37]  (Local) -> (LOCAL)[6](CT.S)pablito2100: salgan
[2020:09:11-00:06:41]  (Local) -> (LOCAL)[2]JU4N: SOY MEDICO
