This file was generated by Console at 2021:02:12-00:00:00



[2021:02:12-00:00:00]  (Global) -> AttractiveDunebuggy54: socio
[2021:02:12-00:01:53]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Levi: mientras hablamos
[2021:02:12-00:01:54]  (Local) -> (LOCAL)[2]JACK_RCA: TABARES POR QUE MI MOTO NO ES TAN RAPIDA COMO LA DE USTED
[2021:02:12-00:01:54]  (Local) -> (LOCAL)[3]Perico-|GT]: se lo dejo en 5
[2021:02:12-00:01:54]  (Local) -> (LOCAL)[10]Woch|2cb: crudo
[2021:02:12-00:01:56]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Levi: ok?
[2021:02:12-00:01:56]  (Local) -> (LOCAL)[3]Chancleta|$Baby$: curame
[2021:02:12-00:01:57]  (Local) -> (LOCAL)[1]Oconner'2cb: aaaa no
[2021:02:12-00:01:59]  (Local) -> (LOCAL)[3]Perico-|GT]: jmm nose
[2021:02:12-00:02:00]  (Local) -> (LOCAL)[10](!POPPER!)(GT): uvamos
[2021:02:12-00:02:01]  (Local) -> (LOCAL)[15]Samantha~2Aucb: este?
[2021:02:12-00:02:01]  (Local) -> (LOCAL)[3]Chancleta|$Baby$: gramcais
[2021:02:12-00:02:02]  (Global) -> Woch|2cb:  CRUDO
[2021:02:12-00:02:02]  (Phone:SMS) -> From phillip$Baby$ | To: Chancleta|$Baby$ | Message: phillipcash69824
[2021:02:12-00:02:03]  (Local) -> (LOCAL)[15]Fabius'2cB: si
[2021:02:12-00:02:05]  (Local) -> (LOCAL)[3]Perico-|GT]: sias?
[2021:02:12-00:02:06]  (Local) -> (LOCAL)[1]JACK_RCA: Y DISQUE ESTA FULL
[2021:02:12-00:02:07]  (Local) -> (LOCAL)[1]Tabares[EVG]: por el vip esmeralda
[2021:02:12-00:02:07]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FF5C00JUAN_RUIZ[ELN]: agale guardemelo y se lo pago de una
[2021:02:12-00:02:09]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Levi: son 800 pa ud ya que tienen otros reportes aparte de este
[2021:02:12-00:02:10]  (Local) -> (LOCAL)[4]Spcem'ELN: Cuál es la sanción?
[2021:02:12-00:02:11]  (Local) -> (LOCAL)[3]Perico-|GT]: vamos
[2021:02:12-00:02:12]  (Local) -> (LOCAL)[1]JACK_RCA: AYA
[2021:02:12-00:02:13]  (Local) -> (LOCAL)[1]JavierRD(AK): no ando atras de Brayan
[2021:02:12-00:02:14]  (Local) -> (LOCAL)[3]Perico-|GT]: re ya
[2021:02:12-00:02:15]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FF5C00JUAN_RUIZ[ELN]: espere llamo unos contactos
[2021:02:12-00:02:15]  (Local) -> (LOCAL)[12](!POPPER!)(GT): mira
[2021:02:12-00:02:15]  (Local) -> (LOCAL)[1]Oconner'2cb: jajaja mera gonorrea de carro debe estar viendo
[2021:02:12-00:02:15]  (Local) -> (LOCAL)[4]|C|ogoying-ELN: coomo
[2021:02:12-00:02:18]  (Local) -> (LOCAL)[4]Javi'ELN': es ese
[2021:02:12-00:02:18]  (Local) -> (LOCAL)[12]Woch|2cb: perate llamo a crudo
[2021:02:12-00:02:18]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Levi: sisas
[2021:02:12-00:02:19]  (Local) -> (LOCAL)[3]Perico-|GT]: Bre
[2021:02:12-00:02:20]  (Local) -> (LOCAL)[3]JustFreseoo|ELN: vale 7 rey se lo esta dejando baratisimo rey
[2021:02:12-00:02:20]  (Global) -> YisussHDg: sigueme
[2021:02:12-00:02:20]  (Local) -> (LOCAL)[4]|C|ogoying-ELN: como que otros ?
[2021:02:12-00:02:20]  (Local) -> (LOCAL)[1]NutritiousAnteater34: YO VEO UNA CAMIONETA NORMAL
[2021:02:12-00:02:21]  (Local) -> (LOCAL)[1]salchitupac: buena
[2021:02:12-00:02:21]  (Local) -> (LOCAL)[3]Perico-|GT]: Rapido
[2021:02:12-00:02:22]  (Local) -> (LOCAL)[1]Pinina.(2cb): ese qien es nea
[2021:02:12-00:02:23]  (Local) -> (LOCAL)[4]Spcem'ELN: Jail?
[2021:02:12-00:02:23]  (Local) -> (LOCAL)[4]|C|ogoying-ELN: de que ?
[2021:02:12-00:02:23]  (Local) -> (LOCAL)[15](!POPPER!)(GT): que hizo pa
[2021:02:12-00:02:25]  (Local) -> (LOCAL)[16]Woch|2cb: esta mi bb
[2021:02:12-00:02:26]  (Global) -> piroberta666: locota
[2021:02:12-00:02:26]  (Local) -> (LOCAL)[15]Samantha~2Aucb: jumm no me trama
[2021:02:12-00:02:30]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Levi: ud de correr con bugs en ls
[2021:02:12-00:02:31]  (Local) -> (LOCAL)[1]Oconner'2cb: espere pa q pille el toro en el que vamos haga lo siguiente
[2021:02:12-00:02:34]  (Local) -> (LOCAL)[1]JavierRD(AK): uno de la gang
[2021:02:12-00:02:35]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Levi: y juan ya miro
[2021:02:12-00:02:36]  (Local) -> (LOCAL)[4]|C|ogoying-ELN: como asi jajaja
[2021:02:12-00:02:36]  (Local) -> (LOCAL)[1]G4(2cB): no
[2021:02:12-00:02:36]  (Local) -> (LOCAL)[8]Samantha~2Aucb: vendes algo mas?
[2021:02:12-00:02:38]  (Local) -> (LOCAL)[3]JustFreseoo|ELN: perico pq sigue en GT
[2021:02:12-00:02:39]  (Local) -> (LOCAL)[1]Javi'ELN': tombo mk
[2021:02:12-00:02:39]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FF5C00JUAN_RUIZ[ELN]: espere
[2021:02:12-00:02:41]  (Local) -> (LOCAL)[11]Woch|2cb: sera que esta
[2021:02:12-00:02:41]  (Local) -> (LOCAL)[1]NutritiousAnteater34: COMO ACTIVO ESO?
[2021:02:12-00:02:41]  (Local) -> (LOCAL)[1]Oconner'2cb: con el chat de la T
[2021:02:12-00:02:42]  (Local) -> (LOCAL)[4]|C|ogoying-ELN: correr con bug jajaja
[2021:02:12-00:02:42]  (Local) -> (LOCAL)[4]Spcem'ELN: Y yo de qué o qué?
[2021:02:12-00:02:42]  (Local) -> (LOCAL)[1]G4(2cB): es chancleta
[2021:02:12-00:02:43]  (Local) -> (LOCAL)[3]Perico-|GT]: Bre
[2021:02:12-00:02:44]  (Local) -> (LOCAL)[9]Woch|2cb: catre
[2021:02:12-00:02:45]  (Local) -> (LOCAL)[6]Fabius'2cB: solo este
[2021:02:12-00:02:45]  (Global) -> JuanPablo?|2cB|: admin
[2021:02:12-00:02:47]  (Local) -> (LOCAL)[1]Oreo|ELN: euyeueyye
[2021:02:12-00:02:47]  (Global) -> Reyks: donde estas?
[2021:02:12-00:02:47]  (Local) -> (LOCAL)[3]pulidusk'2cb: hacker su qcha
[2021:02:12-00:02:49]  (Local) -> (LOCAL)[4]#7F7F7F|DJ|#FF5C00JUAN_RUIZ[ELN]: que el ya esta entrando un amigo
[2021:02:12-00:02:49]  (Local) -> (LOCAL)[2]JACK_RCA: F POR MI PARTE ENTONCES
[2021:02:12-00:02:49]  (Local) -> (LOCAL)[2]Tabares[EVG]: el vip esmeralda da mas velocida
[2021:02:12-00:02:50]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Levi: no c nea corre mas rapido q los demas
[2021:02:12-00:02:53]  (Local) -> (LOCAL)[12]Fabius'2cB: a
[2021:02:12-00:02:53]  (Local) -> (LOCAL)[1]Javi'ELN': el man se llama chancleta
[2021:02:12-00:02:53]  (Global) -> JuanPablo?|2cB|: me desaparecieron las armas
[2021:02:12-00:02:56]  (Local) -> (LOCAL)[3]Perico-|GT]: Bre
[2021:02:12-00:02:58]  (Global) -> Ganarreaa: bocon
[2021:02:12-00:02:58]  (Local) -> (LOCAL)[4]|C|ogoying-ELN: yo no eh hecho eso
[2021:02:12-00:02:58]  (Local) -> (LOCAL)[1]Chancleta|$Baby$: mero sapo
[2021:02:12-00:02:59]  (Local) -> (LOCAL)[10]Woch|2cb: catre
[2021:02:12-00:03:01]  (Local) -> (LOCAL)[1]Oconner'2cb: escriba /mods le da desactivar todos primero y luego activar todos
[2021:02:12-00:03:03]  (Global) -> Chancleta|$Baby$: #ff00ff$BABYGANG$ Abre sus puertas al publico ¿Qué estas esperando para unirte?
[2021:02:12-00:03:04]  (Global) -> Reyks: listo
[2021:02:12-00:03:04]  (Local) -> (LOCAL)[1]NutritiousAnteater34: OE
[2021:02:12-00:03:05]  (Local) -> (LOCAL)[1]JACK_RCA: SUPER FFFFF
[2021:02:12-00:03:06]  (Global) -> Chancleta|$Baby$: #ff00ff$BABYGANG$ Abre sus puertas al publico ¿Qué estas esperando para unirte?
[2021:02:12-00:03:07]  (Global) -> Algarete^: que
[2021:02:12-00:03:08]  (Local) -> (LOCAL)[4]|C|ogoying-ELN: pruebas tiene
[2021:02:12-00:03:08]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Levi: si nea
[2021:02:12-00:03:09]  (Local) -> (LOCAL)[2]G4(2cB): esta por el banco
[2021:02:12-00:03:10]  (Local) -> (LOCAL)[4]|C|ogoying-ELN: ??
[2021:02:12-00:03:10]  (Local) -> (LOCAL)[12]Samantha~2Aucb: lleva afk la re arto
[2021:02:12-00:03:10]  (Local) -> (LOCAL)[1]Tabares[EVG]: si
[2021:02:12-00:03:10]  (Local) -> (LOCAL)[4]Sancocho-Kum'ELN': eso es ilegal?
[2021:02:12-00:03:10]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Levi: si
[2021:02:12-00:03:12]  (Local) -> (LOCAL)[3]G4(2cB): eso me sale
[2021:02:12-00:03:12]  (Global) -> piroberta666: aprenda a manejar
[2021:02:12-00:03:12]  (Local) -> (LOCAL)[1]ElTrakegunz2cb: a
[2021:02:12-00:03:14]  (Local) -> (LOCAL)[4]|C|ogoying-ELN: paseme eso
[2021:02:12-00:03:15]  (Local) -> (LOCAL)[12]Fabius'2cB: se lo dejo a 10k
[2021:02:12-00:03:16]  (Local) -> (LOCAL)[12](!POPPER!)(GT): a pailas bro vamos
[2021:02:12-00:03:18]  (Global) -> Reyks: nada mi internet
[2021:02:12-00:03:19]  (Local) -> (LOCAL)[12]Fabius'2cB: se ahorra 2m
[2021:02:12-00:03:19]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Levi: epro enserio me va a poner a buscar esa mierda
[2021:02:12-00:03:20]  (Local) -> (LOCAL)[13]Woch|2cb: sej moe
[2021:02:12-00:03:20]  (Local) -> (LOCAL)[1]Oconner'2cb: tiene q poner /mods los desactiva todos luego los activa otra vez
[2021:02:12-00:03:20]  (Global) -> Algarete^: @Nicole Shari
[2021:02:12-00:03:22]  (Local) -> (LOCAL)[1]JavierRD(AK): oe pa compraste el hondA civid
[2021:02:12-00:03:23]  (Global) -> Carlos_Escobar: ESTA EN EL AGUA
[2021:02:12-00:03:23]  (Local) -> (LOCAL)[14]Fabius'2cB: lo revende si quiere
[2021:02:12-00:03:23]  (Local) -> (LOCAL)[4]|C|ogoying-ELN: se puede correr mas rapido con el c-bug
[2021:02:12-00:03:24]  (Local) -> (LOCAL)[14](!POPPER!)(GT): woth
[2021:02:12-00:03:25]  (Global) -> Ganarreaa: Chancleta|$Baby$[3] nadie quiere unirse a su gang de mierda
[2021:02:12-00:03:26]  (Local) -> (LOCAL)[1]JACK_RCA: YO CREO QUE FUE POR ESO QUE NO ME PODISTE VENDER SU MOTO
[2021:02:12-00:03:26]  (Local) -> (LOCAL)[13]Samantha~2Aucb: 10k?
[2021:02:12-00:03:27]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Levi: na eso esta poraya
[2021:02:12-00:03:28]  (Global) -> Chancleta|$Baby$: nicol shari vuevle a beibis x favor
[2021:02:12-00:03:28]  (Local) -> (LOCAL)[13]Fabius'2cB: solo necesito salir de eso
[2021:02:12-00:03:28]  (Local) -> (LOCAL)[4]|C|ogoying-ELN: sisa
[2021:02:12-00:03:30]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Levi: si es correcto
[2021:02:12-00:03:30]  (Global) -> (POPEYE):  qu erequicitos pides quiero entrar
[2021:02:12-00:03:30]  (Local) -> (LOCAL)[13]Fabius'2cB: 10m xD
[2021:02:12-00:03:31]  (Local) -> (LOCAL)[2]ElViejoJuancho|2cb|: xd
[2021:02:12-00:03:31]  (Local) -> (LOCAL)[1]Chancleta|$Baby$: JASJDASKJASKJDKSAJASDJas
[2021:02:12-00:03:31]  (Global) -> #7F7F7F|ADM||LG|#00FFFFRicardo|Envigado|: se le golearon el nombre a nicol
[2021:02:12-00:03:31]  (Local) -> (LOCAL)[4]Sancocho-Kum'ELN': xD
[2021:02:12-00:03:32]  (Local) -> (LOCAL)[4]|C|ogoying-ELN: eso me perjudica
[2021:02:12-00:03:33]  (Local) -> (LOCAL)[1]Ganarreaa: a verda que lo llevo aca al lao
[2021:02:12-00:03:33]  (Local) -> (LOCAL)[13](!POPPER!)(GT): hola miamor
[2021:02:12-00:03:33]  (Local) -> (LOCAL)[13]Woch|2cb: y tussy
[2021:02:12-00:03:33]  (Global) -> YisussHDg: ATENCION TODAS LAS UNIDADES EN LA CENTRAL!
[2021:02:12-00:03:33]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Levi: con el cbug
