This file was generated by Console at 2020:09:23-00:00:00



[2020:09:23-00:00:00]  (Local) -> (LOCAL)[4]GT|~Beltran: osi
[2020:09:23-00:01:57]  (Global) -> (CTA)stiven2882: VIVA EL MOLLOS Y MILLOS
[2020:09:23-00:01:57]  (Local) -> (LOCAL)[2]GT|~[Orgalor]: este?
[2020:09:23-00:01:58]  (Local) -> (LOCAL)[2]GT|~Beltran: xd
[2020:09:23-00:01:59]  (Local) -> (LOCAL)[2]GT|~Beltran: si
[2020:09:23-00:02:00]  (Global) -> #7F7F7F|CVR|#FF7C00 _SEMDS_: ocampo
[2020:09:23-00:02:01]  (Local) -> (LOCAL)[5]carlos_jimenes: una moto con sobrecupo
[2020:09:23-00:02:02]  (Global) -> #7F7F7F|CVR|#FF7C00 _SEMDS_: kite el bafle
[2020:09:23-00:02:02]  (Local) -> (LOCAL)[2]GT|~[Orgalor]: ojo lo roba
[2020:09:23-00:02:02]  (Local) -> (LOCAL)[1]YEICI: olaaaaaaaaaaa
[2020:09:23-00:02:03]  (Global) -> 12: OE EXPLIQUEN BIEN QUE HAGO 
[2020:09:23-00:02:03]  (Local) -> (LOCAL)[5]ratix86: aaaaa
[2020:09:23-00:02:04]  (Local) -> (LOCAL)[2]GT|~Beltran: vale 8 pero ps
[2020:09:23-00:02:04]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: berna q les kites el bafle
[2020:09:23-00:02:05]  (Local) -> (LOCAL)[5]&_walter: PA UNA PLAYITA MANO
[2020:09:23-00:02:05]  (Local) -> (LOCAL)[2]GT|~[Orgalor]: cuanto?
[2020:09:23-00:02:06]  (Local) -> (LOCAL)[5]carlos_jimenes: jajajajaj
[2020:09:23-00:02:11]  (Global) -> (Cts)Lil.Dream: unu :(
[2020:09:23-00:02:11]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF7C00 Megu: q pasho
[2020:09:23-00:02:15]  (Local) -> (LOCAL)[3]YEICI: nah
[2020:09:23-00:02:15]  (Local) -> (LOCAL)[2]GT|~Beltran: no parcero, como me vas a decir ladron viniendo de ti
[2020:09:23-00:02:15]  (Global) -> #7F7F7F|CVR|#FF7C00 _SEMDS_: grasias
[2020:09:23-00:02:16]  (Local) -> (LOCAL)[4][CTA]zViper: oelos
[2020:09:23-00:02:17]  (Local) -> (LOCAL)[2]GT|~Beltran: :|
[2020:09:23-00:02:18]  (Local) -> (LOCAL)[2]YEICI: aburrifo
[2020:09:23-00:02:21]  (Local) -> (LOCAL)[5]ratix86: a este le salio el pase en una caja de zucaritas pero de las chirretes las que cuestan 1k
[2020:09:23-00:02:21]  (Local) -> (LOCAL)[2]GT|~[Orgalor]: cuales
[2020:09:23-00:02:24]  (Local) -> (LOCAL)[4][CTA]zViper: to bien neitas
[2020:09:23-00:02:24]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF7C00 _SEMDS_: ud me tiene ofendido
[2020:09:23-00:02:25]  (Local) -> (LOCAL)[2]GT|~[Orgalor]: repsdete
[2020:09:23-00:02:25]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF7C00 Megu: pq
[2020:09:23-00:02:26]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF7C00 _SEMDS_: .i.
[2020:09:23-00:02:27]  (Local) -> (LOCAL)[1]YEICI: no c
[2020:09:23-00:02:27]  (Local) -> (LOCAL)[3](CTA)Hopex06: sisas
[2020:09:23-00:02:30]  (Local) -> (LOCAL)[2][GT]FranciscoBY: verdad
[2020:09:23-00:02:30]  (Local) -> (LOCAL)[2]GT|~[Orgalor]: cuanto?
[2020:09:23-00:02:31]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF7C00 _SEMDS_: triste
[2020:09:23-00:02:32]  (Local) -> (LOCAL)[2][GT]FranciscoBY: xd
[2020:09:23-00:02:32]  (Local) -> (LOCAL)[1]Jabon: pq
[2020:09:23-00:02:33]  (Local) -> (LOCAL)[2]GT|~Beltran: te estallo
[2020:09:23-00:02:34]  (Local) -> (LOCAL)[5][CTA]zViper: melo
[2020:09:23-00:02:35]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: aki o q
[2020:09:23-00:02:39]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF7C00 Megu: ya tussy hizo eso?
[2020:09:23-00:02:40]  (Local) -> (LOCAL)[2]GT|~[Orgalor]: a nadie he robado bobos
[2020:09:23-00:02:40]  (Local) -> (LOCAL)[1]Jabon: q hice
[2020:09:23-00:02:41]  (Local) -> (LOCAL)[4]&_walter: SISAS
[2020:09:23-00:02:44]  (Local) -> (LOCAL)[1]YEICI: q ?
[2020:09:23-00:02:46]  (Global) -> (CTA)Javier_Alonso: bailelas hpppp
[2020:09:23-00:02:46]  (Local) -> (LOCAL)[1]YEICI: no c
[2020:09:23-00:02:47]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: bueno q hago
[2020:09:23-00:02:48]  (Global) -> #7F7F7F|CVR|#A9A9A9 Berna: pongales un tropic
[2020:09:23-00:02:48]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF7C00 Megu: lo de la skin
[2020:09:23-00:02:49]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: a quien baneo
[2020:09:23-00:02:50]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF7C00 _SEMDS_: los 2cv estaban terapeando y uds empezaron de ofensivs
[2020:09:23-00:02:52]  (Global) -> #7F7F7F|CVR|#A9A9A9 Berna: KevinOcampo
[2020:09:23-00:02:52]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF7C00 _SEMDS_: y te vi
[2020:09:23-00:02:54]  (Local) -> (LOCAL)[4]&_walter: TP A MIGUEL
[2020:09:23-00:02:55]  (Local) -> (LOCAL)[4][GT]Pinino_Z: JAJAJ
[2020:09:23-00:02:55]  (Global) -> #7F7F7F|CVR|#A9A9A9 Berna: tropic
[2020:09:23-00:02:57]  (Local) -> (LOCAL)[1]YEICI: si ya la hizo?
[2020:09:23-00:02:58]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF7C00 _SEMDS_: me dolio en lel
[2020:09:23-00:03:02]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF7C00 _SEMDS_: mand
[2020:09:23-00:03:02]  (Global) -> Uribe: jajajaj
[2020:09:23-00:03:03]  (Local) -> (LOCAL)[2]GT|~Beltran: porque lo obligaron a devolver eso bobotron
[2020:09:23-00:03:04]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF7C00 Megu: aja
[2020:09:23-00:03:05]  (Global) -> [C.D.S]LuigiBendetta: oe
[2020:09:23-00:03:06]  (Local) -> (LOCAL)[2]GT|~Beltran: -.-
[2020:09:23-00:03:06]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: aaa
[2020:09:23-00:03:06]  (Local) -> (LOCAL)[2]GT|~[Orgalor]: aaa la loli tambien me estafo
[2020:09:23-00:03:08]  (Local) -> (LOCAL)[2]GT|~Beltran: bueno ya
[2020:09:23-00:03:09]  (Local) -> (LOCAL)[3]&_walter: JAJAJAJA
[2020:09:23-00:03:09]  (Local) -> (LOCAL)[2]YEICI: y q tal?
[2020:09:23-00:03:13]  (Local) -> (LOCAL)[1]Jabon: ps
[2020:09:23-00:03:15]  (Local) -> (LOCAL)[3]ZetasValeria: cadabra
[2020:09:23-00:03:16]  (Local) -> (LOCAL)[2]GT|~[Orgalor]: ya pille
[2020:09:23-00:03:16]  (Local) -> (LOCAL)[2]GT|~Beltran: callao ps
[2020:09:23-00:03:18]  (Global) -> [C.D.S]LuigiBendetta: los de su grupo estan reclutando?
[2020:09:23-00:03:18]  (Local) -> (LOCAL)[2]W~>|FabiusxKing|2cb|: grax
[2020:09:23-00:03:19]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF7C00 Megu: no, o sea estoy preguntando xdd
[2020:09:23-00:03:20]  (Local) -> (LOCAL)[2]GT|~[Orgalor]: no mk ya
[2020:09:23-00:03:21]  (Global) -> (CTA)Javier_Alonso: hablelo
[2020:09:23-00:03:23]  (Local) -> (LOCAL)[2]YEICI: xdddddddd
[2020:09:23-00:03:24]  (Global) -> (CTA)Javier_Alonso: sisas
[2020:09:23-00:03:25]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: kedense ahi
[2020:09:23-00:03:28]  (Local) -> (LOCAL)[2]&_walter: AJJAJA
[2020:09:23-00:03:29]  (Local) -> (LOCAL)[1]Jabon: ud sabe q yo no me meto en vueltas raras
[2020:09:23-00:03:30]  (Local) -> (LOCAL)[1]YEICI: pense q me afirmabas
[2020:09:23-00:03:31]  (Local) -> (LOCAL)[2][GT]Pinino_Z: nea y los otrs
[2020:09:23-00:03:31]  (Global) -> &_walter: OK
[2020:09:23-00:03:32]  (Global) -> (CTA)ChirreteKenda: kenda
[2020:09:23-00:03:33]  (Local) -> (LOCAL)[3](BGW)camilop202: a
[2020:09:23-00:03:33]  (Local) -> (LOCAL)[2][GT]Pinino_Z: JAJAJAJJAJAAJ
[2020:09:23-00:03:34]  (Local) -> (LOCAL)[1]Jabon: ud ya vera
[2020:09:23-00:03:34]  (Global) -> JuanDa: que gono pa canson
[2020:09:23-00:03:36]  (Global) -> (CTA)Javier_Alonso: usted sabe como pegarlo a el carro
[2020:09:23-00:03:37]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF7C00 Megu: no XD
[2020:09:23-00:03:37]  (Local) -> (LOCAL)[1]GT|~Beltran: tengo lag
[2020:09:23-00:03:38]  (Local) -> (LOCAL)[2]&_walter: LOS OTROS
[2020:09:23-00:03:40]  (Local) -> (LOCAL)[2]ZetasValeria: cadabra
[2020:09:23-00:03:41]  (Local) -> (LOCAL)[1]YEICI: xddd
[2020:09:23-00:03:41]  (Local) -> (LOCAL)[1]GT|~Beltran: que procede
[2020:09:23-00:03:42]  (Local) -> (LOCAL)[2](Cts)Lil.Dream: tas bien
[2020:09:23-00:03:43]  (Local) -> (LOCAL)[2][S.A.S][CABO]JuanP: PAZ
[2020:09:23-00:03:45]  (Global) -> williowpnk: royal q mire discord 
[2020:09:23-00:03:46]  (Local) -> (LOCAL)[2]ZetasValeria: cadabra
[2020:09:23-00:03:46]  (Local) -> (LOCAL)[1]GT|~[Orgalor]: en cuanto s elo vende?
[2020:09:23-00:03:47]  (Local) -> (LOCAL)[2](Cts)Lil.Dream: sisi
[2020:09:23-00:03:47]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF7C00 Megu: que den esa verdad
[2020:09:23-00:03:48]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF7C00 _SEMDS_: como q vere
[2020:09:23-00:03:49]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF7C00 _SEMDS_: de q
[2020:09:23-00:03:49]  (Local) -> (LOCAL)[1][S.A.S][CABO]JuanP: CY GRACIAS
[2020:09:23-00:03:50]  (Local) -> (LOCAL)[2]GT|~Beltran: 5.5
[2020:09:23-00:03:52]  (Local) -> (LOCAL)[1](Cts)Lil.Dream: dena
[2020:09:23-00:03:54]  (Global) -> (CTA)Javier_Alonso: como montar el bafle a el carro
[2020:09:23-00:03:54]  (Global) -> williowpnk: royal mire discord
[2020:09:23-00:03:56]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF7C00 Megu: y el inetior
[2020:09:23-00:03:56]  (Global) -> [C.D.S]LuigiBendetta: tenes que estar dntro del carro
[2020:09:23-00:03:57]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF7C00 Megu: xdd
[2020:09:23-00:03:57]  (Local) -> (LOCAL)[2]GT|~Beltran: naaaaaaaaa
[2020:09:23-00:03:57]  (Local) -> (LOCAL)[3]ZetasValeria: cadabraaaaaaaa
[2020:09:23-00:04:01]  (Local) -> (LOCAL)[3]ratix86: añañay
[2020:09:23-00:04:02]  (Local) -> (LOCAL)[3]&_walter: EPA
[2020:09:23-00:04:03]  (Local) -> (LOCAL)[1]YEICI: cual
[2020:09:23-00:04:03]  (Local) -> (LOCAL)[2]GT|~[Orgalor]: VAMOS
[2020:09:23-00:04:03]  (Global) -> williowpnk: royal mire discord
[2020:09:23-00:04:03]  (Global) -> [C.D.S]LuigiBendetta: creo
[2020:09:23-00:04:03]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: tengan
[2020:09:23-00:04:05]  (Local) -> (LOCAL)[7][CTA]zViper: jasjajas
[2020:09:23-00:04:07]  (Local) -> (LOCAL)[1][S.A.S][CABO]JuanP: QUE GUAP
[2020:09:23-00:04:07]  (Local) -> (LOCAL)[3]Zr-OscarP: aa
[2020:09:23-00:04:07]  (Local) -> (LOCAL)[3]&_walter: AÑAÑAI
[2020:09:23-00:04:07]  (Local) -> (LOCAL)[1]Jabon: ps nea lo que quiera ver y pensar
[2020:09:23-00:04:08]  (Local) -> (LOCAL)[3][GT]Pinino_Z: JAJAJJAJ
[2020:09:23-00:04:08]  (Global) -> (CTA)Javier_Alonso: y que mas hago jajajajajaja
[2020:09:23-00:04:09]  (Local) -> (LOCAL)[1](Cts)Lil.Dream: a donde rey
[2020:09:23-00:04:10]  (Local) -> (LOCAL)[1]Jabon: sobre mi
[2020:09:23-00:04:13]  (Local) -> (LOCAL)[3]&_walter: KEVIN
[2020:09:23-00:04:14]  (Local) -> (LOCAL)[1](Cts)Lil.Dream: subac
[2020:09:23-00:04:14]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: q
[2020:09:23-00:04:17]  (Local) -> (LOCAL)[3]ZetasValeria: cadabraaaaaaaaa
[2020:09:23-00:04:17]  (Local) -> (LOCAL)[3][GT]Pinino_Z: nO veo el barco
[2020:09:23-00:04:19]  (Local) -> (LOCAL)[3]&_walter: HGALE TP A LOS PANAS
[2020:09:23-00:04:19]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF7C00 Megu: esta
[2020:09:23-00:04:20]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF7C00 _SEMDS_: naa
[2020:09:23-00:04:20]  (Global) -> williowpnk: royal mire discord
[2020:09:23-00:04:20]  (Local) -> (LOCAL)[2][S.A.S][CABO]JuanP: ME LLEVAS A DONDE LOS CAMIONEROS
[2020:09:23-00:04:22]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF7C00 _SEMDS_: ud estaba ahi
[2020:09:23-00:04:23]  (Local) -> (LOCAL)[3]&_walter: TODO BIEN
[2020:09:23-00:04:23]  (Local) -> (LOCAL)[1](Cts)Lil.Dream: subite ps
[2020:09:23-00:04:24]  (Global) -> SingleChamber: Kevin donde esta pa q me de un vuelto en esa burra
[2020:09:23-00:04:25]  (Local) -> (LOCAL)[2]GT|~Beltran: eso en carros de sgunda
[2020:09:23-00:04:25]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: a kienes
[2020:09:23-00:04:27]  (Global) -> [C.D.S]LuigiBendetta: us cabe como sacarlol?
[2020:09:23-00:04:27]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF7C00 Megu: XD
[2020:09:23-00:04:27]  (Local) -> (LOCAL)[3]&_walter: GRACIAS
[2020:09:23-00:04:28]  (Local) -> (LOCAL)[2]YEICI: xdd
[2020:09:23-00:04:28]  (Local) -> (LOCAL)[3][GT]Pinino_Z: kevin
[2020:09:23-00:04:29]  (Global) -> williowpnk: royal q mire discord
[2020:09:23-00:04:30]  (Local) -> (LOCAL)[2]YEICI: q es esso
[2020:09:23-00:04:31]  (Local) -> (LOCAL)[2]GT|~Beltran: haber, soltame
[2020:09:23-00:04:31]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF7C00 _SEMDS_: cuando estaban terapeando tusi y todos esos sapos
[2020:09:23-00:04:32]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: q
[2020:09:23-00:04:34]  (Global) -> Haski_Scott:  
[2020:09:23-00:04:35]  (Local) -> (LOCAL)[3][GT]Pinino_Z: no veo elbarco
[2020:09:23-00:04:35]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF7C00 _SEMDS_: y ese mismo dia le dije
[2020:09:23-00:04:37]  (Local) -> (LOCAL)[3][GT]Pinino_Z: JAJAJA
[2020:09:23-00:04:37]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: XDD
[2020:09:23-00:04:38]  (Local) -> (LOCAL)[1]ZetasValeria: oleee
[2020:09:23-00:04:38]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF7C00 _SEMDS_: y ud no me dijo na
[2020:09:23-00:04:39]  (Local) -> (LOCAL)[1]Jabon: a
[2020:09:23-00:04:39]  (Local) -> (LOCAL)[2]GT|~[Orgalor]: SUBDITO ME ROBO UN MILLON
[2020:09:23-00:04:40]  (Local) -> (LOCAL)[3]ratix86: añañay a culear juaz juaz
[2020:09:23-00:04:40]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: veame aka
[2020:09:23-00:04:42]  (Local) -> (LOCAL)[1]Jabon: ya
[2020:09:23-00:04:42]  (Local) -> (LOCAL)[3][GT]Pinino_Z: que hago
[2020:09:23-00:04:44]  (Global) -> (BGW)ItsAlexys: que le pasa?
[2020:09:23-00:04:45]  (Global) -> Royal: miro dc
[2020:09:23-00:04:45]  (Local) -> (LOCAL)[2]GT|~[Orgalor]: q loka hijueputa
[2020:09:23-00:04:47]  (Global) -> SingleChamber: Donde
[2020:09:23-00:04:48]  (Local) -> (LOCAL)[3][GT]Pinino_Z: ah ud si lo veo
[2020:09:23-00:04:49]  (Local) -> (LOCAL)[3]ratix86: active los mods
[2020:09:23-00:04:50]  (Local) -> (LOCAL)[3]&_walter: qienes eran
[2020:09:23-00:04:51]  (Global) -> #7F7F7F|CVR|#FF7C00 KevinOcampo: active mods
[2020:09:23-00:04:52]  (Local) -> (LOCAL)[2][GT]FranciscoBY: jajajaja
[2020:09:23-00:04:54]  (Local) -> (LOCAL)[2](BGW)camilop202: ñpñ
[2020:09:23-00:04:57]  (Local) -> (LOCAL)[3][GT]Pinino_Z: como se llama
[2020:09:23-00:05:01]  (Global) -> SingleChamber: los tengo activos
[2020:09:23-00:05:01]  (Global) -> #7F7F7F|CVR|#A9A9A9 KevinOcampo: tropic
[2020:09:23-00:05:02]  (Local) -> (LOCAL)[1]Jabon: aa
[2020:09:23-00:05:04]  (Local) -> (LOCAL)[1]YEICI: mero vagete en dt
[2020:09:23-00:05:05]  (Local) -> (LOCAL)[2][S.A.S][CABO]JuanP: GRACIAS
[2020:09:23-00:05:05]  (Local) -> (LOCAL)[3]&_walter: ahora que vengang
