This file was generated by Console at 2020:10:11-00:00:00



[2020:10:11-00:00:00]  (Global) -> |2cb|dilan: a
[2020:10:11-00:00:49]  (Local) -> (LOCAL)[2][GT]FranciscoBY: q
[2020:10:11-00:00:49]  (Local) -> (LOCAL)[7]2cb'ELpepe: on en el directo fabius{}
[2020:10:11-00:00:49]  (Local) -> (LOCAL)[1]SelfMade: no pasa nada
[2020:10:11-00:00:50]  (Global) -> 2cb'Horizon: a
[2020:10:11-00:00:51]  (Local) -> (LOCAL)[1]rocho: dale bro
[2020:10:11-00:00:51]  (Local) -> (LOCAL)[1]SelfMade: do
[2020:10:11-00:00:53]  (Local) -> (LOCAL)[1][GT]~CARDING: bajeselos
[2020:10:11-00:00:54]  (Local) -> (LOCAL)[3][GT]Jhojan: etsa racher cuanto valia nueva?
[2020:10:11-00:00:57]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: si austin
[2020:10:11-00:00:59]  (Global) -> Wili: oe
[2020:10:11-00:00:59]  (Local) -> (LOCAL)[3]2cb'pablitopai: aaaaaaaaaaaaaaaaaaaa
[2020:10:11-00:01:00]  (Global) -> rocho: pq asiXDDD
[2020:10:11-00:01:01]  (Local) -> (LOCAL)[1]SelfMade: hmm
[2020:10:11-00:01:01]  (Local) -> (LOCAL)[1][GT]CARRANCHO: andres me dijo que lo pusiera en ventana
[2020:10:11-00:01:02]  (Local) -> (LOCAL)[1]AndresCanson: pero
[2020:10:11-00:01:05]  (Local) -> (LOCAL)[7]MontesSicario: ay
[2020:10:11-00:01:07]  (Local) -> (LOCAL)[5][GT]FranciscoBY: ummm como 1 palos creo o menis
[2020:10:11-00:01:07]  (Local) -> (LOCAL)[1][GT]~CARDING: para que
[2020:10:11-00:01:09]  (Local) -> (LOCAL)[1]AndresCanson: escriba /resign
[2020:10:11-00:01:12]  (Local) -> (LOCAL)[4][GT]FranciscoBY: pero yo la compre en 3 xd
[2020:10:11-00:01:12]  (Global) -> |2cb|dilan: CLARO
[2020:10:11-00:01:13]  (Team - Unemployed) -> (TEAM)SelfMade: /
[2020:10:11-00:01:13]  (Local) -> (LOCAL)[4][GT]Jhojan: mm
[2020:10:11-00:01:17]  (Local) -> (LOCAL)[8]MontesSicario: el bicho
[2020:10:11-00:01:17]  (Local) -> (LOCAL)[4][GT]Jhojan: jsajjsajas
[2020:10:11-00:01:19]  (Local) -> (LOCAL)[8]MontesSicario: perdon
[2020:10:11-00:01:21]  (Local) -> (LOCAL)[8]MontesSicario: :(
[2020:10:11-00:01:22]  (Local) -> (LOCAL)[1][GT]CARRANCHO: no se para que me ayudara con ese problema
[2020:10:11-00:01:24]  (Local) -> (LOCAL)[3]2cb'LILPUSSY: hey
[2020:10:11-00:01:24]  (Local) -> (LOCAL)[3][GT]FranciscoBY: quiero un flash
[2020:10:11-00:01:24]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF0000Francine98: nah
[2020:10:11-00:01:24]  (Local) -> (LOCAL)[1]AndresCanson: por el chat global, la T
[2020:10:11-00:01:25]  (Local) -> (LOCAL)[9][ZETAS]CRIS: desterrado
[2020:10:11-00:01:25]  (Global) -> Diomedes777: suba
[2020:10:11-00:01:25]  (Local) -> (LOCAL)[1]SelfMade: hmm nada
[2020:10:11-00:01:25]  (Global) -> [S.A.S][P]DonAlberto: ¿Q'hubo, wili?
[2020:10:11-00:01:27]  (Local) -> (LOCAL)[3][GT]Jhojan: la vez pasada la estaban vendiendo en 1
[2020:10:11-00:01:27]  (Team - Unemployed) -> (TEAM)SelfMade: si ya se
[2020:10:11-00:01:28]  (Local) -> (LOCAL)[10]MontesSicario: COMO ASI
[2020:10:11-00:01:30]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#1F00FFCristoNosAbandono: ey
[2020:10:11-00:01:32]  (Local) -> (LOCAL)[2]2cb'ELpepe: hola bro
[2020:10:11-00:01:32]  (Global) -> KevinOcampo: #000000KevinOcampo
[2020:10:11-00:01:32]  (Local) -> (LOCAL)[1]SelfMade: fue un miss click el / aksjdkas
[2020:10:11-00:01:34]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#1F00FFCristoNosAbandono: no vayan a matar a santi
[2020:10:11-00:01:35]  (Local) -> (LOCAL)[1]AndresCanson: pailas mona
[2020:10:11-00:01:36]  (Local) -> (LOCAL)[2]2cb'ELpepe: te acordas de mi?
[2020:10:11-00:01:37]  (Local) -> (LOCAL)[2][GT]Jhojan: cual es el flas
[2020:10:11-00:01:37]  (Local) -> (LOCAL)[10][ZETAS]CRIS: ya no eres bicho fan
[2020:10:11-00:01:40]  (Team - Unemployed) -> (TEAM)SelfMade: hmm nada
[2020:10:11-00:01:41]  (Local) -> (LOCAL)[11]#7F7F7F|CVR|#1F00FFCristoNosAbandono: el viene a mostrarme algo
[2020:10:11-00:01:42]  (Local) -> (LOCAL)[1][GT]~CARDING: en cuanto va a vender la landcruiser
[2020:10:11-00:01:42]  (Local) -> (LOCAL)[1]2cb'GALLEGO: ushhh sapo hpta jsjsjsjs
[2020:10:11-00:01:42]  (Local) -> (LOCAL)[11]MontesSicario: NOOOOOOOO
[2020:10:11-00:01:43]  (Local) -> (LOCAL)[8][GT]FranciscoBY: si pailas es que casi nadie la vende
[2020:10:11-00:01:44]  (Local) -> (LOCAL)[2]2cb'#SINER: Ta mos mal
[2020:10:11-00:01:45]  (Local) -> (LOCAL)[8]CAPU|MascotaMuerta: ok
[2020:10:11-00:01:46]  (Global) -> |2cb|dilan: quebin
[2020:10:11-00:01:46]  (Local) -> (LOCAL)[1]AndresCanson: le tocó comprar skin XDD
[2020:10:11-00:01:46]  (Local) -> (LOCAL)[5][GT]FranciscoBY: es un ford
[2020:10:11-00:01:48]  (Local) -> (LOCAL)[8]MontesSicario: SOY BICHO FAN HASTA LA MUERTE
[2020:10:11-00:01:50]  (Local) -> (LOCAL)[2][GT]CARRANCHO: 700
[2020:10:11-00:01:51]  (Local) -> (LOCAL)[1]SelfMade: aaaa
[2020:10:11-00:01:51]  (Local) -> (LOCAL)[4][GT]Jhojan: yo tengo el surnise pero no lo vendo
[2020:10:11-00:01:51]  (Global) -> KevinOcampo: q
[2020:10:11-00:01:55]  (Local) -> (LOCAL)[1]AndresCanson: XDDD
[2020:10:11-00:01:55]  (Local) -> (LOCAL)[4][GT]Jhojan: xd
[2020:10:11-00:01:56]  (Local) -> (LOCAL)[8][ZETAS]CRIS: bno
[2020:10:11-00:01:56]  (Local) -> (LOCAL)[5]Don_Joker-5fps.: de esta si no se salva xD
[2020:10:11-00:01:56]  (Local) -> (LOCAL)[1]SelfMade: sin lukas
[2020:10:11-00:01:58]  (Local) -> (LOCAL)[1]2cb'ELpepe: Alias
[2020:10:11-00:01:58]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF0000Francine98: ey francico
[2020:10:11-00:02:01]  (Local) -> (LOCAL)[7][ZETAS]CRIS: te oerdono
[2020:10:11-00:02:01]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Francine98: xdddd
[2020:10:11-00:02:02]  (Local) -> (LOCAL)[2][GT]FranciscoBY: yo tambien lo tengo jajaja
[2020:10:11-00:02:03]  (Global) -> |2cb|dilan: a}
[2020:10:11-00:02:05]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Francine98: casi me salvo
[2020:10:11-00:02:07]  (Local) -> (LOCAL)[3][GT]Jhojan: jsjjsjs
[2020:10:11-00:02:09]  (Local) -> (LOCAL)[8]MontesSicario: >3
[2020:10:11-00:02:09]  (Local) -> (LOCAL)[1]AndresCanson: a camellar
[2020:10:11-00:02:10]  (Local) -> (LOCAL)[1]Don_Joker-5fps.: pero mo
[2020:10:11-00:02:12]  (Local) -> (LOCAL)[1]Don_Joker-5fps.: no*
[2020:10:11-00:02:14]  (Global) -> [GT]FranciscoBY: que pas
[2020:10:11-00:02:16]  (Local) -> (LOCAL)[1][GT]Jhojan: en cuanto lo vendes?
[2020:10:11-00:02:17]  (Global) -> [GT]CARRANCHO: vendo land cruiser mela
[2020:10:11-00:02:20]  (Local) -> (LOCAL)[3][GT]Jhojan: jaja
[2020:10:11-00:02:21]  (Local) -> (LOCAL)[8]CAPU|MascotaMuerta: llorleo
[2020:10:11-00:02:22]  (Local) -> (LOCAL)[1]SelfMade: no que pereza akasjdkas, no se ni trabajar
[2020:10:11-00:02:23]  (Local) -> (LOCAL)[8][ZETAS]CRIS: noo
[2020:10:11-00:02:24]  (Local) -> (LOCAL)[7]CAPU|MascotaMuerta: JAJAJA
[2020:10:11-00:02:25]  (Local) -> (LOCAL)[7][ZETAS]CRIS: xd
[2020:10:11-00:02:28]  (Local) -> (LOCAL)[6]MontesSicario: suelte al bicho
[2020:10:11-00:02:32]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#1F00FFCristoNosAbandono: me siento
[2020:10:11-00:02:34]  (Local) -> (LOCAL)[1]AndresCanson: JSADJASDJ
[2020:10:11-00:02:34]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#1F00FFCristoNosAbandono: y te ignoro
[2020:10:11-00:02:34]  (Local) -> (LOCAL)[3][GT]FranciscoBY: no la vendo jajaj
[2020:10:11-00:02:37]  (Global) -> Diomedes777: conteste
[2020:10:11-00:02:38]  (Local) -> (LOCAL)[1][GT]Jhojan: ajjajaja
[2020:10:11-00:02:39]  (Local) -> (LOCAL)[1]2cb'Python: aaaa
[2020:10:11-00:02:40]  (Local) -> (LOCAL)[1]2cb'EteSech: xd
[2020:10:11-00:02:42]  (Global) -> [GT]FranciscoBY: compro flash
[2020:10:11-00:02:43]  (Local) -> (LOCAL)[3]2cb[Dagarbimba: xd
[2020:10:11-00:02:43]  (Local) -> (LOCAL)[1]SelfMade: solo se que hayun trabajo de pescador o algo asi? no kasjdkasj ni donde quedara se
[2020:10:11-00:02:45]  (Local) -> (LOCAL)[0]2cb'Python: xd
[2020:10:11-00:02:45]  (Local) -> (LOCAL)[5]|2cb|dilan: dc?
[2020:10:11-00:02:47]  (Global) -> [GT]FranciscoBY: compro flash
[2020:10:11-00:02:48]  (Global) -> ProductiveDagger70: policia
[2020:10:11-00:02:49]  (Local) -> (LOCAL)[5]2cb'Horizon: no c
[2020:10:11-00:02:50]  (Local) -> (LOCAL)[2][GT]~CARDING: coloquela ahi
[2020:10:11-00:02:52]  (Local) -> (LOCAL)[1]|2cb|dilan: a
[2020:10:11-00:02:52]  (Local) -> (LOCAL)[1]AndresCanson: le enseño los trabajos o ya sabe?
[2020:10:11-00:02:54]  (Global) -> #7F7F7F|CVR|#1F00FFCristoNosAbandono: flas
[2020:10:11-00:02:55]  (Global) -> [GT]Jhojan: compro flash
[2020:10:11-00:02:57]  (Global) -> [GT]Jhojan: compro flash
[2020:10:11-00:02:58]  (Local) -> (LOCAL)[2][GT]~CARDING: en 800
[2020:10:11-00:02:58]  (Local) -> (LOCAL)[1]AndresCanson: ah
[2020:10:11-00:02:58]  (Global) -> [GT]Jhojan: compro flash
[2020:10:11-00:02:58]  (Local) -> (LOCAL)[1]SelfMade: aver
[2020:10:11-00:02:59]  (Local) -> (LOCAL)[2]Don_Joker-5fps.: buenas
[2020:10:11-00:03:00]  (Local) -> (LOCAL)[1][GT]FranciscoBY: no
[2020:10:11-00:03:00]  (Local) -> (LOCAL)[2]|2cb|dilan: bno
[2020:10:11-00:03:01]  (Local) -> (LOCAL)[2]2cb'FabiusxGaming: buenas
[2020:10:11-00:03:04]  (Local) -> (LOCAL)[1][GT]Jhojan: no yo no
[2020:10:11-00:03:05]  (Local) -> (LOCAL)[1][GT]FranciscoBY: spam xd
[2020:10:11-00:03:05]  (Local) -> (LOCAL)[1]AndresCanson: hay como 3 principalps
[2020:10:11-00:03:07]  (Local) -> (LOCAL)[1][GT]Jhojan: ahi le ayudo
[2020:10:11-00:03:08]  (Local) -> (LOCAL)[1]SelfMade: enseñeme a ganarme los pesitos
[2020:10:11-00:03:09]  (Global) -> KevinOcampo: Sem
[2020:10:11-00:03:09]  (Local) -> (LOCAL)[1]El_Pepe: srry
[2020:10:11-00:03:10]  (Local) -> (LOCAL)[1][GT]Jhojan: sisas
[2020:10:11-00:03:10]  (Local) -> (LOCAL)[1]AndresCanson: principales
[2020:10:11-00:03:12]  (Local) -> (LOCAL)[1]AndresCanson: sisad
[2020:10:11-00:03:13]  (Local) -> (LOCAL)[3]2cb'LILPUSSY: usted es merroooo golerooooooooooooo neaaaaaaaaaa
[2020:10:11-00:03:13]  (Global) -> KevinOcampo: mandame 20k
[2020:10:11-00:03:13]  (Local) -> (LOCAL)[3]2cb'#SINER: a
[2020:10:11-00:03:13]  (Global) -> #7F7F7F|CVR|#1F00FFCristoNosAbandono: señor
[2020:10:11-00:03:15]  (Local) -> (LOCAL)[0]El_Pepe: saca otro
[2020:10:11-00:03:15]  (Global) -> #7F7F7F|CVR|#1F00FFCristoNosAbandono: ya va
[2020:10:11-00:03:16]  (Local) -> (LOCAL)[1][GT]Jhojan: siempre me sacan
[2020:10:11-00:03:17]  (Local) -> (LOCAL)[3]2cb'#SINER: pq me sale 1 estrella
[2020:10:11-00:03:18]  (Local) -> (LOCAL)[2][GT]Jhojan: por spma
[2020:10:11-00:03:19]  (Local) -> (LOCAL)[1]Don_Joker-5fps.: >_<
[2020:10:11-00:03:22]  (Local) -> (LOCAL)[1][GT]Jhojan: spam
[2020:10:11-00:03:24]  (Local) -> (LOCAL)[1][GT]Jhojan: xddd
[2020:10:11-00:03:27]  (Global) -> 2cb'Python: ere ateo?
[2020:10:11-00:03:28]  (Local) -> (LOCAL)[3]AndresCanson: 1. piloto 2. camionero 3. pescador
[2020:10:11-00:03:28]  (Local) -> (LOCAL)[1]Don_Joker-5fps.: xD
[2020:10:11-00:03:30]  (Global) -> #7F7F7F|CVR|#1F00FFCristoNosAbandono: ocampo
[2020:10:11-00:03:33]  (Global) -> KevinOcampo: thx
[2020:10:11-00:03:34]  (Global) -> #7F7F7F|CVR|#1F00FFCristoNosAbandono: me enseñas algo
[2020:10:11-00:03:34]  (Local) -> (LOCAL)[1]AndresCanson: esos son los principales
[2020:10:11-00:03:35]  (Global) -> KevinOcampo: ke
[2020:10:11-00:03:36]  (Local) -> (LOCAL)[7]2cB'Santi:): hola rey
[2020:10:11-00:03:36]  (Global) -> KevinOcampo: que
[2020:10:11-00:03:37]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#1F00FFCristoNosAbandono: ey q motasa
[2020:10:11-00:03:39]  (Local) -> (LOCAL)[4]2cb'Camilashade: HO
[2020:10:11-00:03:44]  (Global) -> #7F7F7F|CVR|#1F00FFCristoNosAbandono: ya rte llego
[2020:10:11-00:03:47]  (Local) -> (LOCAL)[1]SelfMade: cual es el mas breve y donde queda
[2020:10:11-00:03:49]  (Global) -> [GT]FranciscoBY: compro flash
[2020:10:11-00:03:49]  (Local) -> (LOCAL)[1]AndresCanson: cual le interesa mas?
[2020:10:11-00:03:53]  (Local) -> (LOCAL)[8]2cB'Santi:): orgulloso de m mismo
[2020:10:11-00:03:55]  (Local) -> (LOCAL)[1][GT]Jhojan: vamos a arreglar
[2020:10:11-00:03:57]  (Local) -> (LOCAL)[1][GT]Jhojan: esta
[2020:10:11-00:03:58]  (Global) -> [GT]~CARDING: ENSERIO PABLITO PAI POR LA ESPALDA BAJO
[2020:10:11-00:03:58]  (Local) -> (LOCAL)[8]2cB'Santi:): por comprarla
[2020:10:11-00:04:01]  (Local) -> (LOCAL)[1]AndresCanson: el mas breve? es pescador
[2020:10:11-00:04:03]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#1F00FFCristoNosAbandono: parse
[2020:10:11-00:04:06]  (Local) -> (LOCAL)[1][GT]Jhojan: uy
[2020:10:11-00:04:07]  (Local) -> (LOCAL)[2]AndresCanson: literal no hay que hacer nada
[2020:10:11-00:04:08]  (Local) -> (LOCAL)[1][GT]Jhojan: el vip
[2020:10:11-00:04:11]  (Local) -> (LOCAL)[1]KevinOcampo: a
[2020:10:11-00:04:14]  (Local) -> (LOCAL)[2][GT]FranciscoBY: sisas
[2020:10:11-00:04:14]  (Global) -> [GT]~CARDING: SI ME VA A MATR QUE SEA DE FRENTE WUEBA
[2020:10:11-00:04:17]  (Local) -> (LOCAL)[2]SelfMade: mejor jaja
[2020:10:11-00:04:18]  (Local) -> (LOCAL)[2]AndresCanson: no pagan mucho.__.
[2020:10:11-00:04:18]  (Local) -> (LOCAL)[1][GT]FranciscoBY: diamante xd
[2020:10:11-00:04:18]  (Local) -> (LOCAL)[3]2cb'EteSech: grax
[2020:10:11-00:04:19]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#1F00FFCristoNosAbandono: me enseñas a ocultarme el admin
[2020:10:11-00:04:20]  (Local) -> (LOCAL)[2]SelfMade: aaa
[2020:10:11-00:04:22]  (Local) -> (LOCAL)[1]KevinOcampo: noo
[2020:10:11-00:04:22]  (Local) -> (LOCAL)[5]MontesSicario: yogan amigo mio
[2020:10:11-00:04:22]  (Local) -> (LOCAL)[5]2cB'Santi:): que
[2020:10:11-00:04:23]  (Local) -> (LOCAL)[1]AndresCanson: pero algo se gana
[2020:10:11-00:04:24]  (Local) -> (LOCAL)[5]MontesSicario: xd
[2020:10:11-00:04:24]  (Global) -> Wili: oe locaa
[2020:10:11-00:04:24]  (Local) -> (LOCAL)[1]SelfMade: no
[2020:10:11-00:04:24]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#1F00FFCristoNosAbandono: pq
[2020:10:11-00:04:24]  (Local) -> (LOCAL)[1]2cb'GALLEGO: A
[2020:10:11-00:04:26]  (Global) -> GT|OLAVE: sisa
[2020:10:11-00:04:27]  (Local) -> (LOCAL)[5]2cB'Santi:): sapo setenta hp
[2020:10:11-00:04:28]  (Local) -> (LOCAL)[1]KevinOcampo: no puedo mk xd
[2020:10:11-00:04:28]  (Local) -> (LOCAL)[5]MontesSicario: no te veia hace tiempo
[2020:10:11-00:04:31]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#1F00FFCristoNosAbandono: pq
[2020:10:11-00:04:31]  (Local) -> (LOCAL)[1][GT]Jhojan: dd
[2020:10:11-00:04:31]  (Local) -> (LOCAL)[1]AndresCanson: esta camionero
[2020:10:11-00:04:31]  (Global) -> |2cb|Jabon: oe olave
[2020:10:11-00:04:33]  (Local) -> (LOCAL)[1]2cb'GALLEGO: MUY ATRAESADP
[2020:10:11-00:04:33]  (Local) -> (LOCAL)[1]KevinOcampo: es un comando pa mi
[2020:10:11-00:04:35]  (Local) -> (LOCAL)[1]SelfMade: hmm nose camionera es el que mas paga?
[2020:10:11-00:04:35]  (Local) -> (LOCAL)[1]AndresCanson: ese es todo loco
[2020:10:11-00:04:37]  (Local) -> (LOCAL)[4]2cb'LILPUSSY: francine mi amorrr
[2020:10:11-00:04:38]  (Local) -> (LOCAL)[9]MontesSicario: a
[2020:10:11-00:04:38]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#1F00FFCristoNosAbandono: q comando es
[2020:10:11-00:04:40]  (Local) -> (LOCAL)[11]MontesSicario: :(
[2020:10:11-00:04:40]  (Global) -> GT|OLAVE: q
[2020:10:11-00:04:41]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#1F00FFCristoNosAbandono: malditasea
[2020:10:11-00:04:41]  (Local) -> (LOCAL)[1][GT]Jhojan: a humillar
[2020:10:11-00:04:42]  (Global) -> 2cb'EteSech: Suelta,e
[2020:10:11-00:04:42]  (Local) -> (LOCAL)[11]CAPU|MascotaMuerta: aaa el es el pepe
[2020:10:11-00:04:43]  (Local) -> (LOCAL)[2][GT]Jhojan: jajaja
[2020:10:11-00:04:44]  (Local) -> (LOCAL)[2][GT]Jhojan: xddd
[2020:10:11-00:04:45]  (Local) -> (LOCAL)[1]AndresCanson: sisa, entre comillas
[2020:10:11-00:04:47]  (Global) -> [GT]CARRANCHO: carding
[2020:10:11-00:04:48]  (Local) -> (LOCAL)[1]KevinOcampo: /esconderadmin
[2020:10:11-00:04:48]  (Global) -> |2cb|Jabon: si vamos a hacer eso o q
[2020:10:11-00:04:50]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000Francine98: qn es francine
[2020:10:11-00:04:50]  (Local) -> (LOCAL)[7]MontesSicario: OLE QUIEN GRITO ASI
[2020:10:11-00:04:51]  (Local) -> (LOCAL)[7]MontesSicario: QUE GONORREA
[2020:10:11-00:04:51]  (Global) -> GT|OLAVE: si
[2020:10:11-00:04:52]  (Global) -> [GT]FranciscoBY: compro flash
[2020:10:11-00:04:54]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#1F00FFCristoNosAbandono: q va
[2020:10:11-00:04:57]  (Local) -> (LOCAL)[1]SelfMade: yy que hay que hay hacer o que
[2020:10:11-00:04:57]  (Local) -> (LOCAL)[1]AndresCanson: porque si se demora mucho o golpea mucho la carga
[2020:10:11-00:04:59]  (Local) -> (LOCAL)[1]AndresCanson: f
[2020:10:11-00:05:01]  (Local) -> (LOCAL)[5]MontesSicario: nose
[2020:10:11-00:05:01]  (Global) -> [GT]CARRANCHO: vendo land cruiser mela
[2020:10:11-00:05:03]  (Local) -> (LOCAL)[6]CAPU|MascotaMuerta: Ey
[2020:10:11-00:05:04]  (Local) -> (LOCAL)[6]MontesSicario: a bueno nos vemos
[2020:10:11-00:05:04]  (Local) -> (LOCAL)[3]WICHOO: LINCHEN AL TOMBOOOO
[2020:10:11-00:05:05]  (Local) -> (LOCAL)[2][GT]~CARDING: ASI
[2020:10:11-00:05:05]  (Local) -> (LOCAL)[4]AndresCanson: pues llevar una carga de un lugar a otro
[2020:10:11-00:05:06]  (Local) -> (LOCAL)[5]MontesSicario: que le vaya bien
[2020:10:11-00:05:08]  (Global) -> 2cb'EteSech: alejo me quiere lleavr preso
[2020:10:11-00:05:08]  (Local) -> (LOCAL)[5]MontesSicario: parce
[2020:10:11-00:05:08]  (Global) -> [GT]Jhojan: compro flash
[2020:10:11-00:05:09]  (Global) -> GT|OLAVE: dondeta
[2020:10:11-00:05:09]  (Local) -> (LOCAL)[6]CAPU|MascotaMuerta: no parce comoq eu 2cb
[2020:10:11-00:05:10]  (Local) -> (LOCAL)[3]ChockysYT: lincheñlo
[2020:10:11-00:05:12]  (Global) -> |2cb|Jabon: comi
[2020:10:11-00:05:13]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#1F00FFCristoNosAbandono: pq no me enseñas
[2020:10:11-00:05:17]  (Local) -> (LOCAL)[1]AndresCanson: porque si se demora mucho o golpea mucho la carga
[2020:10:11-00:05:20]  (Local) -> (LOCAL)[3]2cb'#SINER: ajsda
[2020:10:11-00:05:22]  (Global) -> [GT]Jhojan: compro flash
[2020:10:11-00:05:23]  (Global) -> [GT]Jhojan: compro flash
[2020:10:11-00:05:24]  (Team - Law Enforcement) -> (TEAM)2cb'AlejoCS: callese hueputa
[2020:10:11-00:05:24]  (Local) -> (LOCAL)[1]AndresCanson: no le pagan casi nada
[2020:10:11-00:05:26]  (Global) -> [GT]FranciscoBY: COMPRO FLASH EN 30 PALOS YA
[2020:10:11-00:05:28]  (Global) -> [GT]CARRANCHO: vendo land cruiser mela
[2020:10:11-00:05:29]  (Global) -> [GT]FranciscoBY: OK NO
[2020:10:11-00:05:30]  (Local) -> (LOCAL)[1]2cb'#SINER: ah
[2020:10:11-00:05:32]  (Local) -> (LOCAL)[4]2cb'#SINER: no sabia eso
[2020:10:11-00:05:36]  (Local) -> (LOCAL)[4]|2cb|dilan: nooooo
[2020:10:11-00:05:39]  (Team - Law Enforcement) -> (TEAM)2cb'AlejoCS: soy el hermano de alejo
[2020:10:11-00:05:39]  (Local) -> (LOCAL)[4]|2cb|dilan: es gang
[2020:10:11-00:05:40]  (Global) -> [GT]CARRANCHO: carding
[2020:10:11-00:05:41]  (Local) -> (LOCAL)[3]|2cb|dilan: yandrix
[2020:10:11-00:05:41]  (Local) -> (LOCAL)[1]SelfMade: aaa bueno lelvame donde es
[2020:10:11-00:05:44]  (Local) -> (LOCAL)[3]|2cb|dilan: el tag sapo
[2020:10:11-00:05:44]  (Local) -> (LOCAL)[2]2cb'EteSech: sueltame
[2020:10:11-00:05:46]  (Global) -> ProductiveDagger70: tenasesito poli
[2020:10:11-00:05:47]  (Local) -> (LOCAL)[3]2cb'ELpepe: a hpta y el 2cb+
[2020:10:11-00:05:47]  (Local) -> (LOCAL)[1][GT]Jhojan: uhs
[2020:10:11-00:05:48]  (Global) -> [GT]~CARDING: DIME CARRANCHO
[2020:10:11-00:05:49]  (Local) -> (LOCAL)[1][GT]Jhojan: 30 PALOS
[2020:10:11-00:05:51]  (Team - Law Enforcement) -> (TEAM)2cb'AlejoCS: y odio los 2cb
[2020:10:11-00:05:51]  (Local) -> (LOCAL)[1]AndresCanson: y si la entega bien como 50k a 60k xd
[2020:10:11-00:05:52]  (Local) -> (LOCAL)[4]MontesSicario: CHIMBO pene
[2020:10:11-00:05:54]  (Global) -> [GT]CARRANCHO: donde anda
[2020:10:11-00:05:56]  (Local) -> (LOCAL)[3][GT]Jhojan: ntonces es muy mela
