This file was generated by Console at 2021:02:04-00:00:00



[2021:02:04-00:00:00]  (Local) -> (LOCAL)[1]manuuwu: q
[2021:02:04-00:00:53]  (Local) -> (LOCAL)[1]CrhnoCrusade: y iba con 2 tipos
[2021:02:04-00:00:59]  (Local) -> (LOCAL)[7]Mr.Nicotine'2cb: lo sigo maricon
[2021:02:04-00:00:59]  (Local) -> (LOCAL)[1]manuuwu: xd
[2021:02:04-00:01:01]  (Global) -> #7F7F7F|DJ|#FF0000PasteloHpta: Ya vamos con este tema de malumin
[2021:02:04-00:01:01]  (Global) -> W4LTER!~>LO-ZANO: yo al darme cuenta que no eran 2cb .-.
[2021:02:04-00:01:04]  (Local) -> (LOCAL)[6]Cristian--GT: ya viene
[2021:02:04-00:01:06]  (Global) -> #7F7F7F|DJ|#FF0000PasteloHpta: Que se titula medallo city
[2021:02:04-00:01:09]  (Local) -> (LOCAL)[1]MR.MCLOVIN(CAPU): hey
[2021:02:04-00:01:09]  (Global) -> #7F7F7F|DJ|#FF0000PasteloHpta: pa que se lo soyen
[2021:02:04-00:01:10]  (Local) -> (LOCAL)[7]RayoMcqueen: ay
[2021:02:04-00:01:12]  (Local) -> (LOCAL)[6]Luna_gil: ok
[2021:02:04-00:01:12]  (Local) -> (LOCAL)[1]|don|jimenez|AK|: patron hoy b a rolar
[2021:02:04-00:01:15]  (Global) -> Alexiss: ay 
[2021:02:04-00:01:16]  (Local) -> (LOCAL)[1]El_cicatriz[ALQ]: xD
[2021:02:04-00:01:17]  (Local) -> (LOCAL)[1]jeferuwu'2cb: ole subase
[2021:02:04-00:01:18]  (Global) -> AddictedSoda83: ?
[2021:02:04-00:01:19]  (Local) -> (LOCAL)[1]CrhnoCrusade: espera miro el mapa
[2021:02:04-00:01:21]  (Local) -> (LOCAL)[9]RayoMcqueen: que lag tengo
[2021:02:04-00:01:23]  (Local) -> (LOCAL)[1]Itachi: no me deja subirme DX
[2021:02:04-00:01:25]  (Phone:SMS) -> From C4M1L0PR0C4P | To: Itachi | Message: IFJAIPNJFMAS
[2021:02:04-00:01:30]  (Phone:SMS) -> From C4M1L0PR0C4P | To: Itachi | Message: EYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYY
[2021:02:04-00:01:32]  (Global) -> Alexiss: que pasa gonorrea
[2021:02:04-00:01:33]  (Local) -> (LOCAL)[7]RayoMcqueen: jaajja yina
[2021:02:04-00:01:34]  (Local) -> (LOCAL)[1]manuuwu: me engañaste
[2021:02:04-00:01:34]  (Global) -> Onomatopeya: Aparte de pegar el link de la emisora, hay que hacer algo mas?
[2021:02:04-00:01:38]  (Phone:SMS) -> From C4M1L0PR0C4P | To: Itachi | Message: MALDOITOOOOOOOOOOOOOOOOOOOOOOOOOO
[2021:02:04-00:01:40]  (Global) -> DoctorUribe|CAPU: ARO MI TEMA
[2021:02:04-00:01:40]  (Local) -> (LOCAL)[8]Yina_Calderon: q mas
[2021:02:04-00:01:41]  (Local) -> (LOCAL)[1]CrhnoCrusade: si hay una
[2021:02:04-00:01:42]  (Local) -> (LOCAL)[9]RayoMcqueen: mamasita
[2021:02:04-00:01:43]  (Local) -> (LOCAL)[2]Mr.Nicotine'2cb: que hacen gays??
[2021:02:04-00:01:45]  (Global) -> #7F7F7F|DJ|#FF5C00DoctorUribe|CAPU: a
[2021:02:04-00:01:49]  (Local) -> (LOCAL)[10]Yina_Calderon: gracias rey
[2021:02:04-00:01:50]  (Global) -> #7F7F7F|ADM|#FF5C00Jimenez: Onomatopeya estas haciendo algo mal
[2021:02:04-00:01:50]  (Local) -> (LOCAL)[2]|don|jimenez|AK|: patron escriba q no le escuche
[2021:02:04-00:01:52]  (Local) -> (LOCAL)[10]Cristian--GT: es ese sergio
[2021:02:04-00:01:57]  (Local) -> (LOCAL)[1]Rossi: AMORRRRRRRRRRRRRRRRRRRR
[2021:02:04-00:01:57]  (Global) -> edv9: melo ese tema que se lanzaron
[2021:02:04-00:01:57]  (Local) -> (LOCAL)[7]Pablo|EVG|: oee
[2021:02:04-00:01:58]  (Global) -> Onomatopeya: yo si creo
[2021:02:04-00:01:59]  (Global) -> AddictedSoda83: QUE PASO OME 
[2021:02:04-00:02:00]  (Local) -> (LOCAL)[7]elpato(RCA): fm
[2021:02:04-00:02:00]  (Local) -> (LOCAL)[11]Luna_gil: hola
[2021:02:04-00:02:00]  (Local) -> (LOCAL)[1]Weed'2cb: cuanto quiereeeeeeeeee
[2021:02:04-00:02:01]  (Local) -> (LOCAL)[1]Rossi: :(
[2021:02:04-00:02:01]  (Local) -> (LOCAL)[1]Itachi: abralo
[2021:02:04-00:02:03]  (Local) -> (LOCAL)[1]GustavoPetro(RCA): amor
[2021:02:04-00:02:05]  (Local) -> (LOCAL)[10]Yina_Calderon: bueni buenio respetame
[2021:02:04-00:02:10]  (Local) -> (LOCAL)[11]RayoMcqueen: jajajaja
[2021:02:04-00:02:10]  (Global) -> Andyf301: arto
[2021:02:04-00:02:11]  (Local) -> (LOCAL)[1]Rossi: TENGO MIEDO :(
[2021:02:04-00:02:11]  (Global) -> #7F7F7F|ADM|#FF5C00Jimenez: Pastelo colocame booker t
[2021:02:04-00:02:12]  (Local) -> (LOCAL)[1]|don|jimenez|AK|: si
[2021:02:04-00:02:12]  (Global) -> #7F7F7F|ADM|#FF5C00Jimenez: pues
[2021:02:04-00:02:12]  (Team - Unemployed) -> (TEAM)serginho|-GT: que se bajen
[2021:02:04-00:02:12]  (Local) -> (LOCAL)[1]GustavoPetro(RCA): como esta eso afuera?
[2021:02:04-00:02:13]  (Local) -> (LOCAL)[1]manuuwu: no estasfffffggfgggfffwaaaaa
[2021:02:04-00:02:14]  (Global) -> Alexiss: gallinero hpta
[2021:02:04-00:02:15]  (Local) -> (LOCAL)[10]serginho|-GT: que se bajen xd
[2021:02:04-00:02:16]  (Local) -> (LOCAL)[1]GustavoPetro(RCA): porque??
[2021:02:04-00:02:17]  (Local) -> (LOCAL)[10]Cristian--GT: bajen y hablen
[2021:02:04-00:02:17]  (Local) -> (LOCAL)[1]Weed'2cb: 100
[2021:02:04-00:02:20]  (Global) -> Andyf301: demeklos
[2021:02:04-00:02:21]  (Local) -> (LOCAL)[1]CrhnoCrusade: pero yo lo vi en unvideo
[2021:02:04-00:02:21]  (Team - Unemployed) -> (TEAM)manuuwu: siusi
[2021:02:04-00:02:23]  (Local) -> (LOCAL)[1]Rossi: QUE TE HAYA PASADO ALGO MALO
[2021:02:04-00:02:24]  (Local) -> (LOCAL)[1]Weed'2cb: o pidame
[2021:02:04-00:02:25]  (Local) -> (LOCAL)[1]|don|jimenez|AK|: ah
[2021:02:04-00:02:29]  (Global) -> Andyf301: 100k
[2021:02:04-00:02:29]  (Local) -> (LOCAL)[1]Weed'2cb: bueno pero esper
[2021:02:04-00:02:29]  (Local) -> (LOCAL)[2]Rossi: ESTA TERRIBLE BB
[2021:02:04-00:02:31]  (Local) -> (LOCAL)[1]Itachi: aranca para comprar los carros
[2021:02:04-00:02:31]  (Local) -> (LOCAL)[8]Luna_gil: tres palos rey
[2021:02:04-00:02:32]  (Local) -> (LOCAL)[1]|don|jimenez|AK|: le ayudo
[2021:02:04-00:02:34]  (Local) -> (LOCAL)[1]javierRD|AK|: y tussy
[2021:02:04-00:02:35]  (Team - Services) -> (TEAM)edv9: oe dj, lanzate despues amigos de myke woodz ahi de buena
[2021:02:04-00:02:35]  (Local) -> (LOCAL)[1]El_cicatriz[ALQ]: montate
[2021:02:04-00:02:36]  (Local) -> (LOCAL)[1]manuuwu: donde vas
[2021:02:04-00:02:36]  (Local) -> (LOCAL)[1][ALQ]HorseMan: un momento
[2021:02:04-00:02:37]  (Local) -> (LOCAL)[1]CrhnoCrusade: ufff
[2021:02:04-00:02:37]  (Local) -> (LOCAL)[1]Weed'2cb: no me lleve calmado
[2021:02:04-00:02:42]  (Local) -> (LOCAL)[7]Pablo|EVG|: oe tego
[2021:02:04-00:02:44]  (Global) -> Andyf301: por si las moscas
[2021:02:04-00:02:45]  (Global) -> Kegorrrr|CDP|: &/
[2021:02:04-00:02:46]  (Local) -> (LOCAL)[3]GustavoPetro(RCA): no amor tranqui , solo que no puedo dar bala con 9 palos encima
[2021:02:04-00:02:46]  (Local) -> (LOCAL)[1]El_cicatriz[ALQ]: :u
[2021:02:04-00:02:47]  (Local) -> (LOCAL)[6]Juanda[AK]: kliuopues
[2021:02:04-00:02:47]  (Local) -> (LOCAL)[3]Rossi: Ponte modo pasion y salgamos
[2021:02:04-00:02:47]  (Local) -> (LOCAL)[1]piltrafa|2Aucb|: yo que voy saber
[2021:02:04-00:02:48]  (Global) -> #7F7F7F|ADM||LG|#FF5C00RicardoAFK: Uy si coloque booker t
[2021:02:04-00:02:50]  (Global) -> edv9: a
[2021:02:04-00:02:50]  (Global) -> Onomatopeya: yo pego el link y no se crea la emisora
[2021:02:04-00:02:53]  (Global) -> W4LTER!~>LO-ZANO: ????
[2021:02:04-00:02:54]  (Local) -> (LOCAL)[1]Itachi: deni DX
[2021:02:04-00:02:56]  (Global) -> #7F7F7F|DJ|#FF0000PasteloHpta: bueno
[2021:02:04-00:02:56]  (Local) -> (LOCAL)[1]El_cicatriz[ALQ]: casi no tiene gasofa pa
[2021:02:04-00:02:56]  (Local) -> (LOCAL)[1]javierRD|AK|: ok
[2021:02:04-00:02:58]  (Global) -> Onomatopeya: le doy crear bafle y reproducir y nada
[2021:02:04-00:02:58]  (Local) -> (LOCAL)[1]|don|jimenez|AK|: escriba cuando vaya en carro
[2021:02:04-00:02:59]  (Local) -> (LOCAL)[6]andrye: que cuentan colegas
[2021:02:04-00:03:01]  (Local) -> (LOCAL)[8]#7F7F7F|DJ|#FF5C00DoctorUribe|CAPU: esa skin esta toda bug pastelo
[2021:02:04-00:03:03]  (Local) -> (LOCAL)[8]#7F7F7F|DJ|#FF5C00DoctorUribe|CAPU: jjja
[2021:02:04-00:03:05]  (Local) -> (LOCAL)[1]El_cicatriz[ALQ]: mejor en el mio uwu
[2021:02:04-00:03:05]  (Local) -> (LOCAL)[1]|don|jimenez|AK|: por q no se escucha
[2021:02:04-00:03:06]  (Global) -> Andyf301: i o que
[2021:02:04-00:03:07]  (Local) -> (LOCAL)[7]serginho|-GT: Luna
[2021:02:04-00:03:08]  (Global) -> #7F7F7F|ADM|#FF5C00Jimenez: Onomatopeya la emisora de cvr esta predeterminaa en /sound
[2021:02:04-00:03:09]  (Local) -> (LOCAL)[2]Weed'2cb: sisas
[2021:02:04-00:03:10]  (Local) -> (LOCAL)[8]serginho|-GT: 3?
[2021:02:04-00:03:10]  (Local) -> (LOCAL)[9]Mr.Nicotine'2cb: epa
[2021:02:04-00:03:11]  (Local) -> (LOCAL)[1]|don|jimenez|AK|: bueno
[2021:02:04-00:03:11]  (Global) -> #7F7F7F|ADM|#FF0000MoraHpta|GDT: aa
[2021:02:04-00:03:12]  (Local) -> (LOCAL)[8]serginho|-GT: de una
[2021:02:04-00:03:12]  (Local) -> (LOCAL)[3]Feid"_RCA): y el patron
[2021:02:04-00:03:12]  (Local) -> (LOCAL)[2]Rossi: y eso bb e
[2021:02:04-00:03:12]  (Local) -> (LOCAL)[9]cabuyo-chirri: ole
[2021:02:04-00:03:12]  (Global) -> JuanPablo->2cB: nah
[2021:02:04-00:03:12]  (Local) -> (LOCAL)[1]MR.MCLOVIN(CAPU): nop hay modzss???
[2021:02:04-00:03:13]  (Global) -> #7F7F7F|ADM|#FF0000MoraHpta|GDT: perdon
[2021:02:04-00:03:14]  (Local) -> (LOCAL)[8]serginho|-GT: muestre a ver
[2021:02:04-00:03:14]  (Local) -> (LOCAL)[3]~>Mauri"(RCA): nc
[2021:02:04-00:03:14]  (Local) -> (LOCAL)[2]Weed'2cb: ahi lo estoy buscando
[2021:02:04-00:03:15]  (Local) -> (LOCAL)[2]Skertchet2cb: oe
[2021:02:04-00:03:15]  (Global) -> JuanPablo->2cB: ok
[2021:02:04-00:03:16]  (Global) -> Andyf301: girelos
[2021:02:04-00:03:17]  (Local) -> (LOCAL)[9]#7F7F7F|DJ|#FF0000PasteloHpta: cómo la ve luego
[2021:02:04-00:03:17]  (Local) -> (LOCAL)[7]Luna_gil: hagale
[2021:02:04-00:03:20]  (Local) -> (LOCAL)[4]Skertchet2cb: quivo
[2021:02:04-00:03:22]  (Local) -> (LOCAL)[7]W4LTER!~>LO-ZANO: me vuelve a matar un 2cb
[2021:02:04-00:03:22]  (Global) -> [O]reo~|GT: M
[2021:02:04-00:03:22]  (Global) -> #7F7F7F|ADM|#FF5C00Jimenez: EPAAA
[2021:02:04-00:03:23]  (Local) -> (LOCAL)[3]~>Mauri"(RCA): no esta en el banco?
[2021:02:04-00:03:23]  (Local) -> (LOCAL)[4]Skertchet2cb: cuanto le pago?
[2021:02:04-00:03:23]  (Local) -> (LOCAL)[2]GustavoPetro(RCA): dime
[2021:02:04-00:03:24]  (Local) -> (LOCAL)[8]SYOK|Z|: LLANEROOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
[2021:02:04-00:03:24]  (Local) -> (LOCAL)[8]#7F7F7F|DJ|#FF5C00DoctorUribe|CAPU: como rayada
[2021:02:04-00:03:24]  (Local) -> (LOCAL)[8]W4LTER!~>LO-ZANO: y me los culeo
[2021:02:04-00:03:25]  (Local) -> (LOCAL)[7]serginho|-GT: saquela
[2021:02:04-00:03:25]  (Global) -> #7F7F7F|ADM|#FF5C00Jimenez: QUE TEMAZO
[2021:02:04-00:03:27]  (Global) -> #7F7F7F|ADM||LG|#FF5C00RicardoJorge|EVG|: Le dedico esta canción a más de un HP
[2021:02:04-00:03:28]  (Global) -> Dieg0pa1: alguien sabe donde se consigue un Supra
[2021:02:04-00:03:28]  (Global) -> Onomatopeya: si, sino que quiero escuchar la mega
[2021:02:04-00:03:29]  (Local) -> (LOCAL)[1]|don|jimenez|AK|: no le escuchooo
[2021:02:04-00:03:29]  (Local) -> (LOCAL)[3]Rossi: vayamos
[2021:02:04-00:03:30]  (Local) -> (LOCAL)[4]Skertchet2cb: cucanto?
[2021:02:04-00:03:30]  (Local) -> (LOCAL)[3]Feid"_RCA): sigame
[2021:02:04-00:03:32]  (Local) -> (LOCAL)[4]Weed'2cb: espere que le dare 100
[2021:02:04-00:03:32]  (Local) -> (LOCAL)[4]Skertchet2cb: le pao?
[2021:02:04-00:03:33]  (Local) -> (LOCAL)[3]GustavoPetro(RCA): si vamos
[2021:02:04-00:03:33]  (Local) -> (LOCAL)[1]|don|jimenez|AK|: mejor escriba
[2021:02:04-00:03:33]  (Local) -> (LOCAL)[2]GOMITA0810|Ak|: dame la plata y saca el carro
[2021:02:04-00:03:34]  (Local) -> (LOCAL)[1]El_cicatriz[ALQ]: voy aver cual de mis naves tiene mas gasofa
[2021:02:04-00:03:35]  (Local) -> (LOCAL)[7]#7F7F7F|DJ|#FF0000PasteloHpta: ahh sizs es de la luz
[2021:02:04-00:03:35]  (Global) -> #7F7F7F|ADM||LG|#FF5C00RicardoJorge|EVG|: Del sv
[2021:02:04-00:03:36]  (Local) -> (LOCAL)[4]Skertchet2cb: tengo arto billete
[2021:02:04-00:03:36]  (Local) -> (LOCAL)[1]Itachi: dale
[2021:02:04-00:03:39]  (Local) -> (LOCAL)[2]GOMITA0810|Ak|: oe
[2021:02:04-00:03:39]  (Local) -> (LOCAL)[8]#7F7F7F|DJ|#FF0000PasteloHpta: así se ve más parchada
[2021:02:04-00:03:40]  (Local) -> (LOCAL)[8]#7F7F7F|DJ|#FF5C00DoctorUribe|CAPU: aa
[2021:02:04-00:03:40]  (Local) -> (LOCAL)[1]Itachi: deni? DX
[2021:02:04-00:03:40]  (Team - Services) -> (TEAM)Alexiss: tsapo  lag que esta 
[2021:02:04-00:03:41]  (Local) -> (LOCAL)[3]Skertchet2cb: hagake
[2021:02:04-00:03:42]  (Team - Criminals) -> (TEAM)Skertchet2cb: espere
[2021:02:04-00:03:43]  (Global) -> W4LTER!~>LO-ZANO: se me acabo el vip kk
[2021:02:04-00:03:44]  (Local) -> (LOCAL)[8]#7F7F7F|DJ|#FF5C00DoctorUribe|CAPU: xdd
[2021:02:04-00:03:46]  (Local) -> (LOCAL)[4]SAPAhpta: oee
[2021:02:04-00:03:47]  (Local) -> (LOCAL)[8]jeferuwu'2cb: ole uribe
[2021:02:04-00:03:48]  (Local) -> (LOCAL)[8]SYOK|Z|: NOOO MERO PATO
[2021:02:04-00:03:48]  (Global) -> Jaguer_YT: aaaaaaaa
[2021:02:04-00:03:48]  (Local) -> (LOCAL)[8]jeferuwu'2cb: ola
[2021:02:04-00:03:49]  (Local) -> (LOCAL)[5]SAPAhpta: me agarro ehh
[2021:02:04-00:03:50]  (Global) -> Jaguer_YT: pvuta
[2021:02:04-00:03:51]  (Local) -> (LOCAL)[6]#7F7F7F|DJ|#FF5C00DoctorUribe|CAPU: ola jefer
[2021:02:04-00:03:52]  (Local) -> (LOCAL)[6]GustavoPetro(RCA): amor
[2021:02:04-00:03:53]  (Local) -> (LOCAL)[1]GOMITA0810|Ak|: dame la plata y saca el carro
[2021:02:04-00:03:53]  (Local) -> (LOCAL)[6]SAPAhpta: ud me dio
[2021:02:04-00:03:53]  (Global) -> Onomatopeya: EN ESTE GENERO YO FUI UN HADUKEEN
[2021:02:04-00:03:54]  (Global) -> #7F7F7F|ADM|#FF5C00Jimenez: Para escuchar la mega debe ser el link directo de la radio y creo que no la dan 
[2021:02:04-00:03:54]  (Local) -> (LOCAL)[7]jeferuwu'2cb: JAJAJ
[2021:02:04-00:03:56]  (Local) -> (LOCAL)[3]AlgaretePa: joa
[2021:02:04-00:03:56]  (Local) -> (LOCAL)[2]Punisher[2cb]: que raro ya lo habia tuneado
[2021:02:04-00:03:58]  (Local) -> (LOCAL)[1]|don|jimenez|AK|: patron por dimos la buelta del bobo
[2021:02:04-00:03:59]  (Global) -> #7F7F7F|ADM||LG|#FF5C00RicardoJorge|EVG|: MALDITO CONEJO Ahora lo miro de arriba y de lejos
[2021:02:04-00:03:59]  (Local) -> (LOCAL)[8]jeferuwu'2cb: no soy 2cb
[2021:02:04-00:03:59]  (Local) -> (LOCAL)[8]Pablo|EVG|: oeeeee
[2021:02:04-00:03:59]  (Local) -> (LOCAL)[5]GustavoPetro(RCA): la primera vez que me pongo pasivo
[2021:02:04-00:03:59]  (Global) -> #7F7F7F|ADM|#FF5C00Jimenez: Debes colocarla desde el celular
[2021:02:04-00:04:01]  (Local) -> (LOCAL)[7]jeferuwu'2cb: ._.
[2021:02:04-00:04:03]  (Local) -> (LOCAL)[5]Rossi: montese bb
[2021:02:04-00:04:03]  (Global) -> Flaco|2cb: Vendo Lambo
[2021:02:04-00:04:04]  (Local) -> (LOCAL)[7]#7F7F7F|DJ|#FF5C00DoctorUribe|CAPU: parchado en la nave de los cvr kids
[2021:02:04-00:04:04]  (Local) -> (LOCAL)[7]TegoCalderonSDVF|CAPU: oe
[2021:02:04-00:04:05]  (Local) -> (LOCAL)[1]Strange|2cb: q lag
[2021:02:04-00:04:07]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Reizer|2cB: sisas
[2021:02:04-00:04:08]  (Local) -> (LOCAL)[8]#7F7F7F|DJ|#FF5C00DoctorUribe|CAPU: no chimbear
[2021:02:04-00:04:11]  (Global) -> #7F7F7F|ADM|#FF5C00Jimenez: No contesto DM
[2021:02:04-00:04:14]  (Global) -> Alexiss: compro R15
[2021:02:04-00:04:14]  (Local) -> (LOCAL)[1]DENII|CAPU|: ya
[2021:02:04-00:04:15]  (Local) -> (LOCAL)[6]Pablo|EVG|: sacalo
[2021:02:04-00:04:16]  (Local) -> (LOCAL)[3]serginho|-GT: rico
[2021:02:04-00:04:18]  (Local) -> (LOCAL)[1]SAPAhpta: oe pa
[2021:02:04-00:04:18]  (Local) -> (LOCAL)[6]TegoCalderonSDVF|CAPU: pillelo
[2021:02:04-00:04:19]  (Local) -> (LOCAL)[8]jeferuwuz: querespvp
[2021:02:04-00:04:19]  (Global) -> #7F7F7F|ADM|#FF5C00Jimenez: sHH
[2021:02:04-00:04:19]  (Local) -> (LOCAL)[1][ALQ]HorseMan: listo
[2021:02:04-00:04:20]  (Local) -> (LOCAL)[1]SAPAhpta: suelteme
[2021:02:04-00:04:22]  (Local) -> (LOCAL)[8]#7F7F7F|DJ|#FF5C00DoctorUribe|CAPU: aroo
[2021:02:04-00:04:23]  (Local) -> (LOCAL)[1][ALQ]HorseMan: ya tienes rango
[2021:02:04-00:04:25]  (Local) -> (LOCAL)[6]Pablo|EVG|: lo voy a ensayar
[2021:02:04-00:04:25]  (Local) -> (LOCAL)[1]Trabis[EVG]: le toca totearla
[2021:02:04-00:04:25]  (Local) -> (LOCAL)[1]SAPAhpta: brahian
[2021:02:04-00:04:26]  (Local) -> (LOCAL)[8]#7F7F7F|DJ|#FF5C00DoctorUribe|CAPU: donde es
[2021:02:04-00:04:26]  (Global) -> #7F7F7F|ADM||LG|#FF5C00RicardoJorge|EVG|: Voy a ser el jefe me van a fichaaar
[2021:02:04-00:04:27]  (Local) -> (LOCAL)[1]SAPAhpta: pana
[2021:02:04-00:04:27]  (Global) -> #7F7F7F|ADM|#FF0000_!Megu: dame el ak
[2021:02:04-00:04:27]  (Global) -> Itachi: o
[2021:02:04-00:04:29]  (Local) -> (LOCAL)[1]|don|jimenez|AK|: aaaaaaaaaaaaaaaaaaaaaaa
[2021:02:04-00:04:30]  (Global) -> #7F7F7F|ADM|#FF0000_!Megu: dame el ak
[2021:02:04-00:04:33]  (Local) -> (LOCAL)[1]Trabis[EVG]: eo
[2021:02:04-00:04:33]  (Global) -> #7F7F7F|ADM|#FF5C00Jimenez: Estoy en mi peak
[2021:02:04-00:04:34]  (Global) -> Radial'2cb: ez
[2021:02:04-00:04:37]  (Local) -> (LOCAL)[1](RCA)aracho: que
[2021:02:04-00:04:37]  (Global) -> Onomatopeya: ESTOY EN MI PEACK
[2021:02:04-00:04:39]  (Local) -> (LOCAL)[1][ALQ]HorseMan: tienes un helicoptero?
[2021:02:04-00:04:40]  (Global) -> #7F7F7F|ADM|#FF5C00Jimenez: soy un reyy campeon booker t
[2021:02:04-00:04:40]  (Global) -> Juanda[AK]: epa
[2021:02:04-00:04:40]  (Local) -> (LOCAL)[1]El_cicatriz[ALQ]: montate
[2021:02:04-00:04:41]  (Team - Unemployed) -> (TEAM)Itachi: }
[2021:02:04-00:04:43]  (Team - Unemployed) -> (TEAM)Itachi: y
[2021:02:04-00:04:45]  (Local) -> (LOCAL)[8]#7F7F7F|DJ|#FF5C00DoctorUribe|CAPU: bueno hablalo
[2021:02:04-00:04:46]  (Team - Services) -> (TEAM)Trabis[EVG]: explote el camion
[2021:02:04-00:04:46]  (Global) -> MarckuslAkl: admin
[2021:02:04-00:04:46]  (Global) -> Itachi: DX
[2021:02:04-00:04:47]  (Local) -> (LOCAL)[3]Rossi: a un lugar mas seguro bb
[2021:02:04-00:04:47]  (Local) -> (LOCAL)[9]jeferuwuz: endonde hacemos pvp
[2021:02:04-00:04:49]  (Local) -> (LOCAL)[2]manuuwu: noo wsta
[2021:02:04-00:04:49]  (Local) -> (LOCAL)[1](RCA)aracho: pq?
[2021:02:04-00:04:49]  (Local) -> (LOCAL)[6]JuanPablo->2cB: quieto
[2021:02:04-00:04:50]  (Local) -> (LOCAL)[7]#7F7F7F|DJ|#FF5C00DoctorUribe|CAPU: aqui al frente?
[2021:02:04-00:04:50]  (Local) -> (LOCAL)[2]CrhnoCrusade: tampoco?
[2021:02:04-00:04:52]  (Local) -> (LOCAL)[6]JuanPablo->2cB: sapo treinta
[2021:02:04-00:04:54]  (Global) -> #7F7F7F|ADM||LG|#FF5C00RicardoJorge|EVG|: EL DISCO MÁS VENDIDO DE ESTE PUTO AÑO
[2021:02:04-00:04:54]  (Local) -> (LOCAL)[5]Mr.Nicotine'2cb: coloquese la puta skin
[2021:02:04-00:04:55]  (Local) -> (LOCAL)[1]Trabis[EVG]: noc
[2021:02:04-00:04:56]  (Local) -> (LOCAL)[2]CrhnoCrusade: espera me cambio de skin
[2021:02:04-00:04:57]  (Global) -> #7F7F7F|ADM||LG|#FF5C00RicardoJorge|EVG|: Dime MarckuslAkl
[2021:02:04-00:04:57]  (Team - Services) -> (TEAM)Trabis[EVG]: xd
[2021:02:04-00:04:58]  (Local) -> (LOCAL)[6]#7F7F7F|DJ|#FF5C00DoctorUribe|CAPU: espera
