This file was generated by Console at 2021:01:26-00:00:00



[2021:01:26-00:00:00]  (Local) -> (LOCAL)[1]SffOquez|6969.: x2
[2021:01:26-00:00:50]  (Global) -> JUAN-AA:  ( ͡❛ - ͡❛) Mi Cara Cuando...
[2021:01:26-00:00:51]  (Global) -> JUAN-AA:  ( ͡❛ - ͡❛) Mi Cara Cuando...
[2021:01:26-00:00:51]  (Local) -> (LOCAL)[2]|don|jimenez..|z|: quica me ba prestar una plkat de 4 palo de una cosa
[2021:01:26-00:00:51]  (Local) -> (LOCAL)[6]Anndrew-lGT: que chimba apenas conectarme asi
[2021:01:26-00:00:53]  (Local) -> (LOCAL)[1]++++Spiff.Alqaedas: melso
[2021:01:26-00:00:53]  (Local) -> (LOCAL)[6]Anndrew-lGT: melo
[2021:01:26-00:00:53]  (Global) -> SffOquez|6969.: XDDDD
[2021:01:26-00:00:53]  (Local) -> (LOCAL)[5]2cb'dilan: voy a ir a orinar
[2021:01:26-00:00:55]  (Global) -> (Z)(SANTIAGO): xd
[2021:01:26-00:00:56]  (Global) -> #7F7F7F|ADM||LG|#FFFF00|~CuriosoParedAgachada: #00FFFF (╥︣﹏᷅╥᷅)
[2021:01:26-00:00:56]  (Local) -> (LOCAL)[4][z]tinoasprilla: no sabe?
[2021:01:26-00:00:57]  (Local) -> (LOCAL)[3]DonChimbo|AUC: fptpo
[2021:01:26-00:00:58]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF5C00Haski_Scott: xd
[2021:01:26-00:00:59]  (Local) -> (LOCAL)[1]++++Spiff.Alqaedas: vamos a pelar gente
[2021:01:26-00:01:01]  (Global) -> (Z)(SANTIAGO): ponte asi
[2021:01:26-00:01:01]  (Local) -> (LOCAL)[2]|don|jimenez..|z|: si nea
[2021:01:26-00:01:03]  (Local) -> (LOCAL)[5]AUC|2cb: desconectese en zona pa
[2021:01:26-00:01:04]  (Local) -> (LOCAL)[1]francovillar|AK|: oe pa
[2021:01:26-00:01:04]  (Local) -> (LOCAL)[1][Perico~|GT]: como le bajo a esto uffffff
[2021:01:26-00:01:05]  (Local) -> (LOCAL)[1]Kevin: espere
[2021:01:26-00:01:06]  (Local) -> (LOCAL)[3]ZEUS|Z: don jimenez<
[2021:01:26-00:01:06]  (Global) -> (Z)(SANTIAGO): como yo
[2021:01:26-00:01:07]  (Local) -> (LOCAL)[6]Anndrew-lGT: jm
[2021:01:26-00:01:07]  (Local) -> (LOCAL)[1]SffOquez|6969.: cual es
[2021:01:26-00:01:11]  (Global) -> (Z)(SANTIAGO): pero mirando atras
[2021:01:26-00:01:11]  (Local) -> (LOCAL)[1]Kevin: ya le cargaron _
[2021:01:26-00:01:15]  (Local) -> (LOCAL)[2]|don|jimenez..|z|: q
[2021:01:26-00:01:15]  (Global) -> ArielPnot"sayayin: ADMII SIGO BUGUIADO
[2021:01:26-00:01:18]  (Local) -> (LOCAL)[1]Esteban|AK|: vamos pal motel
[2021:01:26-00:01:18]  (Local) -> (LOCAL)[2]La-Quica|SICARIO|2cb|: como no entendi?
[2021:01:26-00:01:18]  (Local) -> (LOCAL)[3]Weed'2cb: xdd
[2021:01:26-00:01:19]  (Global) -> (Z)(SANTIAGO): cansado
[2021:01:26-00:01:20]  (Global) -> #7F7F7F|ADM||LG|#FFFF00|~CuriosoParedAgachada: nahhhh
[2021:01:26-00:01:25]  (Local) -> (LOCAL)[5]DonChimbo|AUC: fake
[2021:01:26-00:01:27]  (Global) -> JuanOspina: admin bajese a la gasolina esta muy cara
[2021:01:26-00:01:27]  (Local) -> (LOCAL)[2]ZEUS|Z: al fin si necesita los 3
[2021:01:26-00:01:31]  (Global) -> Skippers|ZETAS|: ArielPnot"sayayin /kill
[2021:01:26-00:01:32]  (Local) -> (LOCAL)[3]JUAN-AA: FAKE-TAXI ala orden
[2021:01:26-00:01:35]  (Global) -> SamanthaOwO~2cb: ArielPnot"sayayin saca un hpta carroo y ya
[2021:01:26-00:01:37]  (Local) -> (LOCAL)[3]DonChimbo|AUC: lo penetra y le rompe el utero
[2021:01:26-00:01:37]  (Local) -> (LOCAL)[2]|don|jimenez..|z|: si me va a prestar una plata o 4 palos}
[2021:01:26-00:01:38]  (Global) -> (Z)(SANTIAGO): dele
[2021:01:26-00:01:43]  (Local) -> (LOCAL)[3]JUAN-AA: sisisiis
[2021:01:26-00:01:43]  (Global) -> (RCA)JUANJO: TYYUKIIIKY6TRHRTH NHHMJ,.KJK.J.,.K,.
[2021:01:26-00:01:45]  (Local) -> (LOCAL)[3]JUAN-AA: ey
[2021:01:26-00:01:48]  (Global) -> 2cb'dilan: cummmmmmmm
[2021:01:26-00:01:49]  (Local) -> (LOCAL)[5]JUAN-AA: si se sube paga
[2021:01:26-00:01:51]  (Global) -> Wolfuser[GT]: volvi
[2021:01:26-00:01:54]  (Local) -> (LOCAL)[5]Pinino|AK|: te estoy curando webon
[2021:01:26-00:01:54]  (Local) -> (LOCAL)[2]La-Quica|SICARIO|2cb|: que plata papi usted se olvida de los 600
[2021:01:26-00:01:54]  (Team - Criminals) -> (TEAM)DonChimbo|AUC: aiudajdadjadjlkad
[2021:01:26-00:01:55]  (Local) -> (LOCAL)[2]|don|jimenez..|z|: si nea o le vendo mi fortuner saklind
[2021:01:26-00:01:57]  (Local) -> (LOCAL)[2]Wolfuser[GT]: beuno hasta luego
[2021:01:26-00:01:59]  (Local) -> (LOCAL)[3](RCA)JUANJO: JM,JM,JHLHM,L
[2021:01:26-00:02:00]  (Global) -> (Z)(SANTIAGO): ya
[2021:01:26-00:02:00]  (Local) -> (LOCAL)[7]DonChimbo|AUC: cuanto kiere
[2021:01:26-00:02:00]  (Local) -> (LOCAL)[5]Pinino|AK|: veni
[2021:01:26-00:02:01]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF5C00Haski_Scott: me acuerdo
[2021:01:26-00:02:01]  (Global) -> (Z)(SANTIAGO): xd
[2021:01:26-00:02:02]  (Local) -> (LOCAL)[7]JUAN-AA: 10
[2021:01:26-00:02:03]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF5C00Haski_Scott: cuando eras nuevo
[2021:01:26-00:02:04]  (Local) -> (LOCAL)[2]|don|jimenez..|z|: ah jajaja perdon
[2021:01:26-00:02:06]  (Local) -> (LOCAL)[7]DonChimbo|AUC: este le meti{a
[2021:01:26-00:02:06]  (Local) -> (LOCAL)[7]eljamby1: jajaja
[2021:01:26-00:02:07]  (Local) -> (LOCAL)[2]ZEUS|Z: se la recibo en 3.5
[2021:01:26-00:02:08]  (Local) -> (LOCAL)[2]Wolfuser[GT]: si XD
[2021:01:26-00:02:09]  (Local) -> (LOCAL)[1]SffOquez|6969.: que rico amor
[2021:01:26-00:02:11]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF5C00Haski_Scott: asjsaja
[2021:01:26-00:02:11]  (Local) -> (LOCAL)[8]2cb'dilan: 0 zetas aqui
[2021:01:26-00:02:12]  (Global) -> JUAN-AA: ey respeteeen
[2021:01:26-00:02:12]  (Local) -> (LOCAL)[2]|don|jimenez..|z|: jajaj
[2021:01:26-00:02:14]  (Local) -> (LOCAL)[2]Wolfuser[GT]: me compre el vip
[2021:01:26-00:02:15]  (Global) -> GOMITA0810: Skippers|ZETAS| haga tele a bigear
[2021:01:26-00:02:17]  (Local) -> (LOCAL)[2]La-Quica|SICARIO|2cb|: cuando usted me pague lo acordado yo le presto y mas de lo que le preste me entiende usted
[2021:01:26-00:02:17]  (Global) -> 2cb'dilan: q
[2021:01:26-00:02:17]  (Global) -> #7F7F7F|ADM||LG|#FF8C00Gocho|Ak|: #000000TODOS LOS AK47 QUE NO ESTEN EN GANG Y TENGAN TAG INFORMAR PARA RECLUTAR 
[2021:01:26-00:02:18]  (Local) -> (LOCAL)[1]Mohamed: yo soy ek servicio
[2021:01:26-00:02:20]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF5C00Haski_Scott: melo
[2021:01:26-00:02:20]  (Local) -> (LOCAL)[2]|don|jimenez..|z|: y un carro
[2021:01:26-00:02:23]  (Global) -> (Z)(SANTIAGO): que rica la tu ya
[2021:01:26-00:02:23]  (Local) -> (LOCAL)[2]La-Quica|SICARIO|2cb|: aria lo mismo si o no?
[2021:01:26-00:02:23]  (Local) -> (LOCAL)[2]Wolfuser[GT]: pero por la universidad lo perdi jajja
[2021:01:26-00:02:26]  (Local) -> (LOCAL)[1]GOMITA0810: oe
[2021:01:26-00:02:28]  (Local) -> (LOCAL)[4]Weed'2cb: :(
[2021:01:26-00:02:29]  (Local) -> (LOCAL)[3]alambres: eo
[2021:01:26-00:02:30]  (Local) -> (LOCAL)[1](Z)(SANTIAGO): jajaja
[2021:01:26-00:02:34]  (Local) -> (LOCAL)[1](Z)(SANTIAGO): estas buena
[2021:01:26-00:02:36]  (Local) -> (LOCAL)[2]Wolfuser[GT]: no me daba tiempo
[2021:01:26-00:02:36]  (Global) -> ArielPnot"sayayin: admi sigue buguiado
[2021:01:26-00:02:36]  (Local) -> (LOCAL)[2]ZEUS|Z: sisas usted tiene toda la razon
[2021:01:26-00:02:37]  (Local) -> (LOCAL)[1]SffOquez|6969.: XDDDDDDD
[2021:01:26-00:02:38]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF5C00Haski_Scott: f
[2021:01:26-00:02:39]  (Local) -> (LOCAL)[2]|don|jimenez..|z|: vamos al banco
[2021:01:26-00:02:40]  (Local) -> (LOCAL)[1]GOMITA0810: haga tele a bigear
[2021:01:26-00:02:40]  (Local) -> (LOCAL)[5]DonChimbo|AUC: le doy 200 pesoso
[2021:01:26-00:02:41]  (Local) -> (LOCAL)[3]alambres: que paso
[2021:01:26-00:02:42]  (Local) -> (LOCAL)[4]JefeRs|GT|: me va a comprar?
[2021:01:26-00:02:43]  (Local) -> (LOCAL)[1]SffOquez|6969.: gracias amorcito
[2021:01:26-00:02:44]  (Local) -> (LOCAL)[5]JUAN-AA: BUENO
[2021:01:26-00:02:47]  (Team - Criminals) -> (TEAM)DonChimbo|AUC: ok
[2021:01:26-00:02:49]  (Local) -> (LOCAL)[1]Kevin: huy
[2021:01:26-00:02:51]  (Local) -> (LOCAL)[4]alambres: precio
[2021:01:26-00:02:53]  (Local) -> (LOCAL)[2]|don|jimenez..|z|: para darle la plata}
[2021:01:26-00:02:53]  (Global) -> #7F7F7F|ADM||LG|#FFFF00|~CuriosoParedAgachada: saque un carro ArielPnot"sayayin
[2021:01:26-00:02:53]  (Local) -> (LOCAL)[2]Wolfuser[GT]: ya me falta poco pal lambo
[2021:01:26-00:02:54]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF5C00Haski_Scott: sajsa
[2021:01:26-00:02:54]  (Global) -> francovillar|AK|: G8 donde estar
[2021:01:26-00:03:01]  (Local) -> (LOCAL)[2]|don|jimenez..|z|: o nos esi tengo los 600 k
[2021:01:26-00:03:01]  (Global) -> DonChimbo|AUC: ya
[2021:01:26-00:03:04]  (Global) -> DonChimbo|AUC: a
[2021:01:26-00:03:04]  (Local) -> (LOCAL)[5]Pinino|AK|: a
[2021:01:26-00:03:07]  (Global) -> JefeRs|GT|: mari a 4 y lpsd a 6
[2021:01:26-00:03:07]  (Local) -> (LOCAL)[2]|don|jimenez..|z|: vamos y miro
[2021:01:26-00:03:11]  (Local) -> (LOCAL)[2]Wolfuser[GT]: buenos los dejo
[2021:01:26-00:03:11]  (Local) -> (LOCAL)[1]SffOquez|6969.: bno amorcito
[2021:01:26-00:03:12]  (Local) -> (LOCAL)[5]Woch|2cb: dejemelñ
[2021:01:26-00:03:13]  (Local) -> (LOCAL)[2]La-Quica|SICARIO|2cb|: no no papi ahora no todo bien yo no se la estoy pidiendo papi solo le digo usted relax papi
[2021:01:26-00:03:13]  (Global) -> ArielPnot"sayayin: admi no tengo carros ni motos
[2021:01:26-00:03:13]  (Local) -> (LOCAL)[2]2cb'dilan: 0 zetas aqui
[2021:01:26-00:03:13]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF5C00Haski_Scott: oe
[2021:01:26-00:03:14]  (Local) -> (LOCAL)[6]Woch|2cb: ome
[2021:01:26-00:03:14]  (Global) -> FABY-GT: DJ COLOCAMNE UNA SEÑALLLLLLLLLLLLLLLLLLLLLL
[2021:01:26-00:03:16]  (Local) -> (LOCAL)[1]SffOquez|6969.: me voy
[2021:01:26-00:03:16]  (Local) -> (LOCAL)[2]ZEUS|Z: nea colocate una gurarachita
[2021:01:26-00:03:16]  (Local) -> (LOCAL)[7]Woch|2cb: dejemelo
[2021:01:26-00:03:16]  (Local) -> (LOCAL)[3][z]tinoasprilla: por sapap´
[2021:01:26-00:03:16]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF5C00Haski_Scott: aqui está meliismo
[2021:01:26-00:03:16]  (Local) -> (LOCAL)[1][Perico~|GT]: oe
[2021:01:26-00:03:18]  (Global) -> FABY-GT: DJ COLOCAMNE UNA SEÑALLLLLLLLLLLLLLLLLLLLLL
[2021:01:26-00:03:19]  (Local) -> (LOCAL)[1]GOMITA0810: oe
[2021:01:26-00:03:19]  (Global) -> #7F7F7F|ADM||LG|#FFFF00|~CuriosoParedAgachada: ._.
[2021:01:26-00:03:19]  (Local) -> (LOCAL)[5]Woch|2cb: pa que lo mata
[2021:01:26-00:03:19]  (Local) -> (LOCAL)[1]SffOquez|6969.: muy rico bb
[2021:01:26-00:03:19]  (Local) -> (LOCAL)[5]SamanthaOwO~2cb: sorry
[2021:01:26-00:03:20]  (Local) -> (LOCAL)[1][Perico~|GT]: epre reiincio pc
[2021:01:26-00:03:20]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00CrudoMeansRaw|EVG: epaa
[2021:01:26-00:03:20]  (Global) -> FABY-GT: DJ COLOCAMNE UNA SEÑALLLLLLLLLLLLLLLLLLLLLL
[2021:01:26-00:03:20]  (Local) -> (LOCAL)[3]AUC|2cb: dilan
[2021:01:26-00:03:22]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF5C00Haski_Scott: necesitamos es la pipol
[2021:01:26-00:03:22]  (Local) -> (LOCAL)[3]2cb'dilan: d
[2021:01:26-00:03:22]  (Local) -> (LOCAL)[1]SffOquez|6969.: te amo
[2021:01:26-00:03:23]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF0000Catre|2cb: XDDDDD
[2021:01:26-00:03:24]  (Global) -> penecabezon[CAPU]: no pa matese
[2021:01:26-00:03:24]  (Local) -> (LOCAL)[4]2cb'dilan: q
[2021:01:26-00:03:24]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00Haski_Scott: mire aca
[2021:01:26-00:03:24]  (Local) -> (LOCAL)[4]AUC|2cb: salude al primo
[2021:01:26-00:03:24]  (Local) -> (LOCAL)[1]GOMITA0810: ok
[2021:01:26-00:03:25]  (Local) -> (LOCAL)[2]ZEUS|Z: o unos temas de cojo crazy
[2021:01:26-00:03:26]  (Local) -> (LOCAL)[1][Perico~|GT]: na esto monda
[2021:01:26-00:03:26]  (Local) -> (LOCAL)[4]AUC|2cb: ajjaja
[2021:01:26-00:03:27]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF0000Catre|2cb: ashdjasjdas
[2021:01:26-00:03:27]  (Local) -> (LOCAL)[1]GOMITA0810: si algo
[2021:01:26-00:03:28]  (Local) -> (LOCAL)[6]alambres: 2 de maria
[2021:01:26-00:03:28]  (Local) -> (LOCAL)[3]Cagaleto[EVG]: ya vienen unos amigos q van a venir al club tambien
[2021:01:26-00:03:30]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000Catre|2cb: XDDD
[2021:01:26-00:03:31]  (Local) -> (LOCAL)[6]Pinino|AK|: nea suelteme xd
[2021:01:26-00:03:36]  (Local) -> (LOCAL)[3]Andres~|GT: dale
[2021:01:26-00:03:37]  (Global) -> 2cb'dilan: XD
[2021:01:26-00:03:38]  (Local) -> (LOCAL)[8]Pinino|AK|: a
[2021:01:26-00:03:43]  (Local) -> (LOCAL)[5]alambres: jajaj ni modo
[2021:01:26-00:03:44]  (Global) -> Cristian--GT: algun admin me puede atender un report en el discord porfa
[2021:01:26-00:03:47]  (Local) -> (LOCAL)[5]Mohamed: a
[2021:01:26-00:03:50]  (Local) -> (LOCAL)[4]Pinino|AK|: ya le tome pantallazo
[2021:01:26-00:03:51]  (Local) -> (LOCAL)[4]Maykol": estoy subiendo de rank que pena con ud parcero
[2021:01:26-00:03:51]  (Local) -> (LOCAL)[2]|don|jimenez..|z|: jajaj como ve esa musica
[2021:01:26-00:03:51]  (Global) -> DonChimbo|AUC: xdx
[2021:01:26-00:03:51]  (Local) -> (LOCAL)[6]JUAN-AA: AMOR
[2021:01:26-00:03:53]  (Global) -> 2cb'dilan: EL LASERRR CATRE
[2021:01:26-00:03:53]  (Global) -> penecabezon[CAPU]: un tiro en la 100 eso lo desbuguea
[2021:01:26-00:03:53]  (Local) -> (LOCAL)[7]JUAN-AA: AMOR
[2021:01:26-00:03:55]  (Local) -> (LOCAL)[1]SffOquez|6969.: te quiero amor
[2021:01:26-00:03:56]  (Local) -> (LOCAL)[1]SffOquez|6969.: chao
[2021:01:26-00:03:57]  (Global) -> (Z)(SANTIAGO): del
[2021:01:26-00:03:57]  (Local) -> (LOCAL)[4]Mohamed: slteme y le,pago
[2021:01:26-00:03:58]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00Haski_Scott: melo aqui
[2021:01:26-00:04:00]  (Local) -> (LOCAL)[6]JUAN-AA: AMOR
[2021:01:26-00:04:00]  (Local) -> (LOCAL)[3]|don|jimenez..|z|: hijo de la gran puta
[2021:01:26-00:04:01]  (Local) -> (LOCAL)[5]SamanthaOwO~2cb: dime
[2021:01:26-00:04:02]  (Global) -> (Z)(SANTIAGO): chao
[2021:01:26-00:04:03]  (Local) -> (LOCAL)[4]Pinino|AK|: se va reportado
[2021:01:26-00:04:04]  (Local) -> (LOCAL)[3]|don|jimenez..|z|: jajajaja
[2021:01:26-00:04:05]  (Local) -> (LOCAL)[6]Asario!: ai
[2021:01:26-00:04:06]  (Local) -> (LOCAL)[3]2cb'dilan: EL LASERRR CATRE
[2021:01:26-00:04:06]  (Global) -> Flaco'K|2cb: Admin
[2021:01:26-00:04:08]  (Local) -> (LOCAL)[6]JUAN-AA: NO LO AGARRES ;(
[2021:01:26-00:04:08]  (Global) -> ArielPnot"sayayin: admi ta mal esto ahora apareci en el aeropuerto
[2021:01:26-00:04:09]  (Local) -> (LOCAL)[3]ZEUS|Z: ajjajaja
[2021:01:26-00:04:09]  (Local) -> (LOCAL)[3]Flaco'K|2cb: Carlosss
[2021:01:26-00:04:13]  (Global) -> #7F7F7F|ADM||LG|#FF8C00Gocho|Ak|: Flaco'K|2cb[2] dime
[2021:01:26-00:04:13]  (Local) -> (LOCAL)[3]Flaco'K|2cb: mira el wpp
[2021:01:26-00:04:14]  (Local) -> (LOCAL)[4]SamanthaOwO~2cb: perdon catre
[2021:01:26-00:04:17]  (Local) -> (LOCAL)[4]Mohamed: suelteme y le pago
[2021:01:26-00:04:17]  (Local) -> (LOCAL)[1]GOMITA0810: oe
[2021:01:26-00:04:17]  (Local) -> (LOCAL)[1]JefeRs|GT|: sigame
[2021:01:26-00:04:18]  (Local) -> (LOCAL)[6]E-caN_2cB: r
[2021:01:26-00:04:20]  (Local) -> (LOCAL)[1]GOMITA0810: baje
[2021:01:26-00:04:21]  (Local) -> (LOCAL)[3]Pinino|AK|: :c
[2021:01:26-00:04:24]  (Global) -> (RCA)SrYanpool: grax
[2021:01:26-00:04:25]  (Local) -> (LOCAL)[5]SamanthaOwO~2cb: 100k ya
[2021:01:26-00:04:25]  (Local) -> (LOCAL)[3][z]tinoasprilla: :/
[2021:01:26-00:04:27]  (Local) -> (LOCAL)[3]Trabis: XD
[2021:01:26-00:04:29]  (Local) -> (LOCAL)[1]Skippers|ZETAS|: para
[2021:01:26-00:04:30]  (Global) -> Flaco'K|2cb: ey Gocho hay un tombo que anda taseando y despues nos mata
[2021:01:26-00:04:30]  (Local) -> (LOCAL)[3]Mohamed: tengo 35k
[2021:01:26-00:04:30]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00CrudoMeansRaw|EVG: pere sanciono un pirobo
[2021:01:26-00:04:31]  (Global) -> (RCA)Nyccky: ok
[2021:01:26-00:04:33]  (Local) -> (LOCAL)[1]Mohamed: aqui yayaya
[2021:01:26-00:04:33]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00Haski_Scott: ale ajaj
[2021:01:26-00:04:34]  (Global) -> Flaco'K|2cb: ya le digo el nombre
[2021:01:26-00:04:35]  (Local) -> (LOCAL)[2]ZEUS|Z: uffffffffffffffffffffffffffffffff severo tema
[2021:01:26-00:04:36]  (Global) -> ZEUS|Z: uffffffffffffffffffffffffffffffff severo tema
[2021:01:26-00:04:36]  (Local) -> (LOCAL)[1]GOMITA0810: le digo una cosa
[2021:01:26-00:04:36]  (Local) -> (LOCAL)[2]|don|jimenez..|z|: adonde vamos quica
[2021:01:26-00:04:37]  (Local) -> (LOCAL)[6]Mnrpatecumbias'Z: cu¡rioson
[2021:01:26-00:04:38]  (Local) -> (LOCAL)[1]SamanthaOwO~2cb: no sr
[2021:01:26-00:04:40]  (Global) -> JefeRs|GT|: 2 de maria?
[2021:01:26-00:04:43]  (Local) -> (LOCAL)[1]Mohamed: es mas de lo que le dan por mi
[2021:01:26-00:04:43]  (Local) -> (LOCAL)[3]Asario!: Cacorro
[2021:01:26-00:04:44]  (Global) -> #7F7F7F|ADM||LG|#FF8C00Gocho|Ak|: Flaco'K|2cb[2] toma capture con f12
[2021:01:26-00:04:44]  (Local) -> (LOCAL)[6]Mnrpatecumbias'Z: dame vip
[2021:01:26-00:04:46]  (Local) -> (LOCAL)[5]Esteban|AK|: perdon tombito
[2021:01:26-00:04:51]  (Local) -> (LOCAL)[1]Cristian--GT: vago pa estupido
[2021:01:26-00:04:54]  (Local) -> (LOCAL)[1]alambres: sisas
[2021:01:26-00:05:01]  (Local) -> (LOCAL)[8]Mohamed: :(}
[2021:01:26-00:05:03]  (Global) -> ArielPnot"sayayin: ADMI sigo buguiado
