This file was generated by Console at 2020:12:18-00:00:04



[2020:12:18-00:00:04]  (Local) -> (LOCAL)[11]COMANDANTEEE: bn
[2020:12:18-00:00:32]  (Local) -> (LOCAL)[3][Z]ElPropioVegediondo: pegueme un puño
[2020:12:18-00:00:34]  (Global) -> OZM4ST3R: como se coloca la musica
[2020:12:18-00:00:35]  (Global) -> KEDROSE: derecho
[2020:12:18-00:00:35]  (Local) -> (LOCAL)[4][Z]ElPropioVegediondo: ayudeme
[2020:12:18-00:00:36]  (Global) -> OZM4ST3R: mano
[2020:12:18-00:00:37]  (Local) -> (LOCAL)[1]NombresAsiKick_a: lmao
[2020:12:18-00:00:39]  (Global) -> #7F7F7F|CVR|#0064FFNombresAsiKick_e: aaa
[2020:12:18-00:00:39]  (Local) -> (LOCAL)[11][AK]RUIZ: que se dicen
[2020:12:18-00:00:39]  (Local) -> (LOCAL)[3]CAPU'Julian_SkiGg: xd
[2020:12:18-00:00:39]  (Local) -> (LOCAL)[2]2cb'Jolyne: dale /resign
[2020:12:18-00:00:39]  (Local) -> (LOCAL)[11]#7F7F7F|CVR|#FF5C00Llanerito: se le fue el internet xde
[2020:12:18-00:00:42]  (Global) -> #7F7F7F|CVR|#0064FFNombresAsiKick_e: xd
[2020:12:18-00:00:47]  (Global) -> KEDROSE: no me acuerdo
[2020:12:18-00:00:48]  (Global) -> NombresAsiKick_a: huy q
[2020:12:18-00:00:48]  (Local) -> (LOCAL)[2]2cb'Jolyne: ojo
[2020:12:18-00:00:50]  (Global) -> OZM4ST3R: huys
[2020:12:18-00:00:50]  (Local) -> (LOCAL)[4][Z]ElPropioVegediondo: ayudeme
[2020:12:18-00:00:53]  (Local) -> (LOCAL)[4][Z]ElPropioVegediondo: estoy bug
[2020:12:18-00:00:55]  (Local) -> (LOCAL)[5][Z]ElPropioVegediondo: pegueme un puño
[2020:12:18-00:00:55]  (Local) -> (LOCAL)[5]CAPU'Julian_SkiGg: ok
[2020:12:18-00:00:55]  (Local) -> (LOCAL)[11]COMANDANTEEE: me deja manejar donde va pablo
[2020:12:18-00:00:57]  (Local) -> (LOCAL)[11]|DJ|(BGW)CHOCORRAMOCAMILOP: como asi que se le fue el internet asaksaksa
[2020:12:18-00:00:59]  (Global) -> #7F7F7F|CVR|#0064FFNombresAsiKick_e: es el tomboAbecedario
[2020:12:18-00:01:00]  (Global) -> KEDROSE: creo que escrebe /sound
[2020:12:18-00:01:00]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#0064FFFrancine98: uy hermano se
[2020:12:18-00:01:02]  (Local) -> (LOCAL)[3][Zetas]Donrobocop: pvp o q sapa
[2020:12:18-00:01:03]  (Local) -> (LOCAL)[11]#7F7F7F|CVR|#FF5C00Llanerito: /lock
[2020:12:18-00:01:04]  (Global) -> NombresAsiKick_a: sisa
[2020:12:18-00:01:04]  (Local) -> (LOCAL)[2]Roxayni: /resing
[2020:12:18-00:01:06]  ([Msg] de Sargento para [Perico]: Oe perico coloque /mp sargento y me responde) -> nil
[2020:12:18-00:01:06]  (Local) -> (LOCAL)[4]CAPU'Julian_SkiGg: lsito pa
[2020:12:18-00:01:06]  (Global) -> KEDROSE: pero hagale
[2020:12:18-00:01:06]  (Local) -> (LOCAL)[2]2cb'Jolyne: escribe ahi mismo donde chateas
[2020:12:18-00:01:08]  (Global) -> NombresAsiKick_a: tombo abecedario
[2020:12:18-00:01:10]  (Local) -> (LOCAL)[1]2cb'Jolyne: en la t
[2020:12:18-00:01:10]  (Local) -> (LOCAL)[3]-![Z]:_Hir0: yo?
[2020:12:18-00:01:10]  (Local) -> (LOCAL)[1][MZ]24k: Vea wasa
[2020:12:18-00:01:10]  (Global) -> KEDROSE: pase
[2020:12:18-00:01:11]  (Local) -> (LOCAL)[11]#7F7F7F|CVR|#FF5C00Llanerito: dime
[2020:12:18-00:01:12]  (Local) -> (LOCAL)[6]NombresAsiKick_a: bno señores
[2020:12:18-00:01:12]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#0064FFFrancine98: nah esa taser q
[2020:12:18-00:01:13]  ([Msg] de Sargento para [Perico]: Ei es la carcel de ls o la casa q queda arriba de banco?) -> nil
[2020:12:18-00:01:13]  (Local) -> (LOCAL)[11]2cb,francovillar: OE
[2020:12:18-00:01:13]  (Global) -> KEDROSE: pues
[2020:12:18-00:01:13]  (Global) -> #7F7F7F|CVR|#0064FFNombresAsiKick_e: buenio
[2020:12:18-00:01:13]  (Local) -> (LOCAL)[3][Zetas]Donrobocop: sisa mano
[2020:12:18-00:01:14]  (Local) -> (LOCAL)[11]COMANDANTEEE: bloquela
[2020:12:18-00:01:16]  (Local) -> (LOCAL)[5]NombresAsiKick_a: tocara otro
[2020:12:18-00:01:17]  (Local) -> (LOCAL)[5]NombresAsiKick_a: clan
[2020:12:18-00:01:17]  (Local) -> (LOCAL)[1][MZ]24k: Pere que me van explicar xd
[2020:12:18-00:01:18]  (Local) -> (LOCAL)[3]-![Z]:_Hir0: listo
[2020:12:18-00:01:18]  (Local) -> (LOCAL)[1]2cb'Jolyne: es /resign
[2020:12:18-00:01:20]  (Local) -> (LOCAL)[3]-![Z]:_Hir0: ponga cd
[2020:12:18-00:01:21]  (Local) -> (LOCAL)[3][Zetas]Donrobocop: necesito calentar
[2020:12:18-00:01:21]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#0064FFNombresAsiKick_e: nos ponemos el mismo
[2020:12:18-00:01:21]  (Local) -> (LOCAL)[3]KP-W*: venga pa aca mor
[2020:12:18-00:01:21]  (Local) -> (LOCAL)[11]#7F7F7F|CVR|#FF5C00Llanerito: ey bellaqueo
[2020:12:18-00:01:21]  (Global) -> #7F7F7F|CVR|#FF8C00ReizerB: Siendo staff colaboren 
[2020:12:18-00:01:22]  (Local) -> (LOCAL)[1]2cb'Jolyne: en minusculas
[2020:12:18-00:01:27]  (Global) -> KEDROSE: pague bobo
[2020:12:18-00:01:27]  (Global) -> #7F7F7F|CVR|#0064FFNombresAsiKick_e: bueno 
[2020:12:18-00:01:28]  (Local) -> (LOCAL)[5]NombresAsiKick_a: piensen de q
[2020:12:18-00:01:29]  (Local) -> (LOCAL)[3]2cb'LILPUSSY: quin es el bugeuado para pegarle u pulo?
[2020:12:18-00:01:31]  (Global) -> KEDROSE: uh
[2020:12:18-00:01:31]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#0064FFNombresAsiKick_e: aa
[2020:12:18-00:01:32]  (Local) -> (LOCAL)[1]2cbcapojuan: oe
[2020:12:18-00:01:35]  (Local) -> (LOCAL)[1]KP-W*: venga gay
[2020:12:18-00:01:36]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00ReizerB: dime
[2020:12:18-00:01:37]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#0064FFNombresAsiKick_e: digamos
[2020:12:18-00:01:38]  (Global) -> KEDROSE: yo pague el otro 
[2020:12:18-00:01:38]  (Local) -> (LOCAL)[11]2cB-bellaqueohpt: si
[2020:12:18-00:01:38]  (Local) -> (LOCAL)[2]2cb'Jolyne: escribelo bien
[2020:12:18-00:01:38]  (Local) -> (LOCAL)[5]NombresAsiKick_a: clan de juegos
[2020:12:18-00:01:39]  (Global) -> OZM4ST3R: no tengo liga
[2020:12:18-00:01:40]  (Global) -> Raiden527: BNA BNAAAAAAA
[2020:12:18-00:01:40]  (Local) -> (LOCAL)[1]2cbcapojuan: que bug
[2020:12:18-00:01:41]  (Global) -> OZM4ST3R: hay q
[2020:12:18-00:01:41]  (Local) -> (LOCAL)[11]#7F7F7F|CVR|#FF5C00Llanerito: mano
[2020:12:18-00:01:42]  (Local) -> (LOCAL)[2]2cb'Jolyne: dale
[2020:12:18-00:01:44]  (Local) -> (LOCAL)[1]2cbcapojuan: tan hp
[2020:12:18-00:01:44]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00ReizerB: cual?
[2020:12:18-00:01:47]  (Local) -> (LOCAL)[11]#7F7F7F|CVR|#FF5C00Llanerito: relax con el rol
[2020:12:18-00:01:49]  (Global) -> KEDROSE: antes y se culo de vuelta
[2020:12:18-00:01:51]  (Local) -> (LOCAL)[11]COMANDANTEEE: llanerito
[2020:12:18-00:01:52]  (Local) -> (LOCAL)[11]#7F7F7F|CVR|#FF5C00Llanerito: no quiero sacar a nadie
[2020:12:18-00:01:52]  (Local) -> (LOCAL)[3]NombresAsiKick_b: numeros
[2020:12:18-00:01:53]  (Local) -> (LOCAL)[11]#7F7F7F|CVR|#FF5C00Llanerito: xde
[2020:12:18-00:01:56]  (Local) -> (LOCAL)[1][MZ]24k: xd
[2020:12:18-00:01:57]  (Local) -> (LOCAL)[2][Z]ElPropioVegediondo: a
[2020:12:18-00:01:58]  (Local) -> (LOCAL)[11]2cB-bellaqueohpt: xd ok
[2020:12:18-00:01:58]  ([Msg] de Sargento para [Perico]: Oe perico coloque /mp sargento y me responde) -> nil
[2020:12:18-00:01:58]  (Local) -> (LOCAL)[3]FriFair: no ps es lo mismo
[2020:12:18-00:01:59]  ([Msg] de NombresAsiKick_e para ReizerB: oe ya se como hacen pa ponerse la skin con un job) -> nil
[2020:12:18-00:02:00]  (Local) -> (LOCAL)[3]FriFair: q una letra
[2020:12:18-00:02:01]  (Local) -> (LOCAL)[11]#7F7F7F|CVR|#FF5C00Llanerito: breve
[2020:12:18-00:02:01]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFFrancine98: ey q tienes broder
[2020:12:18-00:02:01]  (Local) -> (LOCAL)[2][Z]ElPropioVegediondo: auudme lipussy
[2020:12:18-00:02:02]  (Local) -> (LOCAL)[11]COMANDANTEEE: venn
[2020:12:18-00:02:02]  (Local) -> (LOCAL)[3]NombresAsiKick_d: mmmmmm
[2020:12:18-00:02:03]  (Local) -> (LOCAL)[11][AK]RUIZ: franco
[2020:12:18-00:02:04]  (Local) -> (LOCAL)[2][Z]ElPropioVegediondo: pegueme un puño
[2020:12:18-00:02:05]  (Local) -> (LOCAL)[11]CURA_LINEROS: ola
[2020:12:18-00:02:06]  ([Msg] de Sargento para [Perico]: Ei es la carcel de ls o la casa q queda arriba de banco?) -> nil
[2020:12:18-00:02:07]  (Local) -> (LOCAL)[2][Z]ElPropioVegediondo: estoy bug
[2020:12:18-00:02:07]  (Local) -> (LOCAL)[3]FriFair: pongasen un juego de mierda
[2020:12:18-00:02:07]  (Local) -> (LOCAL)[1]2cbcapojuan: uno en modo pasivo y lo matan y le dan extrellas
[2020:12:18-00:02:07]  (Local) -> (LOCAL)[1][AK]Nvxlss: MERTO GAI
[2020:12:18-00:02:08]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#0064FFNombresAsiKick_e: no
[2020:12:18-00:02:08]  (Local) -> (LOCAL)[3]?'ffa#00017?: me cambiaste por ella :c
[2020:12:18-00:02:09]  (Local) -> (LOCAL)[3]NombresAsiKick_d: cantantes de trap
[2020:12:18-00:02:10]  (Global) -> OZM4ST3R: ahora q haga liga compramos de to
[2020:12:18-00:02:10]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#0064FFNombresAsiKick_e: digamos
[2020:12:18-00:02:10]  (Local) -> (LOCAL)[1][AK]Nvxlss: MERO GAI JAJAJA
[2020:12:18-00:02:12]  (Local) -> (LOCAL)[1][MZ]24k: Dele con las de arriba no mueva el de abajo
[2020:12:18-00:02:12]  (Local) -> (LOCAL)[11]2cb,francovillar: Q
[2020:12:18-00:02:12]  (Local) -> (LOCAL)[2]2cb'LILPUSSY: ok
[2020:12:18-00:02:12]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#0064FFNombresAsiKick_e: uy
[2020:12:18-00:02:13]  (Local) -> (LOCAL)[2]-![Z]:_Hir0: noooooooo
[2020:12:18-00:02:13]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#0064FFNombresAsiKick_e: sisas
[2020:12:18-00:02:13]  (Local) -> (LOCAL)[11][AK]RUIZ: usted al otro lado
[2020:12:18-00:02:13]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFFrancine98: ahi te quedas pa
[2020:12:18-00:02:16]  (Local) -> (LOCAL)[3]FriFair: cantantes de trap?
[2020:12:18-00:02:17]  (Local) -> (LOCAL)[2][Z]ElPropioVegediondo: noo
[2020:12:18-00:02:20]  (Local) -> (LOCAL)[4]NombresAsiKick_d: y de reggaeton B)
[2020:12:18-00:02:21]  (Global) -> KEDROSE: ahora trabajamos pa
[2020:12:18-00:02:24]  (Local) -> (LOCAL)[1]2cb'ElWosito: buenas
[2020:12:18-00:02:25]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#0064FFNombresAsiKick_e: LilPeep
[2020:12:18-00:02:26]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF8C00ReizerB: como?
[2020:12:18-00:02:26]  (Global) -> 2cb'Jolyne: dale
[2020:12:18-00:02:27]  (Local) -> (LOCAL)[1]2cb'ElWosito: se la comioa
[2020:12:18-00:02:27]  (Local) -> (LOCAL)[3]NombresAsiKick_d: me pido a randynotaloca
[2020:12:18-00:02:28]  (Local) -> (LOCAL)[3]FriFair: hey kieto
[2020:12:18-00:02:30]  (Local) -> (LOCAL)[2]2cb'LILPUSSY: xd
[2020:12:18-00:02:30]  (Global) -> -![Z]:_Hir0: ro?
[2020:12:18-00:02:32]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFFrancine98: xd
[2020:12:18-00:02:32]  (Local) -> (LOCAL)[3]FriFair: lilpeep es pami
[2020:12:18-00:02:33]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#0064FFNombresAsiKick_e: asjajs
[2020:12:18-00:02:34]  (Local) -> (LOCAL)[3][Zetas]Donrobocop: sisa
[2020:12:18-00:02:35]  (Local) -> (LOCAL)[3]-![Z]:_Hir0: otro?
[2020:12:18-00:02:35]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#0064FFNombresAsiKick_e: NA
[2020:12:18-00:02:38]  (Team - Criminals) -> (TEAM)KEDROSE: ya sabe 
[2020:12:18-00:02:39]  (Local) -> (LOCAL)[3]2cbcapojuan: francine vio el bug
[2020:12:18-00:02:40]  (Local) -> (LOCAL)[3][Zetas]Donrobocop: q gonorrea c me traba
[2020:12:18-00:02:40]  (Local) -> (LOCAL)[2]K=P=W=L: Calmelo
[2020:12:18-00:02:41]  (Global) -> OZM4ST3R: si
[2020:12:18-00:02:44]  (Local) -> (LOCAL)[11]CapitanFear: uy
[2020:12:18-00:02:44]  (Local) -> (LOCAL)[2]CAPU'Julian_SkiGg: ey man
[2020:12:18-00:02:46]  (Local) -> (LOCAL)[1][MZ]24k: WD
[2020:12:18-00:02:46]  (Global) -> KEDROSE: hasta la ciudad las vegas
[2020:12:18-00:02:47]  (Local) -> (LOCAL)[3]2cbcapojuan: ami me paso
[2020:12:18-00:02:47]  ([Msg] de Sargento para [Perico]: Ei es la carcel de ls o la casa q queda arriba de banco?) -> nil
[2020:12:18-00:02:47]  (Local) -> (LOCAL)[3]NombresAsiKick_d: mmmmmmm
[2020:12:18-00:02:48]  (Local) -> (LOCAL)[2]CAPU'Julian_SkiGg: espere
[2020:12:18-00:02:49]  (Local) -> (LOCAL)[1][MZ]24k: DELE ENTER BOBO
[2020:12:18-00:02:50]  (Team - Unemployed) -> (TEAM)ARMANDO: dime
[2020:12:18-00:02:50]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#0064FFLilPeep: asjajs
[2020:12:18-00:02:51]  (Local) -> (LOCAL)[2][Zetas]Donrobocop: pere
[2020:12:18-00:02:52]  (Local) -> (LOCAL)[2]CAPU'Julian_SkiGg: pegame un puño
[2020:12:18-00:02:53]  (Local) -> (LOCAL)[5]NombresAsiKick_d: a
[2020:12:18-00:02:53]  (Local) -> (LOCAL)[1](CAPU)Arnulfo_Punketo: orion
[2020:12:18-00:02:53]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#0064FFLilPeep: lilpipi
[2020:12:18-00:02:53]  (Local) -> (LOCAL)[5]LilPipi: lilpipi pa
[2020:12:18-00:02:54]  (Local) -> (LOCAL)[11][AK]RUIZ: pongan bien eso
[2020:12:18-00:02:55]  (Global) -> OZM4ST3R: Sabe
[2020:12:18-00:02:57]  (Team - Unemployed) -> (TEAM)ARMANDO: jajajaja
[2020:12:18-00:02:57]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00ReizerB: pero el modo pasivo si da estrellas si se pone a atropellar
[2020:12:18-00:02:58]  (Local) -> (LOCAL)[2]2cbcapojuan: y me desaparecia plata
[2020:12:18-00:02:59]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#0064FFLilPeep: no m
[2020:12:18-00:02:59]  (Local) -> (LOCAL)[5]LilPipi: solo Lilpipi
[2020:12:18-00:03:00]  (Local) -> (LOCAL)[2]CAPU'Julian_SkiGg: porfa
[2020:12:18-00:03:01]  (Global) -> [Zetas]Donrobocop: le bajo el chaleco
[2020:12:18-00:03:01]  (Global) -> ARMANDO: jajajaja
[2020:12:18-00:03:01]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#0064FFLilPeep: respete
[2020:12:18-00:03:03]  (Local) -> (LOCAL)[2]-![Z]:_Hir0: si
[2020:12:18-00:03:03]  (Local) -> (LOCAL)[1][MZ]24k: UF YA
[2020:12:18-00:03:04]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#0064FFLilPeep: no sr respewte
[2020:12:18-00:03:09]  (Global) -> ARMANDO: ire a la carcel men
[2020:12:18-00:03:10]  (Local) -> (LOCAL)[1][AK]Nvxlss: la mia creo ya
[2020:12:18-00:03:12]  ([Msg] de Sargento para [Perico]: Oe perico coloque /mp sargento y me responde) -> nil
[2020:12:18-00:03:13]  (Global) -> KEDROSE: ya casi llegamos
[2020:12:18-00:03:13]  (Local) -> (LOCAL)[1][AK]Nvxlss: ira
[2020:12:18-00:03:16]  (Local) -> (LOCAL)[4]RandyNotaLoca: <3
[2020:12:18-00:03:17]  (Local) -> (LOCAL)[3]-![Z]:_Hir0: ola walter
[2020:12:18-00:03:18]  (Local) -> (LOCAL)[1][MZ]24k: Vamos xd
[2020:12:18-00:03:24]  (Local) -> (LOCAL)[5]Aleman: melo as
[2020:12:18-00:03:26]  (Local) -> (LOCAL)[4]K=P=W=L: ola
[2020:12:18-00:03:26]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00ReizerB: ?
[2020:12:18-00:03:28]  (Local) -> (LOCAL)[4]RandyNotaLoca: aunq así soy más tego
[2020:12:18-00:03:30]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#0064FFLilPeep: bre
[2020:12:18-00:03:32]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00ReizerB: entonces el bug que?
[2020:12:18-00:03:34]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#0064FFLilPeep: vamos
[2020:12:18-00:03:36]  (Local) -> (LOCAL)[5]Aleman: falta este
[2020:12:18-00:03:37]  (Local) -> (LOCAL)[2]CAPU'Julian_SkiGg: no
[2020:12:18-00:03:43]  (Global) -> KEDROSE: ah qui bajese
[2020:12:18-00:03:46]  (Local) -> (LOCAL)[2]2cbcapojuan: digamos solo me paso una vez
[2020:12:18-00:03:47]  (Local) -> (LOCAL)[4]Aleman: oe b
[2020:12:18-00:03:48]  (Global) -> [MZ]24k: HArol rapido
[2020:12:18-00:03:49]  (Local) -> (LOCAL)[4]Aleman: ponete nick
[2020:12:18-00:03:51]  (Local) -> (LOCAL)[5]Aleman: ps
[2020:12:18-00:03:53]  (Global) -> KEDROSE: ah qui
[2020:12:18-00:03:53]  (Local) -> (LOCAL)[2][Z]ElPropioVegediondo: alto
[2020:12:18-00:03:56]  (Global) -> Raiden527: ADMIN???????????
[2020:12:18-00:04:00]  (Local) -> (LOCAL)[2]2cbcapojuan: y me arranco plata
[2020:12:18-00:04:00]  (Global) -> #7F7F7F|CVR|#0064FFLilPeep: dime
[2020:12:18-00:04:00]  (Global) -> El_Pelado: A
[2020:12:18-00:04:03]  (Global) -> OZM4ST3R: Epa
[2020:12:18-00:04:03]  (Local) -> (LOCAL)[4]Aleman: falta este man
[2020:12:18-00:04:05]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#0064FFLilPeep: maneja?
[2020:12:18-00:04:08]  (Global) -> [2cb]kpinto12: bro como se si ya tengo el vip
[2020:12:18-00:04:08]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00ReizerB: no entiendo como
[2020:12:18-00:04:10]  (Local) -> (LOCAL)[4]Aleman: de B
[2020:12:18-00:04:12]  (Local) -> (LOCAL)[3][Zetas]Donrobocop: c me traba esa mrda
[2020:12:18-00:04:12]  (Local) -> (LOCAL)[4]RandyNotaLoca: sta comiendo
[2020:12:18-00:04:12]  (Global) -> [ak]jimenez: usted tiene camionetas
[2020:12:18-00:04:14]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00ReizerB: ya voy
[2020:12:18-00:04:16]  (Local) -> (LOCAL)[3][Zetas]Donrobocop: pero melo
[2020:12:18-00:04:19]  (Global) -> Raiden527: NO VEO NADA EN EL MAPA
[2020:12:18-00:04:27]  (Global) -> ARMANDO: plata o plomo?
[2020:12:18-00:04:28]  (Global) -> #7F7F7F|CVR|#0064FFLilPeep: em
[2020:12:18-00:04:29]  (Local) -> (LOCAL)[12]|DJ|(BGW)CHOCORRAMOCAMILOP: y los militares¡?
[2020:12:18-00:04:32]  (Local) -> (LOCAL)[1][MZ]24k: VAMONOSSSS
[2020:12:18-00:04:33]  (Local) -> (LOCAL)[4]2cbcapojuan: yo tambien lo voy a comprar
[2020:12:18-00:04:34]  (Local) -> (LOCAL)[6]Aleman: oeeee B
[2020:12:18-00:04:39]  (Local) -> (LOCAL)[12]#7F7F7F|CVR|#FF5C00Llanerito: fueron a esperar
[2020:12:18-00:04:39]  (Global) -> #7F7F7F|CVR|#0064FFLilPeep: desactivo algo?
[2020:12:18-00:04:40]  (Local) -> (LOCAL)[5]RandyNotaLoca: que ganas de estar jincho
[2020:12:18-00:04:42]  (Local) -> (LOCAL)[12]#7F7F7F|CVR|#FF5C00Llanerito: en la carcel
[2020:12:18-00:04:42]  (Global) -> KEDROSE: tepaaaaaaaaaaaaaa
[2020:12:18-00:04:43]  (Local) -> (LOCAL)[1][MZ]24k: :v
[2020:12:18-00:04:45]  (Global) -> [MZ]24k: XD
[2020:12:18-00:04:46]  (Global) -> OZM4ST3R: temazo
[2020:12:18-00:04:49]  (Global) -> OZM4ST3R: sabe
[2020:12:18-00:04:50]  (Local) -> (LOCAL)[6]NombresAsiKick_b: q
[2020:12:18-00:04:53]  (Global) -> Raiden527: Ya 
[2020:12:18-00:04:53]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#0064FFLilPeep: oe
[2020:12:18-00:04:54]  (Global) -> K=P=W=L: KP=W4$LTER
[2020:12:18-00:04:55]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#0064FFLilPeep: cambiete
[2020:12:18-00:04:57]  (Global) -> K=P=W=L: PUTA
[2020:12:18-00:04:57]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#0064FFLilPeep: el nick
[2020:12:18-00:05:05]  (Global) -> DonDiego: como saco el telefono, ya no me funciona con el F3
[2020:12:18-00:05:05]  (Local) -> (LOCAL)[11]2cB-bellaqueohpt: llanerito ssabes a q horas termina el rol
[2020:12:18-00:05:08]  (Global) -> OZM4ST3R: Como fue
[2020:12:18-00:05:12]  (Global) -> OZM4ST3R: Como hacemos para robar
[2020:12:18-00:05:13]  (Global) -> KEDROSE: quitese el modo pasivo
[2020:12:18-00:05:15]  (Team - Criminals) -> (TEAM)OZM4ST3R: sorner
[2020:12:18-00:05:16]  (Local) -> (LOCAL)[5]Aleman: B anda murido
[2020:12:18-00:05:18]  (Local) -> (LOCAL)[11]#7F7F7F|CVR|#FF5C00Llanerito: parce no se bien la verdad
[2020:12:18-00:05:18]  (Local) -> (LOCAL)[5][2cb]kpinto12: hola
[2020:12:18-00:05:19]  (Team - Criminals) -> (TEAM)KEDROSE: que vala va sobrar
[2020:12:18-00:05:20]  (Team - Criminals) -> (TEAM)OZM4ST3R: que la gente no escuche na
[2020:12:18-00:05:20]  (Local) -> (LOCAL)[11]2cB-bellaqueohpt: por las novenas y eso
[2020:12:18-00:05:21]  (Local) -> (LOCAL)[6]NombresAsiKick_b: q me pongo
[2020:12:18-00:05:21]  (Global) -> #7F7F7F|CVR|#0064FFLilPeep: si estas en portatil con Fn + F3
[2020:12:18-00:05:26]  (Local) -> (LOCAL)[5]RandyNotaLoca: un cantante
[2020:12:18-00:05:27]  (Local) -> (LOCAL)[4]-![Z]:_Hir0: jefer
[2020:12:18-00:05:29]  (Global) -> KEDROSE: no tiene liga 
[2020:12:18-00:05:30]  (Local) -> (LOCAL)[4]Z_jeferuwu: que
[2020:12:18-00:05:31]  (Local) -> (LOCAL)[4]-![Z]:_Hir0: un pvp a uzis
[2020:12:18-00:05:31]  (Local) -> (LOCAL)[5]RandyNotaLoca: ish temosky
[2020:12:18-00:05:31]  (Local) -> (LOCAL)[4]2cbcapojuan: francine
