This file was generated by Console at 2020:12:22-00:00:02



[2020:12:22-00:00:02]  (Global) -> |MZ|Omar: JOKEEEEEEERRRRRRRR
[2020:12:22-00:00:58]  (Local) -> (LOCAL)[2]ISMAELITO: gracias pana, te quiero
[2020:12:22-00:00:59]  (Local) -> (LOCAL)[7]Elpuerta47: soy de la terraza
[2020:12:22-00:01:01]  (Local) -> (LOCAL)[4][EVG]BOMBITA: q
[2020:12:22-00:01:01]  (Global) -> [ak]jimenez.gaviria: me encantoo
[2020:12:22-00:01:02]  (Local) -> (LOCAL)[4]Joker.: venga
[2020:12:22-00:01:04]  (Local) -> (LOCAL)[1]GohanStark!~: ah ta cheto
[2020:12:22-00:01:06]  (Local) -> (LOCAL)[9]|MZ|Omar: te meto el pichon
[2020:12:22-00:01:07]  (Local) -> (LOCAL)[3]ISMAELITO: <3
[2020:12:22-00:01:09]  (Local) -> (LOCAL)[1][EVG]BOMBITA: bno
[2020:12:22-00:01:16]  (Local) -> (LOCAL)[3][MZ]JuanDa: bueno
[2020:12:22-00:01:18]  (Global) -> TheDavid._.S: Soy nuevo neas
[2020:12:22-00:01:23]  (Local) -> (LOCAL)[2][EVG]BOMBITA: ñero esa moto pica mucho
[2020:12:22-00:01:23]  (Global) -> [ak]jimenez.gaviria: patron
[2020:12:22-00:01:29]  (Local) -> (LOCAL)[3]ISMAELITO: ola
[2020:12:22-00:01:30]  (Global) -> [ak]jimenez.gaviria: que ase
[2020:12:22-00:01:30]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00Jimenez: Si creo todavia
[2020:12:22-00:01:34]  (Local) -> (LOCAL)[2]Joker.: sisas, espere
[2020:12:22-00:01:35]  (Local) -> (LOCAL)[9]|MZ|Omar: callate la boca
[2020:12:22-00:01:37]  (Local) -> (LOCAL)[4][EVG]BOMBITA: bno
[2020:12:22-00:01:39]  (Local) -> (LOCAL)[1]GohanStark!~: si es la unica
[2020:12:22-00:01:39]  (Local) -> (LOCAL)[1]ISMAELITO: ola
[2020:12:22-00:01:44]  (Local) -> (LOCAL)[1]ISMAELITO: me prestas un carro?
[2020:12:22-00:01:45]  (Local) -> (LOCAL)[10]PATRON: jimenez venga
[2020:12:22-00:01:45]  (Global) -> [ak]jimenez.gaviria: perico
[2020:12:22-00:01:45]  (Local) -> (LOCAL)[1][GTF]Guztafa: sI?
[2020:12:22-00:01:48]  (Local) -> (LOCAL)[1]GohanStark!~: yo soy de deagle+splazs
[2020:12:22-00:01:50]  (Local) -> (LOCAL)[10]|MZ|Omar: hasta aca me llega el olor a mierda tuyo pablo
[2020:12:22-00:01:55]  (Local) -> (LOCAL)[2]ISMAELITO: me prestas un carro?
[2020:12:22-00:01:56]  (Local) -> (LOCAL)[2][GTF]Guztafa: Lo siento, no tengo coche
[2020:12:22-00:01:56]  (Local) -> (LOCAL)[10][KP][Perico]: qur
[2020:12:22-00:01:58]  (Global) -> |DJ|(BGW)CHOCORRAMOCAMILOP: #18975c los que quieren roleat lleguen a el hospital central con pabl0escobar 
[2020:12:22-00:02:00]  (Local) -> (LOCAL)[1][EVG]BOMBITA: espere q el tombo ese viene
[2020:12:22-00:02:01]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00|EVG|CrudoMeansRaw: q tal
[2020:12:22-00:02:01]  (Local) -> (LOCAL)[2]ISMAELITO: gracias
[2020:12:22-00:02:03]  (Local) -> (LOCAL)[10]|MZ|Omar: chiya
[2020:12:22-00:02:04]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00|EVG|CrudoMeansRaw: yo la veo mela
[2020:12:22-00:02:05]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00Llanerito: mela
[2020:12:22-00:02:05]  (Global) -> |DJ|(BGW)CHOCORRAMOCAMILOP: say #18975c los que quieren roleat lleguen a el hospital central con pabl0escobar 
[2020:12:22-00:02:07]  (Local) -> (LOCAL)[2][EVG]BOMBITA: tombo mka
[2020:12:22-00:02:07]  (Local) -> (LOCAL)[2]ISMAELITO: amigo
[2020:12:22-00:02:09]  (Global) -> [ak]jimenez.gaviria: le gusta mi camioneta
[2020:12:22-00:02:10]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00|EVG|CrudoMeansRaw: breve
[2020:12:22-00:02:10]  (Local) -> (LOCAL)[1]EnchantedDove95: buenas
[2020:12:22-00:02:12]  (Local) -> (LOCAL)[9]Drake: se muere
[2020:12:22-00:02:12]  (Local) -> (LOCAL)[9]PATRON: jimenez venga
[2020:12:22-00:02:14]  (Global) -> #7F7F7F|CVR|#FF5C00Seb: TheDavid._.S Te recomiendo leer el F1, cualquier duda que tengas pregunta por el chat
[2020:12:22-00:02:14]  (Local) -> (LOCAL)[2]ISMAELITO: me prestas un carro?
[2020:12:22-00:02:14]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00Llanerito: pero solo con esta moster
[2020:12:22-00:02:16]  (Global) -> [ak]jimenez.gaviria: que
[2020:12:22-00:02:16]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00|EVG|CrudoMeansRaw: vamos y creo el evento entonces
[2020:12:22-00:02:16]  (Local) -> (LOCAL)[9][KP][Perico]: se
[2020:12:22-00:02:16]  (Local) -> (LOCAL)[9]Drake: se muere
[2020:12:22-00:02:16]  (Local) -> (LOCAL)[9]|MZ|Omar: pablo
[2020:12:22-00:02:18]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00|EVG|CrudoMeansRaw: sisas
[2020:12:22-00:02:20]  (Local) -> (LOCAL)[2][GTF]Guztafa: Suba
[2020:12:22-00:02:21]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00Llanerito: pero toca hacerlo
[2020:12:22-00:02:21]  (Local) -> (LOCAL)[1]jangelnick: buenas parton
[2020:12:22-00:02:23]  (Local) -> (LOCAL)[2][MZ]JuanDa: pa donde va?
[2020:12:22-00:02:23]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00|EVG|CrudoMeansRaw: vamos al punete ese
[2020:12:22-00:02:26]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00Llanerito: en esta dimension
[2020:12:22-00:02:28]  (Global) -> EnchantedDove95: bien o que mijo
[2020:12:22-00:02:28]  (Local) -> (LOCAL)[2]ISMAELITO: a comprar el carro
[2020:12:22-00:02:28]  (Global) -> Kp~Diego: ez
[2020:12:22-00:02:29]  (Global) -> [ak]jimenez.gaviria: espere me tengo que ir
[2020:12:22-00:02:29]  (Local) -> (LOCAL)[2][MZ]JuanDa: el lo lleva
[2020:12:22-00:02:30]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00|EVG|CrudoMeansRaw: si claro
[2020:12:22-00:02:34]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00Llanerito: por que el mapeo no s eva
[2020:12:22-00:02:35]  (Local) -> (LOCAL)[10]PATRON: venga
[2020:12:22-00:02:36]  (Local) -> (LOCAL)[1][MZ]JuanDa: venga lo llevo
[2020:12:22-00:02:36]  (Local) -> (LOCAL)[3]2cb'~#[F]abius^MP5: night
[2020:12:22-00:02:37]  (Local) -> (LOCAL)[3]Juan: a es K
[2020:12:22-00:02:37]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00Llanerito: para la otra
[2020:12:22-00:02:37]  (Local) -> (LOCAL)[2][EVG]BOMBITA: pere
[2020:12:22-00:02:38]  (Local) -> (LOCAL)[3]2cb'~#[F]abius^MP5: es kp
[2020:12:22-00:02:38]  (Local) -> (LOCAL)[10]|MZ|Omar: pablo su mama
[2020:12:22-00:02:39]  (Local) -> (LOCAL)[4]Juan: P
[2020:12:22-00:02:41]  (Global) -> Braulio: pirdon
[2020:12:22-00:02:41]  (Global) -> 2cb'Jolyne: a
[2020:12:22-00:02:42]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00|EVG|CrudoMeansRaw: aaaah mk verdad
[2020:12:22-00:02:42]  (Local) -> (LOCAL)[2][EVG]BOMBITA: q
[2020:12:22-00:02:42]  (Local) -> (LOCAL)[1]jangelnick: no aca trtando de conseguir algo
[2020:12:22-00:02:46]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00Llanerito: szs
[2020:12:22-00:02:47]  (Global) -> 2cb'Jolyne: xrdon
[2020:12:22-00:02:47]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00|EVG|CrudoMeansRaw: ps si toca aca
[2020:12:22-00:02:48]  (Global) -> EnchantedDove95: aaa ya
[2020:12:22-00:02:48]  (Local) -> (LOCAL)[2]Joker.: pille nea
[2020:12:22-00:02:49]  (Local) -> (LOCAL)[2][EVG]BOMBITA: quiere peerro mkon
[2020:12:22-00:02:53]  (Local) -> (LOCAL)[10]PATRON: jimenez si no biene no le vue a dar ni mierda
[2020:12:22-00:02:53]  (Local) -> (LOCAL)[2]CAPU|~Orion~|: Jajaj
[2020:12:22-00:02:54]  (Local) -> (LOCAL)[4]2cb'~#[F]abius^MP5: cojamos la que esta aquio arribita tambien
[2020:12:22-00:02:54]  (Local) -> (LOCAL)[2][EVG]BOMBITA: q
[2020:12:22-00:02:55]  (Local) -> (LOCAL)[2]Joker.: ya que no le gusta que se pique
[2020:12:22-00:02:58]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00|EVG|CrudoMeansRaw: pero toco sin evento
[2020:12:22-00:02:59]  (Local) -> (LOCAL)[1]Joker.: le doy la misma
[2020:12:22-00:03:00]  (Local) -> (LOCAL)[1][EVG]BOMBITA: aja
[2020:12:22-00:03:03]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00|EVG|CrudoMeansRaw: porque sino sacan esos carros
[2020:12:22-00:03:03]  (Local) -> (LOCAL)[1][EVG]BOMBITA: ._.
[2020:12:22-00:03:06]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00Jimenez: Algo mas bro?
[2020:12:22-00:03:07]  (Local) -> (LOCAL)[2]Joker.: pero esa no se pica
[2020:12:22-00:03:09]  (Local) -> (LOCAL)[2]Juan: solo cadena de oro paa
[2020:12:22-00:03:09]  (Local) -> (LOCAL)[11]PATRON: jimenez si no biene no le vue a dar ni mierda
[2020:12:22-00:03:10]  (Local) -> (LOCAL)[2]GohanStark!~: Tu amor
[2020:12:22-00:03:10]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00|EVG|CrudoMeansRaw: en esta dimension normal
[2020:12:22-00:03:11]  (Local) -> (LOCAL)[1][EVG]BOMBITA: nokas porque no esta tuneada
[2020:12:22-00:03:14]  (Local) -> (LOCAL)[2]Juan: nada de replicas
[2020:12:22-00:03:14]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00Jimenez: Uy kkieto xd
[2020:12:22-00:03:15]  (Local) -> (LOCAL)[11]2cbRagnarok: xDS
[2020:12:22-00:03:17]  (Local) -> (LOCAL)[1]Joker.: sisas
[2020:12:22-00:03:20]  (Local) -> (LOCAL)[3]jangelnick: le presento a un amigo
[2020:12:22-00:03:24]  (Global) -> EnchantedDove95: okey
[2020:12:22-00:03:24]  (Local) -> (LOCAL)[2]Braulio: q va el mio
[2020:12:22-00:03:25]  (Local) -> (LOCAL)[2]Braulio: es golfi
[2020:12:22-00:03:26]  (Local) -> (LOCAL)[2]Juan: OE ORION
[2020:12:22-00:03:26]  (Global) -> |MZ|Omar: JOKEEEEEEEER
[2020:12:22-00:03:27]  (Local) -> (LOCAL)[1]Joker.: corren igual y todo, pero no se pica
[2020:12:22-00:03:29]  (Local) -> (LOCAL)[0]jangelnick: patron entre
[2020:12:22-00:03:31]  (Global) -> #7F7F7F|CVR|#FF5C00Jimenez: EVG A TURFEAR
[2020:12:22-00:03:32]  (Local) -> (LOCAL)[3]Juan: na
[2020:12:22-00:03:33]  (Local) -> (LOCAL)[3]Juan: esos son mis panas ok?
[2020:12:22-00:03:33]  (Local) -> (LOCAL)[1][EVG]BOMBITA: nea deje verla
[2020:12:22-00:03:33]  (Global) -> Joker.: ya voy perro AJAJAJAJJAJAJAJAJA
[2020:12:22-00:03:34]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00|EVG|CrudoMeansRaw: no aqui no
[2020:12:22-00:03:35]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00|EVG|CrudoMeansRaw: jajaajaj
[2020:12:22-00:03:36]  (Local) -> (LOCAL)[3]Juan: ese oro golfi
[2020:12:22-00:03:37]  (Local) -> (LOCAL)[3]Braulio: sien por siento umildoso
[2020:12:22-00:03:39]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00Llanerito: entoncs
[2020:12:22-00:03:39]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00|EVG|CrudoMeansRaw: arriba
[2020:12:22-00:03:39]  (Local) -> (LOCAL)[3]CAPU|~Orion~|: Bueno
[2020:12:22-00:03:40]  (Local) -> (LOCAL)[3]Juan: q se moja y qda negro
[2020:12:22-00:03:41]  (Local) -> (LOCAL)[1]GohanStark!~: me expulsaron del grupo de facebok de cvr por encionar otro server haysolicoonxd
[2020:12:22-00:03:42]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00|EVG|CrudoMeansRaw: aca motos
[2020:12:22-00:03:43]  (Local) -> (LOCAL)[3]Juan: listo
[2020:12:22-00:03:43]  (Global) -> #7F7F7F|CVR|#FF5C00Seb: A turfear pa
[2020:12:22-00:03:44]  (Local) -> (LOCAL)[3]CAPU|~Orion~|: Acepte la invitacion
[2020:12:22-00:03:45]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00Llanerito: ahh
[2020:12:22-00:03:46]  (Local) -> (LOCAL)[9]PATRON: jimenez
[2020:12:22-00:03:46]  (Local) -> (LOCAL)[3]CAPU|~Orion~|: a los zetas
[2020:12:22-00:03:48]  (Local) -> (LOCAL)[10]|MZ|Omar: ey que
[2020:12:22-00:03:48]  (Local) -> (LOCAL)[3]CAPU|~Orion~|: por lo menos
[2020:12:22-00:03:49]  (Local) -> (LOCAL)[3]CAPU|~Orion~|: ...
[2020:12:22-00:03:50]  (Local) -> (LOCAL)[3]Juan: mk no me sale
[2020:12:22-00:03:50]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00Llanerito: entonces
[2020:12:22-00:03:51]  (Local) -> (LOCAL)[1]GohanStark!~: ah k wea tyrfear ya va
[2020:12:22-00:03:52]  (Local) -> (LOCAL)[2]Braulio: ujajsjaj siks
[2020:12:22-00:03:54]  (Local) -> (LOCAL)[2]Braulio: el reloj
[2020:12:22-00:03:54]  (Local) -> (LOCAL)[3]CAPU|~Orion~|: Reinicie entonces
[2020:12:22-00:03:55]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Jimenez: No pa como va hacer eso ajaj
[2020:12:22-00:03:57]  (Local) -> (LOCAL)[9]PATRON: que venga
[2020:12:22-00:03:57]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00Llanerito: yo voy poniendolas arriba
[2020:12:22-00:03:57]  (Local) -> (LOCAL)[2]Braulio: es casio xiviado
[2020:12:22-00:03:57]  (Local) -> (LOCAL)[1]Joker.: noooooooooooooooooooooo
[2020:12:22-00:04:00]  (Local) -> (LOCAL)[10]2cbRagnarok: wtf
[2020:12:22-00:04:02]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00Llanerito: pone las motos
[2020:12:22-00:04:03]  (Local) -> (LOCAL)[3]CAPU|~Orion~|: Yo no le dije nada porque pues aja juan es pana
[2020:12:22-00:04:03]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00|EVG|CrudoMeansRaw: eso yo pongo motos aca
[2020:12:22-00:04:04]  (Local) -> (LOCAL)[2]Juan: yo soy un granjero fino
[2020:12:22-00:04:08]  (Local) -> (LOCAL)[3]CAPU|~Orion~|: Entonces es mejor que se vaya con ellos
[2020:12:22-00:04:09]  (Local) -> (LOCAL)[1]2cb'~#[F]abius^MP5: beisbooll
[2020:12:22-00:04:10]  (Local) -> (LOCAL)[2]Braulio: wao
[2020:12:22-00:04:10]  (Local) -> (LOCAL)[2]2cb'Jolyne: casio de 10k
[2020:12:22-00:04:10]  (Local) -> (LOCAL)[9]PATRON: jimenez
[2020:12:22-00:04:11]  (Local) -> (LOCAL)[3]CAPU|~Orion~|: Ya que queres pvp
[2020:12:22-00:04:14]  (Local) -> (LOCAL)[3]CAPU|~Orion~|: Reinicie y acepte
[2020:12:22-00:04:15]  (Local) -> (LOCAL)[1][EVG]BOMBITA: hale ps
[2020:12:22-00:04:16]  (Local) -> (LOCAL)[3]Juan: nono
[2020:12:22-00:04:16]  (Local) -> (LOCAL)[2]Braulio: yo vendo ceviche umildemente
[2020:12:22-00:04:18]  (Local) -> (LOCAL)[2]Juan: añañay
[2020:12:22-00:04:19]  (Local) -> (LOCAL)[1]2cb'~#[F]abius^MP5: no puede ser
[2020:12:22-00:04:19]  (Local) -> (LOCAL)[2]GohanStark!~: pero lo mencione y lugo dije otra cosa y le ayude al muchacho a descargar y entrar al cvr ajjaaj
[2020:12:22-00:04:19]  (Local) -> (LOCAL)[1]Joker.: vamos
[2020:12:22-00:04:22]  (Local) -> (LOCAL)[2]Juan: reloj de ben 10
[2020:12:22-00:04:22]  (Local) -> (LOCAL)[1]2cb'~#[F]abius^MP5: se me acabó el vip
[2020:12:22-00:04:23]  (Global) -> Drake: ey no
[2020:12:22-00:04:24]  (Local) -> (LOCAL)[3]Juan: me salgo y vuelvo?
[2020:12:22-00:04:25]  (Local) -> (LOCAL)[1]Joker.: guardela
[2020:12:22-00:04:25]  (Local) -> (LOCAL)[2]2cb'Jolyne: si se ve
[2020:12:22-00:04:26]  (Local) -> (LOCAL)[2]Juan: o de hello kitty
[2020:12:22-00:04:27]  (Local) -> (LOCAL)[2]2cb'Jolyne: ajjaja
[2020:12:22-00:04:27]  (Local) -> (LOCAL)[3]CAPU|~Orion~|: szs
[2020:12:22-00:04:30]  (Local) -> (LOCAL)[2]Juan: ufa
[2020:12:22-00:04:31]  (Local) -> (LOCAL)[3]CAPU|~Orion~|: /reconnect
[2020:12:22-00:04:32]  (Global) -> Drake: esa es mia malparido
[2020:12:22-00:04:32]  (Local) -> (LOCAL)[2]Juan: los mejores
[2020:12:22-00:04:32]  (Local) -> (LOCAL)[1]2cb'Razzork: aaa
[2020:12:22-00:04:32]  (Local) -> (LOCAL)[3]CAPU|~Orion~|: asi
[2020:12:22-00:04:35]  (Local) -> (LOCAL)[3]Juan: ale
[2020:12:22-00:04:36]  (Local) -> (LOCAL)[1]^Tay'Zhou^: no se vaya
[2020:12:22-00:04:36]  (Local) -> (LOCAL)[2]Braulio: joa se cagaron malparios
[2020:12:22-00:04:38]  (Local) -> (LOCAL)[1]^Tay'Zhou^: que me llegan
[2020:12:22-00:04:38]  (Team - Unemployed) -> (TEAM)[ak]jimenez.gaviria: espere que tengo que ir a una novena
[2020:12:22-00:04:39]  (Local) -> (LOCAL)[1]2cb'Razzork: mka mera vuelta
[2020:12:22-00:04:41]  (Local) -> (LOCAL)[1]^Tay'Zhou^: de a muchos
[2020:12:22-00:04:44]  (Local) -> (LOCAL)[2]2cb'Jolyne: 4 c4 me tire
[2020:12:22-00:04:44]  (Local) -> (LOCAL)[1]Kp~Diego: ok
[2020:12:22-00:04:45]  (Local) -> (LOCAL)[1]PATRON: ahorita ba
[2020:12:22-00:04:48]  (Global) -> |MZ|Omar: JOKER HIJUEPUTA A COMO LA TOYOTAAAAAAAAAAA
[2020:12:22-00:04:49]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Jimenez: xD
[2020:12:22-00:04:50]  (Local) -> (LOCAL)[3]Juan: la basura la vuelvo oro
[2020:12:22-00:04:54]  (Global) -> [ak]jimenez.gaviria: ya enpezo 
[2020:12:22-00:04:55]  (Global) -> Drake: quieto gonorrea
[2020:12:22-00:04:56]  (Local) -> (LOCAL)[7]2cb-Bellaqueohpt: patron
[2020:12:22-00:04:56]  (Local) -> (LOCAL)[2]PATRON: a
[2020:12:22-00:04:56]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Jimenez: Bueno cualquier cosa me llamas
[2020:12:22-00:04:58]  (Local) -> (LOCAL)[3]Braulio: se teletransporta
[2020:12:22-00:05:00]  (Global) -> [ak]jimenez.gaviria: lla venga
[2020:12:22-00:05:01]  (Local) -> (LOCAL)[1]GohanStark!~: dale guapo
[2020:12:22-00:05:03]  (Local) -> (LOCAL)[3]Juan: jjjj como vez ese man tan parado
[2020:12:22-00:05:05]  (Local) -> (LOCAL)[3]Juan: disq a deagle
[2020:12:22-00:05:06]  (Local) -> (LOCAL)[1]GohanStark!~: cuidate el ojo
[2020:12:22-00:05:06]  (Global) -> |DJ|(BGW)CHOCORRAMOCAMILOP: SABI
[2020:12:22-00:05:07]  (Local) -> (LOCAL)[2]Juan: jjjj
[2020:12:22-00:05:08]  (Global) -> |DJ|(BGW)CHOCORRAMOCAMILOP: NO
[2020:12:22-00:05:08]  (Local) -> (LOCAL)[1]PATRON: se ba
[2020:12:22-00:05:11]  (Local) -> (LOCAL)[2]2cb'Jolyne: jajajaja
[2020:12:22-00:05:12]  (Global) -> Joker.: omarrrrrr, pere nea que ando haciendo un negocio, deme 5 minutos
[2020:12:22-00:05:14]  (Local) -> (LOCAL)[2]Braulio: jajsjaja asi soy yo cuando entro en panico
[2020:12:22-00:05:18]  (Global) -> |MZ|Omar: pilas ues
[2020:12:22-00:05:20]  (Global) -> |MZ|Omar: pues*
[2020:12:22-00:05:22]  (Local) -> (LOCAL)[2]Braulio: subite pues loca hijueputa
[2020:12:22-00:05:26]  (Local) -> (LOCAL)[2]2cb'Jolyne: disparo hasta con dildo jajajajja
[2020:12:22-00:05:29]  (Global) -> Joker.: sisas, apenas termine le digo
[2020:12:22-00:05:31]  (Local) -> (LOCAL)[2]Juan: coooooomo
[2020:12:22-00:05:32]  (Local) -> (LOCAL)[4]^Tay'Zhou^: na pague
[2020:12:22-00:05:34]  (Global) -> |MZ|Omar: aowe
[2020:12:22-00:05:36]  (Local) -> (LOCAL)[2]Juan: oe arriba
[2020:12:22-00:05:37]  (Global) -> Villa: hola patro
[2020:12:22-00:05:39]  (Local) -> (LOCAL)[2]Juan: nos estan ganando
[2020:12:22-00:05:41]  (Global) -> |MZ|Omar: aiwe*
[2020:12:22-00:05:44]  (Local) -> (LOCAL)[2]Braulio: speren
[2020:12:22-00:05:46]  (Global) -> [MZ]JuanDa: s
[2020:12:22-00:05:50]  (Local) -> (LOCAL)[2]Braulio: ya
[2020:12:22-00:05:51]  (Local) -> (LOCAL)[2]2cb'Jolyne: aseguremos campo
[2020:12:22-00:05:51]  (Global) -> |DJ|(BGW)CHOCORRAMOCAMILOP: xd
[2020:12:22-00:05:54]  (Local) -> (LOCAL)[2]2cb'Jolyne: jajajajajja
[2020:12:22-00:05:56]  (Global) -> Villa: bien bien
[2020:12:22-00:06:00]  (Local) -> (LOCAL)[2]2cb'Jolyne: apenas pa turf
[2020:12:22-00:06:03]  (Local) -> (LOCAL)[2]Juan: amaneceres en camillas
[2020:12:22-00:06:05]  (Local) -> (LOCAL)[1][Z]Ownlyx: no hay nivel
[2020:12:22-00:06:05]  (Local) -> (LOCAL)[2]Juan: >:)
[2020:12:22-00:06:09]  (Local) -> (LOCAL)[2]CAPU|~Orion~|: Ustedes que
[2020:12:22-00:06:12]  (Local) -> (LOCAL)[8]2cbRagnarok: xD
[2020:12:22-00:06:12]  (Local) -> (LOCAL)[2]CAPU|~Orion~|: Como van?
