This file was generated by Console at 2020:10:28-00:00:02



[2020:10:28-00:00:02]  (Local) -> (LOCAL)[4]C4rtex: veni
[2020:10:28-00:00:39]  (Local) -> (LOCAL)[4]zLoli: nada es gratis xd
[2020:10:28-00:00:40]  (Local) -> (LOCAL)[4]GT/MiguelM: feliz cumpleaños
[2020:10:28-00:00:41]  (Global) -> 2cb'Escobar: porque tan bobo hp?
[2020:10:28-00:00:42]  (Local) -> (LOCAL)[4]C4rtex: ahhh listo
[2020:10:28-00:00:44]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF0000Francine98: y no me puse las dobles
[2020:10:28-00:00:44]  (Local) -> (LOCAL)[5]Mateo_G.: fransimp
[2020:10:28-00:00:45]  (Local) -> (LOCAL)[4]C4rtex: f4
[2020:10:28-00:00:48]  (Local) -> (LOCAL)[6]DonChimbo: fran
[2020:10:28-00:00:48]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF0000Francine98: q brutoooo
[2020:10:28-00:00:48]  (Local) -> (LOCAL)[4]2cb^El_Marra: lambbon
[2020:10:28-00:00:49]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF0000Khausu: nooo
[2020:10:28-00:00:51]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF0000Khausu: XDDDDDDDD
[2020:10:28-00:00:51]  (Local) -> (LOCAL)[4]C4rtex: sii es con f4
[2020:10:28-00:00:51]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#FF0000Francine98: quien
[2020:10:28-00:00:52]  (Local) -> (LOCAL)[4][EVG]Soltec: a
[2020:10:28-00:00:53]  (Global) -> #7D0093|#DE76F0DJ#7D0093|#B10CCE[Z]_VALLUNITO_DOKI: h
[2020:10:28-00:00:53]  (Local) -> (LOCAL)[7].: ya
[2020:10:28-00:00:54]  (Local) -> (LOCAL)[7]DonChimbo: vamo a ciclear o q
[2020:10:28-00:00:55]  (Local) -> (LOCAL)[1]#7D0093|#DE76F0DJ#7D0093|#B10CCE[Z]_VALLUNITO_DOKI: Hola amigo
[2020:10:28-00:00:55]  (Local) -> (LOCAL)[6]Mateo_G.: ud
[2020:10:28-00:00:58]  (Local) -> (LOCAL)[1]#7F7F7F|CVR||LiderCelacho|#FFFF00PapiArcangel: hola amigo
[2020:10:28-00:00:59]  (Global) -> (S.A.S).(CADO)SAC9(10): LLA
[2020:10:28-00:01:10]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF0000Francine98: pera compro esa
[2020:10:28-00:01:12]  (Local) -> (LOCAL)[0](BGW)elmono109: pare
[2020:10:28-00:01:15]  (Global) -> #7F7F7F|CVR||DJ|#FF5C00Catalina420: DJ CATALINA420 EN RADIO CVR
[2020:10:28-00:01:15]  (Local) -> (LOCAL)[0]GT|~SubditoDeSatanas: d
[2020:10:28-00:01:16]  (Local) -> (LOCAL)[4]C4rtex: lsito
[2020:10:28-00:01:17]  (Local) -> (LOCAL)[2]GT|Jhojan: aca
[2020:10:28-00:01:18]  (Local) -> (LOCAL)[4][EVG]Soltec: ui
[2020:10:28-00:01:19]  (Global) -> Mateo_G.: qn
[2020:10:28-00:01:19]  (Local) -> (LOCAL)[4]C4rtex: avr
[2020:10:28-00:01:19]  (Global) -> #7D0093|#DE76F0DJ#7D0093|#B10CCE[Z]_VALLUNITO_DOKI: Hola cata
[2020:10:28-00:01:33]  (Local) -> (LOCAL)[1]loco: ve
[2020:10:28-00:01:33]  (Local) -> (LOCAL)[5][Z]Osama: mera reunion
[2020:10:28-00:01:34]  (Local) -> (LOCAL)[5]Mateo_G.: solosiclas
[2020:10:28-00:01:34]  (Global) -> (S.A.S).(CADO)SAC9(10): SALGA
[2020:10:28-00:01:38]  (Local) -> (LOCAL)[1](BGW)elmono109: papeles
[2020:10:28-00:01:40]  (Global) -> -|CTL|-ChayanAlejo: que paos
[2020:10:28-00:01:41]  (Global) -> (S.A.S).(CADO)SAC9(10): SUBA
[2020:10:28-00:01:41]  (Local) -> (LOCAL)[4]C4rtex: EY PQ PONE ESA COCHINADA
[2020:10:28-00:01:43]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF0000Khausu: paseamos
[2020:10:28-00:01:46]  (Local) -> (LOCAL)[1]|2cb|pablitopai: dilan
[2020:10:28-00:01:47]  (Local) -> (LOCAL)[1]|2cb|pablitopai: venite
[2020:10:28-00:01:48]  (Local) -> (LOCAL)[1](BGW)elmono109: del carro
[2020:10:28-00:01:48]  (Local) -> (LOCAL)[5]GT|Jhojan: nea juann
[2020:10:28-00:01:51]  (Local) -> (LOCAL)[1]loco: afuera hay un gey
[2020:10:28-00:01:53]  (Global) -> -|CTL|-ChayanAlejo: quieto que ando es asarao
[2020:10:28-00:01:56]  (Local) -> (LOCAL)[4]Raimundo: jasdjbaskdnajsndoinasd
[2020:10:28-00:02:00]  (Local) -> (LOCAL)[1]loco: dañando carros
[2020:10:28-00:02:00]  (Global) -> #7F7F7F|CVR||DJ|#FF5C00Catalina420: DJ CATALINA420 EN LA RADIO DE CVR
[2020:10:28-00:02:00]  (Local) -> (LOCAL)[4][EVG]Soltec: ui no
[2020:10:28-00:02:05]  (Local) -> (LOCAL)[2](BGW)elmono109: q?
[2020:10:28-00:02:07]  (Local) -> (LOCAL)[2]CRIS_CORTES: donde?
[2020:10:28-00:02:10]  (Global) -> [EVG]Javier: MONTESICARIO EVITANDO JAIL
[2020:10:28-00:02:10]  (Local) -> (LOCAL)[5][GT]juann: ?
[2020:10:28-00:02:11]  (Local) -> (LOCAL)[4]C4rtex: siiiiiiiii
[2020:10:28-00:02:12]  (Global) -> [EVG]Javier: MONTESICARIO EVITANDO JAIL
[2020:10:28-00:02:16]  (Global) -> MontesSicario: XD?
[2020:10:28-00:02:17]  (Local) -> (LOCAL)[4]C4rtex: me estremesco
[2020:10:28-00:02:22]  (Local) -> (LOCAL)[3]GT|ElKevinnPai: en el techoo
[2020:10:28-00:02:23]  (Global) -> [EVG]Javier: MONTESICARIO EVITANDO JAIL
[2020:10:28-00:02:24]  (Global) -> [EVG]Javier: MONTESICARIO EVITANDO JAIL
[2020:10:28-00:02:25]  (Global) -> MontesSicario: me fueran quitado 25k
[2020:10:28-00:02:30]  (Global) -> CRIS_CORTES: fail
[2020:10:28-00:02:31]  (Global) -> #7F7F7F|CVR|#FF0000XhnGuaracha: grabaste?
[2020:10:28-00:02:35]  (Local) -> (LOCAL)[4]C4rtex: ._.
[2020:10:28-00:02:36]  (Local) -> (LOCAL)[2](BGW)elmono109: par
[2020:10:28-00:02:36]  (Local) -> (LOCAL)[2]Mateo_G.: bmx aca o q
[2020:10:28-00:02:39]  (Local) -> (LOCAL)[4]C4rtex: noooo
[2020:10:28-00:02:48]  (Local) -> (LOCAL)[4][EVG]Soltec: epaaaaaaaaaaaaaaaaaaaaaaaaaa
[2020:10:28-00:02:49]  (Local) -> (LOCAL)[2](BGW)elmono109: pare
[2020:10:28-00:02:49]  (Local) -> (LOCAL)[1]GT|Jhojan: por los francotiradores
[2020:10:28-00:02:50]  (Global) -> [EVG]Javier: COMO PUTAS VOY A GRABAR SOY STREMER O QUE?
[2020:10:28-00:02:55]  (Global) -> #7D0093|#DE76F0DJ#7D0093|#B10CCE[Z]_VALLUNITO_DOKI: XDD
[2020:10:28-00:02:55]  (Global) -> [Zetas]Matachivos: xd
[2020:10:28-00:02:56]  (Global) -> MontesSicario: JSAJDKASD
[2020:10:28-00:02:56]  (Global) -> 2cb^El_Marra: guaracha usted no hace nada ahora un z evadio arresto al frente suyo
[2020:10:28-00:02:57]  (Global) -> #7F7F7F|CVR|#FF0000XhnGuaracha: xd
[2020:10:28-00:03:02]  (Local) -> (LOCAL)[2]2cb'dilan: bna bb
[2020:10:28-00:03:06]  (Global) -> MontesSicario: a
[2020:10:28-00:03:09]  (Global) -> #7F7F7F|CVR|#FF0000XhnGuaracha: ElMarra yo no vi nada ._:
[2020:10:28-00:03:10]  (Local) -> (LOCAL)[4]Mateo_G.: subanse al techo
[2020:10:28-00:03:13]  (Local) -> (LOCAL)[4]C4rtex: nea
[2020:10:28-00:03:17]  (Global) -> MontesSicario: se le acabo el tiempo del teaser y simplemente saque mi carro rapido
[2020:10:28-00:03:18]  (Global) -> #7F7F7F|CVR|#FF5C00Megu: Ez
[2020:10:28-00:03:18]  (Local) -> (LOCAL)[1].: subiendo lomas
[2020:10:28-00:03:20]  (Local) -> (LOCAL)[1]pablito2200: bobo hpta
[2020:10:28-00:03:24]  (Global) -> MontesSicario: no veo lo malo
[2020:10:28-00:03:27]  (Global) -> #7F7F7F|CVR||DJ|#FF5C00Catalina420: pasame la botellaaa
[2020:10:28-00:03:30]  (Local) -> (LOCAL)[1]WorkableConsole21: TRABAJANDO DE MILITAR LE DAN LAS LUCAS BREVE NO?
[2020:10:28-00:03:31]  (Local) -> (LOCAL)[1]#7D0093|#DE76F0DJ#7D0093|#B10CCE[Z]_VALLUNITO_DOKI: sUBA SAPO
[2020:10:28-00:03:36]  (Local) -> (LOCAL)[3].: yo no tengo la pantera
[2020:10:28-00:03:36]  (Local) -> (LOCAL)[1](BGW)elmono109: pare
[2020:10:28-00:03:37]  (Global) -> #7F7F7F|CVR|#FF5C00Megu: Voy a beber en nombre della
[2020:10:28-00:03:40]  (Global) -> [EVG]Javier: mentiroso
[2020:10:28-00:03:40]  (Global) -> (S.A.S).(CADO)SAC9(10): SUBA
[2020:10:28-00:03:41]  (Local) -> (LOCAL)[4]C4rtex: ese ya lo vi
[2020:10:28-00:03:43]  (Local) -> (LOCAL)[3].: para ir igual
[2020:10:28-00:03:44]  (Global) -> MontesSicario: bno
[2020:10:28-00:03:45]  (Global) -> [EVG]Javier: VEA YA LO ACEPTO
[2020:10:28-00:03:47]  (Global) -> 2cb*care_loco: jajajaja
[2020:10:28-00:03:50]  (Local) -> (LOCAL)[5]GT|Jhojan: ajjsjas
[2020:10:28-00:03:53]  (Local) -> (LOCAL)[2]GT|~SubditoDeSatanas: me escolta :O?
[2020:10:28-00:03:54]  (Global) -> 2cb*care_loco: nos matamos  a el tiempo
[2020:10:28-00:03:56]  (Global) -> MontesSicario: o no evadi jail
[2020:10:28-00:03:57]  (Local) -> (LOCAL)[5]GT|Jhojan: siks
[2020:10:28-00:03:58]  (Global) -> #7F7F7F|CVR||DJ|#FF5C00Catalina420: megu
[2020:10:28-00:03:59]  (Local) -> (LOCAL)[5]GT|Jhojan: ajjsa
[2020:10:28-00:04:01]  (Global) -> [EVG]Javier: ADMINS HAGAN ALGO O ENTONCES ESO ES LEGAL
[2020:10:28-00:04:06]  (Local) -> (LOCAL)[0]GT|~SubditoDeSatanas: d
[2020:10:28-00:04:07]  (Local) -> (LOCAL)[0]GT|~SubditoDeSatanas: d
[2020:10:28-00:04:08]  (Global) -> #7F7F7F|CVR|#FF5C00Megu: dime
[2020:10:28-00:04:09]  (Local) -> (LOCAL)[0]GT|~SubditoDeSatanas: d
[2020:10:28-00:04:10]  (Global) -> #7F7F7F|CVR||DJ|#FF5C00Catalina420: q pasó
[2020:10:28-00:04:13]  (Team - Unemployed) -> (TEAM)/GT/-Mr.Jnx: APOYOOOO
[2020:10:28-00:04:14]  (Global) -> #7F7F7F|CVR|#FF0000Khausu: bno vamos
[2020:10:28-00:04:14]  (Local) -> (LOCAL)[3][ZETAS]Petrosky: :c
[2020:10:28-00:04:16]  (Local) -> (LOCAL)[2].: carreritas en bajada
[2020:10:28-00:04:16]  (Local) -> (LOCAL)[1]CRIS_CORTES: hp pa fastidioso
[2020:10:28-00:04:20]  (Global) -> #7F7F7F|CVR|#FF5C00Megu: De que .o
[2020:10:28-00:04:22]  (Local) -> (LOCAL)[1]loco: si
[2020:10:28-00:04:28]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Khausu: Carrera de bici
[2020:10:28-00:04:29]  (Local) -> (LOCAL)[2]Mateo_G.: a
[2020:10:28-00:04:32]  (Global) -> [EVG]Javier: lo coji
[2020:10:28-00:04:32]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF0000Khausu: Carrera de bici
[2020:10:28-00:04:36]  (Local) -> (LOCAL)[4]Raimundo: Eo, skipeen
[2020:10:28-00:04:36]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF0000Khausu: Carrera de bici
[2020:10:28-00:04:37]  (Global) -> [EVG]Javier: a que hora?
[2020:10:28-00:04:38]  (Global) -> #7F7F7F|CVR||DJ|#FF5C00Catalina420: megu me encantas
[2020:10:28-00:04:39]  (Local) -> (LOCAL)[1]loco: no tengo plata para sacar la camioneta
[2020:10:28-00:04:39]  (Global) -> MrNadieOwO: [EVG]Javier tomele foto y ya , el juego le avisa cuando se le vaya el taseo
[2020:10:28-00:04:41]  (Local) -> (LOCAL)[3][ZETAS]Petrosky: no c
[2020:10:28-00:04:41]  (Local) -> (LOCAL)[4]C4rtex: bno
[2020:10:28-00:04:42]  (Local) -> (LOCAL)[4]Mateo_G.: a onde
[2020:10:28-00:04:44]  (Local) -> (LOCAL)[1]loco: ah
[2020:10:28-00:04:48]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000Khausu: vengan
[2020:10:28-00:04:51]  (Local) -> (LOCAL)[4][Z]Osama: XDD
[2020:10:28-00:04:52]  (Local) -> (LOCAL)[1]loco: que rabia con ese man
[2020:10:28-00:04:54]  (Local) -> (LOCAL)[4]C4rtex: ._.XDDDDDDDDDD
[2020:10:28-00:05:01]  (Local) -> (LOCAL)[4]Mateo_G.: hey megu esa sicla q
[2020:10:28-00:05:05]  (Local) -> (LOCAL)[1]2cb'Escobar: OE
[2020:10:28-00:05:06]  (Local) -> (LOCAL)[4]MontesSicario: ay si no se le acabo el taiseo
[2020:10:28-00:05:06]  (Local) -> (LOCAL)[1]loco: huy pa en la buena
[2020:10:28-00:05:08]  (Local) -> (LOCAL)[4]MontesSicario: lloron
[2020:10:28-00:05:08]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00Megu: re mela
[2020:10:28-00:05:10]  (Local) -> (LOCAL)[1]2cb'Escobar: BUSCO
[2020:10:28-00:05:13]  (Local) -> (LOCAL)[2]MontesSicario: sos na mas un marica
[2020:10:28-00:05:16]  (Local) -> (LOCAL)[1]loco: vea
[2020:10:28-00:05:17]  (Local) -> (LOCAL)[4]ImChaoZ: xd
[2020:10:28-00:05:17]  (Local) -> (LOCAL)[1]2cb'Escobar: lambo
[2020:10:28-00:05:18]  (Global) -> [EVG]Javier: lolre
[2020:10:28-00:05:20]  (Local) -> (LOCAL)[3]MontesSicario: como todos los del server
[2020:10:28-00:05:21]  (Global) -> [EVG]Javier: llore
[2020:10:28-00:05:22]  (Local) -> (LOCAL)[3]2cb'Python: uy q
[2020:10:28-00:05:22]  (Local) -> (LOCAL)[1]loco: bamos hacer bulla
[2020:10:28-00:05:24]  (Local) -> (LOCAL)[1](BGW)elmono109: papeles de la moto profa vor
[2020:10:28-00:05:28]  (Local) -> (LOCAL)[1]2cb'Escobar: eee
[2020:10:28-00:05:31]  (Local) -> (LOCAL)[1]2cb'Escobar: no tengo
[2020:10:28-00:05:32]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000XhnGuaracha: NOOO
[2020:10:28-00:05:34]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000XhnGuaracha: XD
[2020:10:28-00:05:34]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000Francine98: pene
[2020:10:28-00:05:37]  (Local) -> (LOCAL)[2]MontesSicario: llorando porque se le acabo el taiseo y me lo vole
[2020:10:28-00:05:38]  (Global) -> [EVG]Javier: AÑAÑAI ESTAN INSULTANDO  RE FEO
[2020:10:28-00:05:39]  (Local) -> (LOCAL)[2]MontesSicario: DOU
[2020:10:28-00:05:40]  (Local) -> (LOCAL)[1](BGW)elmono109: y su tarjeta de identidad?
[2020:10:28-00:05:43]  (Local) -> (LOCAL)[3][Z]Osama: francine ud me cae bien como la suelto?
[2020:10:28-00:05:46]  (Global) -> [EVG]Javier: ESTA LLORANDO UN NIÑO
[2020:10:28-00:05:46]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Francine98: encaneme no problema
[2020:10:28-00:05:48]  (Local) -> (LOCAL)[2]MontesSicario: bno metame
[2020:10:28-00:05:48]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000Khausu: listos
[2020:10:28-00:05:49]  (Global) -> 2cb*care_loco: STAFF HAY GENTE AFK EN EL SPAWN DE EL HOSPITAL DE SF NO DEJAN SALIR
[2020:10:28-00:05:50]  (Local) -> (LOCAL)[2]MontesSicario: perr
[2020:10:28-00:05:52]  (Global) -> 2cb*care_loco: STAFF HAY GENTE AFK EN EL SPAWN DE EL HOSPITAL DE SF NO DEJAN SALIR
[2020:10:28-00:05:54]  (Local) -> (LOCAL)[1][Z]Osama: callate ome
[2020:10:28-00:05:54]  (Local) -> (LOCAL)[3]2cb'Escobar: chipelo viej ohp
[2020:10:28-00:05:55]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000Khausu: Hasta la T
[2020:10:28-00:05:56]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: q
[2020:10:28-00:05:57]  (Local) -> (LOCAL)[3]MontesSicario: depronto
[2020:10:28-00:05:58]  (Local) -> (LOCAL)[1][Z]Osama: como la suelto?
[2020:10:28-00:05:58]  (Local) -> (LOCAL)[3]MontesSicario: llora
[2020:10:28-00:05:58]  (Global) -> #7F7F7F|CVR|#FF5C00Megu: Saca un auto xd
[2020:10:28-00:06:00]  (Local) -> (LOCAL)[3]MontesSicario: porque me le suelto
[2020:10:28-00:06:01]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000Khausu: mateo
[2020:10:28-00:06:02]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Francine98: asi pille
[2020:10:28-00:06:05]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000Khausu: Hasta la T
[2020:10:28-00:06:05]  (Global) -> #7F7F7F|CVR||DJ|#FF5C00666666666666HIVE: agh si chimbean
[2020:10:28-00:06:06]  (Global) -> [EVG]Javier: COMO SE LLAMA SU CUCHA HABER SI LA ENCUENTRO EN TINDER
[2020:10:28-00:06:07]  (Local) -> (LOCAL)[4]Mateo_G.: r
[2020:10:28-00:06:08]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Francine98: /release Francine98
[2020:10:28-00:06:10]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000Khausu: el ultimo es gay
[2020:10:28-00:06:14]  (Local) -> (LOCAL)[4]C4rtex: qn coño pone videos de juegos?
[2020:10:28-00:06:15]  (Local) -> (LOCAL)[3]MontesSicario: lana rhoades
[2020:10:28-00:06:19]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Francine98: bn
[2020:10:28-00:06:20]  (Local) -> (LOCAL)[2]2cb^El_Marra: A
[2020:10:28-00:06:21]  (Global) -> [EVG]Javier: AÑAÑAI
[2020:10:28-00:06:22]  (Global) -> 2cb'dilan: bna bb
[2020:10:28-00:06:27]  (Local) -> (LOCAL)[3]MontesSicario: bueno rapido costeño
[2020:10:28-00:06:27]  (Global) -> 2cb*care_loco: qww qw}
[2020:10:28-00:06:27]  (Global) -> [EVG]Javier: ESTA RICA SU MAMA
[2020:10:28-00:06:30]  (Local) -> (LOCAL)[1]CRIS_CORTES: como pongo la musica
[2020:10:28-00:06:34]  (Global) -> #7F7F7F|CVR|#FF0000XhnGuaracha: QUE TEMAAAAAAAAA
[2020:10:28-00:06:38]  (Local) -> (LOCAL)[1]loco: con
[2020:10:28-00:06:40]  (Local) -> (LOCAL)[1]pablito2200: aaaaaaaaaaa
[2020:10:28-00:06:43]  (Local) -> (LOCAL)[1]MontesSicario: ovo
[2020:10:28-00:06:44]  (Local) -> (LOCAL)[1]MontesSicario: petro
[2020:10:28-00:06:45]  (Local) -> (LOCAL)[1]MontesSicario: pvp
[2020:10:28-00:06:45]  (Global) -> #7F7F7F|CVR||DJ|#FF5C00Catalina420: añañay
[2020:10:28-00:06:46]  (Local) -> (LOCAL)[1][ZETAS]Petrosky: ole
[2020:10:28-00:06:47]  (Local) -> (LOCAL)[4][EVG]Soltec: suena re duro
[2020:10:28-00:06:47]  (Local) -> (LOCAL)[1]MontesSicario: para probar algo
[2020:10:28-00:06:48]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF0000Francine98: q pasa
[2020:10:28-00:06:48]  (Local) -> (LOCAL)[2]GT|Andres: a mimir
[2020:10:28-00:06:50]  (Local) -> (LOCAL)[1][ZETAS]Petrosky: no kiero
[2020:10:28-00:06:51]  (Global) -> #7F7F7F|CVR|#FF5C00Megu: ya ´perdi
[2020:10:28-00:06:53]  (Global) -> #7F7F7F|CVR|#FF5C00Megu: jeje
[2020:10:28-00:06:53]  (Local) -> (LOCAL)[5]|GT|~SelfMade: d que
[2020:10:28-00:06:53]  (Local) -> (LOCAL)[4]C4rtex: como la mia
[2020:10:28-00:06:56]  (Local) -> (LOCAL)[4]ImChaoZ: quiten esa mierda
[2020:10:28-00:06:56]  (Local) -> (LOCAL)[4][EVG]Soltec: no se le puede bajar?
[2020:10:28-00:06:57]  (Local) -> (LOCAL)[6][GT]Mono: bn o que
[2020:10:28-00:06:58]  (Local) -> (LOCAL)[1]loco: ./baafle
[2020:10:28-00:06:58]  (Local) -> (LOCAL)[1]MontesSicario: :c
[2020:10:28-00:06:58]  (Global) -> #7D0093|#DE76F0DJ#7D0093|#B10CCE[Z]_VALLUNITO_DOKI: beo sapo no se burle del nacional o lo mando a matar
[2020:10:28-00:07:03]  (Global) -> #7F7F7F|CVR||DJ|#FF5C00Catalina420: guaracha te lo dedico
[2020:10:28-00:07:04]  (Global) -> 2cpipo: aaaaaa
[2020:10:28-00:07:06]  (Local) -> (LOCAL)[8]2cb'dilan: PIPOOOOOO
[2020:10:28-00:07:07]  (Local) -> (LOCAL)[1]loco: sin el punto
[2020:10:28-00:07:07]  (Local) -> (LOCAL)[4]C4rtex: nomse
[2020:10:28-00:07:08]  (Global) -> #7F7F7F|CVR||LiderCelacho|#FFFF00PapiArcangel: Que temazo
[2020:10:28-00:07:08]  (Local) -> (LOCAL)[3]2cb'Escobar: oe
[2020:10:28-00:07:10]  (Local) -> (LOCAL)[4]zLoli: quiten esooooooooooo
[2020:10:28-00:07:11]  (Local) -> (LOCAL)[3]2cb'Escobar: n otienes
[2020:10:28-00:07:12]  (Global) -> #7F7F7F|CVR||DJ|#FF5C00Catalina420: (?)
[2020:10:28-00:07:12]  (Global) -> [Zetas]Matachivos: Beo sapo no se burle del nacional o lo mando a matar
[2020:10:28-00:07:13]  (Local) -> (LOCAL)[4]C4rtex: no jodas
[2020:10:28-00:07:15]  (Local) -> (LOCAL)[4]C4rtex: HPPPPP
[2020:10:28-00:07:19]  (Local) -> (LOCAL)[1]CRIS_CORTES: si eso si se pero con que link
[2020:10:28-00:07:19]  (Local) -> (LOCAL)[1]loco: ya
[2020:10:28-00:07:20]  (Local) -> (LOCAL)[7]|GT|~SelfMade: oe
[2020:10:28-00:07:21]  (Local) -> (LOCAL)[1]2cpipo: na vamonos
[2020:10:28-00:07:22]  (Local) -> (LOCAL)[7]2cb^El_Marra: Q
[2020:10:28-00:07:24]  (Local) -> (LOCAL)[4]C4rtex: qn es yolotroll hpppp
[2020:10:28-00:07:24]  (Phone:SMS) -> From Juanka | To: ElLisne | Message: hola lynett
[2020:10:28-00:07:26]  (Local) -> (LOCAL)[10]|GT|~SelfMade: marra roteme plata chino
[2020:10:28-00:07:26]  (Local) -> (LOCAL)[4][EVG]Soltec: ak
[2020:10:28-00:07:27]  (Local) -> (LOCAL)[1]loco: oe
[2020:10:28-00:07:27]  (Global) -> 2cb'Escobar: vendo cart
[2020:10:28-00:07:28]  (Local) -> (LOCAL)[4][EVG]Soltec: ai
[2020:10:28-00:07:28]  (Local) -> (LOCAL)[1]2cb'dilan: ._.
[2020:10:28-00:07:29]  (Global) -> S.A.S[CAD]Alejo: oe daniels 
[2020:10:28-00:07:33]  (Local) -> (LOCAL)[4][EVG]Soltec: la casaaaaaaaaaaaaaaaaaaaaaa
[2020:10:28-00:07:33]  (Global) -> 2cb'Escobar: vendo cart
[2020:10:28-00:07:33]  (Global) -> S.A.S[CAD]Alejo: sigue por ahi
[2020:10:28-00:07:34]  (Local) -> (LOCAL)[10]2cb^El_Marra: AH???
[2020:10:28-00:07:38]  (Local) -> (LOCAL)[1]loco: oe
[2020:10:28-00:07:39]  (Local) -> (LOCAL)[2]-|CTL|-ChayanDavid: cuanto
[2020:10:28-00:07:39]  (Global) -> 2cb'Escobar: VENDO CART
[2020:10:28-00:07:45]  (Global) -> S.A.S[CAD]Alejo: cuanto
[2020:10:28-00:07:45]  (Local) -> (LOCAL)[1]GT|Cheverry: coja la otra
[2020:10:28-00:07:45]  (Local) -> (LOCAL)[4]C4rtex: epa
[2020:10:28-00:07:45]  (Global) -> Mateo_G.: gane hp gane
[2020:10:28-00:07:47]  (Local) -> (LOCAL)[9]2cb^El_Marra: QUE HABLAS
[2020:10:28-00:07:47]  (Local) -> (LOCAL)[9]|GT|~SelfMade: si
[2020:10:28-00:07:48]  (Local) -> (LOCAL)[4][EVG]Soltec: mero clasico
