This file was generated by Console at 2021:01:11-00:00:00



[2021:01:11-00:00:00]  (Local) -> (LOCAL)[1]Royal2cb: pere
[2021:01:11-00:03:24]  (Global) -> jambyelloco: pa donde lo llevo sr
[2021:01:11-00:03:26]  (Local) -> (LOCAL)[7][Z]Petrosky: a
[2021:01:11-00:03:27]  (Local) -> (LOCAL)[2]ElSA_POHPTA: lo acabe de bajar
[2021:01:11-00:03:28]  (Global) -> jambyelloco: ale
[2021:01:11-00:03:29]  (Local) -> (LOCAL)[3]Cheverry: aaa
[2021:01:11-00:03:29]  (Local) -> (LOCAL)[4]3fj.francovilla,pato: YA NO SOY 2CB
[2021:01:11-00:03:33]  (Global) -> EL_FLACO_BRS: pongalaaa
[2021:01:11-00:03:34]  (Global) -> Diablo: visajoso?
[2021:01:11-00:03:34]  (Local) -> (LOCAL)[1]#7F7F7F|LG|#FF5C00|EVG|RicardoJorge: no entró a la reunión?
[2021:01:11-00:03:35]  (Local) -> (LOCAL)[1]Cheverry: hp estaba escribiendo
[2021:01:11-00:03:40]  (Local) -> (LOCAL)[10]2cb]ARETE: y eso
[2021:01:11-00:03:40]  (Global) -> EL_FLACO_BRS: eso
[2021:01:11-00:03:45]  (Local) -> (LOCAL)[3]3fj.francovilla,pato: NOSE
[2021:01:11-00:03:45]  (Global) -> AndresElBazukero300: no encotró el tgrabajo?
[2021:01:11-00:03:46]  (Local) -> (LOCAL)[1]#7F7F7F|LG|#0064FF|Ak|[g8]: a
[2021:01:11-00:03:47]  (Local) -> (LOCAL)[1]#7F7F7F|LG|#0064FF|Ak|[g8]: mala
[2021:01:11-00:03:49]  (Local) -> (LOCAL)[1]AK'Tsuchiya: ay
[2021:01:11-00:03:55]  (Local) -> (LOCAL)[2]ElSA_POHPTA: sabe que haga lo que tenga que hacer
[2021:01:11-00:03:59]  (Global) -> 3fj.francovilla,pato: TIROFIJO
[2021:01:11-00:04:00]  (Global) -> EL_FLACO_BRS: ponela
[2021:01:11-00:04:02]  (Local) -> (LOCAL)[8][Z]Petrosky: espere que esta esa sapa de tiro
[2021:01:11-00:04:03]  (Local) -> (LOCAL)[8]#7F7F7F|CVR|#FF5C00_SEMDS_: felicitaciones
[2021:01:11-00:04:03]  (Global) -> AndresElBazukero300: P?
[2021:01:11-00:04:06]  (Local) -> (LOCAL)[7]#7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: a
[2021:01:11-00:04:07]  (Local) -> (LOCAL)[1]surimc30: todo bien?
[2021:01:11-00:04:08]  (Local) -> (LOCAL)[2]ElSA_POHPTA: yo se que no hice nada ilegal
[2021:01:11-00:04:08]  (Local) -> (LOCAL)[1]JoseCuellar: cual
[2021:01:11-00:04:10]  (Global) -> AndresElBazukero300: lo encontró?
[2021:01:11-00:04:12]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#FF5C00_SEMDS_: te van a dar lvl1
[2021:01:11-00:04:12]  (Global) -> EL_FLACO_BRS: sooow
[2021:01:11-00:04:15]  (Global) -> EL_FLACO_BRS: esa
[2021:01:11-00:04:15]  (Local) -> (LOCAL)[3]ak*don_jimenez: admin
[2021:01:11-00:04:18]  (Local) -> (LOCAL)[8]#7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: enserio?
[2021:01:11-00:04:22]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF5C00_SEMDS_: si sr
[2021:01:11-00:04:24]  (Local) -> (LOCAL)[10]#7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: andan en reunion?
[2021:01:11-00:04:27]  (Local) -> (LOCAL)[8]#7F7F7F|CVR|#FF5C00_SEMDS_: a ricardo tmbn
[2021:01:11-00:04:28]  (Local) -> (LOCAL)[8]#7F7F7F|CVR|#FF5C00_SEMDS_: sisas
[2021:01:11-00:04:32]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#FF5C00_SEMDS_: dizq reunion cortica
[2021:01:11-00:04:32]  (Local) -> (LOCAL)[7]#7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: oaseme link
[2021:01:11-00:04:34]  (Local) -> (LOCAL)[2]ElSA_POHPTA: listo señor agente
[2021:01:11-00:04:34]  (Local) -> (LOCAL)[1]MarriedSteaks96: oe lo curo
[2021:01:11-00:04:35]  (Local) -> (LOCAL)[8]#7F7F7F|CVR|#FF5C00_SEMDS_: llevamos 2 horas
[2021:01:11-00:04:36]  (Local) -> (LOCAL)[1]JoseCuellar: pa donde va
[2021:01:11-00:04:36]  (Global) -> ak*don_jimenez: adminn
[2021:01:11-00:04:38]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF5C00_SEMDS_: nada
[2021:01:11-00:04:41]  (Local) -> (LOCAL)[8]#7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: a mi no me pasaron una monda
[2021:01:11-00:04:41]  (Local) -> (LOCAL)[3]GT|~SubditoDeSatanas: estoy farmeando mi pablo escobar
[2021:01:11-00:04:42]  (Global) -> #7F7F7F|CVR|#FF5C00_SEMDS_: dime jumenez
[2021:01:11-00:04:44]  (Global) -> Diablo: quien pa pikar en rappi :V
[2021:01:11-00:04:46]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF5C00_SEMDS_: solo staffs
[2021:01:11-00:04:49]  (Local) -> (LOCAL)[9]#7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: a oki
[2021:01:11-00:04:51]  (Global) -> EL_FLACO_BRS: ya casi llego
[2021:01:11-00:04:55]  (Local) -> (LOCAL)[10]#7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: wow lvl1
[2021:01:11-00:04:59]  (Global) -> Juandi: señor venga con migo
[2021:01:11-00:05:04]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF5C00_SEMDS_: pillate
[2021:01:11-00:05:07]  (Global) -> Diablo: YO QUE DIJE OME?
[2021:01:11-00:05:08]  (Global) -> EL_FLACO_BRS: esooooooooooooo
[2021:01:11-00:05:11]  (Local) -> (LOCAL)[0]ak*don_jimenez: me aregla el carro lo arrglo y sige el umo
[2021:01:11-00:05:11]  (Local) -> (LOCAL)[7]#7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: si vi ajajja
[2021:01:11-00:05:14]  (Local) -> (LOCAL)[9]#7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: conejo
[2021:01:11-00:05:17]  (Local) -> (LOCAL)[0]#7F7F7F|LG|#FF5C00|EVG|RicardoJorge: hpoppp
[2021:01:11-00:05:18]  (Local) -> (LOCAL)[9]#7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: conejo malo
[2021:01:11-00:05:20]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF5C00_SEMDS_: ay bo
[2021:01:11-00:05:21]  (Global) -> Diablo: SEMDS  YO QUE DIJE OME?
[2021:01:11-00:05:22]  (Global) -> jambyelloco: listo
[2021:01:11-00:05:24]  (Local) -> (LOCAL)[9]#7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: ajsjasjas
[2021:01:11-00:05:25]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#FF5C00_SEMDS_: q chimba esa skin
[2021:01:11-00:05:28]  (Global) -> Juandi: pa donde va 
[2021:01:11-00:05:28]  (Local) -> (LOCAL)[7]#7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: sisas
[2021:01:11-00:05:36]  (Local) -> (LOCAL)[3]GT|~SubditoDeSatanas: me robo el tombo el hpta
[2021:01:11-00:05:36]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF5C00_SEMDS_: ey
[2021:01:11-00:05:37]  (Local) -> (LOCAL)[1]SleepyHassock14: gracias
[2021:01:11-00:05:40]  (Global) -> jambyelloco: todo bien
