This file was generated by Console at 2020:11:27-00:00:00



[2020:11:27-00:00:00]  (Global) -> 2cb'ViejoRichard: si
[2020:11:27-00:00:31]  (Local) -> (LOCAL)[1]2cb'ViejoRichard: XD a ver
[2020:11:27-00:00:32]  (Local) -> (LOCAL)[5]2cV~[7]{7}(7): silensio 4 zetas con dobles llorando
[2020:11:27-00:00:33]  (Local) -> (LOCAL)[2]MZ-changua21: futuro esposo de vibra
[2020:11:27-00:00:35]  (Local) -> (LOCAL)[5]Tartarus: mano usted no mata a ninguno de los que estamos aca, usted es muy malo
[2020:11:27-00:00:36]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000XhnGuaracha: naaaaaaaaaaaaa
[2020:11:27-00:00:41]  (Local) -> (LOCAL)[5]mata: vamos con m4
[2020:11:27-00:00:41]  (Global) -> MZ-changua21: futuro esposo de vibra
[2020:11:27-00:00:42]  (Global) -> MZ-changua21: futuro esposo de vibra
[2020:11:27-00:00:42]  (Global) -> #7F7F7F|CVR|#FF5C00Jimenez: Mera vibra buea
[2020:11:27-00:00:43]  (Local) -> (LOCAL)[5]mata: walter
[2020:11:27-00:00:43]  (Local) -> (LOCAL)[5]2cV~[7]{7}(7): sisas
[2020:11:27-00:00:43]  (Global) -> {2cb}francovillar: ajjaja
[2020:11:27-00:00:44]  (Global) -> [Z]GualdronSalchicha: Depende bibra
[2020:11:27-00:00:45]  (Local) -> (LOCAL)[2]{2cb}francovillar: ajja
[2020:11:27-00:00:48]  (Global) -> #7F7F7F|LG|#0064FF2cb'tussy: matando con mp
[2020:11:27-00:00:48]  (Local) -> (LOCAL)[5]mata: curese ps
[2020:11:27-00:00:49]  (Global) -> CarlosBaretaChar|C&A|: Vibra_Alegre_Games[1] Holaaaa
[2020:11:27-00:00:49]  (Global) -> [Z]GualdronSalchicha: vibra*
[2020:11:27-00:00:50]  (Global) -> #7F7F7F|CVR|#FF0000Megu: volvio los Eurobeat
[2020:11:27-00:00:50]  (Local) -> (LOCAL)[5]2cV~[7]{7}(7): ustedes son los mejores
[2020:11:27-00:00:52]  (Global) -> #7F7F7F|LG|#0064FF2cb'tussy: atroppellando
[2020:11:27-00:00:53]  (Global) -> |DJ|Pastelo:(: Siiii
[2020:11:27-00:00:53]  (Global) -> #7F7F7F|CVR|#0064FF_SEMDS_: yo
[2020:11:27-00:00:54]  (Local) -> (LOCAL)[5]Tartarus: en turf nunca me ha matadoXDDDDDD
[2020:11:27-00:00:54]  (Global) -> #7F7F7F|LG|#0064FF2cb'tussy: ᗒ ͟ʖᗕ
[2020:11:27-00:00:54]  (Local) -> (LOCAL)[5]2cV~[7]{7}(7): ya entendi
[2020:11:27-00:00:57]  (Global) -> Jabonsito:  ᗒ ͟ʖᗕ
[2020:11:27-00:00:57]  (Global) -> |DJ|Pastelo:(: mapa de navidad
[2020:11:27-00:00:57]  (Local) -> (LOCAL)[5]2cV~[7]{7}(7): en turf hablamos
[2020:11:27-00:00:58]  (Global) -> |DJ||Cacorrin|PERCY: DRIFTEANDO CON EL AMOOOOOR
[2020:11:27-00:01:00]  (Global) -> #7F7F7F|CVR|#FF0000Megu: ᗒ ͟ʖᗕ
[2020:11:27-00:01:01]  (Global) -> CarlosBaretaChar|C&A|: Vibra_Alegre_Games[1] podemos tener un hijo si te interesa
[2020:11:27-00:01:03]  (Local) -> (LOCAL)[3]|2cb|-CASPA_-_-_|C&A|: ahhahah
[2020:11:27-00:01:04]  (Local) -> (LOCAL)[5][Z]DanielFly: breve
[2020:11:27-00:01:04]  (Global) -> #7F7F7F|CVR|#0064FF_SEMDS_: ey
[2020:11:27-00:01:04]  (Local) -> (LOCAL)[5]Tartarus: pfffffffffffffffffffffffffffffff
[2020:11:27-00:01:04]  (Local) -> (LOCAL)[1]CAMILO: hablamos con tostada
[2020:11:27-00:01:07]  (Local) -> (LOCAL)[1]2cb'sumadre420: normal si o q
[2020:11:27-00:01:08]  (Local) -> (LOCAL)[5]2cV~[7]{7}(7): malitos
[2020:11:27-00:01:08]  (Local) -> (LOCAL)[2]#7F7F7F|LG||Coomo?|#0064FFCAPU|~CapuCurioso~|: F
[2020:11:27-00:01:08]  (Global) -> DIMETILTRIPTAMINA: HP
[2020:11:27-00:01:08]  (Global) -> #7F7F7F|CVR|#0064FF_SEMDS_: jasjdjasd
[2020:11:27-00:01:08]  (Local) -> (LOCAL)[1]CAMILO: donde eesta
[2020:11:27-00:01:10]  (Local) -> (LOCAL)[1]JJ_Gamer: parolo ajaja xd
[2020:11:27-00:01:10]  (Local) -> (LOCAL)[2]#7F7F7F|LG||Coomo?|#0064FFCAPU|~CapuCurioso~|: no me salio
[2020:11:27-00:01:12]  (Local) -> (LOCAL)[5]Tartarus: bocon y manco
[2020:11:27-00:01:12]  (Global) -> MZ-changua21: vibra es mio
[2020:11:27-00:01:13]  (Local) -> (LOCAL)[5][Z]DanielFly: bn
[2020:11:27-00:01:13]  (Local) -> (LOCAL)[2]|2cb|-CASPA_-_-_|C&A|: r
[2020:11:27-00:01:16]  (Team - Unemployed) -> (TEAM)Vibra_Alegre_Games: NO VOY A HACER DIRECTO PODEMOS JUGAR :3
[2020:11:27-00:01:16]  (Local) -> (LOCAL)[1]2cb'ViejoRichard: driftea raro
[2020:11:27-00:01:18]  (Local) -> (LOCAL)[5]2cV~[7]{7}(7): les quitan esas dobles 1 dias
[2020:11:27-00:01:18]  (Local) -> (LOCAL)[2]|2cb|-CASPA_-_-_|C&A|: xD
[2020:11:27-00:01:20]  (Global) -> Vibra_Alegre_Games: NO VOY A HACER DIRECTO PODEMOS JUGAR :3
[2020:11:27-00:01:20]  (Local) -> (LOCAL)[1]2cb'sumadre420: aa
[2020:11:27-00:01:20]  (Local) -> (LOCAL)[5][Z]DanielFly: bn
[2020:11:27-00:01:20]  (Local) -> (LOCAL)[5]2cV~[7]{7}(7): y se mueren
[2020:11:27-00:01:22]  (Global) -> |DJ||Cacorrin|PERCY: DRIFTEANDO CON EL AMOR, NO CHMBEAR
[2020:11:27-00:01:23]  (Local) -> (LOCAL)[1]C|Algarete'SiCkOMoDe: si
[2020:11:27-00:01:24]  (Local) -> (LOCAL)[1]2cb'sumadre420: gnrrrea me van a matar
[2020:11:27-00:01:27]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF0000XhnGuaracha: semds
[2020:11:27-00:01:27]  (Local) -> (LOCAL)[5]2cV~[7]{7}(7): d
[2020:11:27-00:01:28]  (Local) -> (LOCAL)[1]2cb'sumadre420: xd
[2020:11:27-00:01:29]  (Local) -> (LOCAL)[5]Tartarus: usted es un aparecido
[2020:11:27-00:01:29]  (Global) -> |DJ|Pastelo:(: Reiniciaron eldrifter entero?
[2020:11:27-00:01:31]  (Global) -> [EVG].DJ-NICO-PRESTIGE: HOLAAAAA
[2020:11:27-00:01:31]  (Local) -> (LOCAL)[6]2cb'Chirretico: cante alone
[2020:11:27-00:01:32]  (Local) -> (LOCAL)[5][Z]DanielFly: bn
[2020:11:27-00:01:32]  (Global) -> JJ_Gamer: Vibra_Alegre_Games[1] OK OMEEEEE
[2020:11:27-00:01:34]  (Local) -> (LOCAL)[6]Jabonsito: no
[2020:11:27-00:01:35]  (Local) -> (LOCAL)[5]2cV~[7]{7}(7): me los llevo a u server de pvp
[2020:11:27-00:01:35]  (Local) -> (LOCAL)[1]CAPU|Elmenor: esta en bigear
[2020:11:27-00:01:37]  (Local) -> (LOCAL)[5][Z]DanielFly: bn
[2020:11:27-00:01:37]  (Local) -> (LOCAL)[5]Tartarus: papi desde junio hasta agosto jugue sin dobles
[2020:11:27-00:01:38]  (Local) -> (LOCAL)[6]Jabonsito: coma mierda
[2020:11:27-00:01:38]  (Global) -> [EVG].DJ-NICO-PRESTIGE: QE HACEN MIS BEBES
[2020:11:27-00:01:38]  (Local) -> (LOCAL)[5]2cV~[7]{7}(7): y me los violo
[2020:11:27-00:01:39]  (Local) -> (LOCAL)[5]mata: vamos
[2020:11:27-00:01:39]  (Global) -> #7F7F7F|CVR|#FF0000tostada: en teoria ya no tiene bug
[2020:11:27-00:01:40]  (Local) -> (LOCAL)[1]CAMILO: ya
[2020:11:27-00:01:40]  (Global) -> 2cb'ViejoRichard: vamos bigear o k
[2020:11:27-00:01:41]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF0000XhnGuaracha: cuando vuelva
[2020:11:27-00:01:42]  (Local) -> (LOCAL)[5][Z]DanielFly: bn
[2020:11:27-00:01:43]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF0000XhnGuaracha: a
[2020:11:27-00:01:43]  (Local) -> (LOCAL)[5]mata: vamos a flv
[2020:11:27-00:01:44]  (Local) -> (LOCAL)[2]MZ-changua21: ya llego la navidad :3
[2020:11:27-00:01:45]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000XhnGuaracha: bala
[2020:11:27-00:01:46]  (Local) -> (LOCAL)[5]Tartarus: aparecidin
[2020:11:27-00:01:46]  (Local) -> (LOCAL)[1]2cb'sumadre420: sin nitro
[2020:11:27-00:01:49]  (Local) -> (LOCAL)[1]2cb'sumadre420: q pereza
[2020:11:27-00:01:49]  (Local) -> (LOCAL)[5][Z]DanielFly: pero se le caga a petro
[2020:11:27-00:01:52]  (Local) -> (LOCAL)[5]2cV~[7]{7}(7): a Z E
[2020:11:27-00:01:52]  (Local) -> (LOCAL)[1]2cb'ViejoRichard: XDD
[2020:11:27-00:01:53]  (Local) -> (LOCAL)[5][Z]DanielFly: jajjj
[2020:11:27-00:01:54]  (Global) -> [EVG].DJ-NICO-PRESTIGE: QE HACEN MIS BEBES
[2020:11:27-00:01:55]  (Local) -> (LOCAL)[5]Tartarus: mata se lo culea con lo que sea
[2020:11:27-00:01:55]  (Local) -> (LOCAL)[5]2cV~[7]{7}(7): o utg
[2020:11:27-00:01:57]  (Local) -> (LOCAL)[1]2cb'sumadre420: vamos a bajar akina
[2020:11:27-00:01:58]  (Global) -> 2cb'Ozuna: cuando subo de drifter 
[2020:11:27-00:01:58]  (Local) -> (LOCAL)[5]mata: vamso a flv
[2020:11:27-00:02:01]  (Local) -> (LOCAL)[1]2cb'sumadre420: sin nitro mejor
[2020:11:27-00:02:01]  (Local) -> (LOCAL)[0]2cb'Ozuna: puta
[2020:11:27-00:02:01]  (Global) -> #7F7F7F|CVR|#FF0000XhnGuaracha: Bala, hoy a Arturo no lo dejó pintar el Stratum pero el Elegy sí
[2020:11:27-00:02:02]  ([Msg] de Francine98 para tostada: entonces nah q hacer con eso del bolillo bug¿) -> nil
[2020:11:27-00:02:03]  (Local) -> (LOCAL)[5][Z]Petrosky: yo soy malo :c
[2020:11:27-00:02:03]  (Local) -> (LOCAL)[5][Z]DanielFly: bno proplayer
[2020:11:27-00:02:04]  (Global) -> 2cb'Ozuna: puta
[2020:11:27-00:02:04]  (Local) -> (LOCAL)[5]2cV~[7]{7}(7): nUTG
[2020:11:27-00:02:06]  (Local) -> (LOCAL)[2]Vibra_Alegre_Games: BJAE
[2020:11:27-00:02:06]  (Global) -> [BGW]Ragnarok: trabajando
[2020:11:27-00:02:06]  (Global) -> #7F7F7F|CVR|#FF0000XhnGuaracha: es con el mismo rango?
[2020:11:27-00:02:09]  (Global) -> 2cb'ViejoRichard: weno
[2020:11:27-00:02:10]  (Local) -> (LOCAL)[5]mata: pero no pues que sos pro
[2020:11:27-00:02:13]  (Local) -> (LOCAL)[2]Vibra_Alegre_Games: BAJEEEEEEEEEEEEEEE
[2020:11:27-00:02:13]  (Local) -> (LOCAL)[5]2cV~[7]{7}(7): No me gusta anime
[2020:11:27-00:02:13]  (Local) -> (LOCAL)[5]mata: vamso a flv
[2020:11:27-00:02:14]  (Local) -> (LOCAL)[9]|Sr.g8|: ajajjajaj
[2020:11:27-00:02:15]  (Local) -> (LOCAL)[3]CAMILO: tostada
[2020:11:27-00:02:15]  (Local) -> (LOCAL)[5][Z]DanielFly: bno proplayer
[2020:11:27-00:02:16]  (Local) -> (LOCAL)[5]mata: naaaaaa
[2020:11:27-00:02:17]  (Local) -> (LOCAL)[5]2cV~[7]{7}(7): utg
[2020:11:27-00:02:17]  (Local) -> (LOCAL)[1]JJ_Gamer: JAJA XD
[2020:11:27-00:02:17]  (Local) -> (LOCAL)[9]#7F7F7F|LG||Coomo?|#0064FFCAPU|~CapuCurioso~|: hp
[2020:11:27-00:02:17]  (Local) -> (LOCAL)[1]2cb'sumadre420: este es mera ximba
[2020:11:27-00:02:18]  (Global) -> 2cb'Chirretico: Marshmellow concierto cvr
[2020:11:27-00:02:18]  (Local) -> (LOCAL)[5]Tartarus: mata se lo culea con lo q sea
[2020:11:27-00:02:18]  (Local) -> (LOCAL)[1]CAPU/Pablito5654: si
[2020:11:27-00:02:20]  (Local) -> (LOCAL)[5]2cV~[7]{7}(7): mejor
[2020:11:27-00:02:21]  (Local) -> (LOCAL)[1]2cb'sumadre420: es r estable
[2020:11:27-00:02:22]  (Local) -> (LOCAL)[5][Z]DanielFly: na este man saca mas excusas
[2020:11:27-00:02:22]  (Local) -> (LOCAL)[3]CAMILO: buenas noches
[2020:11:27-00:02:23]  (Local) -> (LOCAL)[5]mata: excusas
[2020:11:27-00:02:23]  (Global) -> andres_bejarano: donde consigo el taserrr
[2020:11:27-00:02:24]  (Local) -> (LOCAL)[5][Z]DanielFly: jajjjj
[2020:11:27-00:02:25]  (Local) -> (LOCAL)[1]2cb'ViejoRichard: alv
[2020:11:27-00:02:27]  (Local) -> (LOCAL)[5]2cV~[7]{7}(7): vamos ps
[2020:11:27-00:02:28]  (Global) -> #7F7F7F|CVR|#0064FFFrancine98: andres_bejarano[1] en el ammu
[2020:11:27-00:02:28]  (Local) -> (LOCAL)[3]CAMILO: paa un favor
[2020:11:27-00:02:30]  (Global) -> #7F7F7F|CVR|#0064FFFrancine98: se llama silenced 9mm
[2020:11:27-00:02:30]  (Local) -> (LOCAL)[2]G34R$: virtual
[2020:11:27-00:02:31]  (Local) -> (LOCAL)[5]G34R$: invitame
[2020:11:27-00:02:32]  (Local) -> (LOCAL)[5]2cV~[7]{7}(7): a utg
[2020:11:27-00:02:32]  (Global) -> 2cb'Chirretico: ft deadmouse
[2020:11:27-00:02:33]  (Local) -> (LOCAL)[5]mata: breve
[2020:11:27-00:02:34]  (Local) -> (LOCAL)[1]2cb'sumadre420: cuanto es el top speed
[2020:11:27-00:02:36]  (Local) -> (LOCAL)[5][Z]Petrosky: excusas de un pro:D
[2020:11:27-00:02:36]  (Local) -> (LOCAL)[5]#7F7F7F|LG|#0064FF2cb'tussy: ?
[2020:11:27-00:02:38]  (Local) -> (LOCAL)[2]MZ-changua21: XD?
[2020:11:27-00:02:38]  (Local) -> (LOCAL)[5][Z]DanielFly: donde su qcha mejor
[2020:11:27-00:02:39]  (Local) -> (LOCAL)[5]mata: vamso a flv
[2020:11:27-00:02:40]  (Local) -> (LOCAL)[1]2cb'sumadre420: 225
[2020:11:27-00:02:41]  (Local) -> (LOCAL)[5]Tartarus: es q el es un pro
[2020:11:27-00:02:41]  (Local) -> (LOCAL)[2]G34R$: dayana
[2020:11:27-00:02:42]  (Global) -> #7F7F7F|CVR|#FF0000Megu: Bala colocais zona roja en el aeropuerto
[2020:11:27-00:02:44]  (Local) -> (LOCAL)[5]Tartarus: dios me da miedo
[2020:11:27-00:02:45]  (Global) -> #7F7F7F|CVR|#FF0000Megu: ᗒ ͟ʖᗕ
[2020:11:27-00:02:49]  (Local) -> (LOCAL)[5]2cV~[7]{7}(7): no me gusta anime
[2020:11:27-00:02:49]  (Local) -> (LOCAL)[2]#7F7F7F|LG|#0064FF2cb'tussy: Fabius
[2020:11:27-00:02:50]  (Local) -> (LOCAL)[1]2cb'sumadre420: hey
[2020:11:27-00:02:50]  (Global) -> [EVG].DJ-NICO-PRESTIGE: HOLA BALA
[2020:11:27-00:02:51]  (Local) -> (LOCAL)[5]mata: na
[2020:11:27-00:02:52]  (Local) -> (LOCAL)[5]Tartarus: no le pre
[2020:11:27-00:02:53]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#0064FF_SEMDS_: q necesitascamilo
[2020:11:27-00:02:53]  (Local) -> (LOCAL)[5]2cV~[7]{7}(7): mucho c bug
[2020:11:27-00:02:55]  (Local) -> (LOCAL)[1]2cb'sumadre420: y poq tenia nitro xd
[2020:11:27-00:02:56]  (Local) -> (LOCAL)[1]MZ-changua21: :c
[2020:11:27-00:02:56]  (Local) -> (LOCAL)[5]mata: xd
[2020:11:27-00:02:56]  (Global) -> Vibra_Alegre_Games: :( NADIE QUIERE ROLEAR CONMIGO
[2020:11:27-00:02:57]  (Local) -> (LOCAL)[1]2cb'sumadre420: ?
[2020:11:27-00:02:57]  (Global) -> Vibra_Alegre_Games: :(
[2020:11:27-00:02:58]  (Local) -> (LOCAL)[1]2cb'sumadre420: xdd
[2020:11:27-00:02:59]  (Global) -> #7F7F7F|LG||Coomo?|#0064FFCAPU|~CapuCurioso~|: XDDD
[2020:11:27-00:02:59]  (Local) -> (LOCAL)[2]#7F7F7F|LG|#0064FF2cb'tussy: ya
[2020:11:27-00:03:00]  (Local) -> (LOCAL)[6]Tartarus: excusas888
[2020:11:27-00:03:00]  (Global) -> [EVG].DJ-NICO-PRESTIGE: QUE HAY PA LA KABEZA
[2020:11:27-00:03:00]  (Local) -> (LOCAL)[1]2cb'ViejoRichard: nidea
[2020:11:27-00:03:01]  (Local) -> (LOCAL)[1]2cb'ViejoRichard: lol
[2020:11:27-00:03:03]  (Local) -> (LOCAL)[2]#7F7F7F|LG|#0064FF2cb'tussy: pq te pones el nick de gearsw
[2020:11:27-00:03:04]  (Local) -> (LOCAL)[3]CAMILO: modificar un precio en el compraventa
[2020:11:27-00:03:07]  (Local) -> (LOCAL)[6]2cV~[7]{7}(7): siquiere algo
[2020:11:27-00:03:08]  (Global) -> CarlosBaretaChar|C&A|: Vibra_Alegre_Games que quiere rolear pues bobo
[2020:11:27-00:03:08]  (Local) -> (LOCAL)[6]G34R$: pq soy pro ahora
[2020:11:27-00:03:09]  (Local) -> (LOCAL)[1]2cb'ViejoRichard: aaaaaaaaa
[2020:11:27-00:03:09]  (Local) -> (LOCAL)[6]2cV~[7]{7}(7): vamos a utg
[2020:11:27-00:03:11]  (Local) -> (LOCAL)[6]2cv|D^ego: ya me saque la arma
[2020:11:27-00:03:12]  (Local) -> (LOCAL)[6]G34R$: mentira, pq me andan buscando
[2020:11:27-00:03:13]  (Global) -> Jabonsito: XDDDDDDD
[2020:11:27-00:03:13]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#0064FF_SEMDS_: suave
[2020:11:27-00:03:13]  (Local) -> (LOCAL)[6]2cV~[7]{7}(7): o stealth
[2020:11:27-00:03:15]  (Global) -> DIMETILTRIPTAMINA: hpppppppppppp
[2020:11:27-00:03:17]  (Local) -> (LOCAL)[6]2cV~[7]{7}(7): sjsjs
[2020:11:27-00:03:19]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#0064FF_SEMDS_: que carro pusiste?
[2020:11:27-00:03:19]  (Local) -> (LOCAL)[6]Tartarus: vos no le gnas a mata tonta
[2020:11:27-00:03:20]  (Local) -> (LOCAL)[3]CAMILO: nos podes ayudar?
[2020:11:27-00:03:20]  (Local) -> (LOCAL)[6]mata: flv es lo mas completo
[2020:11:27-00:03:21]  (Local) -> (LOCAL)[6]2cV~[7]{7}(7): dale
[2020:11:27-00:03:24]  (Local) -> (LOCAL)[3]CAMILO: capu
[2020:11:27-00:03:24]  (Global) -> 2cb'sumadre420: vibra
[2020:11:27-00:03:24]  (Local) -> (LOCAL)[1]2cb'ViejoRichard: JHAJAJAHJA
[2020:11:27-00:03:26]  (Global) -> Vibra_Alegre_Games: NOS VEMOS EN LA  ESTACION DE POLICIAS 
[2020:11:27-00:03:26]  (Global) -> #7F7F7F|CVR|#0064FFFrancine98:  ������
[2020:11:27-00:03:27]  (Global) -> #7F7F7F|LG||Coomo?|#0064FFCAPU|~CapuCurioso~|: Oe megu como es pa recordar viejos tiempos
[2020:11:27-00:03:28]  (Local) -> (LOCAL)[3]CAMILO: puso un jeep
[2020:11:27-00:03:29]  (Global) -> 2cb'sumadre420: anda en stream?
[2020:11:27-00:03:29]  (Global) -> Vibra_Alegre_Games: SIII DIGAMEN
[2020:11:27-00:03:30]  (Local) -> (LOCAL)[1]2cb'sumadre420: a
[2020:11:27-00:03:31]  (Global) -> Cheverry: ������
[2020:11:27-00:03:31]  (Global) -> 2cv|D^ego: voy a una kk de fps 58
[2020:11:27-00:03:33]  (Local) -> (LOCAL)[1]2cb'sumadre420: q paso
[2020:11:27-00:03:34]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#0064FF_SEMDS_: uy
[2020:11:27-00:03:34]  (Global) -> #7F7F7F|CVR|#FF0000Megu: xd
[2020:11:27-00:03:34]  (Local) -> (LOCAL)[3]CAPU|Elmenor: si yo
[2020:11:27-00:03:35]  (Local) -> (LOCAL)[6]2cV~[7]{7}(7): ando peliando con estos bobitos
[2020:11:27-00:03:37]  (Local) -> (LOCAL)[6]2cV~[7]{7}(7): xd
[2020:11:27-00:03:37]  (Local) -> (LOCAL)[3]CAMILO: yo se lo quiero comprar
[2020:11:27-00:03:38]  (Local) -> (LOCAL)[1]2cb'ViejoRichard: gasofa
[2020:11:27-00:03:43]  (Local) -> (LOCAL)[2]MZ-changua21: adios vibra
[2020:11:27-00:03:44]  (Local) -> (LOCAL)[1]#7F7F7F|LG||Coomo?|#0064FFCAPU|~CapuCurioso~|: epaa
[2020:11:27-00:03:45]  (Local) -> (LOCAL)[2]Vibra_Alegre_Games: dele dos veces
[2020:11:27-00:03:46]  (Local) -> (LOCAL)[2]Vibra_Alegre_Games: v
[2020:11:27-00:03:47]  (Global) -> #7F7F7F|CVR|#FF0000Megu: aun me duelen los 30 palos
[2020:11:27-00:03:47]  (Local) -> (LOCAL)[1]2cb'sumadre420: dame una vuelta
[2020:11:27-00:03:48]  (Local) -> (LOCAL)[3]CAMILO: nos puedes ayudar
[2020:11:27-00:03:48]  (Global) -> 2cV~[7]{7}(7): jssjs
[2020:11:27-00:03:49]  (Local) -> (LOCAL)[2]Vibra_Alegre_Games: chao changua
[2020:11:27-00:03:50]  (Local) -> (LOCAL)[1]#7F7F7F|LG||Coomo?|#0064FFCAPU|~CapuCurioso~|: vamos a biguear
[2020:11:27-00:03:50]  (Local) -> (LOCAL)[2]MZ-changua21: ya vengo
[2020:11:27-00:03:52]  (Local) -> (LOCAL)[2]Vibra_Alegre_Games: <3
[2020:11:27-00:03:54]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#0064FF_SEMDS_: pues
[2020:11:27-00:03:54]  (Local) -> (LOCAL)[3]CAMILO: a modificar el precio
[2020:11:27-00:03:54]  (Local) -> (LOCAL)[2]Vibra_Alegre_Games: bendiciones
[2020:11:27-00:03:55]  (Local) -> (LOCAL)[2]MZ-changua21: tkm
[2020:11:27-00:03:58]  (Local) -> (LOCAL)[1]2cb'sumadre420: dame una vuelta
[2020:11:27-00:03:59]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Megu: aqui se hace mas
[2020:11:27-00:03:59]  ([Msg] de Francine98 para Cheverry: vi a tussy saliendo de eso) -> nil
[2020:11:27-00:04:00]  (Local) -> (LOCAL)[6][ZETAS]JUAN-AA: malo
[2020:11:27-00:04:00]  (Local) -> (LOCAL)[2]Vibra_Alegre_Games: igual
[2020:11:27-00:04:01]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#0064FF_SEMDS_: ahi si te tocaria con bala
[2020:11:27-00:04:02]  (Local) -> (LOCAL)[1]#7F7F7F|LG||Coomo?|#0064FFCAPU|~CapuCurioso~|: sisas
[2020:11:27-00:04:03]  (Global) -> JJ_Gamer: Megu[6] AJJAA XD POR QUE?
[2020:11:27-00:04:06]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFFrancine98: gracias
[2020:11:27-00:04:09]  (Local) -> (LOCAL)[3]CAMILO: esta afk?
[2020:11:27-00:04:10]  (Local) -> (LOCAL)[1]#7F7F7F|LG||Coomo?|#0064FFCAPU|~CapuCurioso~|: pero vamos me pongo el job
[2020:11:27-00:04:13]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#0064FF_SEMDS_: sip
[2020:11:27-00:04:13]  ([Msg] de CarlosBaretaChar|C&A| para Vibra_Alegre_Games: diga pues pa ver si me pongo a pilotear) -> nil
[2020:11:27-00:04:14]  (Local) -> (LOCAL)[1]2cb'sumadre420: este carro es un parche
[2020:11:27-00:04:16]  (Local) -> (LOCAL)[3]CAMILO: ahss
[2020:11:27-00:04:19]  (Local) -> (LOCAL)[5]Tartarus: n00b
