This file was generated by Console at 2020:11:11-00:00:00



[2020:11:11-00:00:00]  (Global) -> 2cB'Sant:D: NA DJ CALLESE  HP
[2020:11:11-00:00:05]  (Global) -> 2cb|ZACK|: wii
[2020:11:11-00:01:32]  (Global) -> #7F7F7F|CVR|#FF5C00Khausu: SUBAN ACA PILOTO VETERANO
[2020:11:11-00:01:33]  (Local) -> (LOCAL)[31]juancarl78: En la buena piloto
[2020:11:11-00:01:36]  (Global) -> #7F7F7F|CVR|#FF5C00Khausu: SUBAN ACA PILOTO VETERANO
[2020:11:11-00:01:37]  (Local) -> (LOCAL)[34]|DJ|DoctorUribe: vamos
[2020:11:11-00:01:38]  (Local) -> (LOCAL)[32]2cb-Apu_N: Hola
[2020:11:11-00:01:40]  (Global) -> |DJ|Royal: NO TENGO ARMAS NI PARACAIDAS
[2020:11:11-00:01:41]  (Local) -> (LOCAL)[34]KawaiiConDulces: No señor respette
[2020:11:11-00:01:42]  (Local) -> (LOCAL)[32]2cb'Fabius: ajajaj con francine no me voy ni a palo
[2020:11:11-00:01:43]  (Global) -> 2cb*sumadre420: oeesss
[2020:11:11-00:01:43]  (Local) -> (LOCAL)[21]Papitass*2Cb: ah vida hp
[2020:11:11-00:01:46]  (Global) -> Depende: llorela
[2020:11:11-00:01:46]  (Local) -> (LOCAL)[20]Papitass*2Cb: nos bugeamos
[2020:11:11-00:01:46]  (Global) -> 2cb*sumadre420: no me puedo mover
[2020:11:11-00:01:47]  (Local) -> (LOCAL)[32]2cb-Apu_N: xd
[2020:11:11-00:01:48]  (Global) -> 2cb*sumadre420: no me puedo mover
[2020:11:11-00:01:49]  (Global) -> 2cb*sumadre420: no me puedo mover
[2020:11:11-00:01:50]  (Global) -> 2cB*Buitre: KREATOR
[2020:11:11-00:01:51]  (Local) -> (LOCAL)[20]Papitass*2Cb: dependee
[2020:11:11-00:01:52]  (Local) -> (LOCAL)[20]Papitass*2Cb: ayudee
[2020:11:11-00:01:53]  (Global) -> #7F7F7F|CVR|#FF8C00Jimenez: Su madre
[2020:11:11-00:01:54]  (Local) -> (LOCAL)[28]#7F7F7F|CVR|#FF5C00Khausu: Todos tienen este Chaleco paracaidas?
[2020:11:11-00:01:55]  (Local) -> (LOCAL)[1]Tartarus777: oe
[2020:11:11-00:01:55]  (Global) -> #7F7F7F|CVR|#FF8C00Jimenez: Dale a la m
[2020:11:11-00:01:55]  (Global) -> 2cB*Buitre: ME BUGIE ME MATE Y LA CAMARA SIGUE SUBIENDO
[2020:11:11-00:01:57]  (Global) -> |DJ|Royal: NO TENGO ARMAS NI PARACAIDAS
[2020:11:11-00:01:57]  (Local) -> (LOCAL)[20]2cb*sumadre420: nah
[2020:11:11-00:01:57]  (Local) -> (LOCAL)[1][Zetas]stivenv28|LP|: oe
[2020:11:11-00:01:58]  (Global) -> MontesSicario: Deja de bajar bida
[2020:11:11-00:01:58]  (Local) -> (LOCAL)[28]#7F7F7F|CVR|#FF5C00Khausu: Confirmenme
[2020:11:11-00:01:59]  (Global) -> 2cb*sumadre420: no me puedo mover
[2020:11:11-00:01:59]  (Global) -> 2cb'Python: no
[2020:11:11-00:01:59]  (Local) -> (LOCAL)[34]#7F7F7F|CVR|#FF8C002cb|Catre: dale x
[2020:11:11-00:01:59]  (Global) -> 2cB*Buitre: KREATOR
[2020:11:11-00:02:00]  (Local) -> (LOCAL)[29]MontesSicario: gran oputa
[2020:11:11-00:02:00]  (Local) -> (LOCAL)[31](Z)LOKILLO: no
[2020:11:11-00:02:01]  (Global) -> 2cB*Buitre: ME BUGIE ME MATE Y LA CAMARA SIGUE SUBIENDO
[2020:11:11-00:02:01]  (Global) -> |DJ|Royal: NO TENGO ARMAS NI PARACAIDAS
[2020:11:11-00:02:02]  (Local) -> (LOCAL)[31]2cb_Hir0: no
[2020:11:11-00:02:03]  (Local) -> (LOCAL)[29]#7F7F7F|CVR|#FF5C00Khausu: UY KIETO
[2020:11:11-00:02:05]  (Local) -> (LOCAL)[34]#7F7F7F|CVR|#FF8C002cb|Catre: den x
[2020:11:11-00:02:05]  (Global) -> Papitass*2Cb: bi dusoareb oyes geu
[2020:11:11-00:02:05]  (Local) -> (LOCAL)[29]MontesSicario: tussy
[2020:11:11-00:02:05]  (Local) -> (LOCAL)[29]2cb'Fabius: su papa te agradeceria que dejaras de bajar vida
[2020:11:11-00:02:05]  (Local) -> (LOCAL)[30](Z)LOKILLO: yo no
[2020:11:11-00:02:06]  (Global) -> 2cb'e-girlnea: adsd
[2020:11:11-00:02:06]  (Global) -> |DJ|Royal: NO TENGO ARMAS NI PARACAIDAS
[2020:11:11-00:02:08]  (Local) -> (LOCAL)[34]|DJ|DoctorUribe: Catre no tengo chaleco
[2020:11:11-00:02:08]  (Local) -> (LOCAL)[29]2cb'Fabius: sapo hp
[2020:11:11-00:02:09]  (Local) -> (LOCAL)[3]Tartarus777: saque la luca
[2020:11:11-00:02:09]  (Local) -> (LOCAL)[29]MontesSicario: estan bajando vida XD
[2020:11:11-00:02:11]  (Global) -> |DJ|Royal: NO TENGO ARMAS NI PARACAIDAS
[2020:11:11-00:02:11]  (Local) -> (LOCAL)[3]Tartarus777: y vamos
[2020:11:11-00:02:12]  (Local) -> (LOCAL)[21]2cb*sumadre420: ayudda
[2020:11:11-00:02:14]  (Local) -> (LOCAL)[34][Z]SUPAPA: estoy sano pa
[2020:11:11-00:02:17]  (Local) -> (LOCAL)[20]2cb*sumadre420: orgalor
[2020:11:11-00:02:18]  (Global) -> |DJ|Royal: NO TENGO ARMAS NI PARACAIDAS NI CHALECO
[2020:11:11-00:02:19]  (Local) -> (LOCAL)[20]2cb*sumadre420: porfa
[2020:11:11-00:02:19]  (Local) -> (LOCAL)[34]#7F7F7F|CVR|#FF8C002cb|Catre: expulse sumadre
[2020:11:11-00:02:20]  (Local) -> (LOCAL)[28]MontesSicario: Me dan chalequito de nuevo?
[2020:11:11-00:02:22]  (Global) -> #7F7F7F|CVR|#FF8C00KREATOR: si sigue igual reconecta
[2020:11:11-00:02:22]  (Local) -> (LOCAL)[28]2cb-Apu_N: a mi me bajaron chaleco
[2020:11:11-00:02:23]  (Local) -> (LOCAL)[20]#7F7F7F|CVR|#FF8C00EVG|Orgalor: nada?
[2020:11:11-00:02:24]  (Global) -> 2cb*sumadre420: hey
[2020:11:11-00:02:26]  (Global) -> |DJ|Royal: NO TENGO ARMAS PARCAIDAS NI CHALECO
[2020:11:11-00:02:27]  (Global) -> |DJ|DoctorUribe: No tengo chaleco
[2020:11:11-00:02:27]  (Local) -> (LOCAL)[20]Papitass*2Cb: oes un hp me quito toda la vida
[2020:11:11-00:02:27]  (Local) -> (LOCAL)[20]#7F7F7F|CVR|#FF8C00EVG|Orgalor: dele
[2020:11:11-00:02:27]  (Global) -> 2cb*sumadre420: no me muevo
[2020:11:11-00:02:30]  (Global) -> 2cB*Buitre: VOY
[2020:11:11-00:02:31]  (Local) -> (LOCAL)[20]#7F7F7F|CVR|#FF8C00EVG|Orgalor: /entraedvento
[2020:11:11-00:02:32]  (Local) -> (LOCAL)[20]Papitass*2Cb: desde ese avion
[2020:11:11-00:02:33]  (Local) -> (LOCAL)[28]#7F7F7F|CVR|#FF5C00Khausu: Me avisan cuando
[2020:11:11-00:02:34]  (Local) -> (LOCAL)[33]#7F7F7F|CVR|#FF8C002cb|Catre: listo
[2020:11:11-00:02:35]  (Local) -> (LOCAL)[19]#7F7F7F|CVR|#FF8C00EVG|Orgalor: otra ces
[2020:11:11-00:02:37]  (Global) -> |DJ|Royal: NO TENGO ARMAS CHALECO NI PARACAIDAS
[2020:11:11-00:02:40]  (Local) -> (LOCAL)[20]Papitass*2Cb: orga
[2020:11:11-00:02:41]  (Global) -> ElKevinnPai: por qe no puedo etrar al evento?
[2020:11:11-00:02:42]  (Global) -> |DJ||Cacorrin|PERCY: FRANCINE SE HOMBRE PUES
[2020:11:11-00:02:42]  (Global) -> [2cb]Arteaga: contra?
[2020:11:11-00:02:44]  (Local) -> (LOCAL)[20]Papitass*2Cb: haceme tp
[2020:11:11-00:02:44]  (Global) -> |DJ|DoctorUribe: NO TENGCO CHALECO DIOS MÍO
[2020:11:11-00:02:44]  (Global) -> #7F7F7F|CVR|#FF8C00KREATOR: ey
[2020:11:11-00:02:44]  (Local) -> (LOCAL)[29][2cb]JuanConG: yakas
[2020:11:11-00:02:45]  (Global) -> ElKevinnPai: por qe no puedo etrar al evento?
[2020:11:11-00:02:47]  (Global) -> #7F7F7F|CVR|#FF8C00KREATOR: me tocaste el pip
[2020:11:11-00:02:47]  (Global) -> 2cb*sumadre420: QUE PIROBOTES
[2020:11:11-00:02:51]  (Local) -> (LOCAL)[32]#7F7F7F|CVR|#FF8C002cb|Catre: den x
[2020:11:11-00:02:52]  (Global) -> 2cb*sumadre420: COMO LO SACAN A UNO
[2020:11:11-00:02:54]  (Global) -> KawaiiConDulces: Perdon me gusto
[2020:11:11-00:02:56]  (Local) -> (LOCAL)[2]Papitass*2Cb: de bna
[2020:11:11-00:03:04]  (Global) -> |DJ||Cacorrin|PERCY: FRANCINE SE HOMBRE PUES
[2020:11:11-00:03:06]  (Local) -> (LOCAL)[33]#7F7F7F|CVR|#FF8C002cb|Catre: bueno nos fuimos
[2020:11:11-00:03:07]  (Global) -> #7F7F7F|CVR|#FF5C00~Piskero~2cb: aaa
[2020:11:11-00:03:08]  (Local) -> (LOCAL)[30]#7F7F7F|CVR|#FF5C00Khausu: El que no tiene chaleco paila, eso se gana
[2020:11:11-00:03:10]  (Local) -> (LOCAL)[33][Z]SUPAPA: arrenquee
[2020:11:11-00:03:10]  (Global) -> 2cb*sumadre420: HEY DEJEMEN ENTRAR
[2020:11:11-00:03:13]  (Local) -> (LOCAL)[33]#7F7F7F|CVR|#FF8C002cb|Catre: hagale khausu
[2020:11:11-00:03:14]  (Local) -> (LOCAL)[2]Papitass*2Cb: vida hp
[2020:11:11-00:03:14]  (Global) -> #7F7F7F|CVR|#FF8C00KREATOR: HAY UN C4 EN EL AVIÓN
[2020:11:11-00:03:14]  (Local) -> (LOCAL)[33]Paisa: oe julian
[2020:11:11-00:03:15]  (Global) -> |DJ|Royal: NO TENGO PARACAIDAS
[2020:11:11-00:03:15]  (Local) -> (LOCAL)[33]#7F7F7F|CVR|#FF8C00EVG|Orgalor: nosfui
[2020:11:11-00:03:16]  (Global) -> #7F7F7F|CVR|#FF8C00KREATOR: X              D
[2020:11:11-00:03:16]  (Global) -> SANTANA: a
[2020:11:11-00:03:18]  (Global) -> |DJ|Royal: NI ARMAS NI CHALECO
[2020:11:11-00:03:18]  (Global) -> |DJ||Cacorrin|PERCY: ME VOY A EMPERRAR DE UNA MANERA
[2020:11:11-00:03:18]  (Global) -> |DJ|DoctorUribe: xtno tengo chaleco
[2020:11:11-00:03:18]  (Local) -> (LOCAL)[33]JugadorPromedio: dame chaleco porfa
[2020:11:11-00:03:19]  (Global) -> Papitass*2Cb: dejen entrar otra vez orgaa
[2020:11:11-00:03:20]  (Global) -> ElKevinnPai: por qe no puedo etrar al evento?
[2020:11:11-00:03:20]  (Local) -> (LOCAL)[30](Z)LOKILLO: kahusu no tnego apra ciadas
[2020:11:11-00:03:20]  (Global) -> #7F7F7F|CVR|#FF5C00Khausu: Nos fui
[2020:11:11-00:03:21]  (Local) -> (LOCAL)[30]MontesSicario: Tussy me entrar papasito?
[2020:11:11-00:03:21]  (Global) -> |DJ|DoctorUribe: aaaaaaaaaa
[2020:11:11-00:03:22]  (Global) -> #7F7F7F|CVR|#FF5C00Khausu: Nos fui
[2020:11:11-00:03:22]  (Local) -> (LOCAL)[28]|MZ|Gurui: EPA
[2020:11:11-00:03:23]  (Local) -> (LOCAL)[28](Z)LOKILLO: kahusu no tnego apra ciadas
[2020:11:11-00:03:23]  (Global) -> |DJ|Royal: NO TENGO ARMAS CHALECO NI PARACAIDAS
[2020:11:11-00:03:25]  (Local) -> (LOCAL)[12]juancarl78: De una pa
[2020:11:11-00:03:26]  (Global) -> (Z)LOKILLO: kahusu no tnego apra ciadas
[2020:11:11-00:03:26]  (Local) -> (LOCAL)[12]|MZ|Gurui: AAAAAAAAAAAA
[2020:11:11-00:03:27]  (Local) -> (LOCAL)[14]JugadorPromedio: preciona x
[2020:11:11-00:03:28]  (Local) -> (LOCAL)[13]2cb'Python: F
[2020:11:11-00:03:28]  (Local) -> (LOCAL)[12]MontesSicario: Entrenas*
[2020:11:11-00:03:29]  (Global) -> |DJ|Royal: EEEEEEEEEEEEEEEEEEEE ESTOS ADMINS NO LEEN NI MRDA
[2020:11:11-00:03:29]  (Local) -> (LOCAL)[13]Paisa: oeeee hueva
[2020:11:11-00:03:31]  (Global) -> #7F7F7F|CVR|#FF5C00Khausu: Nos fui
[2020:11:11-00:03:33]  (Local) -> (LOCAL)[13]JugadorPromedio: preciona x
[2020:11:11-00:03:33]  (Global) -> (Z)LOKILLO: kahusu no tnego apra ciadas
[2020:11:11-00:03:35]  (Global) -> (Z)LOKILLO: kahusu no tnego apra ciadas
[2020:11:11-00:03:35]  (Global) -> Depende: Royal entonces para q entra al evento?????????????????????????????
[2020:11:11-00:03:36]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF5C00Francine98: perra perra perra perra
[2020:11:11-00:03:37]  (Global) -> |2cb|-MAX-_-: musica catre b:D
[2020:11:11-00:03:37]  (Global) -> 2cb*kevin: QUIEN VENDE CARROS
[2020:11:11-00:03:38]  (Local) -> (LOCAL)[1][Zetas]stivenv28|LP|: fast
[2020:11:11-00:03:38]  (Global) -> |DJ|Royal: NO TENGO ARMAS PARACAIDAS NI CHALECOOOOOOOOOOOOOO
[2020:11:11-00:03:40]  (Global) -> (Z)LOKILLO: kahusu no tnego apra ciadas
[2020:11:11-00:03:40]  (Global) -> ckmove: que paso
[2020:11:11-00:03:41]  (Local) -> (LOCAL)[12]Diaz: F por Lokillo
[2020:11:11-00:03:41]  (Global) -> Depende: Royal entonces para q entra al evento?????????????????????????????
[2020:11:11-00:03:42]  (Local) -> (LOCAL)[12]2cb'Python: F
[2020:11:11-00:03:43]  (Global) -> Depende: Royal entonces para q entra al evento?????????????????????????????
[2020:11:11-00:03:43]  (Local) -> (LOCAL)[1]Tartarus777: ya la pongo ps
[2020:11:11-00:03:44]  (Global) -> |DJ|Royal: ENTRE AL EVENTO Y ME QUITARON TODO!
[2020:11:11-00:03:44]  (Global) -> Depende: Royal entonces para q entra al evento?????????????????????????????
[2020:11:11-00:03:45]  (Global) -> #7F7F7F|CVR|#FF8C00Jimenez: Para que entra al evento
[2020:11:11-00:03:45]  (Local) -> (LOCAL)[12]JugadorPromedio: xd
[2020:11:11-00:03:46]  (Global) -> Papitass*2Cb: dejen entrar ome que eso c bugeo
[2020:11:11-00:03:48]  (Local) -> (LOCAL)[11]#7F7F7F|CVR|#FF5C00Khausu: Llegando a Las Venturas / Las Vegas se tiran
[2020:11:11-00:03:50]  (Global) -> #7F7F7F|CVR|#FF8C00KREATOR: XD
[2020:11:11-00:03:51]  (Local) -> (LOCAL)[4]2cb*kevin: PUEDO PORVARLO
[2020:11:11-00:03:53]  (Global) -> |DJ|Royal: ENTRE AL EVENTO Y ME QUITARON LAS ARMAS >:c
[2020:11:11-00:03:54]  (Global) -> 2cb|ZACK|: vamos donde las motos
[2020:11:11-00:03:55]  (Global) -> KawaiiConDulces: xD
[2020:11:11-00:03:57]  (Local) -> (LOCAL)[12]#7F7F7F|CVR|#FF8C00EVG|Orgalor: f
[2020:11:11-00:03:57]  (Global) -> MontesSicario: FABVIUS
[2020:11:11-00:03:57]  (Local) -> (LOCAL)[11]juancarl78: Oka
[2020:11:11-00:03:58]  (Global) -> |DJ|DoctorUribe: Nahhhhhhhhhhhhhhhhhhh me caí xddddddddd
[2020:11:11-00:03:58]  (Global) -> #7F7F7F|CVR|#FF8C00EVG|Orgalor: F
[2020:11:11-00:04:00]  (Global) -> MontesSicario: NOOO
[2020:11:11-00:04:01]  (Local) -> (LOCAL)[11]|MZ|Gurui: AVISA DONDE
[2020:11:11-00:04:01]  (Local) -> (LOCAL)[4]|2CB|ElSasu: Los consecionarios
[2020:11:11-00:04:02]  (Global) -> MontesSicario: xd
[2020:11:11-00:04:02]  (Global) -> |DJ|Royal: Quien pa pelea de puños
[2020:11:11-00:04:02]  (Local) -> (LOCAL)[12]JugadorPromedio: sube mas alto
[2020:11:11-00:04:02]  (Global) -> [2cb]Arteaga: oe  contra?
[2020:11:11-00:04:02]  (Local) -> (LOCAL)[12]2cb'Python: la chimba sin chaleco se gana esto
[2020:11:11-00:04:03]  (Global) -> [Z]SUPAPA: como se activa el paracaidas
[2020:11:11-00:04:04]  (Global) -> JugadorPromedio: sube mas alto
[2020:11:11-00:04:05]  (Global) -> JugadorPromedio: sube mas alto
[2020:11:11-00:04:06]  (Global) -> ckmove: quietos
[2020:11:11-00:04:06]  (Global) -> JugadorPromedio: sube mas alto
[2020:11:11-00:04:07]  (Global) -> el_santi: uyt a
[2020:11:11-00:04:07]  (Global) -> [BRAYAN]: admins se me tiro del avion
[2020:11:11-00:04:07]  (Local) -> (LOCAL)[1]2cb|Skipper|: espere
[2020:11:11-00:04:08]  (Global) -> JugadorPromedio: sube mas alto
[2020:11:11-00:04:08]  (Local) -> (LOCAL)[12]#7F7F7F|CVR|#FF8C00EVG|Orgalor: mas alto catre
[2020:11:11-00:04:10]  (Local) -> (LOCAL)[12](BGW)TU_DIOSA: ole
[2020:11:11-00:04:11]  (Local) -> (LOCAL)[11]MontesSicario: ELEVALO
[2020:11:11-00:04:12]  (Local) -> (LOCAL)[12](BGW)TU_DIOSA: suba
[2020:11:11-00:04:14]  (Local) -> (LOCAL)[11]#7F7F7F|CVR|#FF5C00Khausu: VAYAN BAJANDO
[2020:11:11-00:04:14]  (Global) -> |DJ|Royal: NO TENGO PARACAIDAS ÑEROOOOOOOOOOOOOO
[2020:11:11-00:04:14]  (Local) -> (LOCAL)[11]MontesSicario: KHAUSU
[2020:11:11-00:04:14]  (Local) -> (LOCAL)[13]#7F7F7F|CVR|#FF8C002cb|Catre: den x para ir cayendo
[2020:11:11-00:04:14]  (Local) -> (LOCAL)[13](BGW)TU_DIOSA: suba
[2020:11:11-00:04:14]  (Local) -> (LOCAL)[2]Tartarus777: yaaa
[2020:11:11-00:04:14]  (Global) -> el_santi: que ena
[2020:11:11-00:04:17]  (Local) -> (LOCAL)[1]Z~|Loli|~: pego?
[2020:11:11-00:04:17]  (Local) -> (LOCAL)[11]2cb'gomelo: suva mas panguano
[2020:11:11-00:04:17]  (Local) -> (LOCAL)[12]#7F7F7F|CVR|#FF8C00EVG|Orgalor: catre ams altoo
[2020:11:11-00:04:18]  (Local) -> (LOCAL)[12](BGW)TU_DIOSA: suba mas
[2020:11:11-00:04:18]  (Global) -> #7F7F7F|CVR|#FF5C00Khausu: VAYAN BAJANDO
[2020:11:11-00:04:18]  (Global) -> JugadorPromedio: sube mas alto
[2020:11:11-00:04:20]  (Local) -> (LOCAL)[12]#7F7F7F|CVR|#FF8C00EVG|Orgalor: aca se matan
[2020:11:11-00:04:20]  (Global) -> JugadorPromedio: sube mas alto
[2020:11:11-00:04:21]  (Local) -> (LOCAL)[1]2cb|Skipper|: manege
[2020:11:11-00:04:22]  (Global) -> LovingBeans46: halameee
[2020:11:11-00:04:22]  (Local) -> (LOCAL)[13](BGW)TU_DIOSA: que sta muy bajito
