This file was generated by Console at 2020:09:10-00:00:00



[2020:09:10-00:00:00]  (Global) -> dilan: Patches
[2020:09:10-00:00:41]  (Global) -> [S.A.S][CAD]JuanP: aufr
[2020:09:10-00:00:42]  (Local) -> (LOCAL)[14]Kepler: Bre
[2020:09:10-00:00:46]  (Local) -> (LOCAL)[4]dilan: como saco un carro de la venta de carros XD
[2020:09:10-00:00:46]  (Global) -> Scarlrxd04: si al curar le dan estrellas
[2020:09:10-00:00:47]  (Global) -> GT|Cheverry: MK YA LO VENDI
[2020:09:10-00:00:48]  (Global) -> PapiCaliche: No te hagas el maric
[2020:09:10-00:00:49]  (Local) -> (LOCAL)[2]nicolascely06: NARA
[2020:09:10-00:00:50]  (Global) -> Scarlrxd04: ._.
[2020:09:10-00:00:50]  (Global) -> _Danielmatrias_: hay tienen por locas
[2020:09:10-00:00:51]  (Local) -> (LOCAL)[3]dilan: si me entiende
[2020:09:10-00:00:53]  (Global) -> #7F7F7F|CVR|#FF9B00[CAPU]CatreChimbita: dilan[2] que sucede
[2020:09:10-00:00:58]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF7C00 Berna: comprandolo ud mismo
[2020:09:10-00:00:58]  (Global) -> V1OL4BURR4S: lleveme
[2020:09:10-00:01:00]  (Local) -> (LOCAL)[2]nicolascely06: AAA
[2020:09:10-00:01:02]  (Global) -> dilan: .______________.
[2020:09:10-00:01:04]  (Local) -> (LOCAL)[16][CT.S]bray: que haces piromano
[2020:09:10-00:01:04]  (Local) -> (LOCAL)[3]pipo: voy por un pan
[2020:09:10-00:01:05]  (Local) -> (LOCAL)[3]|DV|GasterHDZ: tengo 2 pesos jajajjaj
[2020:09:10-00:01:08]  (Local) -> (LOCAL)[1]HuskyBanjo1: con g
[2020:09:10-00:01:09]  (Global) -> [GT]Beltran: xd
[2020:09:10-00:01:09]  (Local) -> (LOCAL)[3]dilan: enserio?
[2020:09:10-00:01:10]  (Local) -> (LOCAL)[2]nicolascely06: AAAAAAAA
[2020:09:10-00:01:11]  (Local) -> (LOCAL)[7][CAPU]Elmenor: los akatsuki somos los capuchos japoneses si señores
[2020:09:10-00:01:14]  (Local) -> (LOCAL)[1]HuskyBanjo1: padonde
[2020:09:10-00:01:15]  (Local) -> (LOCAL)[2](RCA)SingleChamber: Q PASO
[2020:09:10-00:01:18]  (Local) -> (LOCAL)[3]nicolascely06: SE ROM´PIO
[2020:09:10-00:01:20]  (Global) -> V1OL4BURR4S: pal hospital
[2020:09:10-00:01:21]  (Global) -> (BGW)camilop202: cheverry
[2020:09:10-00:01:21]  (Global) -> _Danielmatrias_: q qq
[2020:09:10-00:01:22]  (Local) -> (LOCAL)[3](RCA)SingleChamber: xd
[2020:09:10-00:01:22]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF7C00 [CAPU]Patches: volvi
[2020:09:10-00:01:25]  (Local) -> (LOCAL)[3]dilan: ola
[2020:09:10-00:01:26]  (Local) -> (LOCAL)[10]GT|Cheverry: A LAS 9 EN GROVE
[2020:09:10-00:01:26]  (Local) -> (LOCAL)[6](CTS)EL-PIROMANO: que le costo el carrito ?
[2020:09:10-00:01:27]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF7C00 Berna: sisas
[2020:09:10-00:01:27]  (Global) -> _Danielmatrias_: venga
[2020:09:10-00:01:27]  (Global) -> Krono2.0: como es
[2020:09:10-00:01:28]  (Global) -> (BGW)camilop202: quiere que le compre ese kart o no
[2020:09:10-00:01:28]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF7C00 Berna: paila
[2020:09:10-00:01:29]  (Global) -> Scarlrxd04: estaba trabajando 
[2020:09:10-00:01:30]  (Local) -> (LOCAL)[5](RCA)SingleChamber: suba
[2020:09:10-00:01:30]  (Local) -> (LOCAL)[3]dilan: :(
[2020:09:10-00:01:31]  (Local) -> (LOCAL)[8]YandrixOfYisus(ENP): donde es el paro?
[2020:09:10-00:01:31]  (Global) -> [DV]AliasTopo: ¿porque no sigue?
[2020:09:10-00:01:32]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF7C00 Berna: a
[2020:09:10-00:01:32]  (Local) -> (LOCAL)[3]dilan: aa
[2020:09:10-00:01:34]  (Local) -> (LOCAL)[8]YandrixOfYisus(ENP): vale
[2020:09:10-00:01:35]  (Local) -> (LOCAL)[3]nicolascely06: OLE
[2020:09:10-00:01:35]  (Global) -> _Danielmatrias_: por
[2020:09:10-00:01:38]  (Local) -> (LOCAL)[8]GT|Cheverry: MARCHA HASTA LA ESTACION
[2020:09:10-00:01:38]  (Local) -> (LOCAL)[3](RCA)SingleChamber: subaa
[2020:09:10-00:01:39]  (Local) -> (LOCAL)[8]JUTSU-MILPLONES: COMO 500 LUKAS
[2020:09:10-00:01:39]  (Local) -> (LOCAL)[2][CT.S]bray: nea no tienes net
[2020:09:10-00:01:39]  (Local) -> (LOCAL)[8]YandrixOfYisus(ENP): sin armas?
[2020:09:10-00:01:40]  (Global) -> VALLUNITO:  
[2020:09:10-00:01:43]  (Global) -> |DV|Carding999: ay gonorrea
[2020:09:10-00:01:44]  (Local) -> (LOCAL)[1](CTS)EL-PIROMANO: pare
[2020:09:10-00:01:44]  (Local) -> (LOCAL)[8]GT|Cheverry: SI
[2020:09:10-00:01:44]  (Local) -> (LOCAL)[6]nicolascely06: ME TENGO QUE IR
[2020:09:10-00:01:45]  (Global) -> _Danielmatrias_: O-O
[2020:09:10-00:01:47]  (Local) -> (LOCAL)[8]GT|Cheverry: CREO
[2020:09:10-00:01:48]  (Local) -> (LOCAL)[2]|DV|GasterHDZ: ale
[2020:09:10-00:01:48]  (Local) -> (LOCAL)[1](CTS)EL-PIROMANO: deje me subo arriba
[2020:09:10-00:01:48]  (Local) -> (LOCAL)[8]YandrixOfYisus(ENP): vale
[2020:09:10-00:01:49]  (Global) -> _Danielmatrias_: bn
[2020:09:10-00:01:50]  (Local) -> (LOCAL)[8](RCA)SingleChamber: conmigo puede hacer la ruta normal
[2020:09:10-00:01:51]  (Local) -> (LOCAL)[2]king_wolf: cuanttos carros tienes
[2020:09:10-00:01:51]  (Global) -> (BGW)camilop202: CHEVERRY
[2020:09:10-00:01:51]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF7C00 Berna: quien pone la musica
[2020:09:10-00:01:51]  (Global) -> Scarlrxd04: el internet va mal
[2020:09:10-00:01:53]  (Local) -> (LOCAL)[8][CAPU]Elmenor: ufff
[2020:09:10-00:01:57]  (Local) -> (LOCAL)[2][CT.S]bray: eso veo
[2020:09:10-00:01:58]  (Global) -> [GT]Pinino_Z: nomas esos 2 xdd
[2020:09:10-00:02:00]  (Global) -> GT|Cheverry: Q FUE
[2020:09:10-00:02:01]  (Local) -> (LOCAL)[6]dilan: ssiii
[2020:09:10-00:02:01]  (Global) -> Scarlrxd04: xd
[2020:09:10-00:02:02]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF7C00 [CAPU]Patches: XDD
[2020:09:10-00:02:03]  (Global) -> VicToR: #763835 QUIEN PA JUGAR PUBG
[2020:09:10-00:02:05]  (Local) -> (LOCAL)[1][CT.S]bray: son 90 secs y ya
[2020:09:10-00:02:05]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF7C00 [CAPU]Patches: ASÑJDASÑKAS
[2020:09:10-00:02:09]  (Global) -> Megu: ud
[2020:09:10-00:02:10]  (Global) -> [GT]FranciscoBY: COMO SACO UN CARRO DE LA TIENDA?
[2020:09:10-00:02:11]  (Local) -> (LOCAL)[1][CT.S]bray: perdon
[2020:09:10-00:02:13]  (Global) -> [DV]AliasTopo: ¿cual se va a comprar?
[2020:09:10-00:02:14]  (Global) -> VALLUNITO: Pubg litE?
[2020:09:10-00:02:15]  (Local) -> (LOCAL)[4]nicolascely06: A SI
[2020:09:10-00:02:21]  (Global) -> El_marra: vamos por bareta primero
[2020:09:10-00:02:23]  (Local) -> (LOCAL)[8][CAPU]Changua-Curiosa: ajjajajaja
[2020:09:10-00:02:25]  (Global) -> VicToR: #564746 PUBG DEL MTA
[2020:09:10-00:02:26]  (Global) -> V1OL4BURR4S: uyyyy ñrooo cuando ganee tanta plata
[2020:09:10-00:02:26]  (Global) -> El_marra: jeje
[2020:09:10-00:02:29]  (Local) -> (LOCAL)[7]dilan: Patches
[2020:09:10-00:02:30]  (Local) -> (LOCAL)[7](RCA)SingleChamber: ajjajaa
[2020:09:10-00:02:32]  (Global) -> Yosoypablo: asCreo que lo del paro si es hoy
[2020:09:10-00:02:32]  (Local) -> (LOCAL)[2](CT.S)ElMaicke777: jajajaj
[2020:09:10-00:02:33]  (Global) -> (F.A.R.C)Huevardo: dele x
[2020:09:10-00:02:34]  (Local) -> (LOCAL)[2]PRO*TIPE: me valio 30 mil
[2020:09:10-00:02:39]  (Local) -> (LOCAL)[4]|DV|GasterHDZ: una que no sea ni la de topo ni la mia no?
[2020:09:10-00:02:39]  (Global) -> _Danielmatrias_: ayudeme
[2020:09:10-00:02:40]  (Team - Unemployed) -> (TEAM)PRO*TIPE: jajajajaajaja
[2020:09:10-00:02:42]  (Local) -> (LOCAL)[8][CAPU]Changua-Curiosa: como quito videos???
[2020:09:10-00:02:45]  (Global) -> (F.A.R.C)Huevardo: oe tombo dele x
[2020:09:10-00:02:47]  (Local) -> (LOCAL)[1]nicolascely06: ME TENGO QUE DESCONECTAR MANO
[2020:09:10-00:02:48]  (Global) -> VALLUNITO: Al fin cuando es el paro?
[2020:09:10-00:02:49]  (Global) -> [GT]Beltran: Na victor warn por hablar de otros servers en este
[2020:09:10-00:02:50]  (Local) -> (LOCAL)[1](RCA)SingleChamber: no sabia?
[2020:09:10-00:02:55]  (Team - Criminals) -> (TEAM)king_wolf: me falta un aplo me toca trabajar
[2020:09:10-00:02:55]  (Local) -> (LOCAL)[3]Akko|SebastianMontoya: HAGALE
[2020:09:10-00:02:56]  (Global) -> VicToR: UI
[2020:09:10-00:02:57]  (Local) -> (LOCAL)[4]HuskyBanjo1: subite
[2020:09:10-00:02:59]  (Global) -> VicToR: COMO FUE
[2020:09:10-00:02:59]  (Local) -> (LOCAL)[4]|DV|GasterHDZ: uf que cambio
[2020:09:10-00:02:59]  (Local) -> (LOCAL)[2]Akko|SebastianMontoya: yo ando solo :3
[2020:09:10-00:03:00]  (Global) -> [DV]AliasTopo: no compro nada...
[2020:09:10-00:03:04]  (Global) -> [DV]AliasTopo: JAJAJAJA
[2020:09:10-00:03:04]  (Local) -> (LOCAL)[3]pipo: xddd
[2020:09:10-00:03:04]  (Team - Criminals) -> (TEAM)king_wolf: como consigues tanta plata
[2020:09:10-00:03:05]  (Local) -> (LOCAL)[1]nicolascely06: ME VOY
[2020:09:10-00:03:05]  (Global) -> JUTSU-MILPLONES: PERE
[2020:09:10-00:03:05]  (Local) -> (LOCAL)[3]dilan: patches
[2020:09:10-00:03:07]  (Local) -> (LOCAL)[3][GT]Pinino_Z: q vas a comprar
[2020:09:10-00:03:07]  (Global) -> |DV|Carding999: me faltan 29000 y tengo 13849
[2020:09:10-00:03:08]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF7C00 [CAPU]Patches: dime
[2020:09:10-00:03:08]  (Local) -> (LOCAL)[3]pipo: sjdajdjasjd
[2020:09:10-00:03:10]  (Local) -> (LOCAL)[1]nicolascely06: CHAAOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
[2020:09:10-00:03:13]  (Global) -> _Danielmatrias_: porqueeeeee
[2020:09:10-00:03:14]  (Local) -> (LOCAL)[1](RCA)SingleChamber: todo bien
[2020:09:10-00:03:14]  (Local) -> (LOCAL)[3]|DV|GasterHDZ: ???
[2020:09:10-00:03:15]  (Team - Criminals) -> (TEAM)king_wolf:  un carrito y armas
[2020:09:10-00:03:17]  (Local) -> (LOCAL)[4]dilan: el monito q te pones me ecxita
[2020:09:10-00:03:22]  (Local) -> (LOCAL)[4]dilan: jsjsjs
[2020:09:10-00:03:23]  (Local) -> (LOCAL)[3][GT]Pinino_Z: jaja parcero llevo aca desde q abrieron este server
[2020:09:10-00:03:23]  (Global) -> (RCA)SingleChamber: vemos
[2020:09:10-00:03:25]  (Local) -> (LOCAL)[1]nicolascely06: CHO
[2020:09:10-00:03:27]  (Local) -> (LOCAL)[4]dilan: sii
[2020:09:10-00:03:29]  (Team - Criminals) -> (TEAM)king_wolf: ushh ajaj
[2020:09:10-00:03:32]  (Local) -> (LOCAL)[2][cst]ELVIEJOJUANCHO: mucha monda
[2020:09:10-00:03:33]  (Local) -> (LOCAL)[3]dilan: mueve ese culo perra
[2020:09:10-00:03:37]  (Local) -> (LOCAL)[4]|DV|GasterHDZ: no puede?
[2020:09:10-00:03:38]  (Local) -> (LOCAL)[4]pipo: no sirve
[2020:09:10-00:03:40]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF7C00 [CAPU]Patches: NOO
[2020:09:10-00:03:41]  (Global) -> |DV|Carding999: me falta dicw
[2020:09:10-00:03:41]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF7C00 [CAPU]Patches: que hice
[2020:09:10-00:03:42]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF7C00 [CAPU]Patches: uy pana
[2020:09:10-00:03:43]  (Local) -> (LOCAL)[1](CT.S)ElMaicke777: vamos a comprar totes
[2020:09:10-00:03:45]  (Local) -> (LOCAL)[3]dilan: XD
[2020:09:10-00:03:45]  (Global) -> |DV|Carding999: 29
[2020:09:10-00:03:47]  (Local) -> (LOCAL)[2](CTS)EL-PIROMANO: oe
[2020:09:10-00:03:47]  (Local) -> (LOCAL)[2][GT]Pinino_Z: pero es poquita
[2020:09:10-00:03:47]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF7C00 [CAPU]Patches: oe
[2020:09:10-00:03:49]  (Local) -> (LOCAL)[4]|DV|GasterHDZ: todas deben costar 12k
[2020:09:10-00:03:51]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF7C00 [CAPU]Patches: no paso nada
[2020:09:10-00:03:51]  (Global) -> #7F7F7F|CVR|#FF0000NicoleSharith: XD
[2020:09:10-00:03:54]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF7C00 [CAPU]Patches: ¿ o si?
[2020:09:10-00:03:55]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF7C00 [CAPU]Patches: uy no
[2020:09:10-00:03:57]  (Local) -> (LOCAL)[2](CTS)EL-PIROMANO: subase aca
[2020:09:10-00:03:57]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF7C00 [CAPU]Patches: menos mal
[2020:09:10-00:03:57]  (Global) -> [DV]AliasTopo: no
[2020:09:10-00:03:58]  (Local) -> (LOCAL)[2](cts)Neeomaster: dime
[2020:09:10-00:03:58]  (Local) -> (LOCAL)[5]pipo: patches ve
[2020:09:10-00:04:00]  (Global) -> (S.A.S)VULKANUS: ahajajajajajaja
[2020:09:10-00:04:00]  (Local) -> (LOCAL)[5]dilan: De q o q
[2020:09:10-00:04:03]  (Local) -> (LOCAL)[1][GT]Pinino_Z: esq antes trabajaba de pescador, antes pagaban muchisimo
[2020:09:10-00:04:03]  (Local) -> (LOCAL)[4][DV]AliasTopo: esas valen 29
[2020:09:10-00:04:03]  (Global) -> (S.A.S)VULKANUS: muy bueno
[2020:09:10-00:04:03]  (Local) -> (LOCAL)[0](RCA)SingleChamber: NicoleSharith
[2020:09:10-00:04:04]  (Local) -> (LOCAL)[1][cst]ELVIEJOJUANCHO: vga
[2020:09:10-00:04:05]  (Local) -> (LOCAL)[3](cts)Neeomaster: espere al socio que salga
[2020:09:10-00:04:11]  (Global) -> #7F7F7F|CVR|#FF9B00[CAPU]CatreChimbita: juuum
[2020:09:10-00:04:11]  (Global) -> |DV|Carding999: no mw dej
[2020:09:10-00:04:13]  (Local) -> (LOCAL)[3]|DV|GasterHDZ: a mi esta me costo 12 jajaj
[2020:09:10-00:04:13]  (Local) -> (LOCAL)[4]dilan: XDD
[2020:09:10-00:04:15]  (Global) -> #7F7F7F|CVR|#FF9B00[CAPU]CatreChimbita: evadiendo jail
[2020:09:10-00:04:20]  (Local) -> (LOCAL)[3][DV]AliasTopo: ¿cuanto le falta?
[2020:09:10-00:04:22]  (Global) -> (RCA)SingleChamber: NicoleSharith
[2020:09:10-00:04:29]  (Local) -> (LOCAL)[4]dilan: Lindo
[2020:09:10-00:04:31]  (Global) -> [GT]Beltran: xddd
[2020:09:10-00:04:31]  (Global) -> [DV]CamiloSZ: CAMILOSZ EN LA RADIO, PIDE TU TEMITA Y LO PONDREE!!!!!
[2020:09:10-00:04:33]  (Local) -> (LOCAL)[3](cts)Neeomaster: venga harold
[2020:09:10-00:04:34]  (Global) -> |DV|Carding999: VALE 29
[2020:09:10-00:04:34]  (Global) -> #7F7F7F|CVR|#FF0000NicoleSharith: Dime
[2020:09:10-00:04:35]  (Local) -> (LOCAL)[7][CAPU]Changua-Curiosa: hola
[2020:09:10-00:04:36]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF7C00 [CAPU]Patches: precioso
[2020:09:10-00:04:37]  (Local) -> (LOCAL)[4]dilan: gotico culon
[2020:09:10-00:04:39]  (Global) -> pipo: no
[2020:09:10-00:04:39]  (Local) -> (LOCAL)[6]dilan: jeje
[2020:09:10-00:04:43]  (Global) -> [DV]AliasTopo: ¿cuanto le falta?
[2020:09:10-00:04:43]  (Local) -> (LOCAL)[4]HuskyBanjo1: pa la estacion
[2020:09:10-00:04:47]  (Global) -> Krono2.0: alonzo
[2020:09:10-00:04:48]  (Global) -> (RCA)SingleChamber: Te amo Jejejej, no me vuelvas a echar a la cana
[2020:09:10-00:04:48]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF7C00 [CAPU]Patches: jeje
[2020:09:10-00:04:48]  (Local) -> (LOCAL)[4](CTS)EL-PIROMANO: jutsu
[2020:09:10-00:04:48]  (Local) -> (LOCAL)[1]ARLEY: buena
[2020:09:10-00:04:49]  (Local) -> (LOCAL)[6]HuskyBanjo1: todo bien
[2020:09:10-00:04:51]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF7C00 [CAPU]Patches: poquito jiji
[2020:09:10-00:04:52]  (Global) -> pipo: sapo
[2020:09:10-00:04:53]  (Global) -> EliteAlejo: vamos por el 
[2020:09:10-00:04:53]  (Local) -> (LOCAL)[5]dilan: mi gotico culon fav
[2020:09:10-00:04:54]  (Local) -> (LOCAL)[4](CTS)EL-PIROMANO: esta
[2020:09:10-00:04:54]  (Global) -> VALLUNITO: Simp
[2020:09:10-00:04:55]  (Local) -> (LOCAL)[5]dilan: sii
[2020:09:10-00:04:55]  (Global) -> TamalconPan: noooo
[2020:09:10-00:04:56]  (Local) -> (LOCAL)[5][GT]Beltran: cual alonsoXD
[2020:09:10-00:05:03]  (Local) -> (LOCAL)[1]|DV|GasterHDZ: donde estban?
[2020:09:10-00:05:04]  (Global) -> #7F7F7F|CVR|#FF0000NicoleSharith: Vale
[2020:09:10-00:05:04]  (Global) -> TamalconPan: ese pirobo me disparo primero
[2020:09:10-00:05:07]  (Global) -> EliteAlejo: esta en el hospital
[2020:09:10-00:05:09]  (Local) -> (LOCAL)[4](cts)Neeomaster: unda g
[2020:09:10-00:05:09]  (Local) -> (LOCAL)[1]|DV|GasterHDZ: porque no respodieron?
[2020:09:10-00:05:09]  (Local) -> (LOCAL)[5]dilan: el unico que me da jail cuando estoy bug
[2020:09:10-00:05:10]  (Local) -> (LOCAL)[4](CTS)EL-PIROMANO: vamos a comprar una de estas
[2020:09:10-00:05:12]  (Global) -> Krono2.0: aca no hay uno que se llama alonzo
[2020:09:10-00:05:14]  (Local) -> (LOCAL)[5]dilan: XD
[2020:09:10-00:05:14]  (Global) -> [DV]AliasTopo: JAJAJJA
[2020:09:10-00:05:18]  (Global) -> [DV]AliasTopo: espere la pongo
[2020:09:10-00:05:19]  (Global) -> (RCA)SingleChamber: Te Amo, NO ES ACOSO
[2020:09:10-00:05:19]  (Local) -> (LOCAL)[1]|DV|GasterHDZ: desconectaron al parcero gvon
[2020:09:10-00:05:22]  (Local) -> (LOCAL)[5](CTS)EL-PIROMANO: acompañenme
[2020:09:10-00:05:23]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF7C00 [CAPU]Patches: yo vivo pendiente de la gente
[2020:09:10-00:05:25]  (Global) -> VALLUNITO: Simp
[2020:09:10-00:05:26]  (Team - Criminals) -> (TEAM)king_wolf: pinino donde estas
[2020:09:10-00:05:28]  (Local) -> (LOCAL)[5]dilan: Esoo
[2020:09:10-00:05:33]  (Global) -> #7F7F7F|CVR|#FF0000NicoleSharith: No me siento acosada (y) 
[2020:09:10-00:05:37]  (Global) -> EliteAlejo: ya estan llegando
[2020:09:10-00:05:38]  (Global) -> VALLUNITO: Eh
[2020:09:10-00:05:42]  (Local) -> (LOCAL)[6]dilan: solo goticos culones
[2020:09:10-00:05:42]  (Global) -> TamalconPan: pirobos tomvos hijueputas
[2020:09:10-00:05:42]  (Global) -> VALLUNITO: Sabe que es joda ome
[2020:09:10-00:05:43]  (Global) -> (RCA)SingleChamber: <3
[2020:09:10-00:05:44]  (Global) -> EliteAlejo: peremos aqui
[2020:09:10-00:05:45]  (Local) -> (LOCAL)[5](cts)Neeomaster: con cual pitas ve
[2020:09:10-00:05:47]  (Local) -> (LOCAL)[1][GT]Fercho: oee sin turbo
[2020:09:10-00:05:49]  (Local) -> (LOCAL)[6](CTS)EL-PIROMANO: h
[2020:09:10-00:05:51]  (Local) -> (LOCAL)[1][GT]Fercho: o con turbo
[2020:09:10-00:05:51]  (Local) -> (LOCAL)[1]walter: SISAS
[2020:09:10-00:05:53]  (Local) -> (LOCAL)[6](CTS)EL-PIROMANO: sube
[2020:09:10-00:05:54]  (Global) -> TamalconPan: tombos hijueputas
[2020:09:10-00:05:54]  (Global) -> [GT]FranciscoBY: VENDO DEPORTIVO ZR 350 EN 6 MILLONES (VALE 9)
[2020:09:10-00:05:58]  (Local) -> (LOCAL)[1][GT]Fercho: eso sin turbo
[2020:09:10-00:05:58]  (Local) -> (LOCAL)[7]dilan: a
[2020:09:10-00:06:06]  (Global) -> VALLUNITO: Hay un man en lv
[2020:09:10-00:06:06]  (Local) -> (LOCAL)[1][GT]Fercho: ponga el contador
[2020:09:10-00:06:07]  (Local) -> (LOCAL)[7](CTS)EL-PIROMANO: bajese
[2020:09:10-00:06:08]  (Global) -> VALLUNITO: Matando
[2020:09:10-00:06:08]  (Local) -> (LOCAL)[1]walter: AHORA HACEMOS UNA CON TURBO
[2020:09:10-00:06:10]  (Local) -> (LOCAL)[3][CT.S]bray: oal camilo
[2020:09:10-00:06:11]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF7C00 [CAPU]Patches: ya vengo
[2020:09:10-00:06:11]  (Global) -> Scarlrxd04: como dejo de trabajar?xd
[2020:09:10-00:06:12]  (Local) -> (LOCAL)[1]walter: COMO SE PONE JAJA
[2020:09:10-00:06:13]  (Local) -> (LOCAL)[1][GT]Fercho: eso
[2020:09:10-00:06:18]  (Local) -> (LOCAL)[1][GT]Fercho: nose jajjaaj
[2020:09:10-00:06:20]  (Local) -> (LOCAL)[4]pipo: jumm
[2020:09:10-00:06:22]  (Local) -> (LOCAL)[1]|DV|GasterHDZ: uf
[2020:09:10-00:06:23]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF7C00 [CAPU]Patches: hey
[2020:09:10-00:06:25]  (Global) -> (DV)menorpatecumbias: alfin para cuando es el evento de la marcha?
[2020:09:10-00:06:28]  (Local) -> (LOCAL)[6][GT]FranciscoBY: QUE
[2020:09:10-00:06:31]  (Global) -> VALLUNITO: Ni idea
[2020:09:10-00:06:31]  (Global) -> walter: COMO SE PONE EL CONTADOR PARA CARRERAS?'??
[2020:09:10-00:06:32]  (Local) -> (LOCAL)[3][CT.S]bray: nea que compre unu
[2020:09:10-00:06:32]  (Global) -> TamalconPan: tombos gonorreas
